"pld0043","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Part Time","indirect migration background","12","","","","5"
"Never","2003","Full Time","no migration background","721","0.105403223775201","0.0985266149917612","0.112279832558641","5"
"Never","2003","Full Time","direct migration background","166","0.158002717322839","0.134484752936455","0.181520681709223","5"
"Never","2003","Part Time","no migration background","372","0.106211457739159","0.0969592288591185","0.1154636866192","5"
"Never","2003","Part Time","direct migration background","109","0.193257334880992","0.162690210647496","0.223824459114487","5"
"Never","2003","Full Time","indirect migration background","32","0.120037651314042","0.0840323282536157","0.156042974374469","5"
"Never","2003","Not Working","no migration background","1920","0.316076354946092","0.305053892062377","0.327098817829807","5"
"Never","2003","Not Working","direct migration background","365","0.314978687976005","0.28686919750752","0.343088178444489","5"
"Never","2003","Not Working","indirect migration background","37","0.156337417626698","0.111228305561022","0.201446529692375","5"
"Often","2003","Full Time","direct migration background","156","0.185449173562206","0.160389024445484","0.210509322678929","2"
"Often","2003","Full Time","no migration background","1385","0.178159832983691","0.169590790690442","0.186728875276939","2"
"Often","2003","Part Time","no migration background","898","0.209666480732434","0.197442490478338","0.221890470986531","2"
"Often","2003","Part Time","direct migration background","116","0.19094936736277","0.160521883617407","0.221376851108133","2"
"Often","2003","Full Time","indirect migration background","77","0.230084740920156","0.183457330701863","0.276712151138449","2"
"Often","2003","Part Time","indirect migration background","68","0.278290681631314","0.219862232350154","0.336719130912474","2"
"Often","2003","Not Working","direct migration background","110","0.132718378008073","0.112187574269247","0.153249181746899","2"
"Often","2003","Not Working","indirect migration background","75","0.310898918387666","0.253407967897842","0.368389868877491","2"
"Often","2003","Not Working","no migration background","856","0.108340769991349","0.100972352153324","0.115709187829374","2"
"Rarely","2003","Full Time","no migration background","2168","0.272929599824172","0.262953810757401","0.282905388890944","4"
"Rarely","2003","Full Time","direct migration background","238","0.247664306410884","0.219831971036554","0.275496641785213","4"
"Rarely","2003","Full Time","indirect migration background","52","0.14930398373547","0.109822013238864","0.188785954232077","4"
"Rarely","2003","Part Time","no migration background","1125","0.255269500317161","0.242176405114177","0.268362595520145","4"
"Rarely","2003","Part Time","direct migration background","168","0.258338209380474","0.224452517974149","0.292223900786799","4"
"Rarely","2003","Part Time","indirect migration background","38","0.206219002824466","0.153470691396636","0.258967314252297","4"
"Rarely","2003","Not Working","no migration background","1963","0.290485532455621","0.279722820607601","0.30124824430364","4"
"Rarely","2003","Not Working","direct migration background","256","0.243572852852513","0.217597686254554","0.269548019450472","4"
"Rarely","2003","Not Working","indirect migration background","40","0.136594150806607","0.0939389528325466","0.179249348780667","4"
"Sometimes","2003","Full Time","direct migration background","329","0.371084629816987","0.339935587915252","0.402233671718722","3"
"Sometimes","2003","Part Time","indirect migration background","95","0.381565414349215","0.318233114766502","0.444897713931929","3"
"Sometimes","2003","Not Working","no migration background","1920","0.264994405246343","0.254531735755255","0.275457074737431","3"
"Sometimes","2003","Full Time","no migration background","3037","0.394019213349164","0.383076580363596","0.404961846334733","3"
"Sometimes","2003","Full Time","indirect migration background","123","0.35312084116544","0.30017288787655","0.40606879445433","3"
"Sometimes","2003","Part Time","no migration background","1628","0.374124008098047","0.359593017324345","0.38865499887175","3"
"Sometimes","2003","Part Time","direct migration background","225","0.315349818901331","0.279379049036817","0.351320588765845","3"
"Sometimes","2003","Not Working","direct migration background","282","0.265286907038478","0.238570555784317","0.292003258292639","3"
"Sometimes","2003","Not Working","indirect migration background","77","0.326234185697169","0.268001390414527","0.384466980979811","3"
"Very often","2003","Full Time","no migration background","349","0.0494881300677714","0.0446311871362937","0.0543450729992492","1"
"Very often","2003","Full Time","direct migration background","35","0.0377991728870839","0.0255025425685828","0.050095803205585","1"
"Very often","2003","Full Time","indirect migration background","29","","","","1"
"Very often","2003","Part Time","no migration background","237","0.0547285531131981","0.0478984298002888","0.0615586764261073","1"
"Very often","2003","Part Time","direct migration background","23","","","","1"
"Very often","2003","Part Time","indirect migration background","13","","","","1"
"Very often","2003","Not Working","no migration background","176","0.020102937360596","0.0167755848093335","0.0234302899118586","1"
"Very often","2003","Not Working","direct migration background","36","0.0434431741249313","0.0311071131041064","0.0557792351457562","1"
"Very often","2003","Not Working","indirect migration background","20","","","","1"
"Never","2004","Full Time","indirect migration background","","","","","5"
"Never","2004","Part Time","direct migration background","","","","","5"
"Never","2004","Part Time","no migration background","","","","","5"
"Never","2004","Full Time","no migration background","","","","","5"
"Never","2004","Full Time","direct migration background","","","","","5"
"Never","2004","Part Time","indirect migration background","","","","","5"
"Never","2004","Not Working","no migration background","","","","","5"
"Never","2004","Not Working","direct migration background","","","","","5"
"Never","2004","Not Working","indirect migration background","","","","","5"
"Often","2004","Full Time","no migration background","","","","","2"
"Often","2004","Full Time","direct migration background","","","","","2"
"Often","2004","Part Time","no migration background","","","","","2"
"Often","2004","Part Time","direct migration background","","","","","2"
"Often","2004","Full Time","indirect migration background","","","","","2"
"Often","2004","Part Time","indirect migration background","","","","","2"
"Often","2004","Not Working","direct migration background","","","","","2"
"Often","2004","Not Working","indirect migration background","","","","","2"
"Often","2004","Not Working","no migration background","","","","","2"
"Rarely","2004","Full Time","no migration background","","","","","4"
"Rarely","2004","Part Time","direct migration background","","","","","4"
"Rarely","2004","Part Time","indirect migration background","","","","","4"
"Rarely","2004","Not Working","no migration background","","","","","4"
"Rarely","2004","Not Working","direct migration background","","","","","4"
"Rarely","2004","Not Working","indirect migration background","","","","","4"
"Rarely","2004","Full Time","direct migration background","","","","","4"
"Rarely","2004","Full Time","indirect migration background","","","","","4"
"Rarely","2004","Part Time","no migration background","","","","","4"
"Sometimes","2004","Part Time","indirect migration background","","","","","3"
