"pld0043","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","Not Employed","4","","",""
"Very often","2003","Schleswig-Holstein","Employed","15","","",""
"Very often","2003","Hamburg","Not Employed","3","","",""
"Very often","2003","Hamburg","Employed","10","","",""
"Very often","2003","Lower Saxony","Not Employed","36","0.0324202945055726","0.0193925038924976","0.0454480851186476"
"Very often","2003","Lower Saxony","Employed","79","0.0596137259619008","0.0462230388778975","0.0730044130459041"
"Very often","2003","Bremen","Not Employed","3","","",""
"Very often","2003","Bremen","Employed","6","","",""
"Very often","2003","North Rhine-Westphalia","Not Employed","47","0.0250633283525811","0.0177624352758164","0.0323642214293458"
"Very often","2003","North Rhine-Westphalia","Employed","147","0.051427683854936","0.043398724105443","0.0594566436044291"
"Very often","2003","Hesse","Not Employed","17","","",""
"Very often","2003","Hesse","Employed","56","0.0792155105185974","0.0625923643469158","0.095838656690279"
"Very often","2003","Rhineland-Palatinate,Saarland","Not Employed","14","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Employed","31","0.0297193913446222","0.0178779879359666","0.0415607947532779"
"Very often","2003","Baden-Württemberg","Not Employed","17","","",""
"Very often","2003","Baden-Württemberg","Employed","82","0.0474722608576151","0.0376377288416045","0.0573067928736257"
"Very often","2003","Bavaria","Not Employed","31","0.0294118931588448","0.0191531725055723","0.0396706138121172"
"Very often","2003","Bavaria","Employed","100","0.0541817957046117","0.0444719265992728","0.0638916648099506"
"Very often","2003","Berlin","Not Employed","11","","",""
"Very often","2003","Berlin","Employed","41","0.0633299304189593","0.0425160504426643","0.0841438103952544"
"Very often","2003","Brandenburg","Not Employed","10","","",""
"Very often","2003","Brandenburg","Employed","29","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Not Employed","6","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Employed","10","","",""
"Very often","2003","Saxony","Not Employed","13","","",""
"Very often","2003","Saxony","Employed","31","0.0303179421777133","0.0196481294962697","0.0409877548591569"
"Very often","2003","Saxony-Anhalt","Not Employed","15","","",""
"Very often","2003","Saxony-Anhalt","Employed","25","","",""
"Very often","2003","Thuringia","Not Employed","5","","",""
"Very often","2003","Thuringia","Employed","24","","",""
"Often","2003","Schleswig-Holstein","Not Employed","27","","",""
"Often","2003","Schleswig-Holstein","Employed","67","0.160551034090982","0.125566055689088","0.195536012492876"
"Often","2003","Hamburg","Not Employed","13","","",""
"Often","2003","Hamburg","Employed","46","0.234523884285547","0.173957935094661","0.295089833476433"
"Often","2003","Lower Saxony","Not Employed","105","0.125891816978562","0.10149123074957","0.150292403207555"
"Often","2003","Lower Saxony","Employed","251","0.209870532454401","0.186840134153908","0.232900930754894"
"Often","2003","Bremen","Not Employed","6","","",""
"Often","2003","Bremen","Employed","31","0.283150380242026","0.19656311452345","0.369737645960602"
"Often","2003","North Rhine-Westphalia","Not Employed","223","0.112155108712296","0.0974168392205088","0.126893378204082"
"Often","2003","North Rhine-Westphalia","Employed","615","0.206095667206256","0.19139137610008","0.220799958312432"
"Often","2003","Hesse","Not Employed","67","0.116747675463451","0.0880204298230075","0.145474921103895"
"Often","2003","Hesse","Employed","208","0.207926815547414","0.182948277287438","0.23290535380739"
"Often","2003","Rhineland-Palatinate,Saarland","Not Employed","86","0.152125603343414","0.121636026014425","0.182615180672403"
"Often","2003","Rhineland-Palatinate,Saarland","Employed","165","0.220187265610309","0.191292058879991","0.249082472340627"
"Often","2003","Baden-Württemberg","Not Employed","108","0.110463865867013","0.0899843940085355","0.130943337725491"
"Often","2003","Baden-Württemberg","Employed","288","0.157962550914436","0.141095556638501","0.174829545190371"
"Often","2003","Bavaria","Not Employed","117","0.108006881576477","0.0891608160396917","0.126852947113263"
"Often","2003","Bavaria","Employed","385","0.173756178920358","0.157504168769057","0.190008189071658"
"Often","2003","Berlin","Not Employed","51","0.16070837397964","0.119010332456629","0.202406415502652"
"Often","2003","Berlin","Employed","115","0.206827320527603","0.172214017450368","0.241440623604838"
"Often","2003","Brandenburg","Not Employed","43","0.0993859040431546","0.0698444582487813","0.128927349837528"
"Often","2003","Brandenburg","Employed","75","0.149038583050938","0.119221709540982","0.178855456560893"
"Often","2003","Mecklenburg-Western Pomerania","Not Employed","20","","",""
"Often","2003","Mecklenburg-Western Pomerania","Employed","69","0.199966835993128","0.157389231392493","0.242544440593763"
"Often","2003","Saxony","Not Employed","89","0.141657339943219","0.114231989802277","0.169082690084162"
"Often","2003","Saxony","Employed","179","0.172911980034175","0.149378797572179","0.196445162496172"
"Often","2003","Saxony-Anhalt","Not Employed","46","0.10451786807709","0.0745371639209193","0.134498572233261"
"Often","2003","Saxony-Anhalt","Employed","127","0.245069158767568","0.208553225855832","0.281585091679304"
"Often","2003","Thuringia","Not Employed","40","0.086995584625019","0.0587336782090966","0.115257491040941"
"Often","2003","Thuringia","Employed","79","0.152987697370527","0.123564675003968","0.182410719737087"
"Sometimes","2003","Schleswig-Holstein","Not Employed","82","0.326623851171799","0.268137782919375","0.385109919424223"
"Sometimes","2003","Schleswig-Holstein","Employed","196","0.444979218193567","0.397620232311651","0.492338204075483"
"Sometimes","2003","Hamburg","Not Employed","37","0.307230581048124","0.219816222018157","0.394644940078091"
"Sometimes","2003","Hamburg","Employed","80","0.408302519193094","0.338042210063959","0.478562828322229"
"Sometimes","2003","Lower Saxony","Not Employed","183","0.239167830423912","0.207790590956601","0.270545069891223"
"Sometimes","2003","Lower Saxony","Employed","474","0.379104988342256","0.35166616888188","0.406543807802631"
"Sometimes","2003","Bremen","Not Employed","20","","",""
"Sometimes","2003","Bremen","Employed","41","0.427337937867584","0.332262933777771","0.522412941957396"
"Sometimes","2003","North Rhine-Westphalia","Not Employed","539","0.287689048398432","0.266546132188678","0.308831964608185"
"Sometimes","2003","North Rhine-Westphalia","Employed","1192","0.408177410279098","0.390310649314094","0.426044171244102"
"Sometimes","2003","Hesse","Not Employed","136","0.273206086189818","0.233342322638162","0.313069849741474"
"Sometimes","2003","Hesse","Employed","388","0.366592017402648","0.336932616003681","0.396251418801614"
"Sometimes","2003","Rhineland-Palatinate,Saarland","Not Employed","132","0.237886436816608","0.201738861397182","0.274034012236035"
"Sometimes","2003","Rhineland-Palatinate,Saarland","Employed","284","0.356889101855497","0.323481590620615","0.390296613090379"
"Sometimes","2003","Baden-Württemberg","Not Employed","259","0.289815614490133","0.260175949799895","0.319455279180371"
"Sometimes","2003","Baden-Württemberg","Employed","702","0.385939608900763","0.363425221040867","0.408453996760659"
"Sometimes","2003","Bavaria","Not Employed","288","0.240154725315766","0.214217567579181","0.26609188305235"
"Sometimes","2003","Bavaria","Employed","756","0.357759476305915","0.337199279409678","0.378319673202152"
"Sometimes","2003","Berlin","Not Employed","87","0.313047707453617","0.260396478652389","0.365698936254846"
"Sometimes","2003","Berlin","Employed","207","0.391445721860247","0.349735677246971","0.433155766473523"
"Sometimes","2003","Brandenburg","Not Employed","118","0.289411022568465","0.244632810665326","0.334189234471603"
"Sometimes","2003","Brandenburg","Employed","232","0.38784486089638","0.34704886097343","0.42864086081933"
"Sometimes","2003","Mecklenburg-Western Pomerania","Not Employed","50","0.256790699977947","0.194343297321477","0.319238102634416"
"Sometimes","2003","Mecklenburg-Western Pomerania","Employed","128","0.375475673907268","0.323927435985237","0.427023911829298"
"Sometimes","2003","Saxony","Not Employed","151","0.233318524642122","0.200053765236265","0.266583284047979"
"Sometimes","2003","Saxony","Employed","389","0.386941671169412","0.356633069156995","0.417250273181829"
"Sometimes","2003","Saxony-Anhalt","Not Employed","85","0.199189357352541","0.160049784771841","0.23832892993324"
"Sometimes","2003","Saxony-Anhalt","Employed","156","0.28214783897255","0.243941066094477","0.320354611850623"
"Sometimes","2003","Thuringia","Not Employed","112","0.260323380361466","0.216319199321844","0.304327561401087"
"Sometimes","2003","Thuringia","Employed","212","0.318727092526514","0.280639438945507","0.356814746107522"
"Rarely","2003","Schleswig-Holstein","Not Employed","78","0.307389308469558","0.249846826674396","0.364931790264721"
"Rarely","2003","Schleswig-Holstein","Employed","112","0.285224233739886","0.242195751407403","0.328252716072369"
"Rarely","2003","Hamburg","Not Employed","35","0.339371064709856","0.249654548005039","0.429087581414673"
"Rarely","2003","Hamburg","Employed","39","0.21172269987657","0.153325450923015","0.270119948830125"
"Rarely","2003","Lower Saxony","Not Employed","215","0.32851933457914","0.293971873202522","0.363066795955759"
"Rarely","2003","Lower Saxony","Employed","313","0.266497613784789","0.241492777513405","0.291502450056172"
"Rarely","2003","Bremen","Not Employed","21","","",""
"Rarely","2003","Bremen","Employed","19","","",""
"Rarely","2003","North Rhine-Westphalia","Not Employed","448","0.252633260096393","0.232338657125104","0.272927863067681"
"Rarely","2003","North Rhine-Westphalia","Employed","680","0.227217340144388","0.211984706566946","0.242449973721829"
"Rarely","2003","Hesse","Not Employed","113","0.248330571129497","0.209679991637502","0.286981150621493"
"Rarely","2003","Hesse","Employed","269","0.240629745703144","0.21431915733003","0.266940334076258"
"Rarely","2003","Rhineland-Palatinate,Saarland","Not Employed","130","0.236505892436664","0.200430728440352","0.272581056432977"
"Rarely","2003","Rhineland-Palatinate,Saarland","Employed","207","0.263495209743286","0.232776095048741","0.294214324437832"
"Rarely","2003","Baden-Württemberg","Not Employed","255","0.312687422439118","0.282400218055966","0.34297462682227"
"Rarely","2003","Baden-Württemberg","Employed","506","0.280537282671161","0.259759731302703","0.301314834039619"
"Rarely","2003","Bavaria","Not Employed","317","0.297860428212054","0.270093210761506","0.325627645662602"
"Rarely","2003","Bavaria","Employed","610","0.269417762654858","0.250388125347623","0.288447399962094"
"Rarely","2003","Berlin","Not Employed","84","0.226926101793009","0.179371484555161","0.274480719030858"
"Rarely","2003","Berlin","Employed","125","0.240378264780912","0.203860725234915","0.276895804326909"
"Rarely","2003","Brandenburg","Not Employed","100","0.261161567381078","0.217787579632038","0.304535555130118"
"Rarely","2003","Brandenburg","Employed","154","0.278685207817493","0.241146684033648","0.316223731601337"
"Rarely","2003","Mecklenburg-Western Pomerania","Not Employed","57","0.275291395791778","0.211443411043244","0.339139380540313"
"Rarely","2003","Mecklenburg-Western Pomerania","Employed","103","0.303682069995577","0.254731065674892","0.352633074316262"
"Rarely","2003","Saxony","Not Employed","187","0.303460829569311","0.267300999284363","0.33962065985426"
"Rarely","2003","Saxony","Employed","287","0.300661328001894","0.272126529319109","0.329196126684678"
"Rarely","2003","Saxony-Anhalt","Not Employed","113","0.273036648030383","0.229376537992014","0.316696758068753"
"Rarely","2003","Saxony-Anhalt","Employed","167","0.30462979002549","0.26555661410123","0.34370296594975"
"Rarely","2003","Thuringia","Not Employed","106","0.282745962750436","0.237586255645388","0.327905669855483"
"Rarely","2003","Thuringia","Employed","198","0.315529501729774","0.277544555012036","0.353514448447513"
"Never","2003","Schleswig-Holstein","Not Employed","56","0.264268268703263","0.209278503199363","0.319258034207163"
"Never","2003","Schleswig-Holstein","Employed","33","0.0660981299736788","0.0424213239453136","0.0897749360020441"
"Never","2003","Hamburg","Not Employed","19","","",""
"Never","2003","Hamburg","Employed","13","","",""
"Never","2003","Lower Saxony","Not Employed","171","0.274000723512813","0.241193999478792","0.306807447546834"
"Never","2003","Lower Saxony","Employed","84","0.084913139456654","0.069148095131795","0.100678183781513"
"Never","2003","Bremen","Not Employed","20","","",""
"Never","2003","Bremen","Employed","7","","",""
"Never","2003","North Rhine-Westphalia","Not Employed","504","0.322459254440299","0.300628258713262","0.344290250167336"
"Never","2003","North Rhine-Westphalia","Employed","273","0.107081898515322","0.0958413004214371","0.118322496609208"
"Never","2003","Hesse","Not Employed","147","0.32628466155083","0.284341224189855","0.368228098911806"
"Never","2003","Hesse","Employed","93","0.105635910828197","0.086717176408511","0.124554645247883"
"Never","2003","Rhineland-Palatinate,Saarland","Not Employed","171","0.34434254364905","0.304004175022593","0.384680912275507"
"Never","2003","Rhineland-Palatinate,Saarland","Employed","103","0.129709031446286","0.106280131812987","0.153137931079585"
"Never","2003","Baden-Württemberg","Not Employed","261","0.272325090119667","0.243242079311145","0.301408100928189"
"Never","2003","Baden-Württemberg","Employed","218","0.128088296656025","0.112632695440763","0.143543897871288"
"Never","2003","Bavaria","Not Employed","289","0.324566071736859","0.296137356894898","0.352994786578819"
"Never","2003","Bavaria","Employed","237","0.144884786414258","0.129787233761712","0.159982339066804"
"Never","2003","Berlin","Not Employed","65","0.261944420181953","0.212022754354505","0.311866086009401"
"Never","2003","Berlin","Employed","38","0.0980187624122787","0.0726085334575673","0.12342899136699"
"Never","2003","Brandenburg","Not Employed","123","0.326418190372469","0.280118047446598","0.37271833329834"
"Never","2003","Brandenburg","Employed","58","0.109475610790918","0.083333574734254","0.135617646847581"
