"pld0043","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","West Germany","167","0.024940961345567","0.0211026405822896","0.0287792821088443"
"Very often","2003","lower secondary degree","East Germany","30","0.0191530051978993","0.0123097006505057","0.0259963097452929"
"Very often","2003","secondary school degree","West Germany","197","0.0526054938216361","0.0457300369638344","0.0594809506794378"
"Very often","2003","secondary school degree","East Germany","84","0.0374421727870456","0.0298359213395455","0.0450484242345458"
"Very often","2003","college entrance qualification","West Germany","241","0.0584620381877595","0.051458540763936","0.0654655356115831"
"Very often","2003","college entrance qualification","East Germany","59","0.0563057998084868","0.0428118996140465","0.0697997000029272"
"Very often","2003","Other degree","West Germany","38","0.0429252737016574","0.0314092096758432","0.0544413377274716"
"Very often","2003","Other degree","East Germany","","","",""
"Very often","2003","no degree/no degree yet","West Germany","61","0.0755201472654362","0.0560433060498379","0.0949969884810345"
"Very often","2003","no degree/no degree yet","East Germany","19","","",""
"Often","2003","lower secondary degree","West Germany","729","0.112938611493324","0.105148076647691","0.120729146338957"
"Often","2003","lower secondary degree","East Germany","124","0.0778881957972657","0.0645076328818131","0.0912687587127184"
"Often","2003","secondary school degree","West Germany","746","0.174678599748329","0.162984898788784","0.186372300707874"
"Often","2003","secondary school degree","East Germany","384","0.16726070577343","0.152307709218652","0.182213702328208"
"Often","2003","college entrance qualification","West Germany","1026","0.240301005714731","0.227546675714731","0.253055335714731"
"Often","2003","college entrance qualification","East Germany","241","0.202912613893047","0.179370103236444","0.22645512454965"
"Often","2003","Other degree","West Germany","133","0.12269661703868","0.104055762965726","0.141337471111635"
"Often","2003","Other degree","East Germany","8","","",""
"Often","2003","no degree/no degree yet","West Germany","200","0.262488400246712","0.23005609119341","0.294920709300014"
"Often","2003","no degree/no degree yet","East Germany","73","0.380060100298332","0.309924242472056","0.450195958124608"
"Sometimes","2003","lower secondary degree","West Germany","1968","0.293731728108173","0.282521111692675","0.304942344523672"
"Sometimes","2003","lower secondary degree","East Germany","365","0.22528765890711","0.2044290322994","0.246146285514821"
"Sometimes","2003","secondary school degree","West Germany","1574","0.38571132057527","0.370720064312337","0.400702576838204"
"Sometimes","2003","secondary school degree","East Germany","844","0.34316115306637","0.324139195174972","0.362183110957769"
"Sometimes","2003","college entrance qualification","West Germany","1741","0.399814984320873","0.385192162532295","0.414437806109451"
"Sometimes","2003","college entrance qualification","East Germany","465","0.390090507214121","0.361536920308589","0.418644094119653"
"Sometimes","2003","Other degree","West Germany","371","0.308513677308525","0.282271273215841","0.334756081401209"
"Sometimes","2003","Other degree","East Germany","11","","",""
"Sometimes","2003","no degree/no degree yet","West Germany","220","0.293731227733937","0.260157586401087","0.327304869066787"
