"pld0043","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","Not Employed","143","0.0832212649860461","0.0698895142449844","0.0965530157271079"
"Very often","2003","16-34 y.","Employed","357","0.0897375839762285","0.081118588984472","0.098356578967985"
"Very often","2003","35-65 y.","Not Employed","70","0.0241330959056008","0.0186894921756375","0.0295766996355641"
"Very often","2003","35-65 y.","Employed","327","0.0359886755416514","0.0322611767973646","0.0397161742859382"
"Very often","2003","66 and older","Not Employed","19","","",""
"Very often","2003","66 and older","Employed","2","","",""
"Often","2003","16-34 y.","Not Employed","528","0.312513598563657","0.290141625941944","0.33488557118537"
"Often","2003","16-34 y.","Employed","1108","0.261444962760232","0.248193381382825","0.274696544137638"
"Often","2003","35-65 y.","Not Employed","324","0.116390929505688","0.105015328792004","0.127766530219371"
"Often","2003","35-65 y.","Employed","1573","0.162357592858834","0.154977545717905","0.169737639999764"
"Often","2003","66 and older","Not Employed","189","0.0526190556101036","0.0451481787325533","0.060089932487654"
"Often","2003","66 and older","Employed","19","","",""
"Sometimes","2003","16-34 y.","Not Employed","591","0.373223731291055","0.349879549278151","0.396567913303958"
"Sometimes","2003","16-34 y.","Employed","1699","0.400014320357267","0.385240447803829","0.414788192910705"
"Sometimes","2003","35-65 y.","Not Employed","959","0.309109835963791","0.29271732034578","0.325502351581803"
"Sometimes","2003","35-65 y.","Employed","3685","0.375890770734979","0.366197850480317","0.385583690989641"
"Sometimes","2003","66 and older","Not Employed","729","0.201951362421653","0.188518276088058","0.215384448755248"
"Sometimes","2003","66 and older","Employed","53","0.265621982397947","0.205600286161325","0.32564367863457"
"Rarely","2003","16-34 y.","Not Employed","275","0.16962787981045","0.15151352960339","0.187742230017509"
"Rarely","2003","16-34 y.","Employed","836","0.194702714693481","0.182761451868056","0.206643977518906"
"Rarely","2003","35-65 y.","Not Employed","947","0.308862863160408","0.292473969015656","0.32525175730516"
"Rarely","2003","35-65 y.","Employed","2873","0.289136858262808","0.280064123113946","0.298209593411671"
"Rarely","2003","66 and older","Not Employed","1037","0.296938392262222","0.281649796429762","0.312226988094682"
"Rarely","2003","66 and older","Employed","80","0.356494558503263","0.291403851622833","0.421585265383694"
"Never","2003","16-34 y.","Not Employed","112","0.0614135253487926","0.0498255670662255","0.0730014836313597"
"Never","2003","16-34 y.","Employed","224","0.0541004182127917","0.0472784614246555","0.060922375000928"
"Never","2003","35-65 y.","Not Employed","753","0.241503275464512","0.226321482787054","0.256685068141971"
"Never","2003","35-65 y.","Employed","1134","0.136626102601727","0.129752889598112","0.143499315605342"
"Never","2003","66 and older","Not Employed","1457","0.443117343868159","0.426495509417294","0.459739178319023"
"Never","2003","66 and older","Employed","54","0.269261281889066","0.208979728155766","0.329542835622366"
"Very often","2004","16-34 y.","Not Employed","","","",""
"Very often","2004","16-34 y.","Employed","","","",""
"Very often","2004","35-65 y.","Not Employed","","","",""
"Very often","2004","35-65 y.","Employed","","","",""
"Very often","2004","66 and older","Not Employed","","","",""
"Very often","2004","66 and older","Employed","","","",""
"Often","2004","16-34 y.","Not Employed","","","",""
"Often","2004","16-34 y.","Employed","","","",""
"Often","2004","35-65 y.","Not Employed","","","",""
"Often","2004","35-65 y.","Employed","","","",""
"Often","2004","66 and older","Not Employed","","","",""
"Often","2004","66 and older","Employed","","","",""
"Sometimes","2004","16-34 y.","Not Employed","","","",""
"Sometimes","2004","16-34 y.","Employed","","","",""
"Sometimes","2004","35-65 y.","Not Employed","","","",""
"Sometimes","2004","35-65 y.","Employed","","","",""
"Sometimes","2004","66 and older","Not Employed","","","",""
"Sometimes","2004","66 and older","Employed","","","",""
"Rarely","2004","16-34 y.","Not Employed","","","",""
"Rarely","2004","16-34 y.","Employed","","","",""
"Rarely","2004","35-65 y.","Not Employed","","","",""
"Rarely","2004","35-65 y.","Employed","","","",""
"Rarely","2004","66 and older","Not Employed","","","",""
"Rarely","2004","66 and older","Employed","","","",""
"Never","2004","16-34 y.","Not Employed","","","",""
"Never","2004","16-34 y.","Employed","","","",""
"Never","2004","35-65 y.","Not Employed","","","",""
"Never","2004","35-65 y.","Employed","","","",""
"Never","2004","66 and older","Not Employed","","","",""
"Never","2004","66 and older","Employed","","","",""
"Very often","2005","16-34 y.","Not Employed","","","",""
"Very often","2005","16-34 y.","Employed","","","",""
"Very often","2005","35-65 y.","Not Employed","","","",""
"Very often","2005","35-65 y.","Employed","","","",""
"Very often","2005","66 and older","Not Employed","","","",""
"Very often","2005","66 and older","Employed","","","",""
"Often","2005","16-34 y.","Not Employed","","","",""
"Often","2005","16-34 y.","Employed","","","",""
"Often","2005","35-65 y.","Not Employed","","","",""
"Often","2005","35-65 y.","Employed","","","",""
"Often","2005","66 and older","Not Employed","","","",""
"Often","2005","66 and older","Employed","","","",""
"Sometimes","2005","16-34 y.","Not Employed","","","",""
"Sometimes","2005","16-34 y.","Employed","","","",""
"Sometimes","2005","35-65 y.","Not Employed","","","",""
"Sometimes","2005","35-65 y.","Employed","","","",""
"Sometimes","2005","66 and older","Not Employed","","","",""
"Sometimes","2005","66 and older","Employed","","","",""
"Rarely","2005","16-34 y.","Not Employed","","","",""
"Rarely","2005","16-34 y.","Employed","","","",""
"Rarely","2005","35-65 y.","Not Employed","","","",""
"Rarely","2005","35-65 y.","Employed","","","",""
"Rarely","2005","66 and older","Not Employed","","","",""
"Rarely","2005","66 and older","Employed","","","",""
"Never","2005","16-34 y.","Not Employed","","","",""
"Never","2005","16-34 y.","Employed","","","",""
"Never","2005","35-65 y.","Not Employed","","","",""
"Never","2005","35-65 y.","Employed","","","",""
"Never","2005","66 and older","Not Employed","","","",""
"Never","2005","66 and older","Employed","","","",""
"Very often","2006","16-34 y.","Not Employed","","","",""
"Very often","2006","16-34 y.","Employed","","","",""
"Very often","2006","35-65 y.","Not Employed","","","",""
"Very often","2006","35-65 y.","Employed","","","",""
"Very often","2006","66 and older","Not Employed","","","",""
"Very often","2006","66 and older","Employed","","","",""
"Often","2006","16-34 y.","Not Employed","","","",""
"Often","2006","16-34 y.","Employed","","","",""
"Often","2006","35-65 y.","Not Employed","","","",""
"Often","2006","35-65 y.","Employed","","","",""
"Often","2006","66 and older","Not Employed","","","",""
"Often","2006","66 and older","Employed","","","",""
"Sometimes","2006","16-34 y.","Not Employed","","","",""
"Sometimes","2006","16-34 y.","Employed","","","",""
"Sometimes","2006","35-65 y.","Not Employed","","","",""
"Sometimes","2006","35-65 y.","Employed","","","",""
"Sometimes","2006","66 and older","Not Employed","","","",""
"Sometimes","2006","66 and older","Employed","","","",""
"Rarely","2006","16-34 y.","Not Employed","","","",""
"Rarely","2006","16-34 y.","Employed","","","",""
"Rarely","2006","35-65 y.","Not Employed","","","",""
"Rarely","2006","35-65 y.","Employed","","","",""
"Rarely","2006","66 and older","Not Employed","","","",""
"Rarely","2006","66 and older","Employed","","","",""
"Never","2006","16-34 y.","Not Employed","","","",""
"Never","2006","16-34 y.","Employed","","","",""
"Never","2006","35-65 y.","Not Employed","","","",""
"Never","2006","35-65 y.","Employed","","","",""
"Never","2006","66 and older","Not Employed","","","",""
"Never","2006","66 and older","Employed","","","",""
"Very often","2007","16-34 y.","Not Employed","","","",""
"Very often","2007","16-34 y.","Employed","","","",""
"Very often","2007","35-65 y.","Not Employed","","","",""
"Very often","2007","35-65 y.","Employed","","","",""
"Very often","2007","66 and older","Not Employed","","","",""
"Very often","2007","66 and older","Employed","","","",""
"Often","2007","16-34 y.","Not Employed","","","",""
"Often","2007","16-34 y.","Employed","","","",""
"Often","2007","35-65 y.","Not Employed","","","",""
"Often","2007","35-65 y.","Employed","","","",""
"Often","2007","66 and older","Not Employed","","","",""
"Often","2007","66 and older","Employed","","","",""
"Sometimes","2007","16-34 y.","Not Employed","","","",""
"Sometimes","2007","16-34 y.","Employed","","","",""
"Sometimes","2007","35-65 y.","Not Employed","","","",""
"Sometimes","2007","35-65 y.","Employed","","","",""
"Sometimes","2007","66 and older","Not Employed","","","",""
"Sometimes","2007","66 and older","Employed","","","",""
"Rarely","2007","16-34 y.","Not Employed","","","",""
"Rarely","2007","16-34 y.","Employed","","","",""
"Rarely","2007","35-65 y.","Not Employed","","","",""
