"ple0013","year","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","285","0.0424796358110808","0.0377597704273245","0.047199501194837"
"Yes","2009","Part Time","196","0.0528400181114736","0.0460998859755367","0.0595801502474104"
"Yes","2009","Not Working","395","0.0565700331870311","0.0511111736174519","0.0620288927566103"
"No","2009","Full Time","6729","0.957520364188919","0.952800498805163","0.962240229572675"
"No","2009","Part Time","4036","0.947159981888526","0.94041984975259","0.953900114024463"
"No","2009","Not Working","6485","0.943429966812969","0.93797110724339","0.948888826382548"
"Yes","2010","Full Time","","","",""
"Yes","2010","Part Time","","","",""
"Yes","2010","Not Working","","","",""
"No","2010","Full Time","","","",""
"No","2010","Part Time","","","",""
"No","2010","Not Working","","","",""
"Yes","2011","Full Time","340","0.0470887937118094","0.0423908525442054","0.0517867348794134"
"Yes","2011","Part Time","278","0.0631913188035573","0.0563816338001209","0.0700010038069938"
"Yes","2011","Not Working","498","0.0616220208036907","0.0564000701908149","0.0668439714165665"
"No","2011","Full Time","7470","0.952911206288191","0.948213265120587","0.957609147455795"
"No","2011","Part Time","4626","0.936808681196443","0.929998996193006","0.943618366199879"
"No","2011","Not Working","7648","0.938377979196309","0.933156028583434","0.943599929809185"
"Yes","2012","Full Time","","","",""
"Yes","2012","Part Time","","","",""
"Yes","2012","Not Working","","","",""
"No","2012","Full Time","","","",""
"No","2012","Part Time","","","",""
"No","2012","Not Working","","","",""
"Yes","2013","Full Time","371","0.0565530636313","0.0511407997655306","0.0619653274970693"
"Yes","2013","Part Time","277","0.0629715129660204","0.0559503012535885","0.0699927246784522"
"Yes","2013","Not Working","489","0.0685719300773976","0.0628044582106257","0.0743394019441696"
"No","2013","Full Time","6626","0.9434469363687","0.938034672502931","0.948859200234469"
"No","2013","Part Time","4321","0.93702848703398","0.930007275321548","0.944049698746412"
"No","2013","Not Working","6887","0.931428069922602","0.92566059805583","0.937195541789374"
"Yes","2014","Full Time","","","",""
"Yes","2014","Part Time","","","",""
"Yes","2014","Not Working","","","",""
"No","2014","Full Time","","","",""
"No","2014","Part Time","","","",""
"No","2014","Not Working","","","",""
"Yes","2015","Full Time","518","0.0571028919152206","0.0524427450784036","0.0617630387520375"
"Yes","2015","Part Time","434","0.0639228513286909","0.0582485382897008","0.069597164367681"
"Yes","2015","Not Working","591","0.0711631170707374","0.065699791495454","0.0766264426460207"
"No","2015","Full Time","9006","0.942897108084779","0.938236961247963","0.947557254921596"
"No","2015","Part Time","6705","0.936077148671309","0.930402835632319","0.941751461710299"
"No","2015","Not Working","7916","0.928836882929263","0.923373557353979","0.934300208504546"
"Yes","2016","Full Time","","","",""
"Yes","2016","Part Time","","","",""
"Yes","2016","Not Working","","","",""
"No","2016","Full Time","","","",""
"No","2016","Part Time","","","",""
"No","2016","Not Working","","","",""
"Yes","2017","Full Time","603","0.05615054234521","0.0517280007145498","0.0605730839758702"
"Yes","2017","Part Time","523","0.0741112074102462","0.0682526749707926","0.0799697398496998"
"Yes","2017","Not Working","613","0.0755289315699012","0.069955208312282","0.0811026548275205"
"No","2017","Full Time","9806","0.94384945765479","0.93942691602413","0.94827199928545"
"No","2017","Part Time","7157","0.925888792589754","0.9200302601503","0.931747325029208"
"No","2017","Not Working","8021","0.924471068430099","0.918897345172479","0.930044791687718"
"Yes","2018","Full Time","","","",""
"Yes","2018","Part Time","","","",""
"Yes","2018","Not Working","","","",""
"No","2018","Full Time","","","",""
"No","2018","Part Time","","","",""
"No","2018","Not Working","","","",""
"Yes","2019","Full Time","708","0.0676072545718191","0.0628097469459288","0.0724047621977094"
"Yes","2019","Part Time","525","0.0720282903244599","0.0660718372306075","0.0779847434183122"
"Yes","2019","Not Working","616","0.079160924643982","0.0732892241113119","0.0850326251766521"
"No","2019","Full Time","9813","0.932392745428181","0.927595237802291","0.937190253054071"
"No","2019","Part Time","6712","0.92797170967554","0.922015256581688","0.933928162769393"
"No","2019","Not Working","7506","0.920839075356018","0.914967374823348","0.926710775888688"
