"ple0013","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Berlin","Not Working","227","0.932390787674217","0.901079455937205","0.963702119411229","2"
"No","2009","Berlin","Part Time","160","0.896762987665387","0.850889549619368","0.942636425711407","2"
"No","2009","Lower Saxony","Part Time","397","0.937865501686226","0.914778893922669","0.960952109449783","2"
"No","2009","Lower Saxony","Full Time","563","0.956846886897018","0.94040860853969","0.973285165254346","2"
"No","2009","Schleswig-Holstein","Not Working","208","0.931787660827688","0.898321199520689","0.965254122134688","2"
"No","2009","Hamburg","Full Time","102","0.934091957386484","0.887724234128596","0.980459680644372","2"
"No","2009","Schleswig-Holstein","Part Time","119","0.923563992645278","0.877714373878287","0.969413611412269","2"
"No","2009","Schleswig-Holstein","Full Time","161","0.950007302421827","0.917150787480544","0.98286381736311","2"
"No","2009","Brandenburg","Full Time","284","0.973813534908063","0.955434384418491","0.992192685397634","2"
"No","2009","Brandenburg","Part Time","145","0.971976488617067","0.945652677053376","0.998300300180757","2"
"No","2009","Brandenburg","Not Working","338","0.961342641872277","0.941260887597683","0.981424396146871","2"
"No","2009","Mecklenburg-Western Pomerania","Full Time","185","0.944002363741263","0.911480991293909","0.976523736188618","2"
"No","2009","Mecklenburg-Western Pomerania","Not Working","186","0.949702266447053","0.919026266346691","0.980378266547414","2"
"No","2009","Saxony","Full Time","557","0.966276908349468","0.951573321162084","0.980980495536852","2"
"No","2009","Saxony","Part Time","260","0.958975192313548","0.935139145158283","0.982811239468813","2"
"No","2009","Saxony","Not Working","498","0.938994089739045","0.91859843553583","0.959389743942259","2"
"No","2009","Hamburg","Part Time","51","0.948838143499541","0.890072915391301","1.00760337160778","2"
"No","2009","Hamburg","Not Working","99","0.915560766273832","0.862877592405741","0.968243940141923","2"
"No","2009","Lower Saxony","Not Working","599","0.946486419277694","0.929050401495369","0.963922437060018","2"
"No","2009","Bremen","Full Time","32","0.994986320485525","0.970888489127842","1.01908415184321","2"
"No","2009","Bremen","Part Time","32","0.823724703309061","0.695640549058917","0.951808857559206","2"
"No","2009","Bavaria","Part Time","636","0.950468034011515","0.934038614074385","0.966897453948644","2"
"No","2009","Bavaria","Not Working","876","0.959450680557227","0.946684336764552","0.972217024349903","2"
"No","2009","Berlin","Full Time","252","0.917075729390111","0.884182263292382","0.94996919548784","2"
"No","2009","Mecklenburg-Western Pomerania","Part Time","82","0.865193759744631","0.794241737981796","0.936145781507466","2"
"No","2009","Saxony-Anhalt","Full Time","313","0.974979671026491","0.957999162251316","0.991960179801667","2"
"No","2009","Saxony-Anhalt","Part Time","142","0.979919836663354","0.957087887694305","1.0027517856324","2"
"No","2009","Saxony-Anhalt","Not Working","282","0.924644554608666","0.894873833912126","0.954415275305207","2"
"No","2009","Bremen","Not Working","52","0.993380441517473","0.971548997106321","1.01521188592863","2"
"No","2009","North Rhine-Westphalia","Full Time","1313","0.962738583483804","0.952679847566413","0.972797319401194","2"
"No","2009","North Rhine-Westphalia","Part Time","842","0.954555557295611","0.94081802471602","0.968293089875203","2"
"No","2009","North Rhine-Westphalia","Not Working","1314","0.945164945183672","0.933239708232598","0.957090182134746","2"
"No","2009","Hesse","Full Time","466","0.951527925081091","0.932589616394771","0.97046623376741","2"
"No","2009","Hesse","Part Time","294","0.938410734743722","0.911734791229466","0.965086678257977","2"
"No","2009","Hesse","Not Working","395","0.952766257972358","0.932478091179805","0.973054424764911","2"
"No","2009","Rhineland-Palatinate,Saarland","Full Time","364","0.944306726089396","0.921339601843324","0.967273850335467","2"
"No","2009","Rhineland-Palatinate,Saarland","Part Time","235","0.968666869975926","0.946896307436345","0.990437432515508","2"
"No","2009","Rhineland-Palatinate,Saarland","Not Working","380","0.967987586551141","0.950693379362977","0.985281793739305","2"
"No","2009","Baden-Württemberg","Full Time","840","0.962687627747351","0.950144165694004","0.975231089800699","2"
"No","2009","Baden-Württemberg","Part Time","485","0.961780116284346","0.945025029705208","0.978535202863485","2"
"No","2009","Baden-Württemberg","Not Working","689","0.910194139952539","0.889566988097647","0.930821291807432","2"
"No","2009","Bavaria","Full Time","1003","0.958874521385141","0.9468114166531","0.970937626117181","2"
"No","2009","Thuringia","Full Time","294","0.962970068444506","0.94167262525822","0.984267511630791","2"
"No","2009","Thuringia","Part Time","156","0.953865410557857","0.921461902266846","0.986268918848867","2"
"No","2009","Thuringia","Not Working","342","0.93617728073817","0.910997003556397","0.961357557919943","2"
"Yes","2009","Schleswig-Holstein","Full Time","8","","","","1"
"Yes","2009","Schleswig-Holstein","Part Time","10","","","","1"
"Yes","2009","Schleswig-Holstein","Not Working","10","","","","1"
"Yes","2009","Hamburg","Full Time","8","","","","1"
"Yes","2009","Hamburg","Part Time","3","","","","1"
"Yes","2009","Hamburg","Not Working","8","","","","1"
"Yes","2009","Lower Saxony","Full Time","24","","","","1"
"Yes","2009","Lower Saxony","Part Time","23","","","","1"
"Yes","2009","Lower Saxony","Not Working","41","0.0535135807223064","0.0360775629399817","0.0709495985046311","1"
"Yes","2009","Bremen","Full Time","1","","","","1"
"Yes","2009","Bremen","Part Time","2","","","","1"
"Yes","2009","Bremen","Not Working","1","","","","1"
"Yes","2009","North Rhine-Westphalia","Full Time","49","0.0372614165161961","0.0272026805988057","0.0473201524335866","1"
"Yes","2009","North Rhine-Westphalia","Part Time","41","0.0454444427043887","0.0317069101247973","0.0591819752839802","1"
"Yes","2009","North Rhine-Westphalia","Not Working","86","0.0548350548163279","0.0429098178652537","0.0667602917674021","1"
"Yes","2009","Hesse","Full Time","28","","","","1"
"Yes","2009","Hesse","Part Time","18","","","","1"
"Yes","2009","Hesse","Not Working","25","","","","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Full Time","19","","","","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Part Time","11","","","","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Not Working","18","","","","1"
"Yes","2009","Baden-Württemberg","Full Time","37","0.0373123722526486","0.0247689101993012","0.049855834305996","1"
"Yes","2009","Baden-Württemberg","Part Time","18","","","","1"
"Yes","2009","Baden-Württemberg","Not Working","49","0.0898058600474606","0.0691787081925679","0.110433011902353","1"
"Yes","2009","Bavaria","Full Time","38","0.0411254786148591","0.0290623738828187","0.0531885833468996","1"
"Yes","2009","Bavaria","Part Time","34","0.0495319659884852","0.0331025460513555","0.0659613859256149","1"
"Yes","2009","Bavaria","Not Working","41","0.0405493194427729","0.0277829756500975","0.0533156632354483","1"
"Yes","2009","Berlin","Full Time","18","","","","1"
"Yes","2009","Berlin","Part Time","9","","","","1"
"Yes","2009","Berlin","Not Working","20","","","","1"
"Yes","2009","Brandenburg","Full Time","6","","","","1"
"Yes","2009","Brandenburg","Part Time","6","","","","1"
"Yes","2009","Brandenburg","Not Working","16","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","Full Time","7","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","Part Time","7","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","Not Working","9","","","","1"
"Yes","2009","Saxony","Full Time","22","","","","1"
"Yes","2009","Saxony","Part Time","6","","","","1"
