"ple0013","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","Rural Area","1166","0.983676926150052","0.976501513252014","0.99085233904809","2"
"No","2009","(Married) couple without C. ","Urban Area","4171","0.945448086586665","0.938736204532143","0.952159968641187","2"
"No","2009","(Married) couple without C. ","Rural Area","2183","0.949116230101822","0.940101671314226","0.958130788889417","2"
"No","2009","1-pers.-HH","Rural Area","851","0.940244162858456","0.924766827744882","0.955721497972031","2"
"No","2009","Couple + C. GT 16 ","Urban Area","1885","0.961554163038282","0.953057322903098","0.970051003173465","2"
"No","2009","Couple + C. LE and GT 16","Urban Area","745","0.952363408237149","0.937434900223883","0.967291916250414","2"
"No","2009","Couple + C. LE and GT 16","Rural Area","375","0.928396742401909","0.903098238561762","0.953695246242056","2"
"No","2009","1-pers.-HH","Urban Area","1885","0.935983068414278","0.925279229960492","0.946686906868063","2"
"No","2009","Single parent ","Urban Area","590","0.94472174742423","0.926820222240003","0.962623272608457","2"
"No","2009","Single parent ","Rural Area","357","0.971219965496192","0.954184591013363","0.988255339979021","2"
"No","2009","Couple + C. LE 16 ","Urban Area","1804","0.954191059749223","0.944765438533227","0.96361668096522","2"
"No","2009","Couple + C. LE 16 ","Rural Area","926","0.96637765613251","0.955034088711799","0.977721223553222","2"
"Yes","2009","1-pers.-HH","Urban Area","124","0.0640169315857222","0.0533130931319365","0.0747207700395079","1"
"Yes","2009","1-pers.-HH","Rural Area","50","0.0597558371415438","0.0442785020279695","0.075233172255118","1"
"Yes","2009","(Married) couple without C. ","Urban Area","227","0.0545519134133351","0.0478400313588128","0.0612637954678575","1"
"Yes","2009","(Married) couple without C. ","Rural Area","100","0.0508837698981781","0.0418692111105825","0.0598983286857737","1"
"Yes","2009","Single parent ","Urban Area","36","0.0552782525757702","0.0373767273915433","0.073179777759997","1"
"Yes","2009","Single parent ","Rural Area","13","","","","1"
"Yes","2009","Couple + C. LE 16 ","Urban Area","86","0.0458089402507766","0.0363833190347798","0.0552345614667734","1"
"Yes","2009","Couple + C. LE 16 ","Rural Area","44","0.0336223438674898","0.0222787764467784","0.0449659112882012","1"
"Yes","2009","Couple + C. GT 16 ","Urban Area","82","0.0384458369617181","0.0299489968265345","0.0469426770969017","1"
"Yes","2009","Couple + C. GT 16 ","Rural Area","32","0.0163230738499483","0.00914766095191009","0.0234984867479865","1"
