"ple0013","year","n","percent","lower_confidence","upper_confidence"
"Yes","2009","876","0.0502952524383855","0.0471135841172189","0.0534769207595521"
"No","2009","17250","0.949704747561614","0.946523079240448","0.952886415882781"
"Yes","2010","","","",""
"No","2010","","","",""
"Yes","2011","1116","0.0562582932908685","0.0531314163521537","0.0593851702295833"
"No","2011","19744","0.943741706709131","0.940614829770417","0.946868583647846"
"Yes","2012","","","",""
"No","2012","","","",""
"Yes","2013","1137","0.0627523348158873","0.0593013336406267","0.0662033359911478"
"No","2013","17834","0.937247665184113","0.933796664008852","0.940698666359373"
"Yes","2014","","","",""
"No","2014","","","",""
"Yes","2015","1543","0.0639764884944899","0.0609533359503092","0.0669996410386707"
"No","2015","23627","0.93602351150551","0.933000358961329","0.939046664049691"
"Yes","2016","","","",""
"No","2016","","","",""
"Yes","2017","1739","0.0675943772129517","0.0645843999666388","0.0706043544592646"
"No","2017","24984","0.932405622787048","0.929395645540735","0.935415600033361"
"Yes","2018","","","",""
"No","2018","","","",""
"Yes","2019","1849","0.0727932648919808","0.0696280744679929","0.0759584553159686"
"No","2019","24031","0.927206735108019","0.924041544684031","0.930371925532007"
