"ple0013","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Not Employed","10","","",""
"Yes","2009","Schleswig-Holstein","Employed","18","","",""
"Yes","2009","Hamburg","Not Employed","8","","",""
"Yes","2009","Hamburg","Employed","11","","",""
"Yes","2009","Lower Saxony","Not Employed","41","0.0535135807223064","0.0360775629399817","0.0709495985046311"
"Yes","2009","Lower Saxony","Employed","47","0.050755608301884","0.0371985833844539","0.0643126332193141"
"Yes","2009","Bremen","Not Employed","1","","",""
"Yes","2009","Bremen","Employed","3","","",""
"Yes","2009","North Rhine-Westphalia","Not Employed","86","0.0548350548163279","0.0429098178652537","0.0667602917674021"
"Yes","2009","North Rhine-Westphalia","Employed","90","0.0404634297342897","0.0323125960841411","0.0486142633844384"
"Yes","2009","Hesse","Not Employed","25","","",""
"Yes","2009","Hesse","Employed","46","0.0535872699290571","0.0380400882814958","0.0691344515766185"
"Yes","2009","Rhineland-Palatinate,Saarland","Not Employed","18","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Employed","30","0.0456972879890962","0.0293776297135438","0.0620169462646486"
"Yes","2009","Baden-Württemberg","Not Employed","49","0.0898058600474606","0.0691787081925679","0.110433011902353"
"Yes","2009","Baden-Württemberg","Employed","55","0.037645485129326","0.0276032001643068","0.0476877700943451"
"Yes","2009","Bavaria","Not Employed","41","0.0405493194427729","0.0277829756500975","0.0533156632354483"
"Yes","2009","Bavaria","Employed","72","0.0442892873553806","0.0345408353151799","0.0540377393955813"
"Yes","2009","Berlin","Not Employed","20","","",""
"Yes","2009","Berlin","Employed","27","","",""
"Yes","2009","Brandenburg","Not Employed","16","","",""
"Yes","2009","Brandenburg","Employed","12","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Not Employed","9","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Employed","14","","",""
"Yes","2009","Saxony","Not Employed","31","0.0610059102609556","0.0406102560577407","0.0814015644641704"
"Yes","2009","Saxony","Employed","28","","",""
"Yes","2009","Saxony-Anhalt","Not Employed","20","","",""
"Yes","2009","Saxony-Anhalt","Employed","15","","",""
"Yes","2009","Thuringia","Not Employed","20","","",""
"Yes","2009","Thuringia","Employed","13","","",""
"No","2009","Schleswig-Holstein","Not Employed","208","0.931787660827688","0.898321199520689","0.965254122134688"
"No","2009","Schleswig-Holstein","Employed","280","0.939227700695155","0.912102170265605","0.966353231124705"
"No","2009","Hamburg","Not Employed","99","0.915560766273832","0.862877592405741","0.968243940141923"
"No","2009","Hamburg","Employed","153","0.938317792459443","0.901498020289239","0.975137564629648"
"No","2009","Lower Saxony","Not Employed","599","0.946486419277694","0.929050401495369","0.963922437060018"
"No","2009","Lower Saxony","Employed","960","0.949244391698116","0.935687366780686","0.962801416615546"
"No","2009","Bremen","Not Employed","52","0.993380441517473","0.971548997106321","1.01521188592863"
"No","2009","Bremen","Employed","64","0.924349578330436","0.861030513811553","0.987668642849318"
"No","2009","North Rhine-Westphalia","Not Employed","1314","0.945164945183672","0.933239708232598","0.957090182134746"
"No","2009","North Rhine-Westphalia","Employed","2155","0.95953657026571","0.951385736615562","0.967687403915859"
"No","2009","Hesse","Not Employed","395","0.952766257972358","0.932478091179805","0.973054424764911"
"No","2009","Hesse","Employed","760","0.946412730070943","0.930865548423381","0.961959911718504"
"No","2009","Rhineland-Palatinate,Saarland","Not Employed","380","0.967987586551141","0.950693379362977","0.985281793739305"
"No","2009","Rhineland-Palatinate,Saarland","Employed","599","0.954302712010904","0.937983053735351","0.970622370286456"
"No","2009","Baden-Württemberg","Not Employed","689","0.910194139952539","0.889566988097647","0.930821291807432"
"No","2009","Baden-Württemberg","Employed","1325","0.962354514870674","0.952312229905655","0.972396799835693"
"No","2009","Bavaria","Not Employed","876","0.959450680557227","0.946684336764552","0.972217024349903"
"No","2009","Bavaria","Employed","1639","0.955710712644619","0.945962260604419","0.96545916468482"
"No","2009","Berlin","Not Employed","227","0.932390787674217","0.901079455937205","0.963702119411229"
"No","2009","Berlin","Employed","412","0.908394843152898","0.881410421011819","0.935379265293976"
"No","2009","Brandenburg","Not Employed","338","0.961342641872277","0.941260887597683","0.981424396146871"
"No","2009","Brandenburg","Employed","429","0.973230593140401","0.958166047181538","0.988295139099264"
"No","2009","Mecklenburg-Western Pomerania","Not Employed","186","0.949702266447053","0.919026266346691","0.980378266547414"
"No","2009","Mecklenburg-Western Pomerania","Employed","267","0.917679568908103","0.885543386748939","0.949815751067268"
"No","2009","Saxony","Not Employed","498","0.938994089739045","0.91859843553583","0.959389743942259"
"No","2009","Saxony","Employed","817","0.964017347327409","0.9514596864852","0.976575008169619"
"No","2009","Saxony-Anhalt","Not Employed","282","0.924644554608666","0.894873833912126","0.954415275305207"
"No","2009","Saxony-Anhalt","Employed","455","0.976750886905661","0.963127212235877","0.990374561575445"
