"ple0013","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","Male","107","0.0606805866585233","0.0500182722651379","0.0713429010519086"
"Yes","2009","16-34 y.","Female","87","0.0436927803462952","0.0349082209926564","0.052477339699934"
"Yes","2009","35-65 y.","Male","180","0.0358559990031342","0.0305533731674644","0.0411586248388039"
"Yes","2009","35-65 y.","Female","268","0.0565741792167549","0.050281579910116","0.0628667785233937"
"Yes","2009","66 and older","Male","101","0.0512047773416585","0.0415327363904897","0.0608768182928273"
"Yes","2009","66 and older","Female","133","0.0617712702313289","0.0517660113722804","0.0717765290903774"
"No","2009","16-34 y.","Male","1819","0.939319413341477","0.928657098948091","0.949981727734862"
"No","2009","16-34 y.","Female","1993","0.956307219653705","0.947522660300066","0.965091779007344"
"No","2009","35-65 y.","Male","4543","0.964144000996866","0.958841375161196","0.969446626832536"
"No","2009","35-65 y.","Female","4910","0.943425820783245","0.937133221476606","0.949718420089884"
"No","2009","66 and older","Male","1894","0.948795222658341","0.939123181707173","0.95846726360951"
"No","2009","66 and older","Female","2091","0.938228729768671","0.928223470909623","0.94823398862772"
"Yes","2010","16-34 y.","Male","","","",""
"Yes","2010","16-34 y.","Female","","","",""
"Yes","2010","35-65 y.","Male","","","",""
"Yes","2010","35-65 y.","Female","","","",""
"Yes","2010","66 and older","Male","","","",""
"Yes","2010","66 and older","Female","","","",""
"No","2010","16-34 y.","Male","","","",""
"No","2010","16-34 y.","Female","","","",""
"No","2010","35-65 y.","Male","","","",""
"No","2010","35-65 y.","Female","","","",""
"No","2010","66 and older","Male","","","",""
"No","2010","66 and older","Female","","","",""
"Yes","2011","16-34 y.","Male","124","0.0635488160217255","0.0529654725239811","0.0741321595194699"
"Yes","2011","16-34 y.","Female","139","0.0599322966421501","0.050159290657604","0.0697053026266961"
"Yes","2011","35-65 y.","Male","233","0.0475875372154734","0.0418641173551032","0.0533109570758436"
"Yes","2011","35-65 y.","Female","335","0.0602103791474053","0.0542153237173447","0.066205434577466"
"Yes","2011","66 and older","Male","127","0.0523981696236369","0.0436335971823191","0.0611627420649548"
"Yes","2011","66 and older","Female","158","0.0590380290907106","0.0501591953379049","0.0679168628435162"
"No","2011","16-34 y.","Male","1917","0.936451183978274","0.92586784048053","0.947034527476019"
"No","2011","16-34 y.","Female","2127","0.94006770335785","0.930294697373304","0.949840709342396"
"No","2011","35-65 y.","Male","5082","0.952412462784527","0.946689042924156","0.958135882644897"
"No","2011","35-65 y.","Female","5713","0.939789620852595","0.933794565422534","0.945784676282655"
"No","2011","66 and older","Male","2356","0.947601830376363","0.938837257935045","0.956366402817681"
"No","2011","66 and older","Female","2549","0.940961970909289","0.932083137156484","0.949840804662095"
"Yes","2012","16-34 y.","Male","","","",""
"Yes","2012","16-34 y.","Female","","","",""
"Yes","2012","35-65 y.","Male","","","",""
"Yes","2012","35-65 y.","Female","","","",""
"Yes","2012","66 and older","Male","","","",""
"Yes","2012","66 and older","Female","","","",""
"No","2012","16-34 y.","Male","","","",""
"No","2012","16-34 y.","Female","","","",""
"No","2012","35-65 y.","Male","","","",""
"No","2012","35-65 y.","Female","","","",""
"No","2012","66 and older","Male","","","",""
"No","2012","66 and older","Female","","","",""
"Yes","2013","16-34 y.","Male","109","0.0519459456669789","0.0415217853042409","0.062370106029717"
"Yes","2013","16-34 y.","Female","131","0.0689945056596329","0.0577970611320263","0.0801919501872395"
"Yes","2013","35-65 y.","Male","250","0.0581969236865177","0.0515208178486973","0.064873029524338"
"Yes","2013","35-65 y.","Female","358","0.0684294557290296","0.0617785702911861","0.0750803411668732"
"Yes","2013","66 and older","Male","116","0.0532058785740172","0.0442432112439252","0.0621685459041091"
"Yes","2013","66 and older","Female","173","0.0716955048806379","0.0617657615433103","0.0816252482179655"
"No","2013","16-34 y.","Male","1632","0.948054054333021","0.937629893970283","0.958478214695759"
"No","2013","16-34 y.","Female","1837","0.931005494340367","0.91980804981276","0.942202938867974"
"No","2013","35-65 y.","Male","4474","0.941803076313482","0.935126970475662","0.948479182151303"
"No","2013","35-65 y.","Female","5178","0.93157054427097","0.924919658833127","0.938221429708814"
"No","2013","66 and older","Male","2293","0.946794121425983","0.937831454095891","0.955756788756075"
"No","2013","66 and older","Female","2420","0.928304495119362","0.918374751782034","0.93823423845669"
"Yes","2014","16-34 y.","Male","","","",""
"Yes","2014","16-34 y.","Female","","","",""
"Yes","2014","35-65 y.","Male","","","",""
"Yes","2014","35-65 y.","Female","","","",""
"Yes","2014","66 and older","Male","","","",""
"Yes","2014","66 and older","Female","","","",""
"No","2014","16-34 y.","Male","","","",""
"No","2014","16-34 y.","Female","","","",""
"No","2014","35-65 y.","Male","","","",""
"No","2014","35-65 y.","Female","","","",""
"No","2014","66 and older","Male","","","",""
"No","2014","66 and older","Female","","","",""
"Yes","2015","16-34 y.","Male","150","0.0554393628686196","0.0467135534909577","0.0641651722462814"
"Yes","2015","16-34 y.","Female","229","0.0856171193698333","0.075811860412241","0.0954223783274256"
"Yes","2015","35-65 y.","Male","359","0.0601597230472382","0.0543639658737018","0.0659554802207747"
"Yes","2015","35-65 y.","Female","530","0.0660127906655305","0.0605658889718979","0.071459692359163"
"Yes","2015","66 and older","Male","118","0.0566213502538341","0.0473921764749312","0.0658505240327371"
"Yes","2015","66 and older","Female","157","0.0635230754925717","0.0540416286094839","0.0730045223756594"
"No","2015","16-34 y.","Male","2492","0.94456063713138","0.935834827753719","0.953286446509042"
"No","2015","16-34 y.","Female","2899","0.914382880630167","0.904577621672574","0.924188139587759"
"No","2015","35-65 y.","Male","6107","0.939840276952762","0.934044519779225","0.945636034126298"
"No","2015","35-65 y.","Female","7453","0.933987209334469","0.928540307640837","0.939434111028102"
"No","2015","66 and older","Male","2291","0.943378649746166","0.934149475967263","0.952607823525069"
"No","2015","66 and older","Female","2385","0.936476924507428","0.926995477624341","0.945958371390516"
"Yes","2016","16-34 y.","Male","","","",""
"Yes","2016","16-34 y.","Female","","","",""
"Yes","2016","35-65 y.","Male","","","",""
"Yes","2016","35-65 y.","Female","","","",""
"Yes","2016","66 and older","Male","","","",""
"Yes","2016","66 and older","Female","","","",""
"No","2016","16-34 y.","Male","","","",""
"No","2016","16-34 y.","Female","","","",""
"No","2016","35-65 y.","Male","","","",""
"No","2016","35-65 y.","Female","","","",""
"No","2016","66 and older","Male","","","",""
"No","2016","66 and older","Female","","","",""
"Yes","2017","16-34 y.","Male","207","0.0572800095227965","0.0488759519923921","0.0656840670532009"
"Yes","2017","16-34 y.","Female","237","0.0829430742363583","0.0735446823001965","0.0923414661725201"
"Yes","2017","35-65 y.","Male","420","0.0637600549073479","0.0580055743557192","0.0695145354589765"
"Yes","2017","35-65 y.","Female","601","0.073655412551225","0.0681089394518452","0.0792018856506048"
"Yes","2017","66 and older","Male","107","0.0463522487356209","0.0380725509234909","0.0546319465477508"
"Yes","2017","66 and older","Female","167","0.0766058103930246","0.066295016856687","0.0869166039293623"
"No","2017","16-34 y.","Male","2730","0.942719990477204","0.934315932946799","0.951124048007608"
"No","2017","16-34 y.","Female","3071","0.917056925763642","0.90765853382748","0.926455317699803"
"No","2017","35-65 y.","Male","6505","0.936239945092652","0.930485464541023","0.941994425644281"
"No","2017","35-65 y.","Female","7919","0.926344587448775","0.920798114349395","0.931891060548155"
"No","2017","66 and older","Male","2370","0.953647751264379","0.945368053452249","0.961927449076509"
"No","2017","66 and older","Female","2389","0.923394189606975","0.913083396070638","0.933704983143313"
"Yes","2018","16-34 y.","Male","","","",""
"Yes","2018","16-34 y.","Female","","","",""
"Yes","2018","35-65 y.","Male","","","",""
"Yes","2018","35-65 y.","Female","","","",""
"Yes","2018","66 and older","Male","","","",""
"Yes","2018","66 and older","Female","","","",""
"No","2018","16-34 y.","Male","","","",""
"No","2018","16-34 y.","Female","","","",""
"No","2018","35-65 y.","Male","","","",""
"No","2018","35-65 y.","Female","","","",""
"No","2018","66 and older","Male","","","",""
"No","2018","66 and older","Female","","","",""
"Yes","2019","16-34 y.","Male","195","0.0670302328401022","0.0574086048965104","0.0766518607836939"
"Yes","2019","16-34 y.","Female","216","0.0826516800808098","0.0725530615470739","0.0927502986145457"
"Yes","2019","35-65 y.","Male","480","0.0680062829943188","0.0621552408201365","0.0738573251685011"
"Yes","2019","35-65 y.","Female","627","0.0812142266972626","0.0752510618112897","0.0871773915832356"
"Yes","2019","66 and older","Male","146","0.0594317967962401","0.0504231875867005","0.0684404060057796"
"Yes","2019","66 and older","Female","183","0.0732320285747005","0.0632201873091021","0.083243869840299"
"No","2019","16-34 y.","Male","2400","0.932969767159898","0.923348139216306","0.94259139510349"
"No","2019","16-34 y.","Female","2640","0.91734831991919","0.907249701385454","0.927446938452926"
"No","2019","35-65 y.","Male","6632","0.931993717005681","0.926142674831499","0.937844759179864"
"No","2019","35-65 y.","Female","7434","0.918785773302737","0.912822608416764","0.92474893818871"
"No","2019","66 and older","Male","2500","0.94056820320376","0.93155959399422","0.949576812413299"
"No","2019","66 and older","Female","2418","0.926767971425299","0.916756130159701","0.936779812690898"
