"ple0013","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Saxony","Urban Area","668","0.950650299461917","0.934570361922016","0.966730237001819","2"
"No","2009","Lower Saxony","Urban Area","790","0.947046379655307","0.931820547711406","0.962272211599208","2"
"No","2009","Mecklenburg-Western Pomerania","Rural Area","399","0.937502059530474","0.914297201357222","0.960706917703726","2"
"No","2009","Brandenburg","Rural Area","706","0.971449356273793","0.959368305885767","0.983530406661818","2"
"No","2009","Lower Saxony","Rural Area","769","0.949398948515086","0.934360357255885","0.964437539774287","2"
"No","2009","Schleswig-Holstein","Rural Area","299","0.930630517225622","0.902792007986855","0.958469026464389","2"
"No","2009","Hamburg","Rural Area","","","","","2"
"No","2009","Hamburg","Urban Area","252","0.929283290656815","0.898762306641605","0.959804274672025","2"
"No","2009","Brandenburg","Urban Area","61","0.928311946897568","0.865598340562128","0.991025553233009","2"
"No","2009","Bremen","Rural Area","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","Urban Area","54","0.868786789714609","0.781894852616161","0.955678726813056","2"
"No","2009","North Rhine-Westphalia","Rural Area","105","0.994426805536641","0.980254723156677","1.00859888791661","2"
"No","2009","Saxony","Rural Area","647","0.956671437784751","0.941335077602414","0.972007797967088","2"
"No","2009","Schleswig-Holstein","Urban Area","189","0.947070215552902","0.915725725592536","0.978414705513268","2"
"No","2009","Bremen","Urban Area","116","0.962374061402701","0.928327512725173","0.996420610080229","2"
"No","2009","North Rhine-Westphalia","Urban Area","3364","0.952466805013915","0.945456591633171","0.95947701839466","2"
"No","2009","Saxony-Anhalt","Urban Area","189","0.887584313386002","0.844449020756922","0.930719606015081","2"
"No","2009","Hesse","Urban Area","951","0.95441221969541","0.941516152747417","0.967308286643404","2"
"No","2009","Hesse","Rural Area","204","0.926144374966416","0.891663117940755","0.960625631992077","2"
"No","2009","Rhineland-Palatinate,Saarland","Urban Area","740","0.956008700857619","0.941598414575615","0.970418987139623","2"
"No","2009","Rhineland-Palatinate,Saarland","Rural Area","239","0.970358790784578","0.949293738172555","0.991423843396601","2"
"No","2009","Saxony-Anhalt","Rural Area","548","0.978496546358836","0.966546388768788","0.990446703948885","2"
"No","2009","Baden-Württemberg","Urban Area","1827","0.939549583095846","0.928906205941559","0.950192960250133","2"
"No","2009","Baden-Württemberg","Rural Area","187","0.979122097021836","0.958898456354379","0.999345737689293","2"
"No","2009","Bavaria","Urban Area","1191","0.960530111640702","0.949697064292786","0.971363158988618","2"
"No","2009","Bavaria","Rural Area","1324","0.953717222687734","0.942660424591859","0.964774020783608","2"
"No","2009","Berlin","Urban Area","639","0.917083368612406","0.896448045815767","0.937718691409046","2"
"No","2009","Berlin","Rural Area","","","","","2"
"No","2009","Thuringia","Urban Area","235","0.941332787300451","0.91202595124395","0.970639623356951","2"
"No","2009","Thuringia","Rural Area","557","0.953594682287407","0.936445241727085","0.970744122847729","2"
"Yes","2009","Schleswig-Holstein","Urban Area","7","","","","1"
"Yes","2009","Schleswig-Holstein","Rural Area","21","","","","1"
"Yes","2009","Hamburg","Urban Area","19","","","","1"
"Yes","2009","Hamburg","Rural Area","","","","","1"
"Yes","2009","Lower Saxony","Urban Area","41","0.0529536203446934","0.0377277884007922","0.0681794522885945","1"
