"ple0013","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","West Germany","222","1","1","1"
"Yes","2009","Full Time","East Germany","63","1","1","1"
"Yes","2009","Part Time","West Germany","167","1","1","1"
"Yes","2009","Part Time","East Germany","29","","",""
"Yes","2009","Not Working","West Germany","290","1","1","1"
"Yes","2009","Not Working","East Germany","105","1","1","1"
"Yes","2010","Full Time","West Germany","","","",""
"Yes","2010","Full Time","East Germany","","","",""
"Yes","2010","Part Time","West Germany","","","",""
"Yes","2010","Part Time","East Germany","","","",""
"Yes","2010","Not Working","West Germany","","","",""
"Yes","2010","Not Working","East Germany","","","",""
"Yes","2011","Full Time","West Germany","277","1","1","1"
"Yes","2011","Full Time","East Germany","63","1","1","1"
"Yes","2011","Part Time","West Germany","224","1","1","1"
"Yes","2011","Part Time","East Germany","54","1","1","1"
"Yes","2011","Not Working","West Germany","374","1","1","1"
"Yes","2011","Not Working","East Germany","124","1","1","1"
"Yes","2012","Full Time","West Germany","","","",""
"Yes","2012","Full Time","East Germany","","","",""
"Yes","2012","Part Time","West Germany","","","",""
"Yes","2012","Part Time","East Germany","","","",""
"Yes","2012","Not Working","West Germany","","","",""
"Yes","2012","Not Working","East Germany","","","",""
"Yes","2013","Full Time","West Germany","300","1","1","1"
"Yes","2013","Full Time","East Germany","71","1","1","1"
"Yes","2013","Part Time","West Germany","236","1","1","1"
"Yes","2013","Part Time","East Germany","41","1","1","1"
"Yes","2013","Not Working","West Germany","380","1","1","1"
"Yes","2013","Not Working","East Germany","109","1","1","1"
"Yes","2014","Full Time","West Germany","","","",""
"Yes","2014","Full Time","East Germany","","","",""
"Yes","2014","Part Time","West Germany","","","",""
"Yes","2014","Part Time","East Germany","","","",""
"Yes","2014","Not Working","West Germany","","","",""
"Yes","2014","Not Working","East Germany","","","",""
"Yes","2015","Full Time","West Germany","414","1","1","1"
"Yes","2015","Full Time","East Germany","104","1","1","1"
"Yes","2015","Part Time","West Germany","360","1","1","1"
"Yes","2015","Part Time","East Germany","74","1","1","1"
"Yes","2015","Not Working","West Germany","477","1","1","1"
"Yes","2015","Not Working","East Germany","114","1","1","1"
"Yes","2016","Full Time","West Germany","","","",""
"Yes","2016","Full Time","East Germany","","","",""
"Yes","2016","Part Time","West Germany","","","",""
"Yes","2016","Part Time","East Germany","","","",""
"Yes","2016","Not Working","West Germany","","","",""
"Yes","2016","Not Working","East Germany","","","",""
"Yes","2017","Full Time","West Germany","492","1","1","1"
"Yes","2017","Full Time","East Germany","111","1","1","1"
"Yes","2017","Part Time","West Germany","428","1","1","1"
"Yes","2017","Part Time","East Germany","95","1","1","1"
"Yes","2017","Not Working","West Germany","483","1","1","1"
"Yes","2017","Not Working","East Germany","130","1","1","1"
"Yes","2018","Full Time","West Germany","","","",""
"Yes","2018","Full Time","East Germany","","","",""
"Yes","2018","Part Time","West Germany","","","",""
"Yes","2018","Part Time","East Germany","","","",""
"Yes","2018","Not Working","West Germany","","","",""
"Yes","2018","Not Working","East Germany","","","",""
"Yes","2019","Full Time","West Germany","582","1","1","1"
"Yes","2019","Full Time","East Germany","125","1","1","1"
"Yes","2019","Part Time","West Germany","438","1","1","1"
"Yes","2019","Part Time","East Germany","85","1","1","1"
"Yes","2019","Not Working","West Germany","467","1","1","1"
"Yes","2019","Not Working","East Germany","145","1","1","1"
