"ple0013","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","2018","no migration background","Urban Area","","","","","1"
"Yes","2018","indirect migration background","Rural Area","","","","","1"
"Yes","2018","no migration background","Rural Area","","","","","1"
"No","2019","no migration background","Urban Area","10615","0.927262435192138","0.922516896800635","0.932007973583641","2"
"No","2019","no migration background","Rural Area","7038","0.923261535628796","0.917263847960837","0.929259223296754","2"
"No","2019","direct migration background","Urban Area","2564","0.9430808915684","0.934333627785217","0.951828155351582","2"
"No","2019","direct migration background","Rural Area","943","0.944428267502912","0.930136005413537","0.958720529592288","2"
"No","2019","indirect migration background","Urban Area","1175","0.908877556067158","0.893087338176588","0.924667773957727","2"
"No","2019","indirect migration background","Rural Area","309","0.9425987569094","0.917425741055402","0.967771772763398","2"
"Yes","2019","direct migration background","Urban Area","131","0.0569191084316002","0.0481718446484175","0.0656663722147829","1"
"Yes","2019","direct migration background","Rural Area","44","0.0555717324970878","0.0412794704077124","0.0698639945864633","1"
"Yes","2019","no migration background","Urban Area","890","0.0727375648078622","0.067992026416359","0.0774831031993653","1"
"Yes","2019","indirect migration background","Urban Area","101","0.0911224439328423","0.0753322260422725","0.106912661823412","1"
"Yes","2019","indirect migration background","Rural Area","19","","","","1"
"Yes","2019","no migration background","Rural Area","528","0.0767384643712046","0.0707407767032456","0.0827361520391636","1"
