"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Female","7.43","8","6199","4","6","10","10","7.37","7.49","8","8"
"1984","Male","7.53","8","5959","4","6","10","10","7.47","7.59","8","8"
"1985","Female","7.35","8","5591","4","6","9","10","7.28","7.42","8","8"
"1985","Male","7.29","8","5412","4","6","9","10","7.23","7.35","8","8"
"1986","Female","7.2","8","5347","4","5","9","10","7.13","7.27","7","8"
"1986","Male","7.22","8","5245","4","6","9","10","7.16","7.28","8","8"
"1987","Female","7.28","8","5279","4","6","9","10","7.21","7.35","7","8"
"1987","Male","7.23","8","5177","4","6","9","10","7.17","7.29","8","8"
"1988","Female","7.12","8","5048","4","5","9","10","7.05","7.19","7","7"
"1988","Male","7.05","8","4930","4","5","9","10","6.99","7.11","7","7"
"1989","Female","7.07","8","4892","4","5","9","10","7","7.14","7","7"
"1989","Male","7","8","4758","4","5","9","10","6.93","7.07","7","7"
"1990","Female","","","","","","","","","","",""
"1990","Male","","","","","","","","","","",""
"1991","Female","6.85","7","6973","3","5","9","10","6.79","6.91","7","7"
"1991","Male","6.81","7","6631","3","5","9","10","6.75","6.87","7","7"
"1992","Female","6.96","7","6855","4","5","9","10","6.9","7.02","7","7"
"1992","Male","6.85","7","6453","3","5","8","10","6.79","6.91","7","7"
"1993","Female","6.84","7","6741","3","5","9","10","6.78","6.9","7","7"
"1993","Male","6.77","7","6360","3","5","8","10","6.71","6.83","7","7"
"1994","Female","6.82","7","6644","3","5","9","10","6.76","6.88","7","7"
"1994","Male","6.75","7","6208","3","5","8","10","6.69","6.81","7","7"
"1995","Female","","","","","","","","","","",""
"1995","Male","","","","","","","","","","",""
"1996","Female","7.07","8","6775","4","5","9","10","7.01","7.13","7","7"
"1996","Male","6.95","7","6295","4","5","9","10","6.89","7.01","7","7"
"1997","Female","6.99","8","6641","3","5","9","10","6.93","7.05","7","7"
"1997","Male","6.9","7","6194","3","5","8","10","6.84","6.96","7","7"
"1998","Female","7.08","8","7356","4","5","9","10","7.03","7.13","7","7"
"1998","Male","6.97","7","6879","4","5","9","10","6.92","7.02","7","7"
"1999","Female","7.1","8","7070","4","6","9","10","7.05","7.15","7","7"
"1999","Male","6.99","7","6607","4","5","9","10","6.94","7.04","7","7"
"2000","Female","7.2","8","12545","4","6","9","10","7.16","7.24","7","8"
"2000","Male","7.05","7","11612","4","6","9","10","7.01","7.09","7","7"
"2001","Female","7.21","8","11426","4","6","9","10","7.17","7.25","7","8"
"2001","Male","7.08","8","10532","4","6","9","10","7.04","7.12","7","8"
"2002","Female","7.12","8","11914","4","6","9","10","7.08","7.16","7","7"
"2002","Male","7.03","7","11123","4","6","9","10","6.99","7.07","7","7"
"2003","Female","7.14","8","11517","4","6","9","10","7.1","7.18","7","8"
"2003","Male","7.06","8","10692","4","6","9","10","7.02","7.1","7","8"
"2004","Female","7.08","8","11218","4","6","9","10","7.04","7.12","7","7"
"2004","Male","7.03","7","10370","4","6","9","10","6.99","7.07","7","7"
"2005","Female","7.07","8","10806","4","6","9","10","7.03","7.11","7","7"
"2005","Male","6.98","7","9895","4","5","9","10","6.94","7.02","7","7"
"2006","Female","7","8","11494","4","5","9","10","6.96","7.04","7","7"
"2006","Male","6.95","7","10483","4","6","9","10","6.91","6.99","7","7"
"2007","Female","7","7","10756","4","5","9","10","6.96","7.04","7","7"
"2007","Male","6.94","7","9774","4","6","8","10","6.9","6.98","7","7"
"2008","Female","7.13","8","10147","4","6","9","10","7.09","7.17","7","8"
"2008","Male","7.05","7","9227","4","6","8","10","7.01","7.09","7","8"
"2009","Female","7.13","8","9448","4","6","9","10","7.09","7.17","7","8"
"2009","Male","7.01","7","8615","4","6","8","10","6.97","7.05","7","8"
"2010","Female","7.06","8","13071","4","6","9","10","7.02","7.1","7","7"
"2010","Male","7.06","7","10929","4","6","9","10","7.02","7.1","7","7"
"2011","Female","7.23","8","9624","4","6","9","10","7.19","7.27","8","8"
"2011","Male","7.15","8","8596","4","6","9","10","7.11","7.19","8","8"
"2012","Female","7.24","8","10214","4","6","9","10","7.2","7.28","8","8"
"2012","Male","7.21","8","9080","4","6","9","10","7.17","7.25","8","8"
"2013","Female","7.33","8","9956","4","6","9","10","7.29","7.37","8","8"
"2013","Male","7.26","8","8763","4","6","9","10","7.22","7.3","8","8"
"2014","Female","7.23","8","14675","4","6","9","10","7.19","7.27","7","8"
"2014","Male","7.17","8","12456","4","6","9","10","7.13","7.21","8","8"
"2015","Female","7.21","8","13598","4","6","9","10","7.17","7.25","7","8"
"2015","Male","7.22","8","11474","4","6","9","10","7.18","7.26","8","8"
"2016","Female","7.22","8","13127","4","6","9","10","7.18","7.26","7","8"
"2016","Male","7.21","8","11080","4","6","9","10","7.17","7.25","8","8"
"2017","Female","7.23","8","14270","4","6","9","10","7.19","7.27","7","8"
"2017","Male","7.2","8","12247","4","6","9","10","7.16","7.24","8","8"
"2018","Female","7.17","8","13834","4","6","9","10","7.13","7.21","7","8"
"2018","Male","7.17","8","11797","4","6","9","10","7.13","7.21","8","8"
"2019","Female","7.27","8","13468","4","6","9","10","7.23","7.31","8","8"
"2019","Male","7.3","8","12315","5","6","9","10","7.26","7.34","8","8"
