"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","7.28","8","4582","4","6","9","10","7.21","7.35","8","8"
"1984","35-65 y.","7.31","8","6311","3","6","10","10","7.25","7.37","8","8"
"1984","66 and older","8.3","9","1265","5","7","10","10","8.18","8.42","9","9"
"1985","16-34 y.","7.14","8","4148","4","6","9","10","7.07","7.21","7","8"
"1985","35-65 y.","7.14","8","5755","4","5","9","10","7.08","7.2","7","8"
"1985","66 and older","8.19","9","1100","5","7","10","10","8.06","8.32","8","9"
"1986","16-34 y.","6.98","7","4085","4","5","9","10","6.91","7.05","7","8"
"1986","35-65 y.","6.99","8","5476","3","5","9","10","6.92","7.06","7","7"
"1986","66 and older","8.27","9","1031","5","7","10","10","8.14","8.4","8","9"
"1987","16-34 y.","6.96","7","4021","4","5","9","10","6.89","7.03","7","8"
"1987","35-65 y.","7.1","8","5361","3","5","9","10","7.04","7.16","7","8"
"1987","66 and older","8.2","9","1074","5","7","10","10","8.08","8.32","8","9"
"1988","16-34 y.","6.75","7","3837","3","5","8","10","6.68","6.82","7","7"
"1988","35-65 y.","6.94","7","5098","4","5","9","10","6.87","7.01","7","7"
"1988","66 and older","8.09","8","1043","5","7","10","10","7.97","8.21","8","9"
"1989","16-34 y.","6.68","7","3756","3","5","8","10","6.61","6.75","7","7"
"1989","35-65 y.","6.85","7","4875","3","5","8","10","6.78","6.92","7","7"
"1989","66 and older","8.17","8","1019","5","7","10","10","8.05","8.29","8","9"
"1990","16-34 y.","","","","","","","","","","",""
"1990","35-65 y.","","","","","","","","","","",""
"1990","66 and older","","","","","","","","","","",""
"1991","16-34 y.","6.42","7","5156","3","5","8","9","6.35","6.49","7","7"
"1991","35-65 y.","6.58","7","6984","3","5","8","10","6.52","6.64","7","7"
"1991","66 and older","8.29","9","1464","5","8","10","10","8.19","8.39","8","9"
"1992","16-34 y.","6.46","7","4968","3","5","8","9","6.4","6.52","7","7"
"1992","35-65 y.","6.68","7","6882","3","5","8","10","6.62","6.74","7","7"
"1992","66 and older","8.33","9","1458","6","8","10","10","8.23","8.43","8","9"
"1993","16-34 y.","6.57","7","4898","3","5","8","9","6.5","6.64","7","7"
"1993","35-65 y.","6.54","7","6731","3","5","8","10","6.48","6.6","7","7"
"1993","66 and older","7.97","8","1472","5","7","10","10","7.86","8.08","8","8"
"1994","16-34 y.","6.47","7","4795","3","5","8","9","6.4","6.54","7","7"
"1994","35-65 y.","6.5","7","6561","3","5","8","9","6.44","6.56","7","7"
"1994","66 and older","8.09","8","1496","5","7","10","10","7.98","8.2","8","8"
"1995","16-34 y.","","","","","","","","","","",""
"1995","35-65 y.","","","","","","","","","","",""
"1995","66 and older","","","","","","","","","","",""
"1996","16-34 y.","6.68","7","4764","4","5","8","9","6.62","6.74","7","7"
"1996","35-65 y.","6.78","7","6746","3","5","8","10","6.72","6.84","7","7"
"1996","66 and older","8.15","9","1560","5","7","10","10","8.05","8.25","8","9"
"1997","16-34 y.","6.61","7","4617","3","5","8","9","6.54","6.68","7","7"
"1997","35-65 y.","6.68","7","6631","3","5","8","10","6.62","6.74","7","7"
"1997","66 and older","8.15","8","1587","5","7","10","10","8.05","8.25","8","9"
