"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","Female","7.44","8","484","4","6","10","10","10","7.22","7.66","0","10","8","8"
"1984","college entrance qualification","Male","7.38","8","801","4","6","9","10","10","7.22","7.54","0","10","8","8"
"1984","lower secondary degree","Female","7.41","8","3264","4","6","10","10","10","7.32","7.5","0","10","8","8"
"1984","lower secondary degree","Male","7.61","8","2828","4","6","10","10","10","7.52","7.7","0","10","8","8"
"1984","no degree/no degree yet","Female","7.14","8","711","3","5","9","10","10","6.94","7.34","0","10","7","8"
"1984","no degree/no degree yet","Male","7.62","8","588","4","6","10","10","10","7.41","7.83","0","10","8","8"
"1984","Other degree","Female","6.86","8","574","3","5","10","10","10","6.62","7.1","0","10","7","8"
"1984","Other degree","Male","7.03","7","869","3","5","9","10","10","6.85","7.21","0","10","7","8"
"1984","secondary school degree","Female","7.57","8","1121","4","6","10","10","10","7.43","7.71","0","10","8","8"
"1984","secondary school degree","Male","7.53","8","831","4","6","10","10","10","7.37","7.69","0","10","8","8"
"1985","college entrance qualification","Female","7.2","8","462","4","6","9","10","10","6.99","7.41","0","10","7","8"
"1985","college entrance qualification","Male","7.22","8","763","4","6","9","10","10","7.06","7.38","0","10","7","8"
"1985","lower secondary degree","Female","7.37","8","2899","4","6","10","10","10","7.28","7.46","0","10","8","8"
"1985","lower secondary degree","Male","7.34","8","2539","4","6","9","10","10","7.25","7.43","0","10","8","8"
"1985","no degree/no degree yet","Female","7.19","8","583","4","6","9","10","10","6.98","7.4","0","10","7","8"
"1985","no degree/no degree yet","Male","7.31","8","509","4","6","9","10","10","7.09","7.53","0","10","7","8"
"1985","Other degree","Female","6.57","7","481","3","5","9","10","10","6.33","6.81","0","10","6","7"
"1985","Other degree","Male","6.97","8","741","3","5","9","10","10","6.79","7.15","0","10","7","8"
"1985","secondary school degree","Female","7.48","8","1083","4","6","10","10","10","7.34","7.62","0","10","8","8"
"1985","secondary school degree","Male","7.28","8","796","4","6","9","10","10","7.13","7.43","0","10","8","8"
"1986","college entrance qualification","Female","7.11","7","486","4","5","9","10","10","6.9","7.32","0","10","7","8"
"1986","college entrance qualification","Male","7.08","8","770","4","6","9","10","10","6.92","7.24","0","10","7","8"
"1986","lower secondary degree","Female","7.22","8","2728","4","5","9","10","10","7.13","7.31","0","10","8","8"
"1986","lower secondary degree","Male","7.29","8","2438","4","6","9","10","10","7.2","7.38","0","10","8","8"
"1986","no degree/no degree yet","Female","7.04","8","543","3","5","9","10","10","6.83","7.25","0","10","7","7"
"1986","no degree/no degree yet","Male","7.35","8","487","4","6","9","10","10","7.13","7.57","0","10","7","8"
"1986","Other degree","Female","6.38","7","457","2","5","8","10","10","6.13","6.63","0","10","6","7"
"1986","Other degree","Male","6.84","7","709","3","5","9","10","10","6.66","7.02","0","10","7","7"
"1986","secondary school degree","Female","7.28","8","1052","4","6","9","10","10","7.14","7.42","0","10","7","8"
"1986","secondary school degree","Male","7.2","8","775","4","6","9","10","10","7.03","7.37","0","10","8","8"
"1987","college entrance qualification","Female","7.18","8","473","4","6","9","10","10","6.97","7.39","0","10","7","8"
"1987","college entrance qualification","Male","7.08","8","753","4","6","9","10","10","6.92","7.24","0","10","7","8"
"1987","lower secondary degree","Female","7.34","8","2680","4","6","9","10","10","7.25","7.43","0","10","8","8"
"1987","lower secondary degree","Male","7.36","8","2421","4","6","9","10","10","7.27","7.45","0","10","8","8"
"1987","no degree/no degree yet","Female","7.15","8","542","4","5","9","10","10","6.95","7.35","0","10","7","7"
"1987","no degree/no degree yet","Male","7.34","8","451","4","6","9","10","10","7.12","7.56","0","10","7","8"
"1987","Other degree","Female","6.5","7","462","3","5","8","10","10","6.26","6.74","0","10","6","7"
"1987","Other degree","Male","6.99","7","684","4","5","8","10","10","6.82","7.16","0","10","7","7"
"1987","secondary school degree","Female","7.26","8","1042","4","6","9","10","10","7.12","7.4","0","10","7","8"
"1987","secondary school degree","Male","7.02","8","786","3","5","9","10","10","6.86","7.18","0","10","7","8"
"1988","college entrance qualification","Female","6.9","7","447","3","5","9","10","10","6.67","7.13","0","10","7","7"
"1988","college entrance qualification","Male","6.85","7","732","3","5","8","10","10","6.68","7.02","0","10","7","7"
"1988","lower secondary degree","Female","7.21","8","2541","4","6","9","10","10","7.12","7.3","0","10","8","8"
"1988","lower secondary degree","Male","7.18","8","2331","4","5","9","10","10","7.09","7.27","0","10","7","8"
"1988","no degree/no degree yet","Female","6.95","7","509","4","5","9","10","10","6.74","7.16","0","10","6","7"
"1988","no degree/no degree yet","Male","7.24","8","397","4","6","9","10","10","7.02","7.46","0","10","7","8"
"1988","Other degree","Female","6.21","7","432","2","4","8","10","10","5.96","6.46","0","10","6","7"
"1988","Other degree","Male","6.93","7.8","641","3","5","9","10","10","6.74","7.12","0","10","7","7"
"1988","secondary school degree","Female","7.1","8","1024","4","5","9","10","10","6.96","7.24","0","10","7","8"
"1988","secondary school degree","Male","6.84","7","733","4","5","8","10","10","6.68","7","0","10","7","7"
"1989","college entrance qualification","Female","6.76","7","456","3","5","9","10","10","6.54","6.98","0","10","7","7"
"1989","college entrance qualification","Male","6.8","7","744","3","5","8","10","10","6.63","6.97","0","10","7","7"
"1989","lower secondary degree","Female","7.16","8","2429","4","5","9","10","10","7.07","7.25","0","10","7","8"
"1989","lower secondary degree","Male","7.13","8","2221","4","6","9","10","10","7.03","7.23","0","10","7","8"
"1989","no degree/no degree yet","Female","7.05","7","494","4","5","9","10","10","6.84","7.26","0","10","6","7"
"1989","no degree/no degree yet","Male","7.16","8","384","4","5","9","10","10","6.93","7.39","0","10","7","8"
"1989","Other degree","Female","6.35","7","421","3","5","8","9","10","6.11","6.59","0","10","6","7"
"1989","Other degree","Male","6.67","7","603","3","5","8","10","10","6.47","6.87","0","10","7","7"
"1989","secondary school degree","Female","7.04","7","994","4","5","9","10","10","6.9","7.18","0","10","7","7"
"1989","secondary school degree","Male","6.9","7","712","3","5","8","10","10","6.73","7.07","0","10","7","8"
"1990","college entrance qualification","Female","","","","","","","","","","","","","",""
"1990","college entrance qualification","Male","","","","","","","","","","","","","",""
"1990","lower secondary degree","Female","","","","","","","","","","","","","",""
"1990","lower secondary degree","Male","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1990","Other degree","Female","","","","","","","","","","","","","",""
"1990","Other degree","Male","","","","","","","","","","","","","",""
"1990","secondary school degree","Female","","","","","","","","","","","","","",""
