"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Couple + C. LE 16","Urban Area","6.32","7","1700","3","5","8","9","10","6.21","6.43","0","10","7","7"
"1989","Couple + C. LE and GT 16","Rural Area","6.58","7","192","3","5","8","10","10","6.21","6.95","0","10","7","8"
"1989","Couple + C. LE and GT 16","Urban Area","6.48","7","788","3","5","8","10","10","6.32","6.64","0","10","6","7"
"1989","Single parent","Rural Area","6.76","7","103","4","5","8","10","10","6.34","7.18","2","10","6","8"
"1989","Single parent","Urban Area","6.56","7","369","3","5","8","10","10","6.32","6.8","0","10","7","7"
"1990","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1990","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1990","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1990","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1990","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1990","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1990","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1990","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1990","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1990","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1990","Single parent","Rural Area","","","","","","","","","","","","","",""
"1990","Single parent","Urban Area","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","Rural Area","7.13","8","1029","3","5","9","10","10","6.98","7.28","0","10","7","8"
"1991","(Married) couple without C.","Urban Area","7.3","8","2168","4","6","9","10","10","7.2","7.4","0","10","8","8"
"1991","1-pers.-HH","Rural Area","7.77","8","338","5","7","9","10","10","7.53","8.01","0","10","8","8"
"1991","1-pers.-HH","Urban Area","7.43","8","990","4","6","9","10","10","7.28","7.58","0","10","8","8"
"1991","Couple + C. GT 16 ","Rural Area","6.85","7","1031","3","5","8","10","10","6.7","7","0","10","7","7"
"1991","Couple + C. GT 16 ","Urban Area","6.86","7","1760","4","5","9","10","10","6.75","6.97","0","10","7","7"
"1991","Couple + C. LE 16","Rural Area","5.62","6","1255","2","4","8","9","10","5.48","5.76","0","10","5","6"
"1991","Couple + C. LE 16","Urban Area","6","6","2156","3","4","8","9","10","5.9","6.1","0","10","6","6"
"1991","Couple + C. LE and GT 16","Rural Area","6.43","7","399","3","5","8","10","10","6.18","6.68","0","10","6","7"
"1991","Couple + C. LE and GT 16","Urban Area","6.39","7","806","3","5","8","9","10","6.22","6.56","0","10","6","7"
"1991","Single parent","Rural Area","6.45","7","196","3","5","8","10","10","6.12","6.78","0","10","7","7"
"1991","Single parent","Urban Area","6.38","7","454","3","5","8","9","10","6.15","6.61","0","10","6","7"
"1992","(Married) couple without C.","Rural Area","7.19","8","976","4","6","9","10","10","7.04","7.34","0","10","7","8"
"1992","(Married) couple without C.","Urban Area","7.35","8","2270","4","6","9","10","10","7.26","7.44","0","10","8","8"
"1992","1-pers.-HH","Rural Area","7.64","8","348","5","7","10","10","10","7.4","7.88","0","10","8","8"
"1992","1-pers.-HH","Urban Area","7.55","8","980","4","6","10","10","10","7.4","7.7","0","10","8","8"
"1992","Couple + C. GT 16 ","Rural Area","6.85","7","993","4","6","8","9","10","6.71","6.99","0","10","7","7"
"1992","Couple + C. GT 16 ","Urban Area","6.95","7","1711","4","5","9","10","10","6.84","7.06","0","10","7","7"
"1992","Couple + C. LE 16","Rural Area","5.82","6","1160","3","4","8","9","10","5.68","5.96","0","10","5","6"
"1992","Couple + C. LE 16","Urban Area","6.08","6","2080","3","5","8","9","10","5.98","6.18","0","10","6","6"
"1992","Couple + C. LE and GT 16","Rural Area","6.41","7","376","3","5","8","9","10","6.18","6.64","0","10","6","7"
"1992","Couple + C. LE and GT 16","Urban Area","6.58","7","762","3","5","8","9","10","6.41","6.75","0","10","7","7"
"1992","Single parent","Rural Area","6.64","7","193","4","5","8","9","10","6.33","6.95","0","10","6","7"
"1992","Single parent","Urban Area","6.55","7","441","3","5","8","9","10","6.32","6.78","0","10","7","7"
"1993","(Married) couple without C.","Rural Area","7.21","8","1015","4","6","9","10","10","7.06","7.36","0","10","8","8"
"1993","(Married) couple without C.","Urban Area","7.19","8","2301","4","6","9","10","10","7.1","7.28","0","10","7","8"
"1993","1-pers.-HH","Rural Area","7.5","8","380","5","6","10","10","10","7.26","7.74","0","10","8","8"
"1993","1-pers.-HH","Urban Area","7.2","8","1022","4","6","9","10","10","7.05","7.35","0","10","8","8"
"1993","Couple + C. GT 16 ","Rural Area","6.77","7","916","4","5","8","10","10","6.63","6.91","0","10","7","7"
"1993","Couple + C. GT 16 ","Urban Area","6.83","7","1663","3","5","8","10","10","6.72","6.94","0","10","7","7"
"1993","Couple + C. LE 16","Rural Area","5.8","6","1125","2","4","8","9","10","5.66","5.94","0","10","5","6"
"1993","Couple + C. LE 16","Urban Area","6.12","6","1990","3","5","8","9","10","6.02","6.22","0","10","6","6"
"1993","Couple + C. LE and GT 16","Rural Area","6.59","7","387","3","5","8","10","10","6.35","6.83","0","10","6","7"
"1993","Couple + C. LE and GT 16","Urban Area","6.56","7","798","3","5","8","9","10","6.39","6.73","0","10","7","7"
"1993","Single parent","Rural Area","6.54","7","194","4","5","8","9","10","6.21","6.87","0","10","6","7"
"1993","Single parent","Urban Area","6.48","7","412","3","5","8","10","10","6.24","6.72","0","10","7","7"
"1994","(Married) couple without C.","Rural Area","7.14","8","1048","4","6","9","10","10","7","7.28","0","10","7","8"
"1994","(Married) couple without C.","Urban Area","7.08","8","2338","4","5","9","10","10","6.98","7.18","0","10","7","8"
"1994","1-pers.-HH","Rural Area","7.45","8","389","4","6","9","10","10","7.21","7.69","0","10","7","8"
"1994","1-pers.-HH","Urban Area","7.32","8","1010","4","6","9","10","10","7.17","7.47","0","10","8","8"
"1994","Couple + C. GT 16 ","Rural Area","6.69","7","873","4","5","8","10","10","6.54","6.84","0","10","7","7"
"1994","Couple + C. GT 16 ","Urban Area","6.81","7","1579","3","5","9","10","10","6.69","6.93","0","10","7","7"
"1994","Couple + C. LE 16","Rural Area","5.76","6","1055","3","4","8","9","10","5.61","5.91","0","10","5","6"
"1994","Couple + C. LE 16","Urban Area","6","6","1957","3","4","8","9","10","5.89","6.11","0","10","6","6"
"1994","Couple + C. LE and GT 16","Rural Area","6.58","7","409","3","5","8","10","10","6.34","6.82","0","10","6","7"
"1994","Couple + C. LE and GT 16","Urban Area","6.63","7","768","3","5","8","10","10","6.46","6.8","0","10","7","7"
"1994","Single parent","Rural Area","6.5","7","178","3","5","8","9","10","6.16","6.84","0","10","6","7"
"1994","Single parent","Urban Area","6.39","7","395","3","5","8","10","10","6.14","6.64","0","10","7","7"
"1995","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1995","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1995","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1995","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1995","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1995","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1995","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1995","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1995","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1995","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1995","Single parent","Rural Area","","","","","","","","","","","","","",""
"1995","Single parent","Urban Area","","","","","","","","","","","","","",""
"1996","(Married) couple without C.","Rural Area","7.3","8","1139","4","6","9","10","10","7.17","7.43","0","10","8","8"
"1996","(Married) couple without C.","Urban Area","7.36","8","2414","4","6","9","10","10","7.27","7.45","0","10","8","8"
"1996","1-pers.-HH","Rural Area","7.47","8","421","5","6","9","10","10","7.25","7.69","0","10","8","8"
"1996","1-pers.-HH","Urban Area","7.39","8","1060","4","6","9","10","10","7.26","7.52","0","10","8","8"
"1996","Couple + C. GT 16 ","Rural Area","7.02","7","858","4","6","9","10","10","6.87","7.17","0","10","7","7"
"1996","Couple + C. GT 16 ","Urban Area","7.12","8","1511","4","6","9","10","10","7.01","7.23","0","10","7","8"
"1996","Couple + C. LE 16","Rural Area","6.16","6","1016","3","5","8","9","10","6.02","6.3","0","10","6","7"
"1996","Couple + C. LE 16","Urban Area","6.28","7","1987","3","5","8","9","10","6.18","6.38","0","10","6","7"
"1996","Couple + C. LE and GT 16","Rural Area","6.69","7","484","4","5","8","9","10","6.48","6.9","0","10","7","7"
"1996","Couple + C. LE and GT 16","Urban Area","6.75","7","764","3","5","8","9","10","6.59","6.91","0","10","7","7"
"1996","Single parent","Rural Area","6.45","7","207","3","5","8","10","10","6.13","6.77","0","10","6","8"
"1996","Single parent","Urban Area","6.86","7","446","3","5","9","10","10","6.64","7.08","0","10","7","8"
"1997","(Married) couple without C.","Rural Area","7.37","8","1161","4","6","9","10","10","7.24","7.5","0","10","7","8"
"1997","(Married) couple without C.","Urban Area","7.24","8","2429","4","6","9","10","10","7.15","7.33","0","10","8","8"
"1997","1-pers.-HH","Rural Area","7.17","8","409","3","6","9","10","10","6.94","7.4","0","10","7","8"
"1997","1-pers.-HH","Urban Area","7.43","8","1043","4","6","10","10","10","7.29","7.57","0","10","8","8"
"1997","Couple + C. GT 16 ","Rural Area","6.98","7","867","4","6","8","10","10","6.84","7.12","0","10","7","7"
"1997","Couple + C. GT 16 ","Urban Area","6.96","7","1494","4","6","9","10","10","6.85","7.07","0","10","7","7"
"1997","Couple + C. LE 16","Rural Area","6.08","6","955","3","5","8","9","10","5.94","6.22","0","10","6","7"
"1997","Couple + C. LE 16","Urban Area","6.27","7","1883","3","5","8","9","10","6.17","6.37","0","10","6","7"
"1997","Couple + C. LE and GT 16","Rural Area","6.69","7","461","3","5","8","10","10","6.48","6.9","0","10","7","7"
"1997","Couple + C. LE and GT 16","Urban Area","6.74","7","746","3","5","8","9","10","6.57","6.91","0","10","7","7"
"1997","Single parent","Rural Area","6.42","7","212","3","5","8","9","10","6.1","6.74","0","10","6","7"
"1997","Single parent","Urban Area","6.56","7","424","3","5","8","9","10","6.32","6.8","0","10","7","7"
"1998","(Married) couple without C.","Rural Area","7.54","8","1362","5","7","9","10","10","7.42","7.66","0","10","8","8"
"1998","(Married) couple without C.","Urban Area","7.33","8","2794","4","6","9","10","10","7.25","7.41","0","10","8","8"
"1998","1-pers.-HH","Rural Area","7.42","8","488","5","6","9","10","10","7.23","7.61","0","10","8","8"
"1998","1-pers.-HH","Urban Area","7.36","8","1265","4","6","9","10","10","7.23","7.49","0","10","8","8"
"1998","Couple + C. GT 16 ","Rural Area","6.98","7","941","4","6","9","10","10","6.84","7.12","0","10","7","7"
"1998","Couple + C. GT 16 ","Urban Area","7.08","7","1614","4","6","9","10","10","6.97","7.19","0","10","7","7"
"1998","Couple + C. LE 16","Rural Area","6.3","7","1071","3","5","8","9","10","6.16","6.44","0","10","6","7"
"1998","Couple + C. LE 16","Urban Area","6.33","7","2035","3","5","8","9","10","6.23","6.43","0","10","6","7"
"1998","Couple + C. LE and GT 16","Rural Area","6.8","7","516","3","5","9","10","10","6.6","7","0","10","7","7"
"1998","Couple + C. LE and GT 16","Urban Area","6.66","7","732","3","5","8","10","10","6.5","6.82","0","10","7","7"
"1998","Single parent","Rural Area","6.8","7","225","3","5","9","10","10","6.47","7.13","0","10","7","8"
"1998","Single parent","Urban Area","6.72","7","481","3","5","8","10","10","6.51","6.93","0","10","7","7"
"1999","(Married) couple without C.","Rural Area","7.47","8","1374","5","6","9","10","10","7.36","7.58","0","10","7","8"
"1999","(Married) couple without C.","Urban Area","7.34","8","2740","4","6","9","10","10","7.25","7.43","0","10","8","8"
"1999","1-pers.-HH","Rural Area","7.5","8","481","4","6","9","10","10","7.3","7.7","0","10","8","8"
"1999","1-pers.-HH","Urban Area","7.54","8","1200","4","6","10","10","10","7.41","7.67","0","10","8","8"
"1999","Couple + C. GT 16 ","Rural Area","7.06","8","910","4","6","9","10","10","6.92","7.2","0","10","7","7"
"1999","Couple + C. GT 16 ","Urban Area","7.18","8","1584","4","6","9","10","10","7.07","7.29","0","10","7","7"
"1999","Couple + C. LE 16","Rural Area","6.06","6","1033","3","5","8","9","10","5.92","6.2","0","10","6","7"
"1999","Couple + C. LE 16","Urban Area","6.21","7","1988","3","5","8","9","10","6.11","6.31","0","10","6","7"
"1999","Couple + C. LE and GT 16","Rural Area","6.82","7","467","4","5","8","9","10","6.62","7.02","0","10","7","7"
"1999","Couple + C. LE and GT 16","Urban Area","6.82","7","690","3","5","9","10","10","6.65","6.99","0","10","7","7"
"1999","Single parent","Rural Area","6.6","7","258","4","5","8","9","10","6.32","6.88","0","10","6","7"
"1999","Single parent","Urban Area","6.57","7","459","3","5","8","9","10","6.36","6.78","0","10","7","7"
"2000","(Married) couple without C.","Rural Area","7.32","8","2497","4","6","9","10","10","7.23","7.41","0","10","8","8"
"2000","(Married) couple without C.","Urban Area","7.47","8","5061","4","6","9","10","10","7.41","7.53","0","10","8","8"
"2000","1-pers.-HH","Rural Area","7.35","8","977","4","6","9","10","10","7.21","7.49","0","10","8","8"
"2000","1-pers.-HH","Urban Area","7.53","8","2382","5","6","9","10","10","7.44","7.62","0","10","8","8"
"2000","Couple + C. GT 16 ","Rural Area","7.22","8","1514","4","6","9","10","10","7.11","7.33","0","10","7","8"
"2000","Couple + C. GT 16 ","Urban Area","7.17","8","2430","4","6","9","10","10","7.08","7.26","0","10","7","8"
"2000","Couple + C. LE 16","Rural Area","6.36","7","1779","3","5","8","9","10","6.25","6.47","0","10","7","7"
"2000","Couple + C. LE 16","Urban Area","6.36","7","3468","3","5","8","9","10","6.28","6.44","0","10","7","7"
"2000","Couple + C. LE and GT 16","Rural Area","6.79","7","775","4","5","8","10","10","6.63","6.95","0","10","7","7"
"2000","Couple + C. LE and GT 16","Urban Area","7.07","7","1164","4","6","9","10","10","6.93","7.21","0","10","7","8"
"2000","Single parent","Rural Area","6.91","8","388","4","5","8","10","10","6.68","7.14","0","10","7","8"
"2000","Single parent","Urban Area","6.73","7","812","3","5","9","10","10","6.57","6.89","0","10","7","7"
"2001","(Married) couple without C.","Rural Area","7.54","8","2298","5","6","9","10","10","7.45","7.63","0","10","8","8"
"2001","(Married) couple without C.","Urban Area","7.46","8","4587","4","6","9","10","10","7.4","7.52","0","10","8","8"
"2001","1-pers.-HH","Rural Area","7.52","8","865","5","7","9","10","10","7.38","7.66","0","10","8","8"
"2001","1-pers.-HH","Urban Area","7.45","8","2143","4","6","9","10","10","7.36","7.54","0","10","8","8"
"2001","Couple + C. GT 16 ","Rural Area","7.12","8","1419","4","6","9","10","10","7.01","7.23","0","10","7","8"
"2001","Couple + C. GT 16 ","Urban Area","7.26","8","2208","5","6","9","10","10","7.17","7.35","0","10","7","8"
"2001","Couple + C. LE 16","Rural Area","6.36","7","1576","3","5","8","9","10","6.25","6.47","0","10","7","7"
"2001","Couple + C. LE 16","Urban Area","6.34","7","3181","3","5","8","9","10","6.26","6.42","0","10","7","7"
"2001","Couple + C. LE and GT 16","Rural Area","6.78","7","675","4","5","8","10","10","6.61","6.95","0","10","7","7"
"2001","Couple + C. LE and GT 16","Urban Area","7.04","7","1072","4","6","9","10","10","6.9","7.18","0","10","7","7"
"2001","Single parent","Rural Area","6.94","7","392","4","5","9","10","10","6.72","7.16","1","10","7","8"
"2001","Single parent","Urban Area","6.68","7","733","3","5","8","10","10","6.51","6.85","0","10","7","7"
"2002","(Married) couple without C.","Rural Area","7.45","8","2385","5","6","9","10","10","7.37","7.53","0","10","8","8"
"2002","(Married) couple without C.","Urban Area","7.45","8","5058","4","6","9","10","10","7.39","7.51","0","10","8","8"
"2002","1-pers.-HH","Rural Area","7.49","8","854","5","6","9","10","10","7.34","7.64","0","10","8","8"
"2002","1-pers.-HH","Urban Area","7.36","8","2159","4","6","9","10","10","7.27","7.45","0","10","8","8"
"2002","Couple + C. GT 16 ","Rural Area","7.05","7","1533","4","6","9","10","10","6.94","7.16","0","10","7","7"
"2002","Couple + C. GT 16 ","Urban Area","7.13","7","2464","4","6","9","10","10","7.05","7.21","0","10","7","8"
"2002","Couple + C. LE 16","Rural Area","6.23","6","1458","3","5","8","9","10","6.12","6.34","0","10","6","7"
"2002","Couple + C. LE 16","Urban Area","6.37","7","3288","3","5","8","9","10","6.29","6.45","0","10","7","7"
"2002","Couple + C. LE and GT 16","Rural Area","6.56","7","726","4","5","8","10","10","6.4","6.72","0","10","7","7"
"2002","Couple + C. LE and GT 16","Urban Area","6.89","7","1217","4","5","8","10","10","6.77","7.01","0","10","7","7"
"2002","Single parent","Rural Area","6.95","7","397","4","5","9","10","10","6.72","7.18","0","10","7","8"
"2002","Single parent","Urban Area","6.63","7","732","3","5","8","10","10","6.47","6.79","0","10","7","7"
"2003","(Married) couple without C.","Rural Area","7.48","8","2368","5","6","9","10","10","7.4","7.56","0","10","8","8"
"2003","(Married) couple without C.","Urban Area","7.52","8","4934","5","6","9","10","10","7.46","7.58","0","10","8","8"
"2003","1-pers.-HH","Rural Area","7.4","8","852","5","6","9","10","10","7.26","7.54","0","10","8","8"
"2003","1-pers.-HH","Urban Area","7.37","8","2131","4","6","9","10","10","7.28","7.46","0","10","8","8"
"2003","Couple + C. GT 16 ","Rural Area","7.1","7","1475","4","6","9","10","10","6.99","7.21","0","10","7","7"
"2003","Couple + C. GT 16 ","Urban Area","7.15","8","2473","4","6","9","10","10","7.07","7.23","0","10","7","8"
"2003","Couple + C. LE 16","Rural Area","6.2","7","1377","3","5","8","9","10","6.08","6.32","0","10","6","7"
"2003","Couple + C. LE 16","Urban Area","6.36","7","3004","3","5","8","9","10","6.28","6.44","0","10","7","7"
"2003","Couple + C. LE and GT 16","Rural Area","6.67","7","641","3","5","8","10","10","6.5","6.84","0","10","7","8"
"2003","Couple + C. LE and GT 16","Urban Area","6.87","7","1201","4","5","9","10","10","6.74","7","0","10","7","7"
"2003","Single parent","Rural Area","6.86","7","384","4","5","8","10","10","6.64","7.08","0","10","7","7"
"2003","Single parent","Urban Area","6.46","7","731","3","5","8","9","10","6.3","6.62","0","10","7","7"
"2004","(Married) couple without C.","Rural Area","7.38","8","2319","5","6","9","10","10","7.3","7.46","0","10","8","8"
"2004","(Married) couple without C.","Urban Area","7.37","8","4934","4","6","9","10","10","7.31","7.43","0","10","8","8"
"2004","1-pers.-HH","Rural Area","7.4","8","860","4","6","9","10","10","7.25","7.55","0","10","8","8"
"2004","1-pers.-HH","Urban Area","7.42","8","2043","5","6","9","10","10","7.33","7.51","0","10","8","8"
"2004","Couple + C. GT 16 ","Rural Area","7.03","7","1485","4","6","9","10","10","6.92","7.14","0","10","7","7"
"2004","Couple + C. GT 16 ","Urban Area","7.04","7","2426","4","6","8","10","10","6.96","7.12","0","10","7","7"
