"m11126","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Mecklenburg-Western Pomerania","Rural Area","12","","","","5"
"Bad ","1992","Schleswig-Holstein","Rural Area","6","","","","5"
"Bad ","1992","Hamburg","Urban Area","10","","","","5"
"Bad ","1992","Lower Saxony","Urban Area","21","","","","5"
"Bad ","1992","Lower Saxony","Rural Area","24","","","","5"
"Bad ","1992","Bremen","Urban Area","7","","","","5"
"Bad ","1992","North Rhine-Westphalia","Urban Area","79","0.0355110763053321","0.0282111565511095","0.0428109960595548","5"
"Bad ","1992","Hamburg","Rural Area","","","","","5"
"Bad ","1992","Bremen","Rural Area","","","","","5"
"Bad ","1992","Saxony","Urban Area","16","","","","5"
"Bad ","1992","Saxony","Rural Area","8","","","","5"
"Bad ","1992","Saxony-Anhalt","Urban Area","9","","","","5"
"Bad ","1992","Saxony-Anhalt","Rural Area","23","","","","5"
"Bad ","1992","Thuringia","Urban Area","7","","","","5"
"Bad ","1992","Thuringia","Rural Area","13","","","","5"
"Bad ","1992","Schleswig-Holstein","Urban Area","2","","","","5"
"Bad ","1992","Brandenburg","Rural Area","17","","","","5"
"Bad ","1992","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Bad ","1992","North Rhine-Westphalia","Rural Area","4","","","","5"
"Bad ","1992","Hesse","Urban Area","37","0.0544904644625805","0.0388974852474972","0.0700834436776639","5"
"Bad ","1992","Hesse","Rural Area","11","","","","5"
"Bad ","1992","Rhineland-Palatinate,Saarland","Urban Area","23","","","","5"
"Bad ","1992","Rhineland-Palatinate,Saarland","Rural Area","6","","","","5"
"Bad ","1992","Baden-Württemberg","Urban Area","50","0.0454753071361104","0.0350425256137806","0.0559080886584401","5"
"Bad ","1992","Baden-Württemberg","Rural Area","19","","","","5"
"Bad ","1992","Bavaria","Urban Area","40","0.0611933171634707","0.0449458736206688","0.0774407607062727","5"
"Bad ","1992","Bavaria","Rural Area","31","0.0438982038534362","0.0297634982925393","0.0580329094143331","5"
"Bad ","1992","Berlin","Urban Area","22","","","","5"
"Bad ","1992","Berlin","Rural Area","","","","","5"
"Bad ","1992","Brandenburg","Urban Area","","","","","5"
"Good","1992","Mecklenburg-Western Pomerania","Rural Area","175","0.479073815045006","0.427469484092073","0.530678145997939","2"
"Good","1992","Saxony","Urban Area","273","0.413854464646559","0.373977156338994","0.453731772954124","2"
"Good","1992","Saxony","Rural Area","242","0.398214603752152","0.357228444290437","0.439200763213866","2"
"Good","1992","Saxony-Anhalt","Urban Area","101","0.351886336561202","0.291593410596851","0.412179262525554","2"
"Good","1992","Saxony-Anhalt","Rural Area","227","0.390334500292702","0.348486267913067","0.432182732672337","2"
"Good","1992","Schleswig-Holstein","Urban Area","50","0.358838317064548","0.279384043952505","0.438292590176591","2"
"Good","1992","Schleswig-Holstein","Rural Area","52","0.377623224150821","0.294287262353046","0.460959185948595","2"
"Good","1992","Hamburg","Urban Area","58","0.311911071083671","0.238503634979704","0.385318507187638","2"
"Good","1992","Hamburg","Rural Area","","","","","2"
"Good","1992","Lower Saxony","Urban Area","189","0.349497062257093","0.308515093763521","0.390479030750665","2"
"Good","1992","Lower Saxony","Rural Area","173","0.354468938120299","0.310272273216078","0.39866560302452","2"
"Good","1992","Bremen","Urban Area","36","0.374669923927199","0.276294709636763","0.473045138217634","2"
"Good","1992","Bremen","Rural Area","","","","","2"
"Good","1992","North Rhine-Westphalia","Urban Area","993","0.391249898878576","0.371999745756036","0.410500052001117","2"
"Good","1992","North Rhine-Westphalia","Rural Area","30","0.455088110903945","0.334027656588746","0.576148565219145","2"
"Good","1992","Hesse","Urban Area","353","0.412079698090755","0.378266540654177","0.445892855527333","2"
"Good","1992","Hesse","Rural Area","46","0.309485466628102","0.232356930375711","0.386614002880493","2"
"Good","1992","Rhineland-Palatinate,Saarland","Urban Area","210","0.36405610253235","0.323843673631247","0.404268531433453","2"
"Good","1992","Thuringia","Urban Area","84","0.428299222428695","0.355605631239471","0.50099281361792","2"
"Good","1992","Thuringia","Rural Area","228","0.420738013828775","0.376341928549189","0.465134099108362","2"
"Good","1992","Brandenburg","Rural Area","243","0.392501217853361","0.35293146223305","0.432070973473672","2"
"Good","1992","Mecklenburg-Western Pomerania","Urban Area","26","","","","2"
"Good","1992","Baden-Württemberg","Rural Area","90","0.377424553302256","0.315969130649129","0.438879975955383","2"
"Good","1992","Bavaria","Urban Area","354","0.39360102794103","0.360483928471135","0.426718127410926","2"
"Good","1992","Bavaria","Rural Area","314","0.381683751244467","0.348166492707491","0.415201009781443","2"
"Good","1992","Berlin","Urban Area","240","0.374822864981975","0.335729322635156","0.413916407328794","2"
"Good","1992","Rhineland-Palatinate,Saarland","Rural Area","41","0.343642239290334","0.254890815084206","0.432393663496462","2"
"Good","1992","Baden-Württemberg","Urban Area","631","0.394576511443011","0.370102004246756","0.419051018639266","2"
"Good","1992","Berlin","Rural Area","","","","","2"
"Good","1992","Brandenburg","Urban Area","35","0.552887781132559","0.432937052997339","0.67283850926778","2"
"Poor","1992","Schleswig-Holstein","Rural Area","18","","","","4"
"Poor","1992","Hamburg","Urban Area","20","","","","4"
"Poor","1992","Hamburg","Rural Area","","","","","4"
"Poor","1992","Lower Saxony","Urban Area","68","0.141848167587831","0.111860661355363","0.171835673820298","4"
"Poor","1992","Lower Saxony","Rural Area","47","0.117953516709936","0.0881516809239077","0.147755352495965","4"
"Poor","1992","Bremen","Urban Area","10","","","","4"
"Poor","1992","Bremen","Rural Area","","","","","4"
"Poor","1992","North Rhine-Westphalia","Urban Area","289","0.126424997276725","0.113316463373294","0.139533531180157","4"
"Poor","1992","North Rhine-Westphalia","Rural Area","4","","","","4"
"Poor","1992","Hesse","Urban Area","89","0.128253659420712","0.105283403290323","0.1512239155511","4"
"Poor","1992","Baden-Württemberg","Rural Area","32","0.142749954707715","0.0984002340749199","0.18709967534051","4"
"Poor","1992","Bavaria","Urban Area","78","0.103569857020628","0.0829151106515907","0.124224603389666","4"
"Poor","1992","Mecklenburg-Western Pomerania","Urban Area","1","","","","4"
"Poor","1992","Mecklenburg-Western Pomerania","Rural Area","27","","","","4"
"Poor","1992","Saxony","Urban Area","45","0.0960243848750773","0.0721699898051342","0.11987877994502","4"
