"m11126","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very good","1992","no migration background","Male","837","0.151286960513266","0.141296674851003","0.16127724617553"
"Very good","1992","no migration background","Female","737","0.116863129349945","0.108333258584994","0.125393000114895"
"Very good","1992","direct migration background","Male","237","0.165281106270334","0.145334100834635","0.185228111706032"
"Very good","1992","direct migration background","Female","152","0.128142921792483","0.10948614942714","0.146799694157826"
"Very good","1992","indirect migration background","Male","98","0.410008736917814","0.342681544220438","0.477335929615191"
"Very good","1992","indirect migration background","Female","72","0.312735761087795","0.248960724279911","0.37651079789568"
"Good","1992","no migration background","Male","2177","0.421765660212035","0.407997235034361","0.43553408538971"
"Good","1992","no migration background","Female","2192","0.357039463730647","0.344317915856882","0.369761011604412"
"Good","1992","direct migration background","Male","539","0.39237387934127","0.366151974301708","0.418595784380832"
"Good","1992","direct migration background","Female","469","0.37137069619079","0.344401520058709","0.398339872322872"
"Good","1992","indirect migration background","Male","86","0.431239026739805","0.363444429738695","0.499033623740915"
"Good","1992","indirect migration background","Female","81","0.381558023756317","0.314734427092289","0.448381620420345"
"Satisfactory","1992","no migration background","Male","1349","0.288546825279605","0.275914653247637","0.301178997311572"
"Satisfactory","1992","no migration background","Female","1660","0.327052871126587","0.314596568744463","0.33950917350871"
"Satisfactory","1992","direct migration background","Male","342","0.279026855076236","0.254940087341419","0.303113622811053"
"Satisfactory","1992","direct migration background","Female","351","0.278468089209912","0.253448392451228","0.303487785968595"
"Satisfactory","1992","indirect migration background","Male","15","","",""
"Satisfactory","1992","indirect migration background","Female","28","","",""
"Poor","1992","no migration background","Male","422","0.0992507400924594","0.0909145894450512","0.107586890739868"
"Poor","1992","no migration background","Female","638","0.141973153472532","0.132706066481786","0.151240240463279"
"Poor","1992","direct migration background","Male","161","0.117097075441411","0.0998297338494987","0.134364417033324"
"Poor","1992","direct migration background","Female","197","0.171046658092081","0.150028778835693","0.192064537348469"
"Poor","1992","indirect migration background","Male","5","","",""
"Poor","1992","indirect migration background","Female","18","","",""
"Bad ","1992","no migration background","Male","157","0.039149813902634","0.0337424025214288","0.0445572252838393"
"Bad ","1992","no migration background","Female","222","0.0570713823202888","0.0509119839859587","0.063230780654619"
"Bad ","1992","direct migration background","Male","53","0.0462210838707496","0.0349454776590523","0.0574966900824468"
"Bad ","1992","direct migration background","Female","64","0.050971634714734","0.0386952516806589","0.0632480177488091"
"Bad ","1992","indirect migration background","Male","1","","",""
"Bad ","1992","indirect migration background","Female","4","","",""
"Very good","1993","no migration background","Male","","","",""
"Very good","1993","no migration background","Female","","","",""
"Very good","1993","direct migration background","Male","","","",""
"Very good","1993","direct migration background","Female","","","",""
"Very good","1993","indirect migration background","Male","","","",""
"Very good","1993","indirect migration background","Female","","","",""
"Good","1993","no migration background","Male","","","",""
"Good","1993","no migration background","Female","","","",""
"Good","1993","direct migration background","Male","","","",""
"Good","1993","direct migration background","Female","","","",""
"Good","1993","indirect migration background","Male","","","",""
"Good","1993","indirect migration background","Female","","","",""
"Satisfactory","1993","no migration background","Male","","","",""
"Satisfactory","1993","no migration background","Female","","","",""
"Satisfactory","1993","direct migration background","Male","","","",""
"Satisfactory","1993","direct migration background","Female","","","",""
"Satisfactory","1993","indirect migration background","Male","","","",""
"Satisfactory","1993","indirect migration background","Female","","","",""
"Poor","1993","no migration background","Male","","","",""
"Poor","1993","no migration background","Female","","","",""
"Poor","1993","direct migration background","Male","","","",""
"Poor","1993","direct migration background","Female","","","",""
"Poor","1993","indirect migration background","Male","","","",""
"Poor","1993","indirect migration background","Female","","","",""
"Bad ","1993","no migration background","Male","","","",""
"Bad ","1993","no migration background","Female","","","",""
"Bad ","1993","direct migration background","Male","","","",""
"Bad ","1993","direct migration background","Female","","","",""
"Bad ","1993","indirect migration background","Male","","","",""
"Bad ","1993","indirect migration background","Female","","","",""
"Very good","1994","no migration background","Male","478","0.0911684937722751","0.0829955085155255","0.0993414790290246"
"Very good","1994","no migration background","Female","449","0.0703707338995926","0.0634809268996169","0.0772605408995683"
"Very good","1994","direct migration background","Male","154","0.118053141524305","0.0998947375510359","0.136211545497574"
"Very good","1994","direct migration background","Female","103","0.086875068914869","0.0706108005082463","0.103139337321492"
"Very good","1994","indirect migration background","Male","94","0.370020849684546","0.309809855165269","0.430231844203822"
"Very good","1994","indirect migration background","Female","66","0.248334518142316","0.194454161354957","0.302214874929675"
"Good","1994","no migration background","Male","2072","0.413068805230071","0.399088346108159","0.427049264351983"
"Good","1994","no migration background","Female","2012","0.342281388905134","0.329500300734562","0.355062477075705"
"Good","1994","direct migration background","Male","502","0.394204239396313","0.366703684893989","0.421704793898637"
"Good","1994","direct migration background","Female","440","0.345500864312966","0.31804083735608","0.372960891269852"
"Good","1994","indirect migration background","Male","108","0.38759197264596","0.326833417358464","0.448350527933456"
"Good","1994","indirect migration background","Female","101","0.386275506289738","0.325555063798897","0.44699594878058"
"Satisfactory","1994","no migration background","Male","1553","0.333796730870321","0.320407332666582","0.347186129074059"
"Satisfactory","1994","no migration background","Female","1797","0.352414292881505","0.33954568680319","0.36528289895982"
"Satisfactory","1994","direct migration background","Male","322","0.284642498735111","0.259248614818415","0.310036382651807"
"Satisfactory","1994","direct migration background","Female","334","0.319931521314654","0.292995919092396","0.346867123536912"
"Satisfactory","1994","indirect migration background","Male","31","0.142742506779346","0.0991178604555476","0.186367153103144"
"Satisfactory","1994","indirect migration background","Female","56","0.231626122245678","0.179014744057711","0.284237500433644"
"Poor","1994","no migration background","Male","509","0.124644458452786","0.115265699613395","0.134023217292177"
"Poor","1994","no migration background","Female","825","0.177905093951","0.167603337155033","0.188206850746967"
"Poor","1994","direct migration background","Male","187","0.161330331205562","0.140630291827646","0.182030370583479"
