"m11126","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Poor","1995","indirect migration background","Rural Area","6","","",""
"Bad ","1995","no migration background","Urban Area","222","0.0479305539805881","0.0425632234847225","0.0532978844764537"
"Bad ","1995","no migration background","Rural Area","125","0.0394426596533228","0.033355606486398","0.0455297128202476"
"Bad ","1995","direct migration background","Urban Area","114","0.0525402492684252","0.0435002871290652","0.0615802114077852"
"Bad ","1995","direct migration background","Rural Area","16","","",""
"Bad ","1995","indirect migration background","Urban Area","8","","",""
"Bad ","1995","indirect migration background","Rural Area","","","",""
"Very good","1996","no migration background","Urban Area","544","0.0765097597674507","0.0698056649128533","0.0832138546220481"
"Very good","1996","no migration background","Rural Area","318","0.0745829778128638","0.0663292474577842","0.0828367081679434"
"Very good","1996","direct migration background","Urban Area","232","0.107246451310729","0.0942245148192183","0.120268387802239"
"Very good","1996","direct migration background","Rural Area","42","0.0776370631778588","0.0528297459365892","0.102444380419128"
"Very good","1996","indirect migration background","Urban Area","129","0.253812908450902","0.214129604632118","0.293496212269685"
"Very good","1996","indirect migration background","Rural Area","27","","",""
"Good","1996","no migration background","Urban Area","2412","0.371366997551512","0.359180867236165","0.38355312786686"
"Good","1996","no migration background","Rural Area","1607","0.383890322076753","0.368611345242059","0.399169298911447"
"Good","1996","direct migration background","Urban Area","834","0.360150358059052","0.339948132948416","0.380352583169689"
"Good","1996","direct migration background","Rural Area","164","0.365964182291604","0.321309138787264","0.410619225795944"
"Good","1996","indirect migration background","Urban Area","206","0.399565301501827","0.354901685858522","0.444228917145132"
"Good","1996","indirect migration background","Rural Area","37","0.339849023486868","0.240319227718036","0.439378819255699"
"Satisfactory","1996","no migration background","Urban Area","2056","0.355428379116774","0.343356434981931","0.367500323251616"
"Satisfactory","1996","no migration background","Rural Area","1377","0.359553694192325","0.344477736316969","0.374629652067681"
"Satisfactory","1996","direct migration background","Urban Area","667","0.321612499628957","0.301955207429392","0.341269791828521"
"Satisfactory","1996","direct migration background","Rural Area","155","0.364231376054489","0.319621342255608","0.40884140985337"
"Satisfactory","1996","indirect migration background","Urban Area","99","0.26060900678987","0.22058146756576","0.30063654601398"
"Satisfactory","1996","indirect migration background","Rural Area","17","","",""
"Poor","1996","no migration background","Urban Area","827","0.153097907398396","0.144016214613611","0.16217960018318"
"Poor","1996","no migration background","Rural Area","465","0.14146003189268","0.130511426330691","0.15240863745467"
"Poor","1996","direct migration background","Urban Area","319","0.146448055047328","0.13156900867557","0.161327101419086"
"Poor","1996","direct migration background","Rural Area","67","0.142266598269274","0.109883234052673","0.174649962485876"
"Poor","1996","indirect migration background","Urban Area","25","","",""
"Poor","1996","indirect migration background","Rural Area","5","","",""
"Bad ","1996","no migration background","Urban Area","200","0.0435969561658675","0.0384468742663072","0.0487470380654278"
"Bad ","1996","no migration background","Rural Area","125","0.040512974025378","0.034318872901023","0.046707075149733"
"Bad ","1996","direct migration background","Urban Area","117","0.0645426359539348","0.0542018472726634","0.0748834246352062"
"Bad ","1996","direct migration background","Rural Area","19","","",""
"Bad ","1996","indirect migration background","Urban Area","3","","",""
"Bad ","1996","indirect migration background","Rural Area","1","","",""
"Very good","1997","no migration background","Urban Area","499","0.0766106309162978","0.069869473734145","0.0833517880984505"
"Very good","1997","no migration background","Rural Area","301","0.0747920559184103","0.0664859780395944","0.0830981337972261"
"Very good","1997","direct migration background","Urban Area","181","0.104334984433159","0.0911533059102958","0.117516662956022"
"Very good","1997","direct migration background","Rural Area","42","0.0996024065201611","0.0710301892362799","0.128174623804042"
"Very good","1997","indirect migration background","Urban Area","127","0.223150626049223","0.186285347829386","0.260015904269059"
"Very good","1997","indirect migration background","Rural Area","29","","",""
"Good","1997","no migration background","Urban Area","2520","0.382084136064817","0.369768930235659","0.394399341893975"
"Good","1997","no migration background","Rural Area","1615","0.371563765938775","0.356305826976716","0.386821704900835"
"Good","1997","direct migration background","Urban Area","873","0.376539018413033","0.35564641478436","0.397431622041706"
"Good","1997","direct migration background","Rural Area","155","0.324705321378679","0.280028400677516","0.369382242079841"
"Good","1997","indirect migration background","Urban Area","259","0.497676747553729","0.45340615172668","0.541947343380778"
"Good","1997","indirect migration background","Rural Area","33","0.372040068176832","0.268676076491859","0.475404059861806"
"Satisfactory","1997","no migration background","Urban Area","1998","0.352236863930982","0.340130240996141","0.364343486865823"
"Satisfactory","1997","no migration background","Rural Area","1366","0.375903353555744","0.360609651998108","0.391197055113379"
"Satisfactory","1997","direct migration background","Urban Area","591","0.297762349890972","0.278044485332397","0.317480214449548"
"Satisfactory","1997","direct migration background","Rural Area","146","0.374915245494727","0.328727382450595","0.42110310853886"
"Satisfactory","1997","indirect migration background","Urban Area","73","0.205568877204428","0.169787516021966","0.24135023838689"
"Satisfactory","1997","indirect migration background","Rural Area","14","","",""
"Poor","1997","no migration background","Urban Area","752","0.142362462246553","0.133506267968629","0.151218656524476"
"Poor","1997","no migration background","Rural Area","441","0.13891025299291","0.127989817779245","0.149830688206575"
"Poor","1997","direct migration background","Urban Area","323","0.175063846125359","0.158677152499118","0.1914505397516"
"Poor","1997","direct migration background","Rural Area","63","0.148443458355223","0.114521638599904","0.182365278110541"
"Poor","1997","indirect migration background","Urban Area","27","","",""
"Poor","1997","indirect migration background","Rural Area","7","","",""
"Bad ","1997","no migration background","Urban Area","211","0.0467059068413502","0.041357839656593","0.0520539740261074"
"Bad ","1997","no migration background","Rural Area","130","0.0388305715941606","0.0327304926887538","0.0449306504995675"
"Bad ","1997","direct migration background","Urban Area","98","0.0462998011374767","0.0372387531203188","0.0553608491546346"
"Bad ","1997","direct migration background","Rural Area","16","","",""
"Bad ","1997","indirect migration background","Urban Area","4","","",""
"Bad ","1997","indirect migration background","Rural Area","1","","",""
"Very good","1998","no migration background","Urban Area","688","0.0907924495612054","0.0840146996831853","0.0975701994392256"
"Very good","1998","no migration background","Rural Area","400","0.0932628743853265","0.0846478816636536","0.101877867106999"
"Very good","1998","direct migration background","Urban Area","185","0.113798049918873","0.0999046618867138","0.127691437951031"
"Very good","1998","direct migration background","Rural Area","29","","",""
"Very good","1998","indirect migration background","Urban Area","145","0.269367492609757","0.230865332975388","0.307869652244126"
"Very good","1998","indirect migration background","Rural Area","33","0.381291317814465","0.281498575278103","0.481084060350828"
"Good","1998","no migration background","Urban Area","2931","0.394304552498896","0.382776068404756","0.405833036593037"
"Good","1998","no migration background","Rural Area","1890","0.392632255423287","0.37816524923674","0.407099261609833"
"Good","1998","direct migration background","Urban Area","865","0.407032610936777","0.385539246013131","0.428525975860423"
"Good","1998","direct migration background","Rural Area","154","0.34665892320518","0.300423795637808","0.392894050772551"
"Good","1998","indirect migration background","Urban Area","243","0.429636603474995","0.386674111546721","0.472599095403269"
"Good","1998","indirect migration background","Rural Area","35","0.376115826754273","0.276588994056165","0.47564265945238"
"Satisfactory","1998","no migration background","Urban Area","2168","0.325985699067627","0.314928045385802","0.337043352749453"
"Satisfactory","1998","no migration background","Rural Area","1439","0.338973701559554","0.324950338122511","0.352997064996596"
"Satisfactory","1998","direct migration background","Urban Area","579","0.29478732403044","0.274839806190452","0.314734841870427"
"Satisfactory","1998","direct migration background","Rural Area","138","0.35006444977384","0.303724022136046","0.396404877411634"
"Satisfactory","1998","indirect migration background","Urban Area","82","0.217168078975317","0.18138355363349","0.252952604317144"
"Satisfactory","1998","indirect migration background","Rural Area","15","","",""
"Poor","1998","no migration background","Urban Area","845","0.139108712527686","0.130945135851139","0.147272289204233"
"Poor","1998","no migration background","Rural Area","501","0.136633335223807","0.126458303062428","0.146808367385187"
"Poor","1998","direct migration background","Urban Area","295","0.143368548904614","0.128036564907954","0.158700532901274"
"Poor","1998","direct migration background","Rural Area","67","0.174009820145834","0.137177828155836","0.210841812135831"
"Poor","1998","indirect migration background","Urban Area","36","0.0767027762704254","0.0536066412587121","0.0997989112821387"
"Poor","1998","indirect migration background","Rural Area","7","","",""
"Bad ","1998","no migration background","Urban Area","271","0.0498085863445848","0.0446765843904444","0.0549405882987251"
"Bad ","1998","no migration background","Rural Area","147","0.0384978334080257","0.0327981189943208","0.0441975478217307"
"Bad ","1998","direct migration background","Urban Area","83","0.0410134662092971","0.032336979685849","0.0496899527327453"
"Bad ","1998","direct migration background","Rural Area","19","","",""
"Bad ","1998","indirect migration background","Urban Area","4","","",""
"Bad ","1998","indirect migration background","Rural Area","1","","",""
"Very good","1999","no migration background","Urban Area","598","0.0881509426241421","0.0813259994672662","0.094975885781018"
"Very good","1999","no migration background","Rural Area","327","0.0728073155445645","0.0650261158455187","0.0805885152436104"
"Very good","1999","direct migration background","Urban Area","190","0.102376242774147","0.0886145486840628","0.116137936864231"
"Very good","1999","direct migration background","Rural Area","24","","",""
"Very good","1999","indirect migration background","Urban Area","142","0.255633064609111","0.218247900047738","0.293018229170485"
"Very good","1999","indirect migration background","Rural Area","26","","",""
"Good","1999","no migration background","Urban Area","2723","0.378209657918409","0.366535854520813","0.389883461316004"
"Good","1999","no migration background","Rural Area","1794","0.394620332241891","0.379982468569406","0.409258195914375"
"Good","1999","direct migration background","Urban Area","771","0.387959291789339","0.365838107672292","0.410080475906385"
"Good","1999","direct migration background","Rural Area","135","0.404594243482185","0.35332072464238","0.45586776232199"
"Good","1999","indirect migration background","Urban Area","249","0.454674859489299","0.411999668132082","0.497350050846516"
"Good","1999","indirect migration background","Rural Area","44","0.479573628999889","0.374596241843585","0.584551016156193"
"Satisfactory","1999","no migration background","Urban Area","2188","0.334678884617401","0.323319523883584","0.346038245351217"
"Satisfactory","1999","no migration background","Rural Area","1514","0.358047543795792","0.343689481421441","0.372405606170144"
"Satisfactory","1999","direct migration background","Urban Area","549","0.308622158773927","0.28765225596981","0.329592061578044"
"Satisfactory","1999","direct migration background","Rural Area","115","0.299403049725907","0.251557781855116","0.347248317596698"
"Satisfactory","1999","indirect migration background","Urban Area","99","0.215555109049364","0.180313346033928","0.2507968720648"
"Satisfactory","1999","indirect migration background","Rural Area","13","","",""
"Poor","1999","no migration background","Urban Area","863","0.151647406558411","0.143013054132102","0.16028175898472"
"Poor","1999","no migration background","Rural Area","496","0.127718457686146","0.117722389085503","0.13771452628679"
"Poor","1999","direct migration background","Urban Area","279","0.162687181833259","0.145932133887611","0.179442229778906"
"Poor","1999","direct migration background","Rural Area","64","0.167094202337711","0.128121960166515","0.206066444508907"
"Poor","1999","indirect migration background","Urban Area","28","","",""
"Poor","1999","indirect migration background","Rural Area","3","","",""
"Bad ","1999","no migration background","Urban Area","257","0.0473131082816372","0.0422022961555028","0.0524239204077717"
"Bad ","1999","no migration background","Rural Area","152","0.046806350731606","0.0404805280340274","0.0531321734291846"
"Bad ","1999","direct migration background","Urban Area","75","0.0383551248293292","0.0296365761243911","0.0470736735342672"
"Bad ","1999","direct migration background","Rural Area","14","","",""
"Bad ","1999","indirect migration background","Urban Area","5","","",""
"Bad ","1999","indirect migration background","Rural Area","1","","",""
"Very good","2000","no migration background","Urban Area","1365","0.10779565259559","0.102345976488646","0.113245328702534"
"Very good","2000","no migration background","Rural Area","726","0.0956458997276604","0.0890398157653782","0.102251983689943"
"Very good","2000","direct migration background","Urban Area","310","0.118446774083892","0.106408868403664","0.13048467976412"
"Very good","2000","direct migration background","Rural Area","71","0.134322696915918","0.106402177265183","0.162243216566653"
"Very good","2000","indirect migration background","Urban Area","195","0.24607920704064","0.214617508694026","0.277540905387254"
"Very good","2000","indirect migration background","Rural Area","27","","",""
"Good","2000","no migration background","Urban Area","4986","0.377089725545648","0.36857299322366","0.385606457867635"
"Good","2000","no migration background","Rural Area","3102","0.378545190554233","0.367650740859161","0.389439640249305"
"Good","2000","direct migration background","Urban Area","1102","0.382297214927071","0.36419401302994","0.400400416824202"
"Good","2000","direct migration background","Rural Area","216","0.368497374870613","0.328999333593774","0.407995416147453"
