"m11126","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Not Employed","Male","141","0.109605985611737","0.0930636792664584","0.126148291957015","5"
"Bad ","1992","Not Employed","Female","207","0.091826169139557","0.0813031199811221","0.102349218297992","5"
"Bad ","1992","Employed","Male","70","0.0153668150826768","0.0119938697172467","0.0187397604481068","5"
"Bad ","1992","Employed","Female","83","0.0209887979487483","0.0165420712432283","0.0254355246542684","5"
"Good","1992","Employed","Female","1869","0.452528480305038","0.437088151339758","0.467968809270317","2"
"Good","1992","Not Employed","Male","382","0.273093322455557","0.249500349101784","0.29668629580933","2"
"Good","1992","Not Employed","Female","873","0.262782116308533","0.246743396217496","0.27882083639957","2"
"Good","1992","Employed","Male","2420","0.46921114424101","0.455526761991936","0.482895526490084","2"
"Poor","1992","Not Employed","Male","239","0.191741245076303","0.170895338467091","0.212587151685515","4"
"Poor","1992","Employed","Female","343","0.088515981737294","0.0797047180319793","0.0973272454426087","4"
"Poor","1992","Not Employed","Female","510","0.202801410470982","0.188149555183659","0.217453265758306","4"
"Poor","1992","Employed","Male","349","0.068660952804031","0.061726871040729","0.075595034567333","4"
"Satisfactory","1992","Not Employed","Male","417","0.333615411751283","0.308648010996828","0.358582812505738","3"
"Satisfactory","1992","Not Employed","Female","979","0.365053958625326","0.34751027385268","0.382597643397972","3"
"Satisfactory","1992","Employed","Male","1289","0.26793376490702","0.255789560982629","0.280077968831412","3"
"Satisfactory","1992","Employed","Female","1060","0.275514214209028","0.261654963083111","0.289373465334945","3"
"Very good","1992","Not Employed","Male","191","0.0919440351051206","0.0766435255302589","0.107244544679982","1"
"Very good","1992","Not Employed","Female","324","0.0775363454556021","0.0677909117880953","0.0872817791231089","1"
"Very good","1992","Employed","Male","981","0.178827322965263","0.168319461883453","0.189335184047072","1"
"Very good","1992","Employed","Female","637","0.162452525799892","0.151010029638723","0.173895021961061","1"
"Bad ","1993","Not Employed","Male","","","","","5"
"Bad ","1993","Not Employed","Female","","","","","5"
"Bad ","1993","Employed","Male","","","","","5"
"Bad ","1993","Employed","Female","","","","","5"
"Good","1993","Not Employed","Male","","","","","2"
"Good","1993","Not Employed","Female","","","","","2"
"Good","1993","Employed","Male","","","","","2"
"Good","1993","Employed","Female","","","","","2"
"Poor","1993","Employed","Male","","","","","4"
"Poor","1993","Not Employed","Female","","","","","4"
"Poor","1993","Employed","Female","","","","","4"
"Poor","1993","Not Employed","Male","","","","","4"
"Satisfactory","1993","Not Employed","Female","","","","","3"
"Satisfactory","1993","Not Employed","Male","","","","","3"
"Satisfactory","1993","Employed","Male","","","","","3"
"Satisfactory","1993","Employed","Female","","","","","3"
"Very good","1993","Not Employed","Male","","","","","1"
"Very good","1993","Not Employed","Female","","","","","1"
"Very good","1993","Employed","Male","","","","","1"
"Very good","1993","Employed","Female","","","","","1"
"Bad ","1994","Not Employed","Male","129","0.0894891798652059","0.0752000812616959","0.103778278468716","5"
"Bad ","1994","Not Employed","Female","210","0.0900007390767025","0.0798309477002343","0.100170530453171","5"
"Bad ","1994","Employed","Male","75","0.0162634382021751","0.0126442207489055","0.0198826556554447","5"
"Bad ","1994","Employed","Female","64","0.0193670739566428","0.0148968692073973","0.0238372787058883","5"
"Good","1994","Employed","Female","1593","0.425260398588795","0.40922406039053","0.441296736787059","2"
"Good","1994","Employed","Male","2220","0.463644254465999","0.449375436448209","0.477913072483788","2"
"Good","1994","Not Employed","Male","462","0.279559412832515","0.257094064380565","0.302024761284464","2"
"Good","1994","Not Employed","Female","960","0.267234598798838","0.251509357927613","0.282959839670063","2"
"Poor","1994","Employed","Female","452","0.126662568188774","0.115874160332194","0.137450976045353","4"
"Poor","1994","Not Employed","Male","272","0.191223858692362","0.1715376439605","0.210910073424225","4"
"Poor","1994","Not Employed","Female","609","0.226973501813134","0.212088350430705","0.241858653195564","4"
"Poor","1994","Employed","Male","435","0.102592566604774","0.093910524892956","0.111274608316592","4"
"Satisfactory","1994","Not Employed","Male","533","0.375809400308458","0.351564553458342","0.400054247158573","3"
"Satisfactory","1994","Employed","Female","1139","0.32876811493357","0.313530278429216","0.344005951437925","3"
"Satisfactory","1994","Not Employed","Female","1048","0.363172399434141","0.346082644196361","0.380262154671921","3"
"Satisfactory","1994","Employed","Male","1373","0.302375847909476","0.289234092113628","0.315517603705323","3"
"Very good","1994","Not Employed","Male","137","0.0639181483014592","0.0516735083659904","0.0761627882369281","1"
"Very good","1994","Not Employed","Female","215","0.0526187608771842","0.0446845966682616","0.0605529250861069","1"
