"m11126","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","1-pers.-HH","93","0.0815873093845261","0.0669799282901682","0.096194690478884","5"
"Bad ","1992","(Married) couple without C. ","188","0.0656553261682954","0.0571804470067495","0.0741302053298413","5"
"Bad ","1992","Single parent ","28","","","","5"
"Bad ","1992","Couple + C. LE 16 ","37","0.0130851104976137","0.00920436786744633","0.016965853127781","5"
"Bad ","1992","Couple + C. GT 16 ","81","0.0296630476485844","0.0233036203640917","0.036022474933077","5"
"Bad ","1992","Couple + C. LE and GT 16","30","0.0259468754911798","0.0167904141291583","0.0351033368532013","5"
"Good","1992","(Married) couple without C. ","1141","0.328873254135501","0.312797863802763","0.344948644468238","2"
"Good","1992","1-pers.-HH","429","0.289985367161727","0.265771519394693","0.314199214928762","2"
"Good","1992","Single parent ","266","0.427907161989273","0.389544768547755","0.466269555430791","2"
"Good","1992","Couple + C. LE 16 ","1739","0.51702990381048","0.499964984244721","0.534094823376238","2"
"Good","1992","Couple + C. GT 16 ","1118","0.407883430144276","0.389462121689008","0.426304738599544","2"
"Good","1992","Couple + C. LE and GT 16","499","0.442340359492726","0.413734387979196","0.470946331006256","2"
"Poor","1992","(Married) couple without C. ","468","0.153768397204319","0.141425328690327","0.166111465718312","4"
"Poor","1992","1-pers.-HH","227","0.186504572876806","0.165718884282289","0.207290261471324","4"
"Poor","1992","Single parent ","55","0.0754418806797203","0.0549646593918901","0.0959191019675504","4"
"Poor","1992","Couple + C. LE 16 ","199","0.0602244595226177","0.052100180735927","0.0683487383093084","4"
"Poor","1992","Couple + C. GT 16 ","288","0.106551609793042","0.0949861320021249","0.11811708758396","4"
"Poor","1992","Couple + C. LE and GT 16","95","0.0777076424972683","0.0622885084855133","0.0931267765090232","4"
"Satisfactory","1992","(Married) couple without C. ","1155","0.362304340560299","0.345857273059134","0.378751408061463","3"
"Satisfactory","1992","1-pers.-HH","443","0.337210288842919","0.311982429334174","0.362438148351665","3"
"Satisfactory","1992","Single parent ","173","0.291264072916725","0.256036449483863","0.326491696349587","3"
"Satisfactory","1992","Couple + C. LE 16 ","704","0.225857219311904","0.211577692503771","0.240136746120036","3"
"Satisfactory","1992","Couple + C. LE and GT 16","260","0.236890201596986","0.212401775402687","0.261378627791286","3"
"Satisfactory","1992","Couple + C. GT 16 ","746","0.284859923623512","0.267941493151881","0.301778354095143","3"
"Very good","1992","1-pers.-HH","157","0.104712461734021","0.088373570911689","0.121051352556352","1"
"Very good","1992","(Married) couple without C. ","329","0.0893986819315863","0.0796358756706486","0.0991614881925241","1"
"Very good","1992","Single parent ","117","0.160278567822457","0.131833759773974","0.188723375870939","1"
"Very good","1992","Couple + C. LE 16 ","615","0.183803306857385","0.170576336832018","0.197030276882752","1"
"Very good","1992","Couple + C. GT 16 ","501","0.171041988790586","0.156927457162618","0.185156520418553","1"
"Very good","1992","Couple + C. LE and GT 16","274","0.217114920921839","0.193369074497165","0.240860767346513","1"
"Bad ","1993","1-pers.-HH","","","","","5"
"Bad ","1993","(Married) couple without C. ","","","","","5"
"Bad ","1993","Single parent ","","","","","5"
"Bad ","1993","Couple + C. LE 16 ","","","","","5"
"Bad ","1993","Couple + C. GT 16 ","","","","","5"
