"m11126","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Not Employed","West Germany","393","0.0823161772849277","0.0728289411694693","0.0918034134003862"
"Very good","1992","Not Employed","East Germany","122","0.0816945456887975","0.0650400905076898","0.0983490008699052"
"Very good","1992","Employed","West Germany","1115","0.17116742607914","0.161759969678845","0.180574882479435"
"Very good","1992","Employed","East Germany","503","0.174227292611765","0.160523482996324","0.187931102227206"
"Good","1992","Not Employed","West Germany","988","0.273847053242874","0.258454216526413","0.289239889959335"
"Good","1992","Not Employed","East Germany","267","0.228572246024994","0.203039372443508","0.25410511960648"
"Good","1992","Employed","West Germany","2749","0.448496880873674","0.436075154774438","0.460918606972909"
"Good","1992","Employed","East Germany","1540","0.510581806197311","0.492521476152445","0.528642136242176"
"Satisfactory","1992","Not Employed","West Germany","1017","0.34890486415444","0.332452575827705","0.365357152481175"
"Satisfactory","1992","Not Employed","East Germany","379","0.383802099638966","0.354231910836488","0.413372288441444"
"Satisfactory","1992","Employed","West Germany","1625","0.276348180268353","0.265178997887196","0.28751736264951"
"Satisfactory","1992","Employed","East Germany","724","0.252695484492523","0.236995453710495","0.26839551527455"
"Poor","1992","Not Employed","West Germany","568","0.198795040441155","0.185018976127415","0.212571104754896"
"Poor","1992","Not Employed","East Germany","181","0.201249191369516","0.176870350942696","0.225628031796336"
"Poor","1992","Employed","West Germany","536","0.0829195648241114","0.076032082932615","0.0898070467156078"
"Poor","1992","Employed","East Germany","156","0.0565058302011464","0.0481638491225308","0.064847811279762"
"Bad ","1992","Not Employed","West Germany","258","0.0961368648766024","0.0859615726917912","0.106312157061414"
"Bad ","1992","Not Employed","East Germany","90","0.104681917277727","0.0860668406037299","0.123296993951724"
"Bad ","1992","Employed","West Germany","133","0.0210679479547218","0.0174810779165225","0.0246548179929211"
"Bad ","1992","Employed","East Germany","20","","",""
"Very good","1993","Not Employed","West Germany","","","",""
"Very good","1993","Not Employed","East Germany","","","",""
"Very good","1993","Employed","West Germany","","","",""
"Very good","1993","Employed","East Germany","","","",""
"Good","1993","Not Employed","West Germany","","","",""
"Good","1993","Not Employed","East Germany","","","",""
"Good","1993","Employed","West Germany","","","",""
"Good","1993","Employed","East Germany","","","",""
"Satisfactory","1993","Not Employed","West Germany","","","",""
"Satisfactory","1993","Not Employed","East Germany","","","",""
"Satisfactory","1993","Employed","West Germany","","","",""
"Satisfactory","1993","Employed","East Germany","","","",""
"Poor","1993","Not Employed","West Germany","","","",""
"Poor","1993","Not Employed","East Germany","","","",""
"Poor","1993","Employed","West Germany","","","",""
"Poor","1993","Employed","East Germany","","","",""
"Bad ","1993","Not Employed","West Germany","","","",""
"Bad ","1993","Not Employed","East Germany","","","",""
"Bad ","1993","Employed","West Germany","","","",""
"Bad ","1993","Employed","East Germany","","","",""
"Very good","1994","Not Employed","West Germany","267","0.0572882643846636","0.0492850416032347","0.0652914871660925"
"Very good","1994","Not Employed","East Germany","85","0.0532532568868931","0.0412130247929495","0.0652934889808368"
"Very good","1994","Employed","West Germany","748","0.110755136999565","0.102741874977671","0.118768399021458"
"Very good","1994","Employed","East Germany","244","0.0998719774871998","0.0880019861759002","0.111741968798499"
"Good","1994","Not Employed","West Germany","1033","0.273404994186799","0.25805557159749","0.288754416776109"
