"m11126","year","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","501","0.0482064847530802","0.0445748349759594","0.0518381345302011","5"
"Good","1992","5544","0.387365073444566","0.379105816752703","0.395624330136429","2"
"Poor","1992","1441","0.123687045977028","0.118105280541164","0.129268811412892","4"
"Satisfactory","1992","3745","0.303080760923172","0.295288737150007","0.310872784696337","3"
"Very good","1992","2133","0.137660634902153","0.131819142078112","0.143502127726194","1"
"Bad ","1993","","","","","5"
"Good","1993","","","","","2"
"Poor","1993","","","","","4"
"Satisfactory","1993","","","","","3"
"Very good","1993","","","","","1"
"Bad ","1994","478","0.0471314849175237","0.043477030907027","0.0507859389280204","5"
"Good","1994","5235","0.375373515232891","0.367023400131743","0.383723630334038","2"
"Poor","1994","1768","0.154548022668667","0.148314598945581","0.160781446391754","4"
"Satisfactory","1994","4093","0.335634844389317","0.327491788886727","0.343777899891907","3"
"Very good","1994","1344","0.087312132791602","0.082444151639727","0.0921801139434769","1"
"Bad ","1995","485","0.0452139102856849","0.0416866429001951","0.0487411776711747","5"
"Good","1995","5483","0.38281119459867","0.374559357576524","0.391063031620817","2"
"Poor","1995","1803","0.152713729610375","0.146607073927962","0.158820385292789","4"
"Satisfactory","1995","4246","0.338100167923779","0.330069195480224","0.346131140367333","3"
"Very good","1995","1312","0.0811609975814904","0.0765250052801229","0.0857969898828578","1"
"Bad ","1996","465","0.0446077483412074","0.0410721885542338","0.048143308128181","5"
"Good","1996","5260","0.373642721299483","0.36535754975751","0.381927892841457","2"
"Poor","1996","1709","0.147565529290375","0.141491384516074","0.153639674064676","4"
"Satisfactory","1996","4371","0.350760756858624","0.342587972164351","0.358933541552897","3"
"Very good","1996","1292","0.0834232442103103","0.0786874793093076","0.0881590091113129","1"
"Bad ","1997","460","0.0437303607853178","0.0402009493153985","0.0472597722552372","5"
"Good","1997","5456","0.379512533319654","0.37113723766281","0.387887828976497","2"
"Poor","1997","1613","0.143602338209808","0.137549778662039","0.149654897757577","4"
"Satisfactory","1997","4188","0.349208981955545","0.340981175696541","0.357436788214549","3"
"Very good","1997","1179","0.0839457857296754","0.0791596984244276","0.0887318730349232","1"
"Bad ","1998","525","0.044900711067459","0.0415059682242845","0.0482954539106335","5"
"Good","1998","6118","0.394902310296701","0.386888969819027","0.402915650774375","2"
"Poor","1998","1751","0.138014653703424","0.132360487730593","0.143668819676255","4"
"Satisfactory","1998","4421","0.323550276770995","0.315881172179787","0.331219381362204","3"
"Very good","1998","1480","0.0986320481614203","0.0937442181535601","0.103519878169281","1"
"Bad ","1999","504","0.045217427825228","0.0417429343248255","0.0486919213256305","5"
"Good","1999","5716","0.386660135108722","0.37851681267854","0.394803457538905","2"
"Poor","1999","1733","0.144242006619778","0.138367009000707","0.15011700423885","4"
"Satisfactory","1999","4478","0.333823929907507","0.325938242056344","0.341709617758669","3"
"Very good","1999","1307","0.0900565005387649","0.0852696366162024","0.0948433644613274","1"
"Bad ","2000","861","0.0411543245998895","0.0386528373453745","0.0436558118544045","5"
"Good","2000","9802","0.38007289826669","0.373960382941229","0.386185413592151","2"
"Poor","2000","3018","0.132723737408124","0.128451363743042","0.136996111073205","4"
"Satisfactory","2000","7850","0.336237568976553","0.330288545941961","0.342186592011146","3"
"Very good","2000","2694","0.109811470748743","0.10587432901615","0.113748612481337","1"
"Bad ","2001","796","0.0418470525355788","0.0392029944805783","0.0444911105905793","5"
"Good","2001","8840","0.377183363301333","0.370783399812145","0.383583326790521","2"
"Poor","2001","2786","0.137622019898262","0.133073040993946","0.142170998802577","4"
"Satisfactory","2001","7180","0.334327986712653","0.328098709683741","0.340557263741564","3"
"Very good","2001","2430","0.109019577552174","0.104904221099982","0.113134934004366","1"
"Bad ","2002","779","0.0419771281549179","0.0393919204446534","0.0445623358651823","5"
"Good","2002","9510","0.379585905847781","0.373329901972971","0.385841909722592","2"
"Poor","2002","2916","0.140844223880172","0.136359800380598","0.145328647379746","4"
"Satisfactory","2002","7557","0.344789181825366","0.338661891096891","0.350916472553841","3"
"Very good","2002","2353","0.0928035602917636","0.0890630217880815","0.0965440987954456","1"
"Bad ","2003","789","0.0442728368009647","0.0415704926179169","0.0469751809840124","5"
"Good","2003","9307","0.391415437281455","0.385003570906366","0.397827303656544","2"
"Poor","2003","2857","0.141787343857543","0.137204646125087","0.14637004159","4"
"Satisfactory","2003","7048","0.330776286166955","0.324595298653699","0.336957273680211","3"
"Very good","2003","2257","0.0917480958930818","0.0879557607518823","0.0955404310342814","1"
"Bad ","2004","826","0.0483166148526163","0.0454630168890098","0.0511702128162229","5"
"Good","2004","8986","0.376617665475896","0.370169652806035","0.383065678145757","2"
"Poor","2004","2858","0.153802275989776","0.149001454025373","0.158603097954179","4"
"Satisfactory","2004","6814","0.323477828794625","0.317252510378755","0.329703147210495","3"
"Very good","2004","2208","0.0977856148870863","0.0938329440246782","0.101738285749494","1"
"Bad ","2005","791","0.0457978102455813","0.0429529211727352","0.0486426993184274","5"
"Good","2005","8335","0.374436836329812","0.367850443292236","0.381023229367388","2"
"Poor","2005","2871","0.156228627686621","0.151287620583258","0.161169634789984","4"
"Satisfactory","2005","6793","0.334676098430924","0.328254373668584","0.341097823193264","3"
"Very good","2005","1952","0.0888606273070619","0.084988319511629","0.0927329351024948","1"
"Bad ","2006","913","0.04897050606145","0.0461409879203187","0.0518000242025813","5"
"Good","2006","8997","0.375614071441356","0.36926448157543","0.381963661307281","2"
"Poor","2006","2976","0.144446911329844","0.139837708652384","0.149056114007303","4"
"Satisfactory","2006","7336","0.336005962007826","0.329812923570716","0.342199000444937","3"
"Very good","2006","2124","0.0949625491595244","0.0911187768716382","0.0988063214474106","1"
"Bad ","2007","789","0.0425367836202991","0.0398016201002486","0.0452719471403495","5"
"Good","2007","8461","0.379336062582497","0.37275978336376","0.385912341801235","2"
"Poor","2007","2878","0.151575336396589","0.146715061482942","0.156435611310235","4"
"Satisfactory","2007","6901","0.338560131778726","0.332146514892476","0.344973748664975","3"
"Very good","2007","1884","0.0879916856218893","0.0841523140950405","0.0918310571487381","1"
"Bad ","2008","744","0.0421702766536712","0.0393606546247787","0.0449798986825636","5"
"Good","2008","7862","0.378649285773157","0.371868383408298","0.385430188138015","2"
"Poor","2008","2804","0.149413278253684","0.144429549284463","0.154397007222905","4"
"Satisfactory","2008","6444","0.337228547228774","0.330619412851069","0.343837681606479","3"
"Very good","2008","1802","0.092538612090714","0.0884874829510023","0.0965897412304257","1"
"Bad ","2009","700","0.0412687844020461","0.0383884386119199","0.0441491301921723","5"
"Good","2009","7172","0.371928291732293","0.364929556252206","0.378927027212381","2"
"Poor","2009","2578","0.146884829533104","0.141758840643144","0.152010818423064","4"
"Satisfactory","2009","6300","0.353340687547956","0.346418873159287","0.360262501936626","3"
"Very good","2009","1570","0.0865774067846006","0.0825052591218634","0.0906495544473378","1"
"Bad ","2010","841","0.0447145637720989","0.0421218457959261","0.0473072817482717","5"
"Good","2010","9961","0.369916422560568","0.363860015073864","0.375972830047272","2"
"Poor","2010","3145","0.151887423047312","0.147384942345958","0.156389903748665","4"
"Satisfactory","2010","7478","0.33459851518148","0.328679246018088","0.340517784344871","3"
"Very good","2010","2985","0.0988830754385422","0.0951383864188724","0.102627764458212","1"
"Bad ","2011","1056","0.0426817147793332","0.0403546388957067","0.0450087906629597","5"
"Good","2011","11826","0.377349495019484","0.37176922135896","0.382929768680008","2"
"Poor","2011","3882","0.151746063099787","0.147615748838014","0.15587637736156","4"
"Satisfactory","2011","8907","0.323858753627037","0.318471617204362","0.329245890049713","3"
"Very good","2011","3314","0.104363973474358","0.100844298835863","0.107883648112854","1"
"Bad ","2012","964","0.0386182062590428","0.0363713108311411","0.0408651016869445","5"
"Good","2012","11687","0.382837751891988","0.377169542050795","0.388505961733181","2"
"Poor","2012","3652","0.143436036839819","0.139348629664151","0.147523444015487","4"
"Satisfactory","2012","8873","0.331551926915173","0.326062228570141","0.337041625260205","3"
"Very good","2012","3074","0.103556078093977","0.100003135213019","0.107109020974935","1"
"Bad ","2013","1103","0.0433207357279541","0.0410652055391675","0.0455762659167407","5"
"Good","2013","12528","0.370718864145858","0.36536752776444","0.376070200527276","2"
"Poor","2013","4174","0.148549676834994","0.144609342573558","0.15249001109643","4"
"Satisfactory","2013","9483","0.328368039105967","0.323164921180638","0.333571157031296","3"
"Very good","2013","4006","0.109042684185227","0.105589304993938","0.112496063376515","1"
"Bad ","2014","954","0.0394473862768996","0.0371574896465468","0.0417372829072524","5"
"Good","2014","11155","0.373625130868197","0.367934225222091","0.379316036514303","2"
"Poor","2014","3867","0.155089309283059","0.150830947886921","0.159347670679197","4"
"Satisfactory","2014","8727","0.327703890906438","0.322182261175154","0.333225520637722","3"
"Very good","2014","3056","0.104134282665406","0.100541222361863","0.107727342968949","1"
"Bad ","2015","906","0.0415908779610119","0.0392300645832161","0.0439516913388078","5"
"Good","2015","11060","0.375029838508996","0.369305178523661","0.38075449849433","2"
"Poor","2015","3750","0.152089966255208","0.147843650226145","0.156336282284271","4"
"Satisfactory","2015","8499","0.326243910052071","0.32070008262568","0.331787737478461","3"
"Very good","2015","3259","0.105045407222714","0.101419838186713","0.108670976258715","1"
"Bad ","2016","1059","0.040392379937285","0.0381403506875658","0.0426444091870042","5"
"Good","2016","11365","0.381776703889157","0.376219518864247","0.387333888914067","2"
"Poor","2016","3957","0.154810454171901","0.150672795493363","0.15894811285044","4"
"Satisfactory","2016","8541","0.324015961775597","0.318662571758829","0.329369351792364","3"
"Very good","2016","4437","0.0990045002260599","0.0955881196787812","0.102420880773339","1"
"Bad ","2017","1051","0.037079030469203","0.0350360359080894","0.0391220250303167","5"
"Good","2017","12791","0.375735194146031","0.370498791096198","0.380971597195865","2"
"Poor","2017","4237","0.152981332507662","0.149089327288657","0.156873337726666","4"
"Satisfactory","2017","9537","0.328633030223166","0.323554438571949","0.333711621874384","3"
"Very good","2017","5245","0.105571412653938","0.102248998979993","0.108893826327883","1"
"Bad ","2018","1000","0.0371364265083691","0.035019384598737","0.0392534684180011","5"
"Good","2018","11757","0.376596162555585","0.371171537790155","0.382020787321015","2"
"Poor","2018","3885","0.146371063071439","0.142413669905859","0.15032845623702","4"
"Satisfactory","2018","9094","0.330587622996826","0.32532093992037","0.335854306073283","3"
"Very good","2018","4912","0.109308724867781","0.105815407567635","0.112802042167927","1"
"Bad ","2019","918","0.0350980042297534","0.0330221380765059","0.037173870383001","5"
"Good","2019","12125","0.389814099949718","0.384312659827917","0.395315540071519","2"
"Poor","2019","3783","0.147529798535471","0.143529466753041","0.1515301303179","4"
"Satisfactory","2019","8764","0.321903545026502","0.316633368634731","0.327173721418273","3"
"Very good","2019","4600","0.105654552258556","0.102187077631527","0.109122026885585","1"
