"m11126","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Couple + C. LE 16 ","no migration background","24","","","","5"
"Bad ","1992","1-pers.-HH","no migration background","85","0.0847814995959522","0.0686820098031663","0.100880989388738","5"
"Bad ","1992","1-pers.-HH","direct migration background","8","","","","5"
"Bad ","1992","1-pers.-HH","indirect migration background","","","","","5"
"Bad ","1992","(Married) couple without C. ","no migration background","152","0.0649067817348096","0.0557006902250766","0.0741128732445426","5"
"Bad ","1992","(Married) couple without C. ","direct migration background","35","0.0696721275658638","0.0473787033230955","0.0919655518086322","5"
"Bad ","1992","(Married) couple without C. ","indirect migration background","1","","","","5"
"Bad ","1992","Single parent ","no migration background","22","","","","5"
"Bad ","1992","Single parent ","direct migration background","6","","","","5"
"Bad ","1992","Single parent ","indirect migration background","","","","","5"
"Bad ","1992","Couple + C. LE 16 ","direct migration background","13","","","","5"
"Bad ","1992","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Bad ","1992","Couple + C. GT 16 ","no migration background","51","0.0274718840153524","0.0203962320069971","0.0345475360237077","5"
"Bad ","1992","Couple + C. GT 16 ","direct migration background","27","","","","5"
"Bad ","1992","Couple + C. GT 16 ","indirect migration background","3","","","","5"
"Bad ","1992","Couple + C. LE and GT 16","no migration background","11","","","","5"
"Bad ","1992","Couple + C. LE and GT 16","direct migration background","19","","","","5"
"Bad ","1992","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Good","1992","(Married) couple without C. ","no migration background","959","0.324437065707262","0.306942589865919","0.341931541548605","2"
"Good","1992","1-pers.-HH","no migration background","351","0.286038130608455","0.259919605720666","0.312156655496244","2"
"Good","1992","Couple + C. GT 16 ","no migration background","875","0.415737627714433","0.394403013890539","0.437072241538327","2"
"Good","1992","Couple + C. GT 16 ","direct migration background","178","0.353099397717959","0.311981426497245","0.394217368938674","2"
"Good","1992","Couple + C. LE and GT 16","direct migration background","134","0.381687451966225","0.332187451798011","0.43118745213444","2"
"Good","1992","(Married) couple without C. ","direct migration background","172","0.368844629386838","0.326595369913049","0.411093888860626","2"
"Good","1992","1-pers.-HH","direct migration background","67","0.339263221552477","0.269709444089992","0.408816999014962","2"
"Good","1992","1-pers.-HH","indirect migration background","11","","","","2"
"Good","1992","(Married) couple without C. ","indirect migration background","10","","","","2"
"Good","1992","Single parent ","indirect migration background","15","","","","2"
"Good","1992","Couple + C. LE 16 ","no migration background","1398","0.52291763865017","0.503792227900353","0.542043049399988","2"
"Good","1992","Single parent ","no migration background","218","0.434596285097096","0.391233360425476","0.477959209768716","2"
"Good","1992","Single parent ","direct migration background","33","0.301488970170746","0.213712969396782","0.38926497094471","2"
"Good","1992","Couple + C. LE 16 ","direct migration background","323","0.478351236344542","0.439559348413136","0.517143124275949","2"
"Good","1992","Couple + C. LE 16 ","indirect migration background","18","","","","2"
"Good","1992","Couple + C. GT 16 ","indirect migration background","65","0.363029538845072","0.289656459287757","0.436402618402388","2"
"Good","1992","Couple + C. LE and GT 16","no migration background","325","0.458411275296591","0.42115219117036","0.495670359422823","2"
"Good","1992","Couple + C. LE and GT 16","indirect migration background","40","0.458582602313553","0.361405869189867","0.55575933543724","2"
"Poor","1992","1-pers.-HH","direct migration background","28","","","","4"
"Poor","1992","1-pers.-HH","no migration background","195","0.183594860641198","0.161218868761118","0.205970852521277","4"
"Poor","1992","Couple + C. LE and GT 16","no migration background","39","0.0612851874874945","0.0433496532444803","0.0792207217305087","4"
"Poor","1992","Couple + C. LE and GT 16","indirect migration background","3","","","","4"
"Poor","1992","Couple + C. LE 16 ","direct migration background","59","0.0990431413443377","0.0758455669635122","0.122240715725163","4"
"Poor","1992","1-pers.-HH","indirect migration background","4","","","","4"
"Poor","1992","(Married) couple without C. ","no migration background","386","0.154304639908814","0.140805712483175","0.167803567334453","4"
"Poor","1992","(Married) couple without C. ","direct migration background","78","0.149492560108395","0.118269312274049","0.180715807942741","4"
"Poor","1992","(Married) couple without C. ","indirect migration background","4","","","","4"
"Poor","1992","Single parent ","no migration background","39","0.07270363406917","0.0499901597064643","0.0954171084318758","4"
"Poor","1992","Single parent ","direct migration background","16","","","","4"
"Poor","1992","Single parent ","indirect migration background","","","","","4"
"Poor","1992","Couple + C. LE 16 ","no migration background","139","0.0552581491628257","0.0465092746015307","0.0640070237241208","4"
"Poor","1992","Couple + C. LE 16 ","indirect migration background","1","","","","4"
"Poor","1992","Couple + C. GT 16 ","no migration background","190","0.104401348339275","0.0911646116484968","0.117638085030052","4"
"Poor","1992","Couple + C. GT 16 ","direct migration background","88","0.137519066548578","0.107889819064574","0.167148314032582","4"
"Poor","1992","Couple + C. GT 16 ","indirect migration background","10","","","","4"
"Poor","1992","Couple + C. LE and GT 16","direct migration background","53","0.148105062448163","0.111912011055486","0.18429811384084","4"
"Satisfactory","1992","Couple + C. GT 16 ","direct migration background","153","0.294121330293391","0.25492073139155","0.333321929195232","3"
"Satisfactory","1992","Couple + C. LE and GT 16","direct migration background","99","0.243495003608746","0.199763122735246","0.287226884482246","3"
"Satisfactory","1992","Couple + C. LE and GT 16","indirect migration background","7","","","","3"
"Satisfactory","1992","1-pers.-HH","no migration background","396","0.344753966936315","0.317284134701653","0.372223799170976","3"
"Satisfactory","1992","1-pers.-HH","indirect migration background","2","","","","3"
"Satisfactory","1992","(Married) couple without C. ","no migration background","987","0.368187480554628","0.35016430064011","0.386210660469145","3"
"Satisfactory","1992","1-pers.-HH","direct migration background","45","0.273082783285084","0.20763005898011","0.338535507590057","3"
"Satisfactory","1992","(Married) couple without C. ","direct migration background","161","0.318385993361512","0.277593950237395","0.359178036485629","3"
"Satisfactory","1992","(Married) couple without C. ","indirect migration background","7","","","","3"
"Satisfactory","1992","Single parent ","no migration background","140","0.296927737305466","0.256958892233636","0.336896582377296","3"
"Satisfactory","1992","Single parent ","direct migration background","28","","","","3"
"Satisfactory","1992","Single parent ","indirect migration background","5","","","","3"
"Satisfactory","1992","Couple + C. LE 16 ","direct migration background","140","0.228953075534478","0.196324957828905","0.26158119324005","3"
"Satisfactory","1992","Couple + C. LE 16 ","indirect migration background","9","","","","3"
"Satisfactory","1992","Couple + C. GT 16 ","no migration background","583","0.289936991357797","0.270295637559812","0.309578345155783","3"
"Satisfactory","1992","Couple + C. GT 16 ","indirect migration background","10","","","","3"
"Satisfactory","1992","Couple + C. LE and GT 16","no migration background","154","0.245589332343101","0.213402489304904","0.277776175381299","3"
"Satisfactory","1992","Couple + C. LE 16 ","no migration background","555","0.22430670181425","0.208334544104676","0.240278859523825","3"
"Very good","1992","1-pers.-HH","no migration background","123","0.10083154221808","0.0834287911664782","0.118234293269682","1"
"Very good","1992","1-pers.-HH","direct migration background","30","0.13927037579573","0.0884075085184888","0.190133243072971","1"
"Very good","1992","1-pers.-HH","indirect migration background","4","","","","1"
"Very good","1992","(Married) couple without C. ","no migration background","267","0.0881640320944868","0.0775688877582669","0.0987591764307067","1"
"Very good","1992","(Married) couple without C. ","direct migration background","55","0.093604689577392","0.0680990125095517","0.119110366645232","1"
"Very good","1992","(Married) couple without C. ","indirect migration background","7","","","","1"
"Very good","1992","Single parent ","no migration background","83","0.150283881718784","0.11902385371779","0.181543909719777","1"
"Very good","1992","Single parent ","direct migration background","22","","","","1"
"Very good","1992","Single parent ","indirect migration background","12","","","","1"
"Very good","1992","Couple + C. LE 16 ","no migration background","504","0.185205679391524","0.170330966490374","0.200080392292674","1"
"Very good","1992","Couple + C. LE 16 ","direct migration background","102","0.174157089416638","0.144706250092687","0.203607928740589","1"
"Very good","1992","Couple + C. LE 16 ","indirect migration background","9","","","","1"
"Very good","1992","Couple + C. GT 16 ","no migration background","351","0.162452148573143","0.146484583131623","0.178419714014663","1"
"Very good","1992","Couple + C. GT 16 ","direct migration background","73","0.166690715588501","0.134626307450806","0.198755123726195","1"
"Very good","1992","Couple + C. GT 16 ","indirect migration background","77","0.478133445961905","0.401914943225736","0.554351948698073","1"
"Very good","1992","Couple + C. LE and GT 16","no migration background","158","0.212640133755976","0.182043124503268","0.243237143008684","1"
"Very good","1992","Couple + C. LE and GT 16","direct migration background","65","0.180885968245014","0.14166468026639","0.220107256223637","1"
"Very good","1992","Couple + C. LE and GT 16","indirect migration background","51","0.434944115278797","0.338261178258003","0.531627052299591","1"
"Bad ","1993","1-pers.-HH","direct migration background","","","","","5"
"Bad ","1993","1-pers.-HH","no migration background","","","","","5"
