"m11126","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very good","1992","16-34 y.","Full Time","744","0.268728252875628","0.251951235052942","0.285505270698314"
"Very good","1992","16-34 y.","Part Time","336","0.277729177727678","0.251999615886651","0.303458739568704"
"Very good","1992","16-34 y.","Not Working","395","0.303672683104403","0.277025907876016","0.33031945833279"
"Very good","1992","35-65 y.","Full Time","421","0.111234257964924","0.101366267490803","0.121102248439046"
"Very good","1992","35-65 y.","Part Time","116","0.0960614967179704","0.0801467650394962","0.111976228396445"
"Very good","1992","35-65 y.","Not Working","89","0.0513991339564575","0.0408435104050827","0.0619547575078324"
"Very good","1992","66 and older","Full Time","1","","",""
"Very good","1992","66 and older","Part Time","","","",""
"Very good","1992","66 and older","Not Working","31","0.020333690445932","0.0130388493112865","0.0276285315805775"
"Good","1992","16-34 y.","Full Time","1365","0.501519670037964","0.482596813244737","0.520442526831191"
"Good","1992","16-34 y.","Part Time","583","0.518823467356697","0.490120048671726","0.547526886041668"
"Good","1992","16-34 y.","Not Working","532","0.483560490318431","0.454602380318139","0.512518600318723"
"Good","1992","35-65 y.","Full Time","1797","0.449002500449999","0.433392066312036","0.464612934587963"
"Good","1992","35-65 y.","Part Time","528","0.388647745848599","0.362322099728357","0.414973391968841"
"Good","1992","35-65 y.","Not Working","464","0.271922680178842","0.250652277993537","0.293193082364146"
"Good","1992","66 and older","Full Time","6","","",""
"Good","1992","66 and older","Part Time","10","","",""
"Good","1992","66 and older","Not Working","259","0.178013573228685","0.158242623583714","0.197784522873655"
"Satisfactory","1992","16-34 y.","Full Time","459","0.185326052926305","0.170620584725498","0.200031521127112"
"Satisfactory","1992","16-34 y.","Part Time","188","0.163780009448019","0.142520055495544","0.185039963400495"
"Satisfactory","1992","16-34 y.","Not Working","155","0.151174314962654","0.130416418579741","0.171932211345566"
"Satisfactory","1992","35-65 y.","Full Time","1227","0.322672968716976","0.308000733391789","0.337345204042162"
"Satisfactory","1992","35-65 y.","Part Time","462","0.358245378605931","0.332349538534462","0.3841412186774"
"Satisfactory","1992","35-65 y.","Not Working","618","0.384149393000202","0.360897838308844","0.407400947691559"
"Satisfactory","1992","66 and older","Full Time","4","","",""
"Satisfactory","1992","66 and older","Part Time","9","","",""
"Satisfactory","1992","66 and older","Not Working","623","0.411037333411381","0.385606934898623","0.436467731924138"
"Poor","1992","16-34 y.","Full Time","98","0.0383657033633975","0.0310963587351276","0.0456350479916675"
"Poor","1992","16-34 y.","Part Time","47","0.0336142562559124","0.0232602455090176","0.0439682670028071"
"Poor","1992","16-34 y.","Not Working","43","0.0398003783596181","0.0284722165342558","0.0511285401849804"
"Poor","1992","35-65 y.","Full Time","378","0.0982720017614602","0.0889293864672235","0.107614617055697"
"Poor","1992","35-65 y.","Part Time","163","0.114678526402838","0.09746987827416","0.131887174531517"
"Poor","1992","35-65 y.","Not Working","362","0.203724094750552","0.184470260895593","0.222977928605511"
"Poor","1992","66 and older","Full Time","1","","",""
"Poor","1992","66 and older","Part Time","5","","",""
"Poor","1992","66 and older","Not Working","344","0.257165131861875","0.234574892617965","0.279755371105786"
"Bad ","1992","16-34 y.","Full Time","16","","",""
"Bad ","1992","16-34 y.","Part Time","10","","",""
"Bad ","1992","16-34 y.","Not Working","19","","",""
"Bad ","1992","35-65 y.","Full Time","77","0.0188182711066404","0.0145536507644088","0.0230828914488719"
"Bad ","1992","35-65 y.","Part Time","48","0.0423668524246608","0.0314883806633668","0.0532453241859548"
"Bad ","1992","35-65 y.","Not Working","148","0.0888046981139469","0.0752062940603436","0.10240310216755"
"Bad ","1992","66 and older","Full Time","","","",""
"Bad ","1992","66 and older","Part Time","2","","",""
"Bad ","1992","66 and older","Not Working","181","0.133450271052128","0.115874065479435","0.15102647662482"
"Very good","1993","16-34 y.","Full Time","","","",""
"Very good","1993","16-34 y.","Part Time","","","",""
"Very good","1993","16-34 y.","Not Working","","","",""
"Very good","1993","35-65 y.","Full Time","","","",""
"Very good","1993","35-65 y.","Part Time","","","",""
"Very good","1993","35-65 y.","Not Working","","","",""
"Very good","1993","66 and older","Full Time","","","",""
"Very good","1993","66 and older","Part Time","","","",""
"Very good","1993","66 and older","Not Working","","","",""
"Good","1993","16-34 y.","Full Time","","","",""
"Good","1993","16-34 y.","Part Time","","","",""
"Good","1993","16-34 y.","Not Working","","","",""
"Good","1993","35-65 y.","Full Time","","","",""
"Good","1993","35-65 y.","Part Time","","","",""
"Good","1993","35-65 y.","Not Working","","","",""
"Good","1993","66 and older","Full Time","","","",""
"Good","1993","66 and older","Part Time","","","",""
"Good","1993","66 and older","Not Working","","","",""
