"m11126","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Satisfactory","1992","Part Time","Couple + C. GT 16 ","145","0.272475338653026","0.235632412072868","0.309318265233185","3"
"Satisfactory","1992","Part Time","Couple + C. LE and GT 16","53","0.235514494356909","0.183125354437062","0.287903634276756","3"
"Satisfactory","1992","Not Working","1-pers.-HH","282","0.403161270009864","0.366319334657044","0.440003205362684","3"
"Satisfactory","1992","Not Working","Single parent ","52","0.294891844748062","0.229005042572067","0.360778646924057","3"
"Satisfactory","1992","Not Working","Couple + C. LE 16 ","117","0.20067887929552","0.168223877626925","0.233133880964114","3"
"Satisfactory","1992","Part Time","Couple + C. LE 16 ","189","0.254825635786715","0.224400292057779","0.285250979515651","3"
"Very good","1992","Full Time","1-pers.-HH","103","0.186084830446968","0.153199515149235","0.2189701457447","1"
"Very good","1992","Full Time","(Married) couple without C. ","209","0.143219397471478","0.125251080630158","0.161187714312797","1"
"Very good","1992","Full Time","Single parent ","50","0.150576230207878","0.10955609568693","0.191596364728826","1"
"Very good","1992","Full Time","Couple + C. LE 16 ","364","0.19133142201204","0.173741543401025","0.208921300623055","1"
"Very good","1992","Full Time","Couple + C. GT 16 ","258","0.18485650073642","0.164338684278358","0.205374317194482","1"
"Very good","1992","Full Time","Couple + C. LE and GT 16","119","0.186312849647477","0.155261551962569","0.217364147332385","1"
"Very good","1992","Part Time","1-pers.-HH","22","","","","1"
"Very good","1992","Part Time","(Married) couple without C. ","59","0.120185941640551","0.0902080450307244","0.150163838250377","1"
"Very good","1992","Part Time","Single parent ","33","0.200334557536756","0.138889580168265","0.261779534905248","1"
"Very good","1992","Part Time","Couple + C. LE 16 ","148","0.190883242554037","0.163443850679136","0.218322634428938","1"
"Very good","1992","Part Time","Couple + C. GT 16 ","96","0.161058998551402","0.130641403934679","0.191476593168125","1"
"Very good","1992","Part Time","Couple + C. LE and GT 16","55","0.190735309141224","0.142227834485074","0.239242783797373","1"
"Very good","1992","Not Working","1-pers.-HH","32","0.0422998588479895","0.0271830970459749","0.0574166206500042","1"
"Very good","1992","Not Working","(Married) couple without C. ","61","0.0360499058934363","0.0261751649815557","0.0459246468053169","1"
"Very good","1992","Not Working","Single parent ","34","0.140614634794903","0.0903863419134718","0.190842927676335","1"
"Very good","1992","Not Working","Couple + C. LE 16 ","103","0.152826800215584","0.123668914974974","0.181984685456195","1"
"Very good","1992","Not Working","Couple + C. GT 16 ","147","0.15591466163137","0.130744656622881","0.181084666639859","1"
"Very good","1992","Not Working","Couple + C. LE and GT 16","100","0.297276665729041","0.245728025052424","0.348825306405659","1"
"Bad ","1993","Full Time","(Married) couple without C. ","","","","","5"
"Bad ","1993","Full Time","1-pers.-HH","","","","","5"
"Bad ","1993","Full Time","Single parent ","","","","","5"
"Bad ","1993","Full Time","Couple + C. LE 16 ","","","","","5"
"Bad ","1993","Full Time","Couple + C. GT 16 ","","","","","5"
"Bad ","1993","Full Time","Couple + C. LE and GT 16","","","","","5"
"Bad ","1993","Part Time","Couple + C. LE 16 ","","","","","5"
"Bad ","1993","Part Time","1-pers.-HH","","","","","5"
"Bad ","1993","Part Time","(Married) couple without C. ","","","","","5"
"Bad ","1993","Part Time","Single parent ","","","","","5"
"Bad ","1993","Part Time","Couple + C. GT 16 ","","","","","5"
"Bad ","1993","Part Time","Couple + C. LE and GT 16","","","","","5"
"Bad ","1993","Not Working","1-pers.-HH","","","","","5"
"Bad ","1993","Not Working","(Married) couple without C. ","","","","","5"
"Bad ","1993","Not Working","Single parent ","","","","","5"
"Bad ","1993","Not Working","Couple + C. LE 16 ","","","","","5"
"Bad ","1993","Not Working","Couple + C. GT 16 ","","","","","5"
"Bad ","1993","Not Working","Couple + C. LE and GT 16","","","","","5"
"Good","1993","Full Time","Couple + C. GT 16 ","","","","","2"
"Good","1993","Full Time","1-pers.-HH","","","","","2"
"Good","1993","Full Time","Couple + C. LE 16 ","","","","","2"
"Good","1993","Full Time","(Married) couple without C. ","","","","","2"
"Good","1993","Full Time","Single parent ","","","","","2"
"Good","1993","Full Time","Couple + C. LE and GT 16","","","","","2"
"Good","1993","Part Time","1-pers.-HH","","","","","2"
"Good","1993","Part Time","(Married) couple without C. ","","","","","2"
"Good","1993","Part Time","Single parent ","","","","","2"
"Good","1993","Part Time","Couple + C. LE 16 ","","","","","2"
"Good","1993","Not Working","1-pers.-HH","","","","","2"
"Good","1993","Not Working","(Married) couple without C. ","","","","","2"
"Good","1993","Not Working","Couple + C. GT 16 ","","","","","2"
"Good","1993","Part Time","Couple + C. GT 16 ","","","","","2"
"Good","1993","Part Time","Couple + C. LE and GT 16","","","","","2"
"Good","1993","Not Working","Single parent ","","","","","2"
"Good","1993","Not Working","Couple + C. LE 16 ","","","","","2"
"Good","1993","Not Working","Couple + C. LE and GT 16","","","","","2"
"Poor","1993","Full Time","Couple + C. LE 16 ","","","","","4"
"Poor","1993","Full Time","(Married) couple without C. ","","","","","4"
"Poor","1993","Full Time","Couple + C. LE and GT 16","","","","","4"
"Poor","1993","Full Time","1-pers.-HH","","","","","4"
"Poor","1993","Full Time","Single parent ","","","","","4"
"Poor","1993","Full Time","Couple + C. GT 16 ","","","","","4"
"Poor","1993","Part Time","1-pers.-HH","","","","","4"
"Poor","1993","Part Time","(Married) couple without C. ","","","","","4"
"Poor","1993","Part Time","Single parent ","","","","","4"
"Poor","1993","Part Time","Couple + C. LE 16 ","","","","","4"
"Poor","1993","Part Time","Couple + C. GT 16 ","","","","","4"
"Poor","1993","Not Working","Couple + C. LE 16 ","","","","","4"
"Poor","1993","Not Working","Couple + C. LE and GT 16","","","","","4"
"Poor","1993","Part Time","Couple + C. LE and GT 16","","","","","4"
"Poor","1993","Not Working","1-pers.-HH","","","","","4"
"Poor","1993","Not Working","(Married) couple without C. ","","","","","4"
"Poor","1993","Not Working","Single parent ","","","","","4"
"Poor","1993","Not Working","Couple + C. GT 16 ","","","","","4"
"Satisfactory","1993","Full Time","1-pers.-HH","","","","","3"
"Satisfactory","1993","Full Time","Couple + C. LE 16 ","","","","","3"
"Satisfactory","1993","Full Time","Single parent ","","","","","3"
"Satisfactory","1993","Full Time","(Married) couple without C. ","","","","","3"
"Satisfactory","1993","Full Time","Couple + C. GT 16 ","","","","","3"
"Satisfactory","1993","Full Time","Couple + C. LE and GT 16","","","","","3"
"Satisfactory","1993","Part Time","1-pers.-HH","","","","","3"
"Satisfactory","1993","Part Time","(Married) couple without C. ","","","","","3"
"Satisfactory","1993","Part Time","Single parent ","","","","","3"
"Satisfactory","1993","Not Working","(Married) couple without C. ","","","","","3"
"Satisfactory","1993","Not Working","Couple + C. GT 16 ","","","","","3"
"Satisfactory","1993","Not Working","Couple + C. LE and GT 16","","","","","3"
"Satisfactory","1993","Part Time","Couple + C. LE 16 ","","","","","3"
