"m11126","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Full Time","Male","793","0.170951994674086","0.159746516864708","0.182157472483464"
"Very good","1992","Full Time","Female","373","0.17314353416008","0.157537076997284","0.188749991322876"
"Very good","1992","Part Time","Male","188","0.221334980694879","0.192069294935572","0.250600666454186"
"Very good","1992","Part Time","Female","264","0.149879781063038","0.133078776794358","0.166680785331719"
"Very good","1992","Not Working","Male","191","0.0919440351051206","0.0766435255302589","0.107244544679982"
"Very good","1992","Not Working","Female","324","0.0775363454556021","0.0677909117880953","0.0872817791231089"
"Good","1992","Full Time","Male","2088","0.476249561794515","0.461383944483679","0.491115179105351"
"Good","1992","Full Time","Female","1080","0.454854384559284","0.434315418526803","0.475393350591765"
"Good","1992","Part Time","Male","332","0.431220773140195","0.396308345845428","0.466133200434963"
"Good","1992","Part Time","Female","789","0.449793191033364","0.426378255675472","0.473208126391255"
"Good","1992","Not Working","Male","382","0.273093322455557","0.249500349101784","0.29668629580933"
"Good","1992","Not Working","Female","873","0.262782116308533","0.246743396217496","0.27882083639957"
"Satisfactory","1992","Full Time","Male","1118","0.272103101213752","0.258856479490808","0.285349722936697"
"Satisfactory","1992","Full Time","Female","572","0.265182454276056","0.246975039998482","0.283389868553631"
"Satisfactory","1992","Part Time","Male","171","0.245429468688055","0.215092539497027","0.275766397879082"
"Satisfactory","1992","Part Time","Female","488","0.287664478799918","0.266358133354008","0.308970824245829"
"Satisfactory","1992","Not Working","Male","417","0.333615411751283","0.308648010996828","0.358582812505738"
"Satisfactory","1992","Not Working","Female","979","0.365053958625326","0.34751027385268","0.382597643397972"
"Poor","1992","Full Time","Male","290","0.0694638825621152","0.0618964318972347","0.0770313332269957"
"Poor","1992","Full Time","Female","187","0.0874315444877397","0.0757808202325822","0.0990822687428971"
"Poor","1992","Part Time","Male","59","0.0643270809861658","0.0470322112084496","0.081621950763882"
"Poor","1992","Part Time","Female","156","0.0897912920038685","0.076335441673187","0.10324714233455"
"Poor","1992","Not Working","Male","239","0.191741245076303","0.170895338467091","0.212587151685515"
"Poor","1992","Not Working","Female","510","0.202801410470982","0.188149555183659","0.217453265758306"
"Bad ","1992","Full Time","Male","47","0.0112314597555314","0.00809478941858661","0.0143681300924762"
"Bad ","1992","Full Time","Female","46","0.0193880825168401","0.0137008349257144","0.0250753301079658"
"Bad ","1992","Part Time","Male","23","","",""
"Bad ","1992","Part Time","Female","37","0.0228712570998112","0.015834955335606","0.0299075588640164"
"Bad ","1992","Not Working","Male","141","0.109605985611737","0.0930636792664584","0.126148291957015"
"Bad ","1992","Not Working","Female","207","0.091826169139557","0.0813031199811221","0.102349218297992"
"Very good","1993","Full Time","Male","","","",""
"Very good","1993","Full Time","Female","","","",""
"Very good","1993","Part Time","Male","","","",""
"Very good","1993","Part Time","Female","","","",""
"Very good","1993","Not Working","Male","","","",""
"Very good","1993","Not Working","Female","","","",""
"Good","1993","Full Time","Male","","","",""
"Good","1993","Full Time","Female","","","",""
"Good","1993","Part Time","Male","","","",""
"Good","1993","Part Time","Female","","","",""
"Good","1993","Not Working","Male","","","",""
"Good","1993","Not Working","Female","","","",""
"Satisfactory","1993","Full Time","Male","","","",""
"Satisfactory","1993","Full Time","Female","","","",""
"Satisfactory","1993","Part Time","Male","","","",""
"Satisfactory","1993","Part Time","Female","","","",""
"Satisfactory","1993","Not Working","Male","","","",""
"Satisfactory","1993","Not Working","Female","","","",""
"Poor","1993","Full Time","Male","","","",""
"Poor","1993","Full Time","Female","","","",""
"Poor","1993","Part Time","Male","","","",""
"Poor","1993","Part Time","Female","","","",""
"Poor","1993","Not Working","Male","","","",""
"Poor","1993","Not Working","Female","","","",""
"Bad ","1993","Full Time","Male","","","",""
"Bad ","1993","Full Time","Female","","","",""
"Bad ","1993","Part Time","Male","","","",""
"Bad ","1993","Part Time","Female","","","",""
"Bad ","1993","Not Working","Male","","","",""
"Bad ","1993","Not Working","Female","","","",""
"Very good","1994","Full Time","Male","479","0.106025713807137","0.0964416568905932","0.11560977072368"
"Very good","1994","Full Time","Female","245","0.109219664336755","0.0955904810443341","0.122848847629177"
"Very good","1994","Part Time","Male","110","0.162638098199769","0.135830979105813","0.189445217293726"
"Very good","1994","Part Time","Female","158","0.0897278265079505","0.0758919135377579","0.103563739478143"
"Very good","1994","Not Working","Male","137","0.0639181483014592","0.0516735083659904","0.0761627882369281"
"Very good","1994","Not Working","Female","215","0.0526187608771842","0.0446845966682616","0.0605529250861069"
"Good","1994","Full Time","Male","1893","0.475137102650358","0.459591281127218","0.490682924173499"
"Good","1994","Full Time","Female","896","0.432618488881532","0.410970167300709","0.454266810462354"
"Good","1994","Part Time","Male","327","0.403624161606601","0.367984711102663","0.439263612110539"
"Good","1994","Part Time","Female","697","0.417159824815446","0.393288056409549","0.441031593221344"
"Good","1994","Not Working","Male","462","0.279559412832515","0.257094064380565","0.302024761284464"
"Good","1994","Not Working","Female","960","0.267234598798838","0.251509357927613","0.282959839670063"
"Satisfactory","1994","Full Time","Male","1190","0.308231803887352","0.29385705430073","0.322606553473973"
"Satisfactory","1994","Full Time","Female","608","0.320427371889336","0.300037389733502","0.340817354045169"
"Satisfactory","1994","Part Time","Male","183","0.271793783660948","0.239476909129938","0.304110658191958"
"Satisfactory","1994","Part Time","Female","531","0.337950498088212","0.315050766535851","0.360850229640573"
"Satisfactory","1994","Not Working","Male","533","0.375809400308458","0.351564553458342","0.400054247158573"
