"m11126","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Full Time","West Germany","796","0.172431186065443","0.161287165816472","0.183575206314413"
"Very good","1992","Full Time","East Germany","370","0.16900055681613","0.15326926894641","0.184731844685849"
"Very good","1992","Part Time","West Germany","319","0.168090564016412","0.150540264075722","0.185640863957102"
"Very good","1992","Part Time","East Germany","133","0.188610864153243","0.160853145554616","0.216368582751871"
"Very good","1992","Not Working","West Germany","393","0.0823161772849277","0.0728289411694693","0.0918034134003862"
"Very good","1992","Not Working","East Germany","122","0.0816945456887975","0.0650400905076898","0.0983490008699052"
"Good","1992","Full Time","West Germany","1997","0.45097128407867","0.436292032928154","0.465650535229187"
"Good","1992","Full Time","East Germany","1171","0.53266542684893","0.511721358115504","0.553609495582356"
"Good","1992","Part Time","West Germany","752","0.442472479538084","0.419162003768362","0.465782955307806"
"Good","1992","Part Time","East Germany","369","0.449809394895653","0.414510860952285","0.485107928839021"
"Good","1992","Not Working","West Germany","988","0.273847053242874","0.258454216526413","0.289239889959335"
"Good","1992","Not Working","East Germany","267","0.228572246024994","0.203039372443508","0.25410511960648"
"Satisfactory","1992","Full Time","West Germany","1164","0.277564598962587","0.264354274834069","0.290774923091105"
"Satisfactory","1992","Full Time","East Germany","526","0.243330994810468","0.225318596899039","0.261343392721897"
"Satisfactory","1992","Part Time","West Germany","461","0.273386579510894","0.252468820567219","0.294304338454569"
"Satisfactory","1992","Part Time","East Germany","198","0.278465833819104","0.246660480015847","0.31027118762236"
"Satisfactory","1992","Not Working","West Germany","1017","0.34890486415444","0.332452575827705","0.365357152481175"
"Satisfactory","1992","Not Working","East Germany","379","0.383802099638966","0.354231910836488","0.413372288441444"
"Poor","1992","Full Time","West Germany","378","0.0827571050341112","0.0746292350144711","0.0908849750537514"
"Poor","1992","Full Time","East Germany","99","0.0494451881789855","0.0403445794325207","0.0585457969254503"
"Poor","1992","Part Time","West Germany","158","0.0833151038267608","0.0703449012709605","0.096285306382561"
"Poor","1992","Part Time","East Germany","57","0.0759361694464036","0.0571403549287243","0.0947319839640829"
"Poor","1992","Not Working","West Germany","568","0.198795040441155","0.185018976127415","0.212571104754896"
"Poor","1992","Not Working","East Germany","181","0.201249191369516","0.176870350942696","0.225628031796336"
"Bad ","1992","Full Time","West Germany","79","0.016275825859189","0.0125429794936806","0.0200086722246974"
"Bad ","1992","Full Time","East Germany","14","","",""
"Bad ","1992","Part Time","West Germany","54","0.0327352731078491","0.024383945697511","0.0410866005181873"
"Bad ","1992","Part Time","East Germany","6","","",""
"Bad ","1992","Not Working","West Germany","258","0.0961368648766024","0.0859615726917912","0.106312157061414"
"Bad ","1992","Not Working","East Germany","90","0.104681917277727","0.0860668406037299","0.123296993951724"
"Very good","1993","Full Time","West Germany","","","",""
"Very good","1993","Full Time","East Germany","","","",""
"Very good","1993","Part Time","West Germany","","","",""
"Very good","1993","Part Time","East Germany","","","",""
"Very good","1993","Not Working","West Germany","","","",""
"Very good","1993","Not Working","East Germany","","","",""
"Good","1993","Full Time","West Germany","","","",""
"Good","1993","Full Time","East Germany","","","",""
"Good","1993","Part Time","West Germany","","","",""
"Good","1993","Part Time","East Germany","","","",""
"Good","1993","Not Working","West Germany","","","",""
"Good","1993","Not Working","East Germany","","","",""
"Satisfactory","1993","Full Time","West Germany","","","",""
"Satisfactory","1993","Full Time","East Germany","","","",""
"Satisfactory","1993","Part Time","West Germany","","","",""
"Satisfactory","1993","Part Time","East Germany","","","",""
"Satisfactory","1993","Not Working","West Germany","","","",""
"Satisfactory","1993","Not Working","East Germany","","","",""
"Poor","1993","Full Time","West Germany","","","",""
"Poor","1993","Full Time","East Germany","","","",""
"Poor","1993","Part Time","West Germany","","","",""
"Poor","1993","Part Time","East Germany","","","",""
"Poor","1993","Not Working","West Germany","","","",""
"Poor","1993","Not Working","East Germany","","","",""
"Bad ","1993","Full Time","West Germany","","","",""
"Bad ","1993","Full Time","East Germany","","","",""
"Bad ","1993","Part Time","West Germany","","","",""
"Bad ","1993","Part Time","East Germany","","","",""
"Bad ","1993","Not Working","West Germany","","","",""
"Bad ","1993","Not Working","East Germany","","","",""
"Very good","1994","Full Time","West Germany","548","0.111085281720705","0.101483004140524","0.120687559300886"
"Very good","1994","Full Time","East Germany","176","0.0913258422259084","0.0782412803800806","0.104410404071736"
"Very good","1994","Part Time","West Germany","200","0.110006552166427","0.095462517736259","0.124550586596595"
"Very good","1994","Part Time","East Germany","68","0.125817973839819","0.0990347578539923","0.152601189825645"
"Very good","1994","Not Working","West Germany","267","0.0572882643846636","0.0492850416032347","0.0652914871660925"
"Very good","1994","Not Working","East Germany","85","0.0532532568868931","0.0412130247929495","0.0652934889808368"
"Good","1994","Full Time","West Germany","1896","0.459325135014198","0.444097090303846","0.474553179724549"
"Good","1994","Full Time","East Germany","893","0.4708801017539","0.448208068545653","0.493552134962148"
"Good","1994","Part Time","West Germany","749","0.407418835201725","0.384579856171666","0.430257814231784"
"Good","1994","Part Time","East Germany","275","0.44150126591299","0.401399128874563","0.481603402951416"
"Good","1994","Not Working","West Germany","1033","0.273404994186799","0.25805557159749","0.288754416776109"
"Good","1994","Not Working","East Germany","389","0.263763524828634","0.240133678582149","0.28739337107512"
"Satisfactory","1994","Full Time","West Germany","1167","0.302255804793751","0.288222776899002","0.3162888326885"
"Satisfactory","1994","Full Time","East Germany","631","0.350228930487891","0.328561149007255","0.371896711968528"
"Satisfactory","1994","Part Time","West Germany","545","0.320000149617635","0.298317531946995","0.341682767288275"
"Satisfactory","1994","Part Time","East Germany","169","0.30286600602387","0.265757468474377","0.339974543573364"
"Satisfactory","1994","Not Working","West Germany","1051","0.35513516712219","0.33865453732355","0.371615796920829"
"Satisfactory","1994","Not Working","East Germany","530","0.415130471605967","0.388708412118449","0.441552531093484"
"Poor","1994","Full Time","West Germany","434","0.112287973104676","0.102640387951383","0.121935558257968"
"Poor","1994","Full Time","East Germany","141","0.0750491473499445","0.0630820048495884","0.0870162898503006"
"Poor","1994","Part Time","West Germany","244","0.135423070711104","0.11951819196511","0.151327949457098"
"Poor","1994","Part Time","East Germany","68","0.116645802129008","0.0907223735902321","0.142569230667783"
"Poor","1994","Not Working","West Germany","639","0.221652088383396","0.20734782780387","0.235956348962922"
"Poor","1994","Not Working","East Germany","242","0.18843285928763","0.167463488051835","0.209402230523426"
"Bad ","1994","Full Time","West Germany","69","0.015045805366671","0.011325901778067","0.0187657089552751"
"Bad ","1994","Full Time","East Germany","21","","",""
"Bad ","1994","Part Time","West Germany","40","0.027151392303109","0.0195969763127865","0.0347058082934315"
"Bad ","1994","Part Time","East Germany","9","","",""
"Bad ","1994","Not Working","West Germany","249","0.0925194859229513","0.0825406960711005","0.102498275774802"
"Bad ","1994","Not Working","East Germany","90","0.0794198873908759","0.0649208126132741","0.0939189621684777"
"Very good","1995","Full Time","West Germany","503","0.100077866902034","0.0909141646495044","0.109241569154564"
"Very good","1995","Full Time","East Germany","145","0.0813168992248594","0.0686338425047198","0.0939999559449989"
"Very good","1995","Part Time","West Germany","216","0.0940099461565748","0.0812291992916995","0.10679069302145"
"Very good","1995","Part Time","East Germany","63","0.104476022866006","0.0800621679146037","0.128889877817409"
"Very good","1995","Not Working","West Germany","307","0.0662589173940957","0.0580325852807234","0.074485249507468"
"Very good","1995","Not Working","East Germany","78","0.0380600568915319","0.0276867078066041","0.0484334059764597"
"Good","1995","Full Time","West Germany","1952","0.472334264666387","0.457090099143764","0.487578430189009"
"Good","1995","Full Time","East Germany","833","0.459509501037973","0.436383957676018","0.482635044399929"
"Good","1995","Part Time","West Germany","928","0.449491270485584","0.427706632249054","0.471275908722114"
"Good","1995","Part Time","East Germany","291","0.499617784860965","0.459709844696208","0.539525725025723"
"Good","1995","Not Working","West Germany","1100","0.268163359191642","0.253512009609636","0.282814708773648"
"Good","1995","Not Working","East Germany","379","0.270330609931462","0.246252578709164","0.29440864115376"
"Satisfactory","1995","Full Time","West Germany","1200","0.31607568756744","0.30187860690228","0.3302727682326"
"Satisfactory","1995","Full Time","East Germany","623","0.356397835225798","0.334173593974714","0.378622076476881"
"Satisfactory","1995","Part Time","West Germany","562","0.302757710664948","0.282636825484418","0.322878595845477"
"Satisfactory","1995","Part Time","East Germany","182","0.274027267904283","0.238427556305965","0.309626979502601"
"Satisfactory","1995","Not Working","West Germany","1168","0.358535115573403","0.342674387123426","0.37439584402338"
"Satisfactory","1995","Not Working","East Germany","511","0.408496778087123","0.381847639689764","0.435145916484483"
"Poor","1995","Full Time","West Germany","399","0.0966601596278029","0.087637204049254","0.105683115206352"
"Poor","1995","Full Time","East Germany","165","0.0929696272502601","0.079494523245417","0.106444731255103"
"Poor","1995","Part Time","West Germany","248","0.13119678570264","0.116411493110022","0.145982078295259"
"Poor","1995","Part Time","East Germany","58","0.108548076779669","0.0837196349796993","0.133376518579638"
"Poor","1995","Not Working","West Germany","681","0.221942516123482","0.208199029242154","0.235686003004809"
