"m11126","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very good","1992","16-34 y.","in school","85","0.442771077561389","0.371578660995877","0.513963494126901"
"Very good","1992","16-34 y.","inadequately","46","0.303243146592435","0.233528187437044","0.372958105747825"
"Very good","1992","16-34 y.","general elemantary","356","0.293213203986449","0.265974640144185","0.320451767828713"
"Very good","1992","16-34 y.","middle vocational","691","0.266306043478011","0.249126054020935","0.283486032935088"
"Very good","1992","16-34 y.","vocational + Abi","56","0.207814993446522","0.154680587435114","0.260949399457931"
"Very good","1992","16-34 y.","higher vocational","50","0.233976699308078","0.177387160289178","0.290566238326977"
"Very good","1992","16-34 y.","higher education","140","0.292770440746065","0.250540110568284","0.335000770923845"
"Very good","1992","35-65 y.","in school","","","",""
"Very good","1992","35-65 y.","inadequately","27","","",""
"Very good","1992","35-65 y.","general elemantary","65","0.050326831330052","0.0381635968826063","0.0624900657774977"
"Very good","1992","35-65 y.","middle vocational","317","0.0897687912234361","0.08025514284015","0.0992824396067223"
"Very good","1992","35-65 y.","vocational + Abi","19","","",""
"Very good","1992","35-65 y.","higher vocational","52","0.10604955290586","0.0779733580954793","0.134125747716241"
"Very good","1992","35-65 y.","higher education","142","0.138221145464849","0.117825525592991","0.158616765336708"
"Very good","1992","66 and older","in school","","","",""
"Very good","1992","66 and older","inadequately","","","",""
"Very good","1992","66 and older","general elemantary","8","","",""
"Very good","1992","66 and older","middle vocational","16","","",""
"Very good","1992","66 and older","vocational + Abi","","","",""
"Very good","1992","66 and older","higher vocational","1","","",""
"Very good","1992","66 and older","higher education","7","","",""
"Good","1992","16-34 y.","in school","77","0.42728826335668","0.356386700003274","0.498189826710087"
"Good","1992","16-34 y.","inadequately","76","0.381067002153356","0.307410287175605","0.454723717131106"
"Good","1992","16-34 y.","general elemantary","493","0.461105686338093","0.431279325370456","0.49093204730573"
"Good","1992","16-34 y.","middle vocational","1300","0.512880403709003","0.493453626287769","0.532307181130237"
"Good","1992","16-34 y.","vocational + Abi","120","0.576052983612326","0.511337069700275","0.640768897524378"
"Good","1992","16-34 y.","higher vocational","110","0.517135584679786","0.4503406278901","0.583930541469472"
"Good","1992","16-34 y.","higher education","248","0.557312960502079","0.511215326359998","0.60341059464416"
"Good","1992","35-65 y.","in school","","","",""
"Good","1992","35-65 y.","inadequately","126","0.28886248640275","0.246368278379466","0.331356694426035"
"Good","1992","35-65 y.","general elemantary","405","0.289782106738024","0.264541848853386","0.315022364622662"
"Good","1992","35-65 y.","middle vocational","1446","0.407600610523198","0.391246261547238","0.423954959499158"
"Good","1992","35-65 y.","vocational + Abi","52","0.403391557211937","0.321243762885302","0.485539351538573"
"Good","1992","35-65 y.","higher vocational","198","0.397189669263496","0.352571020023434","0.441808318503557"
"Good","1992","35-65 y.","higher education","548","0.461224437166442","0.431765854503452","0.490683019829433"
"Good","1992","66 and older","in school","","","",""
"Good","1992","66 and older","inadequately","4","","",""
"Good","1992","66 and older","general elemantary","68","0.138400114576355","0.107793541721956","0.169006687430753"
"Good","1992","66 and older","middle vocational","148","0.199943219364153","0.170889873993015","0.228996564735292"
"Good","1992","66 and older","vocational + Abi","9","","",""
"Good","1992","66 and older","higher vocational","15","","",""
"Good","1992","66 and older","higher education","30","0.28899257377593","0.203895377421429","0.374089770130432"
"Satisfactory","1992","16-34 y.","in school","20","","",""
"Satisfactory","1992","16-34 y.","inadequately","27","","",""
"Satisfactory","1992","16-34 y.","general elemantary","171","0.19932890260432","0.175425460514772","0.223232344693869"
"Satisfactory","1992","16-34 y.","middle vocational","439","0.17373215076263","0.159006468135823","0.188457833389437"
"Satisfactory","1992","16-34 y.","vocational + Abi","36","0.157494765967121","0.109792012440874","0.205197519493368"
"Satisfactory","1992","16-34 y.","higher vocational","41","0.196058354837282","0.142990222776813","0.24912648689775"
"Satisfactory","1992","16-34 y.","higher education","48","0.12560079787055","0.0948446643863207","0.156356931354779"
"Satisfactory","1992","35-65 y.","in school","","","",""
"Satisfactory","1992","35-65 y.","inadequately","144","0.322719456662309","0.278886148658607","0.366552764666012"
"Satisfactory","1992","35-65 y.","general elemantary","468","0.41313456198313","0.385739188133237","0.440529935833022"
"Satisfactory","1992","35-65 y.","middle vocational","1152","0.33487061743169","0.319163368201697","0.350577866661683"
"Satisfactory","1992","35-65 y.","vocational + Abi","45","0.311695463088727","0.234134469490421","0.389256456687032"
"Satisfactory","1992","35-65 y.","higher vocational","166","0.38253428870138","0.33821745633071","0.426851121072049"
"Satisfactory","1992","35-65 y.","higher education","310","0.294240835977774","0.267311137900597","0.321170534054952"
"Satisfactory","1992","66 and older","in school","","","",""
"Satisfactory","1992","66 and older","inadequately","13","","",""
"Satisfactory","1992","66 and older","general elemantary","222","0.433056747266622","0.389139424051616","0.476974070481627"
"Satisfactory","1992","66 and older","middle vocational","317","0.417044978300679","0.381227799633157","0.4528621569682"
"Satisfactory","1992","66 and older","vocational + Abi","8","","",""
"Satisfactory","1992","66 and older","higher vocational","37","0.333114532819251","0.237322578550169","0.428906487088333"
"Satisfactory","1992","66 and older","higher education","38","0.345566819212048","0.256291067614925","0.434842570809171"
"Poor","1992","16-34 y.","in school","3","","",""
"Poor","1992","16-34 y.","inadequately","10","","",""
"Poor","1992","16-34 y.","general elemantary","40","0.0364524944238559","0.0252388076279718","0.0476661812197401"
"Poor","1992","16-34 y.","middle vocational","100","0.0412261093281507","0.0334989621255355","0.048953256530766"
"Poor","1992","16-34 y.","vocational + Abi","11","","",""
"Poor","1992","16-34 y.","higher vocational","8","","",""
"Poor","1992","16-34 y.","higher education","10","","",""
"Poor","1992","35-65 y.","in school","","","",""
"Poor","1992","35-65 y.","inadequately","112","0.246867635929529","0.206440301513019","0.287294970346038"
"Poor","1992","35-65 y.","general elemantary","232","0.185879087695934","0.164235865318683","0.207522310073184"
"Poor","1992","35-65 y.","middle vocational","422","0.126986844064387","0.115905350314811","0.138068337813964"
"Poor","1992","35-65 y.","vocational + Abi","14","","",""
"Poor","1992","35-65 y.","higher vocational","35","0.0832417747481366","0.0580519482421552","0.108431601254118"
"Poor","1992","35-65 y.","higher education","78","0.0801667326507385","0.0641193800068409","0.096214085294636"
"Poor","1992","66 and older","in school","","","",""
"Poor","1992","66 and older","inadequately","5","","",""
"Poor","1992","66 and older","general elemantary","132","0.279121162208963","0.239363468638638","0.318878855779288"
"Poor","1992","66 and older","middle vocational","161","0.238005753384336","0.20707062125969","0.268940885508983"
"Poor","1992","66 and older","vocational + Abi","3","","",""
"Poor","1992","66 and older","higher vocational","29","","",""
"Poor","1992","66 and older","higher education","18","","",""
"Bad ","1992","16-34 y.","in school","2","","",""
"Bad ","1992","16-34 y.","inadequately","8","","",""
"Bad ","1992","16-34 y.","general elemantary","13","","",""
"Bad ","1992","16-34 y.","middle vocational","13","","",""
"Bad ","1992","16-34 y.","vocational + Abi","1","","",""
"Bad ","1992","16-34 y.","higher vocational","6","","",""
"Bad ","1992","16-34 y.","higher education","","","",""
"Bad ","1992","35-65 y.","in school","","","",""
"Bad ","1992","35-65 y.","inadequately","28","","",""
"Bad ","1992","35-65 y.","general elemantary","71","0.0608774122528608","0.0475743557676288","0.0741804687380928"
"Bad ","1992","35-65 y.","middle vocational","131","0.0407731367572882","0.03419116105243","0.0473551124621464"
"Bad ","1992","35-65 y.","vocational + Abi","7","","",""
"Bad ","1992","35-65 y.","higher vocational","11","","",""
"Bad ","1992","35-65 y.","higher education","22","","",""
"Bad ","1992","66 and older","in school","","","",""
"Bad ","1992","66 and older","inadequately","5","","",""
"Bad ","1992","66 and older","general elemantary","59","0.128102146976951","0.0984808091080719","0.15772348484583"
"Bad ","1992","66 and older","middle vocational","86","0.127780230941434","0.103529367915683","0.152031093967186"
"Bad ","1992","66 and older","vocational + Abi","5","","",""
"Bad ","1992","66 and older","higher vocational","11","","",""
"Bad ","1992","66 and older","higher education","16","","",""
"Very good","1993","16-34 y.","in school","","","",""
"Very good","1993","16-34 y.","inadequately","","","",""
"Very good","1993","16-34 y.","general elemantary","","","",""
"Very good","1993","16-34 y.","middle vocational","","","",""
"Very good","1993","16-34 y.","vocational + Abi","","","",""
"Very good","1993","16-34 y.","higher vocational","","","",""
"Very good","1993","16-34 y.","higher education","","","",""
"Very good","1993","35-65 y.","in school","","","",""
"Very good","1993","35-65 y.","inadequately","","","",""
"Very good","1993","35-65 y.","general elemantary","","","",""
"Very good","1993","35-65 y.","middle vocational","","","",""
"Very good","1993","35-65 y.","vocational + Abi","","","",""
"Very good","1993","35-65 y.","higher vocational","","","",""
"Very good","1993","35-65 y.","higher education","","","",""
"Very good","1993","66 and older","in school","","","",""
"Very good","1993","66 and older","inadequately","","","",""
"Very good","1993","66 and older","general elemantary","","","",""
"Very good","1993","66 and older","middle vocational","","","",""
"Very good","1993","66 and older","vocational + Abi","","","",""
"Very good","1993","66 and older","higher vocational","","","",""
"Very good","1993","66 and older","higher education","","","",""
"Good","1993","16-34 y.","in school","","","",""
"Good","1993","16-34 y.","inadequately","","","",""
"Good","1993","16-34 y.","general elemantary","","","",""
"Good","1993","16-34 y.","middle vocational","","","",""
"Good","1993","16-34 y.","vocational + Abi","","","",""
"Good","1993","16-34 y.","higher vocational","","","",""
"Good","1993","16-34 y.","higher education","","","",""
"Good","1993","35-65 y.","in school","","","",""
"Good","1993","35-65 y.","inadequately","","","",""
"Good","1993","35-65 y.","general elemantary","","","",""
"Good","1993","35-65 y.","middle vocational","","","",""
"Good","1993","35-65 y.","vocational + Abi","","","",""
"Good","1993","35-65 y.","higher vocational","","","",""
"Good","1993","35-65 y.","higher education","","","",""
"Good","1993","66 and older","in school","","","",""
"Good","1993","66 and older","inadequately","","","",""
"Good","1993","66 and older","general elemantary","","","",""
"Good","1993","66 and older","middle vocational","","","",""
"Good","1993","66 and older","vocational + Abi","","","",""
"Good","1993","66 and older","higher vocational","","","",""
"Good","1993","66 and older","higher education","","","",""
"Satisfactory","1993","16-34 y.","in school","","","",""
"Satisfactory","1993","16-34 y.","inadequately","","","",""
"Satisfactory","1993","16-34 y.","general elemantary","","","",""
"Satisfactory","1993","16-34 y.","middle vocational","","","",""
"Satisfactory","1993","16-34 y.","vocational + Abi","","","",""
"Satisfactory","1993","16-34 y.","higher vocational","","","",""
"Satisfactory","1993","16-34 y.","higher education","","","",""
"Satisfactory","1993","35-65 y.","in school","","","",""
"Satisfactory","1993","35-65 y.","inadequately","","","",""
"Satisfactory","1993","35-65 y.","general elemantary","","","",""
"Satisfactory","1993","35-65 y.","middle vocational","","","",""
"Satisfactory","1993","35-65 y.","vocational + Abi","","","",""
"Satisfactory","1993","35-65 y.","higher vocational","","","",""
"Satisfactory","1993","35-65 y.","higher education","","","",""
"Satisfactory","1993","66 and older","in school","","","",""
"Satisfactory","1993","66 and older","inadequately","","","",""
"Satisfactory","1993","66 and older","general elemantary","","","",""
"Satisfactory","1993","66 and older","middle vocational","","","",""
"Satisfactory","1993","66 and older","vocational + Abi","","","",""
"Satisfactory","1993","66 and older","higher vocational","","","",""
"Satisfactory","1993","66 and older","higher education","","","",""
"Poor","1993","16-34 y.","in school","","","",""
"Poor","1993","16-34 y.","inadequately","","","",""
"Poor","1993","16-34 y.","general elemantary","","","",""
"Poor","1993","16-34 y.","middle vocational","","","",""
"Poor","1993","16-34 y.","vocational + Abi","","","",""
"Poor","1993","16-34 y.","higher vocational","","","",""
"Poor","1993","16-34 y.","higher education","","","",""
"Poor","1993","35-65 y.","in school","","","",""
"Poor","1993","35-65 y.","inadequately","","","",""
"Poor","1993","35-65 y.","general elemantary","","","",""
"Poor","1993","35-65 y.","middle vocational","","","",""
"Poor","1993","35-65 y.","vocational + Abi","","","",""
"Poor","1993","35-65 y.","higher vocational","","","",""
"Poor","1993","35-65 y.","higher education","","","",""
"Poor","1993","66 and older","in school","","","",""
"Poor","1993","66 and older","inadequately","","","",""
"Poor","1993","66 and older","general elemantary","","","",""
"Poor","1993","66 and older","middle vocational","","","",""
"Poor","1993","66 and older","vocational + Abi","","","",""
"Poor","1993","66 and older","higher vocational","","","",""
"Poor","1993","66 and older","higher education","","","",""
"Bad ","1993","16-34 y.","in school","","","",""
"Bad ","1993","16-34 y.","inadequately","","","",""
"Bad ","1993","16-34 y.","general elemantary","","","",""
"Bad ","1993","16-34 y.","middle vocational","","","",""
"Bad ","1993","16-34 y.","vocational + Abi","","","",""
"Bad ","1993","16-34 y.","higher vocational","","","",""
"Bad ","1993","16-34 y.","higher education","","","",""
"Bad ","1993","35-65 y.","in school","","","",""
"Bad ","1993","35-65 y.","inadequately","","","",""
"Bad ","1993","35-65 y.","general elemantary","","","",""
"Bad ","1993","35-65 y.","middle vocational","","","",""
"Bad ","1993","35-65 y.","vocational + Abi","","","",""
"Bad ","1993","35-65 y.","higher vocational","","","",""
"Bad ","1993","35-65 y.","higher education","","","",""
"Bad ","1993","66 and older","in school","","","",""
"Bad ","1993","66 and older","inadequately","","","",""
"Bad ","1993","66 and older","general elemantary","","","",""
"Bad ","1993","66 and older","middle vocational","","","",""
"Bad ","1993","66 and older","vocational + Abi","","","",""
"Bad ","1993","66 and older","higher vocational","","","",""
"Bad ","1993","66 and older","higher education","","","",""
"Very good","1994","16-34 y.","in school","82","0.334573841272626","0.274754026136037","0.394393656409216"
"Very good","1994","16-34 y.","inadequately","28","","",""
"Very good","1994","16-34 y.","general elemantary","206","0.244829299493041","0.217044425078189","0.272614173907893"
"Very good","1994","16-34 y.","middle vocational","457","0.160895535649675","0.146390471894148","0.175400599405202"
"Very good","1994","16-34 y.","vocational + Abi","43","0.170927525884373","0.12426370051954","0.217591351249205"
"Very good","1994","16-34 y.","higher vocational","34","0.163696453665328","0.114580628034233","0.212812279296424"
"Very good","1994","16-34 y.","higher education","75","0.176464181576284","0.139962690208044","0.212965672944523"
"Very good","1994","35-65 y.","in school","","","",""
"Very good","1994","35-65 y.","inadequately","20","","",""
"Very good","1994","35-65 y.","general elemantary","40","0.0316954194922416","0.0213801054095123","0.0420107335749709"
"Very good","1994","35-65 y.","middle vocational","193","0.0551255400616347","0.0474235420155201","0.0628275381077494"
"Very good","1994","35-65 y.","vocational + Abi","8","","",""
"Very good","1994","35-65 y.","higher vocational","22","","",""
"Very good","1994","35-65 y.","higher education","73","0.0687757906047203","0.0538340147044382","0.0837175665050025"
"Very good","1994","66 and older","in school","","","",""
"Very good","1994","66 and older","inadequately","1","","",""
"Very good","1994","66 and older","general elemantary","8","","",""
"Very good","1994","66 and older","middle vocational","10","","",""
"Very good","1994","66 and older","vocational + Abi","","","",""
"Very good","1994","66 and older","higher vocational","2","","",""
"Very good","1994","66 and older","higher education","2","","",""
"Good","1994","16-34 y.","in school","113","0.487598067601986","0.424227804841589","0.550968330362382"
"Good","1994","16-34 y.","inadequately","72","0.437171030138149","0.35529581694885","0.519046243327448"
"Good","1994","16-34 y.","general elemantary","452","0.459679126688722","0.427475302891052","0.491882950486393"
"Good","1994","16-34 y.","middle vocational","1273","0.523417864641181","0.503701230432433","0.543134498849928"
"Good","1994","16-34 y.","vocational + Abi","142","0.558107282805444","0.49654774455898","0.619666821051907"
"Good","1994","16-34 y.","higher vocational","111","0.49592512943324","0.42955457806446","0.562295680802021"
"Good","1994","16-34 y.","higher education","245","0.58563300118051","0.538465113207279","0.632800889153741"
"Good","1994","35-65 y.","in school","","","",""
"Good","1994","35-65 y.","inadequately","115","0.338324685125852","0.291063235784617","0.385586134467088"
"Good","1994","35-65 y.","general elemantary","349","0.288034936763935","0.261370639871094","0.314699233656775"
"Good","1994","35-65 y.","middle vocational","1274","0.364396696432812","0.348155418108326","0.380637974757297"
"Good","1994","35-65 y.","vocational + Abi","50","0.451757502291434","0.362341830087935","0.541173174494933"
"Good","1994","35-65 y.","higher vocational","176","0.391773509051642","0.346520805709735","0.437026212393548"
"Good","1994","35-65 y.","higher education","486","0.445659267855989","0.416313386286229","0.475005149425748"
"Good","1994","66 and older","in school","","","",""
"Good","1994","66 and older","inadequately","3","","",""
"Good","1994","66 and older","general elemantary","71","0.139498677662555","0.108632260128286","0.170365095196823"
"Good","1994","66 and older","middle vocational","145","0.178116086560226","0.150678582460532","0.20555359065992"
"Good","1994","66 and older","vocational + Abi","8","","",""
"Good","1994","66 and older","higher vocational","19","","",""
