"m11126","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","West Germany","391","0.0507659553919204","0.0463240090134961","0.0552079017703447","5"
"Bad ","1992","East Germany","110","0.0379988737127861","0.0320604577414289","0.0439372896841433","5"
"Good","1992","West Germany","3737","0.379403678353082","0.369584938720255","0.38922241798591","2"
"Good","1992","East Germany","1807","0.419116492350782","0.403791179051279","0.434441805650286","2"
"Poor","1992","West Germany","1104","0.128761051257771","0.12198368002734","0.135538422488202","4"
"Poor","1992","East Germany","337","0.103451036414641","0.0939918912028582","0.112910181626424","4"
"Satisfactory","1992","West Germany","2642","0.305052323421369","0.295735591508687","0.31436905533405","3"
"Satisfactory","1992","East Germany","1103","0.29521782910523","0.281050231645632","0.309385426564829","3"
"Very good","1992","West Germany","1508","0.136016991575858","0.129080345123513","0.142953638028203","1"
"Very good","1992","East Germany","625","0.14421576841656","0.133304230217899","0.15512730661522","1"
"Bad ","1993","West Germany","","","","","5"
"Bad ","1993","East Germany","","","","","5"
"Good","1993","West Germany","","","","","2"
"Good","1993","East Germany","","","","","2"
"Poor","1993","West Germany","","","","","4"
"Poor","1993","East Germany","","","","","4"
"Satisfactory","1993","West Germany","","","","","3"
"Satisfactory","1993","East Germany","","","","","3"
"Very good","1993","West Germany","","","","","1"
"Very good","1993","East Germany","","","","","1"
"Bad ","1994","West Germany","358","0.0486239261391139","0.0442123879437698","0.053035464334458","5"
"Bad ","1994","East Germany","120","0.0410715888001726","0.0347509018214194","0.0473922757789259","5"
"Good","1994","West Germany","3678","0.374582607116232","0.36465492869338","0.384510285539084","2"
"Good","1994","East Germany","1557","0.378584912074511","0.363136886270028","0.394032937878994","2"
"Poor","1994","West Germany","1317","0.160788974094027","0.153254505233209","0.168323442954844","4"
"Poor","1994","East Germany","451","0.12920731459655","0.118524114205169","0.139890514987931","4"
"Satisfactory","1994","West Germany","2763","0.326901162390746","0.317279800009341","0.336522524772152","3"
"Satisfactory","1994","East Germany","1330","0.371097015272618","0.355710651464003","0.386483379081234","3"
"Very good","1994","West Germany","1015","0.089103330259881","0.0832598652902571","0.0949467952295049","1"
"Very good","1994","East Germany","329","0.0800391692561484","0.0713967288608447","0.0886816096514521","1"
"Bad ","1995","West Germany","371","0.0456873971814967","0.0415180719915031","0.0498567223714903","5"
"Bad ","1995","East Germany","114","0.0432284966809094","0.0366702336976156","0.0497867596642033","5"
"Good","1995","West Germany","3980","0.38261941835958","0.372914716052329","0.392324120666831","2"
"Good","1995","East Germany","1503","0.383615346007148","0.367934353749518","0.399296338264778","2"
"Poor","1995","West Germany","1328","0.155682481061879","0.148443207239453","0.162921754884305","4"
"Poor","1995","East Germany","475","0.140265234048727","0.129066809959941","0.151463658137514","4"
"Satisfactory","1995","West Germany","2930","0.331235381665295","0.321837559209993","0.340633204120597","3"
"Satisfactory","1995","East Germany","1316","0.366885420804116","0.351343452111021","0.38242738949721","3"
"Very good","1995","West Germany","1026","0.0847753217317491","0.0792134519603145","0.0903371915031837","1"
"Very good","1995","East Germany","286","0.0660055024590991","0.0579986490947153","0.0740123558234828","1"
"Bad ","1996","West Germany","357","0.0461723080244195","0.0419308269219293","0.0504137891269096","5"
"Bad ","1996","East Germany","108","0.0379416482553351","0.0317797114361516","0.0441035850745186","5"
"Good","1996","East Germany","1498","0.381456625981147","0.365790338264869","0.397122913697426","2"
"Good","1996","West Germany","3762","0.371808767402016","0.362040950066821","0.38157658473721","2"
"Poor","1996","East Germany","443","0.133663913205344","0.122688807152697","0.144639019257991","4"
"Poor","1996","West Germany","1266","0.150828292791965","0.143595084917901","0.158061500666029","4"
"Satisfactory","1996","East Germany","1392","0.390614634614786","0.374879201455623","0.406350067773949","3"
"Satisfactory","1996","West Germany","2979","0.341406896347423","0.331823123426639","0.350990669268207","3"
"Very good","1996","East Germany","252","0.0563231779433876","0.0488876183797535","0.0637587375070218","1"
"Very good","1996","West Germany","1040","0.0897837354341763","0.0840059300177846","0.095561540850568","1"
"Bad ","1997","East Germany","125","0.0445177880130594","0.0378251279310528","0.0512104480950659","5"
"Bad ","1997","West Germany","335","0.0435462299122996","0.0393868225828534","0.0477056372417458","5"
"Good","1997","East Germany","1547","0.385880157041275","0.370083199000782","0.401677115081769","2"
"Good","1997","West Germany","3909","0.378023537164064","0.368140951756054","0.387906122572074","2"
"Poor","1997","East Germany","417","0.124417781608294","0.113707266219138","0.13512829699745","4"
"Poor","1997","West Germany","1196","0.148088427883943","0.140849370811321","0.155327484956565","4"
"Satisfactory","1997","East Germany","1306","0.378638870219864","0.362898848949903","0.394378891489826","3"
"Satisfactory","1997","West Germany","2882","0.342327138366672","0.332656618843778","0.351997657889566","3"
"Very good","1997","East Germany","253","0.0665454031175069","0.0584576794244557","0.0746331268105582","1"
"Very good","1997","West Germany","926","0.0880146666730213","0.0822404160249372","0.0937889173211055","1"
"Bad ","1998","East Germany","141","0.0432547822496155","0.0368546126187278","0.0496549518805032","5"
"Bad ","1998","West Germany","384","0.0452910063595172","0.041297257085023","0.0492847556340114","5"
"Good","1998","East Germany","1655","0.396928683471182","0.381535911068401","0.412321455873962","2"
"Good","1998","West Germany","4463","0.394421801114664","0.385035275355596","0.403808326873733","2"
"Poor","1998","East Germany","450","0.124469059585062","0.114083193394951","0.134854925775172","4"
"Poor","1998","West Germany","1301","0.141226689093542","0.134538062324473","0.147915315862612","4"
"Satisfactory","1998","East Germany","1329","0.35969754408199","0.344598912444253","0.374796175719726","3"
"Satisfactory","1998","West Germany","3092","0.314978758914752","0.306057380579198","0.323900137250305","3"
"Very good","1998","East Germany","306","0.0756499306121518","0.0673304009262963","0.0839694602980073","1"
"Very good","1998","West Germany","1174","0.104081744517525","0.0982168422592398","0.109946646775809","1"
"Bad ","1999","East Germany","138","0.046686533682182","0.0399788901943492","0.0533941771700149","5"
"Bad ","1999","West Germany","366","0.044877182453873","0.0408067458389624","0.0489476190687836","5"
"Good","1999","East Germany","1539","0.390436414838595","0.374925373396705","0.405947456280486","2"
"Good","1999","West Germany","4177","0.385785547554021","0.376215114551361","0.395355980556681","2"
"Poor","1999","East Germany","476","0.133037869062774","0.122239852318227","0.14383588580732","4"
"Poor","1999","West Germany","1257","0.146836888347157","0.139878122618651","0.153795654075664","4"
"Satisfactory","1999","West Germany","3083","0.325906169798617","0.316690963501587","0.335121376095647","3"
"Satisfactory","1999","East Germany","1395","0.368011104015427","0.35267759764186","0.383344610388994","3"
"Very good","1999","East Germany","252","0.0618280784010219","0.0541705188547235","0.0694856379473204","1"
"Very good","1999","West Germany","1055","0.0965942118463319","0.0907863593113334","0.10240206438133","1"
"Bad ","2000","East Germany","218","0.0441233038751185","0.0388696193643085","0.0493769883859285","5"
"Bad ","2000","West Germany","643","0.040460143692947","0.0376096760442436","0.0433106113416503","5"
"Good","2000","East Germany","2374","0.377713630448996","0.365311236753088","0.390116024144905","2"
"Good","2000","West Germany","7428","0.38062452174452","0.373600331228979","0.387648712260061","2"
"Poor","2000","East Germany","756","0.137150442984377","0.128350189375772","0.145950696592981","4"
"Poor","2000","West Germany","2262","0.131688723618257","0.126796763460577","0.136580683775937","4"
"Satisfactory","2000","East Germany","2038","0.358852471967383","0.346581866359102","0.371123077575664","3"
"Satisfactory","2000","West Germany","5812","0.330949949086589","0.324142547681658","0.337757350491521","3"
"Very good","2000","East Germany","484","0.0821601507241251","0.0751352028078826","0.0891850986403676","1"
"Very good","2000","West Germany","2210","0.116276661857687","0.111639253542207","0.120914070173167","1"
"Bad ","2001","East Germany","215","0.0463953689332344","0.0408151297104264","0.0519756081560425","5"
"Bad ","2001","West Germany","581","0.0407920664641556","0.0377805956529306","0.0438035372753807","5"
"Good","2001","East Germany","2188","0.375673235674493","0.362825031495204","0.388521439853783","2"
"Good","2001","West Germany","6652","0.377533638760008","0.370153403704108","0.384913873815907","2"
"Poor","2001","East Germany","715","0.144453249054792","0.135126788543088","0.153779709566496","4"
"Poor","2001","West Germany","2071","0.136037510163065","0.130818222849214","0.141256797476917","4"
"Satisfactory","2001","East Germany","1928","0.364002061126702","0.351237346768151","0.376766775485253","3"
"Satisfactory","2001","West Germany","5252","0.327445058514137","0.320300629456274","0.334589487572","3"
"Very good","2001","East Germany","412","0.0694760852107783","0.0627306066781413","0.0762215637434154","1"
"Very good","2001","West Germany","2018","0.118191726098634","0.113276822023077","0.123106630174192","1"
"Bad ","2002","East Germany","192","0.0422345579231541","0.0368939204421187","0.0475751954041895","5"
"Bad ","2002","West Germany","587","0.0419173385602966","0.0389622872440894","0.0448723898765039","5"
"Good","2002","East Germany","2208","0.37639384425737","0.363528956708971","0.389258731805769","2"
"Good","2002","West Germany","7302","0.380327281135512","0.373168705561095","0.387485856709929","2"
"Poor","2002","East Germany","722","0.147648155476566","0.138228109832393","0.157068201120739","4"
"Poor","2002","West Germany","2194","0.139263970303571","0.134158672694711","0.14436926791243","4"
"Satisfactory","2002","East Germany","1897","0.359088973321186","0.346350146078194","0.371827800564177","3"
"Satisfactory","2002","West Germany","5660","0.341467970208851","0.334475508053763","0.348460432363938","3"
"Very good","2002","West Germany","1924","0.0970234397917701","0.0926588517464335","0.101388027837107","1"
