"m11126","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","West Germany","Male","163","0.0412861481415021","0.0355293225695564","0.0470429737134478","5"
"Bad ","1992","West Germany","Female","228","0.0594477168938148","0.0527541418433862","0.0661412919442434","5"
"Bad ","1992","East Germany","Male","48","0.0335913994396078","0.0254706377050729","0.0417121611741428","5"
"Bad ","1992","East Germany","Female","62","0.0420556924151944","0.0334526195947885","0.0506587652356002","5"
"Good","1992","East Germany","Female","924","0.395547594764977","0.374589514289146","0.416505675240807","2"
"Good","1992","West Germany","Male","1919","0.411893012219495","0.397651478308293","0.426134546130698","2"
"Good","1992","West Germany","Female","1818","0.349649418531906","0.336150802382848","0.363148034680964","2"
"Good","1992","East Germany","Male","883","0.444722593430663","0.42232497070546","0.467120216155866","2"
"Poor","1992","West Germany","Male","461","0.105736299079608","0.0968385277471967","0.114634070412018","4"
"Poor","1992","East Germany","Female","210","0.125367312081225","0.111174250599767","0.139560373562684","4"
"Poor","1992","West Germany","Female","643","0.149847493394262","0.139743984286671","0.159951002501854","4"
"Poor","1992","East Germany","Male","127","0.079640403440825","0.0674379312994008","0.0918428755822492","4"
"Satisfactory","1992","West Germany","Male","1206","0.28753301086316","0.274436288655395","0.300629733070924","3"
"Satisfactory","1992","West Germany","Female","1436","0.321096794504977","0.307880156631148","0.334313432378806","3"
"Satisfactory","1992","East Germany","Male","500","0.274532659013665","0.254418204103673","0.294647113923658","3"
"Satisfactory","1992","East Germany","Female","603","0.314257301530657","0.294359991858415","0.3341546112029","3"
"Very good","1992","West Germany","Male","839","0.153551529696235","0.143119622321598","0.163983437070873","1"
"Very good","1992","West Germany","Female","669","0.11995857667504","0.110761151028118","0.129156002321963","1"
"Very good","1992","East Germany","Male","333","0.167512944675239","0.150681737810645","0.184344151539833","1"
"Very good","1992","East Germany","Female","292","0.122772099207946","0.108705888020035","0.136838310395858","1"
"Bad ","1993","West Germany","Male","","","","","5"
"Bad ","1993","West Germany","Female","","","","","5"
"Bad ","1993","East Germany","Male","","","","","5"
"Bad ","1993","East Germany","Female","","","","","5"
"Good","1993","West Germany","Male","","","","","2"
"Good","1993","West Germany","Female","","","","","2"
"Good","1993","East Germany","Male","","","","","2"
"Good","1993","East Germany","Female","","","","","2"
"Poor","1993","East Germany","Male","","","","","4"
"Poor","1993","West Germany","Female","","","","","4"
"Poor","1993","East Germany","Female","","","","","4"
"Poor","1993","West Germany","Male","","","","","4"
"Satisfactory","1993","West Germany","Female","","","","","3"
"Satisfactory","1993","West Germany","Male","","","","","3"
"Satisfactory","1993","East Germany","Male","","","","","3"
"Satisfactory","1993","East Germany","Female","","","","","3"
"Very good","1993","West Germany","Male","","","","","1"
"Very good","1993","West Germany","Female","","","","","1"
"Very good","1993","East Germany","Male","","","","","1"
"Very good","1993","East Germany","Female","","","","","1"
"Bad ","1994","West Germany","Male","150","0.039030662449839","0.0333257227746208","0.0447356021250573","5"
"Bad ","1994","West Germany","Female","208","0.0573862114563722","0.0507398324083724","0.064032590504372","5"
"Bad ","1994","East Germany","Male","54","0.0315271416344359","0.0234503426692746","0.0396039405995972","5"
"Bad ","1994","East Germany","Female","66","0.0499996568371326","0.0404216290563481","0.0595776846179172","5"
"Good","1994","East Germany","Female","790","0.354115276093066","0.333097801214533","0.375132750971598","2"
"Good","1994","East Germany","Male","767","0.404743891466567","0.38205593766245","0.427431845270684","2"
"Good","1994","West Germany","Male","1915","0.411527707489773","0.397031450479616","0.426023964499929","2"
"Good","1994","West Germany","Female","1763","0.340837729352722","0.327292560080186","0.354382898625257","2"
"Poor","1994","East Germany","Female","286","0.155828364518151","0.139889061258624","0.171767667777679","4"
"Poor","1994","West Germany","Male","542","0.135216280211006","0.125143216640667","0.145289343781345","4"
"Poor","1994","West Germany","Female","775","0.184146534919175","0.173070041564839","0.195223028273512","4"
"Poor","1994","East Germany","Male","165","0.100748391185424","0.0868356431831893","0.114661139187659","4"
"Satisfactory","1994","West Germany","Male","1270","0.31161217341937","0.297968945681605","0.325255401157135","3"
"Satisfactory","1994","East Germany","Female","694","0.370059502854666","0.348840926375697","0.391278079333634","3"
"Satisfactory","1994","West Germany","Female","1493","0.340865803405398","0.327320364764214","0.354411242046582","3"
