"m11126","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","higher education","38","0.0305974759227381","0.0223000388790594","0.0388949129664168","5"
"Bad ","1992","vocational + Abi","13","","","","5"
"Bad ","1992","middle vocational","230","0.0450398306705125","0.0400882784191259","0.0499913829218991","5"
"Bad ","1992","higher vocational","28","","","","5"
"Bad ","1992","in school","2","","","","5"
"Bad ","1992","inadequately","41","0.0817828489437495","0.0604013952297283","0.103164302657771","5"
"Bad ","1992","general elemantary","143","0.0668071945424426","0.0575637497770685","0.0760506393078167","5"
"Good","1992","higher education","826","0.468612519869852","0.444571012457602","0.492654027282103","2"
"Good","1992","in school","77","0.42728826335668","0.356386700003274","0.498189826710087","2"
"Good","1992","inadequately","206","0.317515033377934","0.281193673313872","0.353836393441996","2"
"Good","1992","middle vocational","2894","0.404288921271576","0.392571983549155","0.416005858993997","2"
"Good","1992","vocational + Abi","181","0.492232514876885","0.442358764025236","0.542106265728534","2"
"Good","1992","higher vocational","323","0.383759928320664","0.349411449506486","0.418108407134841","2"
"Good","1992","general elemantary","966","0.291765143857029","0.274936779979192","0.308593507734866","2"
"Poor","1992","in school","3","","","","4"
"Poor","1992","higher education","106","0.0738970211029206","0.0612934911341524","0.0865005510716887","4"
"Poor","1992","middle vocational","683","0.119526757694941","0.111781408304939","0.127272107084942","4"
"Poor","1992","vocational + Abi","28","","","","4"
"Poor","1992","general elemantary","404","0.172746998831085","0.158752383248485","0.186741614413685","4"
"Poor","1992","higher vocational","72","0.121050923517637","0.0980116575108769","0.144090189524397","4"
"Poor","1992","inadequately","127","0.170902951368387","0.141532482654077","0.200273420082697","4"
"Satisfactory","1992","vocational + Abi","89","0.225584085661196","0.183887950451817","0.267280220870576","3"
"Satisfactory","1992","middle vocational","1908","0.298765459445758","0.287837295387277","0.309693623504239","3"
"Satisfactory","1992","in school","20","","","","3"
"Satisfactory","1992","inadequately","184","0.280215401522481","0.2451740630033","0.315256740041661","3"
"Satisfactory","1992","general elemantary","861","0.3609844547594","0.343204260408085","0.378764649110714","3"
"Satisfactory","1992","higher education","396","0.257258274107756","0.236198549920471","0.278317998295041","3"
