"m11126","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Male","211","0.039740308245965","0.0349836268160784","0.0444969896758516","5"
"Bad ","1992","Female","290","0.0559677804843847","0.0505382963378584","0.061397264630911","5"
"Good","1992","Male","2802","0.418488325251291","0.40647633437689","0.430500316125692","2"
"Good","1992","Female","2742","0.358833095498106","0.347503147591992","0.37016304340422","2"
"Poor","1992","Male","588","0.100493752746903","0.0931728316655365","0.107814673828269","4"
"Poor","1992","Female","853","0.144949301446257","0.136633576516948","0.153265026375567","4"
"Satisfactory","1992","Male","1706","0.284921299509932","0.273930393843244","0.29591220517662","3"
"Satisfactory","1992","Female","2039","0.319728293635361","0.308712193934935","0.330744393335786","3"
"Very good","1992","Male","1172","0.156356314245909","0.147512668379855","0.165199960111963","1"
"Very good","1992","Female","961","0.120521528935891","0.112831268613102","0.12821178925868","1"
"Bad ","1993","Male","","","","","5"
"Bad ","1993","Female","","","","","5"
"Good","1993","Male","","","","","2"
"Good","1993","Female","","","","","2"
"Poor","1993","Male","","","","","4"
"Poor","1993","Female","","","","","4"
"Satisfactory","1993","Male","","","","","3"
"Satisfactory","1993","Female","","","","","3"
"Very good","1993","Male","","","","","1"
"Very good","1993","Female","","","","","1"
"Bad ","1994","Male","204","0.0375330699746242","0.0328115876792471","0.0422545522700014","5"
"Bad ","1994","Female","274","0.0559398994764118","0.050434379524045","0.0614454194287785","5"
"Good","1994","Male","2682","0.410173757513551","0.397955074606689","0.422392440420413","2"
"Good","1994","Female","2553","0.343437517197656","0.332061255398902","0.35481377899641","2"
"Poor","1994","Male","707","0.128336996137417","0.120028380763447","0.136645611511386","4"
"Poor","1994","Female","1061","0.178601742900054","0.169425658206781","0.187777827593328","4"
"Satisfactory","1994","Male","1906","0.323705841758589","0.312082754461729","0.335328929055449","3"
"Satisfactory","1994","Female","2187","0.346582026926288","0.335181203086211","0.357982850766366","3"
"Very good","1994","Male","726","0.100250334615819","0.0927895899775243","0.107711079254114","1"
