"m11126","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Schleswig-Holstein","Not Employed","15","","",""
"Very good","1992","Schleswig-Holstein","Employed","32","0.168639240602349","0.113163495183308","0.22411498602139"
"Very good","1992","Hamburg","Not Employed","4","","",""
"Very good","1992","Hamburg","Employed","17","","",""
"Very good","1992","Lower Saxony","Not Employed","42","0.0904399792231324","0.0610564838616879","0.119823474584577"
"Very good","1992","Lower Saxony","Employed","115","0.174984811439129","0.144758517984881","0.205211104893378"
"Very good","1992","Bremen","Not Employed","1","","",""
"Very good","1992","Bremen","Employed","11","","",""
"Very good","1992","North Rhine-Westphalia","Not Employed","132","0.0984869719717714","0.0792846998118415","0.117689244131701"
"Very good","1992","North Rhine-Westphalia","Employed","307","0.173359715420882","0.154862666524151","0.191856764317613"
"Very good","1992","Hesse","Not Employed","36","0.058432072911434","0.0327726402455832","0.0840915055772848"
"Very good","1992","Hesse","Employed","120","0.190237174722261","0.159733922588407","0.220740426856115"
"Very good","1992","Rhineland-Palatinate,Saarland","Not Employed","23","","",""
"Very good","1992","Rhineland-Palatinate,Saarland","Employed","69","0.148183519694112","0.113751744895581","0.182615294492644"
"Very good","1992","Baden-Württemberg","Not Employed","74","0.0770318386625315","0.0542666488673591","0.0997970284577039"
"Very good","1992","Baden-Württemberg","Employed","197","0.151483716494621","0.131568892082186","0.171398540907057"
"Very good","1992","Bavaria","Not Employed","55","0.0735781021103976","0.0509854036923843","0.0961708005284109"
"Very good","1992","Bavaria","Employed","218","0.185371286319825","0.16273391647583","0.20800865616382"
"Very good","1992","Berlin","Not Employed","22","","",""
"Very good","1992","Berlin","Employed","72","0.142507957492973","0.109467316031467","0.17554859895448"
"Very good","1992","Brandenburg","Not Employed","27","","",""
"Very good","1992","Brandenburg","Employed","87","0.168917020594078","0.135674260121144","0.202159781067012"
"Very good","1992","Mecklenburg-Western Pomerania","Not Employed","9","","",""
"Very good","1992","Mecklenburg-Western Pomerania","Employed","54","0.164485165429432","0.123611366866315","0.205358963992548"
"Very good","1992","Saxony","Not Employed","35","0.0774044011038433","0.0475601112417381","0.107248690965949"
"Very good","1992","Saxony","Employed","128","0.152070413591272","0.127972700265106","0.176168126917437"
"Very good","1992","Saxony-Anhalt","Not Employed","23","","",""
"Very good","1992","Saxony-Anhalt","Employed","105","0.219926481246494","0.18574309600771","0.254109866485278"
"Very good","1992","Thuringia","Not Employed","17","","",""
"Very good","1992","Thuringia","Employed","86","0.173446243799677","0.140258243120266","0.206634244479088"
"Good","1992","Schleswig-Holstein","Not Employed","27","","",""
"Good","1992","Schleswig-Holstein","Employed","77","0.450009169713653","0.376300686762947","0.523717652664359"
"Good","1992","Hamburg","Not Employed","20","","",""
"Good","1992","Hamburg","Employed","38","0.393641028665699","0.293262118155236","0.494019939176161"
"Good","1992","Lower Saxony","Not Employed","101","0.240807094410126","0.197002641804016","0.284611547016237"
"Good","1992","Lower Saxony","Employed","262","0.432035350332084","0.392628289876274","0.471442410787894"
"Good","1992","Bremen","Not Employed","14","","",""
"Good","1992","Bremen","Employed","22","","",""
"Good","1992","North Rhine-Westphalia","Not Employed","316","0.308246131253742","0.278488261385362","0.338004001122122"
"Good","1992","North Rhine-Westphalia","Employed","707","0.450393394716152","0.426082997942619","0.474703791489685"
"Good","1992","Hesse","Not Employed","96","0.287158266288012","0.23766423881875","0.336652293757275"
"Good","1992","Hesse","Employed","304","0.475146143409433","0.436335366734649","0.513956920084217"
"Good","1992","Rhineland-Palatinate,Saarland","Not Employed","70","0.235735503056534","0.183225073590115","0.288245932522954"
"Good","1992","Rhineland-Palatinate,Saarland","Employed","181","0.448890742666764","0.4006875710144","0.497093914319129"
"Good","1992","Baden-Württemberg","Not Employed","163","0.296736280022661","0.257734249829918","0.335738310215405"
"Good","1992","Baden-Württemberg","Employed","559","0.443012322746423","0.415419628274477","0.470605017218369"
"Good","1992","Bavaria","Not Employed","144","0.247955249080993","0.210587416898139","0.285323081263847"
"Good","1992","Bavaria","Employed","524","0.47102474951981","0.441946757188179","0.50010274185144"
"Good","1992","Berlin","Not Employed","57","0.277642169719212","0.210908663012911","0.344375676425513"
"Good","1992","Berlin","Employed","187","0.419633650034393","0.372989183720336","0.466278116348451"
"Good","1992","Brandenburg","Not Employed","43","0.235093151948525","0.172796837512785","0.297389466384265"
"Good","1992","Brandenburg","Employed","241","0.49800990231597","0.453648553316196","0.542371251315744"
"Good","1992","Mecklenburg-Western Pomerania","Not Employed","34","0.307266694746509","0.217290383885508","0.397243005607511"
"Good","1992","Mecklenburg-Western Pomerania","Employed","173","0.55580957604165","0.501025775433577","0.610593376649723"
"Good","1992","Saxony","Not Employed","69","0.186715241317997","0.143195737550479","0.230234745085514"
"Good","1992","Saxony","Employed","457","0.518239057204765","0.484707444622137","0.551770669787394"
"Good","1992","Saxony-Anhalt","Not Employed","55","0.237259844809725","0.180130569409082","0.294389120210368"
"Good","1992","Saxony-Anhalt","Employed","278","0.450369696749486","0.409308797708042","0.49143059579093"
"Good","1992","Thuringia","Not Employed","46","0.208049748411447","0.148915190876927","0.267184305945967"
"Good","1992","Thuringia","Employed","279","0.53793890022195","0.494239118473549","0.581638681970352"
"Satisfactory","1992","Schleswig-Holstein","Not Employed","24","","",""
"Satisfactory","1992","Schleswig-Holstein","Employed","47","0.27818107033809","0.211790410165682","0.344571730510498"
"Satisfactory","1992","Hamburg","Not Employed","18","","",""
"Satisfactory","1992","Hamburg","Employed","26","","",""
"Satisfactory","1992","Lower Saxony","Not Employed","128","0.392243428465217","0.342222676272686","0.442264180657748"
"Satisfactory","1992","Lower Saxony","Employed","165","0.274752874197198","0.239241467529037","0.31026428086536"
"Satisfactory","1992","Bremen","Not Employed","19","","",""
"Satisfactory","1992","Bremen","Employed","9","","",""
"Satisfactory","1992","North Rhine-Westphalia","Not Employed","267","0.328921959035282","0.298645145039098","0.359198773031465"
"Satisfactory","1992","North Rhine-Westphalia","Employed","429","0.283271740803239","0.26125520637163","0.305288275234848"
"Satisfactory","1992","Hesse","Not Employed","105","0.330489050481242","0.279031044332647","0.381947056629837"
"Satisfactory","1992","Hesse","Employed","140","0.239575757589546","0.206403964700893","0.2727475504782"
