"m11126","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","1-pers.-HH","West Germany","127","0.105543584777569","0.0869236669169356","0.124163502638202"
"Very good","1992","1-pers.-HH","East Germany","30","0.100437871094749","0.0665931368782225","0.134282605311276"
"Very good","1992","(Married) couple without C. ","West Germany","264","0.0955045333185595","0.0836466470622376","0.107362419574881"
"Very good","1992","(Married) couple without C. ","East Germany","65","0.0659638819474664","0.0499331551070113","0.0819946087879216"
"Very good","1992","Single parent ","West Germany","78","0.143168780066107","0.111265936169659","0.175071623962556"
"Very good","1992","Single parent ","East Germany","39","0.237523473033724","0.174651330011383","0.300395616056066"
"Very good","1992","Couple + C. LE 16 ","West Germany","367","0.171447271986217","0.155257784747231","0.187636759225202"
"Very good","1992","Couple + C. LE 16 ","East Germany","248","0.222944221069015","0.199511593601074","0.246376848536956"
"Very good","1992","Couple + C. GT 16 ","West Germany","366","0.171104024775387","0.154461238381372","0.187746811169402"
"Very good","1992","Couple + C. GT 16 ","East Germany","135","0.170739680901751","0.14411017649517","0.197369185308332"
"Very good","1992","Couple + C. LE and GT 16","West Germany","196","0.211055264373609","0.183394362358126","0.238716166389092"
"Very good","1992","Couple + C. LE and GT 16","East Germany","78","0.239898051337305","0.193256881117784","0.286539221556826"
"Good","1992","1-pers.-HH","West Germany","336","0.284443403397999","0.257103172574935","0.311783634221064"
"Good","1992","1-pers.-HH","East Germany","93","0.318488519145672","0.266030697070272","0.370946341221073"
"Good","1992","(Married) couple without C. ","West Germany","834","0.331165659421165","0.31217788694252","0.35015343189981"
"Good","1992","(Married) couple without C. ","East Germany","307","0.320074799022968","0.289946501890496","0.350203096155441"
"Good","1992","Single parent ","West Germany","180","0.419733914436354","0.374780962028798","0.464686866843911"
"Good","1992","Single parent ","East Germany","86","0.464806610508683","0.391120900024365","0.538492320993001"
"Good","1992","Couple + C. LE 16 ","West Germany","1047","0.503621952277534","0.482145312254241","0.525098592300828"
"Good","1992","Couple + C. LE 16 ","East Germany","692","0.55950303424242","0.531553828879108","0.587452239605733"
"Good","1992","Couple + C. GT 16 ","West Germany","768","0.399602168069175","0.377956081716478","0.421248254421872"
"Good","1992","Couple + C. GT 16 ","East Germany","350","0.448238892587847","0.413043912841844","0.483433872333849"
"Good","1992","Couple + C. LE and GT 16","West Germany","340","0.43078379548404","0.39721673902458","0.4643508519435"
"Good","1992","Couple + C. LE and GT 16","East Germany","159","0.485790793171427","0.431200588926214","0.540380997416639"
"Satisfactory","1992","1-pers.-HH","West Germany","338","0.337191184276206","0.308541852775915","0.365840515776497"
"Satisfactory","1992","1-pers.-HH","East Germany","105","0.33730854649884","0.284073684300513","0.390543408697167"
"Satisfactory","1992","(Married) couple without C. ","West Germany","788","0.354171350647629","0.3348757875631","0.373466913732159"
"Satisfactory","1992","(Married) couple without C. ","East Germany","367","0.393519478269497","0.361968718534177","0.425070238004817"
"Satisfactory","1992","Single parent ","West Germany","135","0.309024337241023","0.26693371821993","0.351114956262117"
"Satisfactory","1992","Single parent ","East Germany","38","0.211082485991522","0.150794100174738","0.271370871808306"
"Satisfactory","1992","Couple + C. LE 16 ","West Germany","481","0.239655344668502","0.221319262916243","0.257991426420762"
"Satisfactory","1992","Couple + C. LE 16 ","East Germany","223","0.182148113073933","0.160418777375895","0.203877448771972"
