"m11126","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Urban Area","West Germany","1199","0.13597286082238","0.12817916425024","0.14376655739452"
"Very good","1992","Urban Area","East Germany","218","0.155905029106822","0.136806839768515","0.175003218445129"
"Very good","1992","Rural Area","West Germany","301","0.133659383543433","0.118513198747665","0.148805568339202"
"Very good","1992","Rural Area","East Germany","381","0.13413208017737","0.120746396058301","0.147517764296439"
"Good","1992","Urban Area","West Germany","2986","0.382150797771073","0.371102068947102","0.393199526595044"
"Good","1992","Urban Area","East Germany","647","0.431114352573359","0.405042301084181","0.457186404062538"
"Good","1992","Rural Area","West Germany","746","0.370120184024627","0.34862904581313","0.391611322236124"
"Good","1992","Rural Area","East Germany","1115","0.412476952703614","0.393141216386013","0.431812689021216"
"Satisfactory","1992","Urban Area","West Germany","2061","0.303037046924727","0.292587285058528","0.313486808790926"
"Satisfactory","1992","Urban Area","East Germany","378","0.284475463890292","0.260723411177404","0.308227516603179"
"Satisfactory","1992","Rural Area","West Germany","581","0.313438516632107","0.292790654776399","0.334086378487816"
"Satisfactory","1992","Rural Area","East Germany","701","0.30365315023363","0.285591803894859","0.321714496572401"
"Poor","1992","Urban Area","West Germany","894","0.130186332859831","0.122534781553341","0.137837884166322"
"Poor","1992","Urban Area","East Germany","110","0.0944102628231775","0.0790166051199311","0.109803920526424"
"Poor","1992","Rural Area","West Germany","210","0.124625546187017","0.109924113559497","0.139326978814537"
"Poor","1992","Rural Area","East Germany","220","0.109314046035994","0.097058047403621","0.121570044668366"
"Bad ","1992","Urban Area","West Germany","290","0.0486529616219884","0.0437610589214375","0.0535448643225394"
"Bad ","1992","Urban Area","East Germany","33","0.0340948916063499","0.0245410427938339","0.0436487404188659"
"Bad ","1992","Rural Area","West Germany","101","0.0581563696128151","0.0477392600235678","0.0685734792020625"
"Bad ","1992","Rural Area","East Germany","73","0.040423770849392","0.0326879470415577","0.0481595946572264"
"Very good","1993","Urban Area","West Germany","","","",""
"Very good","1993","Urban Area","East Germany","","","",""
"Very good","1993","Rural Area","West Germany","","","",""
"Very good","1993","Rural Area","East Germany","","","",""
"Good","1993","Urban Area","West Germany","","","",""
"Good","1993","Urban Area","East Germany","","","",""
"Good","1993","Rural Area","West Germany","","","",""
"Good","1993","Rural Area","East Germany","","","",""
"Satisfactory","1993","Urban Area","West Germany","","","",""
"Satisfactory","1993","Urban Area","East Germany","","","",""
"Satisfactory","1993","Rural Area","West Germany","","","",""
"Satisfactory","1993","Rural Area","East Germany","","","",""
"Poor","1993","Urban Area","West Germany","","","",""
"Poor","1993","Urban Area","East Germany","","","",""
"Poor","1993","Rural Area","West Germany","","","",""
"Poor","1993","Rural Area","East Germany","","","",""
"Bad ","1993","Urban Area","West Germany","","","",""
"Bad ","1993","Urban Area","East Germany","","","",""
"Bad ","1993","Rural Area","West Germany","","","",""
"Bad ","1993","Rural Area","East Germany","","","",""
"Very good","1994","Urban Area","West Germany","785","0.0859586012103192","0.0795019636102655","0.0924152388103729"
"Very good","1994","Urban Area","East Germany","128","0.0877978166148576","0.0727957446179036","0.102799888611812"
"Very good","1994","Rural Area","West Germany","230","0.10010639082317","0.086578539787218","0.113634241859122"
"Very good","1994","Rural Area","East Germany","201","0.075257326086366","0.064746780757108","0.085767871415624"
"Good","1994","Urban Area","West Germany","2923","0.378246070182069","0.367075501332446","0.389416639031692"
"Good","1994","Urban Area","East Germany","546","0.36788314526737","0.342319813030331","0.393446477504408"
"Good","1994","Rural Area","West Germany","755","0.361764553366771","0.340107179559367","0.383421927174176"
"Good","1994","Rural Area","East Germany","1011","0.385180671379628","0.365792073336601","0.404569269422656"
"Satisfactory","1994","Urban Area","West Germany","2175","0.324533359047005","0.313748600332769","0.335318117761241"
"Satisfactory","1994","Urban Area","East Germany","472","0.360515613094505","0.335062503620932","0.385968722568078"
"Satisfactory","1994","Rural Area","West Germany","588","0.335185845485072","0.313909585399219","0.356462105570925"
"Satisfactory","1994","Rural Area","East Germany","858","0.377618590927856","0.358303560463498","0.396933621392214"
"Poor","1994","Urban Area","West Germany","1075","0.162993113215205","0.154485104010747","0.171501122419664"
"Poor","1994","Urban Area","East Germany","183","0.14783354700676","0.12901818627816","0.16664890773536"
"Poor","1994","Rural Area","West Germany","242","0.153076934087392","0.136848404009206","0.169305464165578"
"Poor","1994","Rural Area","East Germany","268","0.117727514302551","0.104887048957612","0.13056797964749"
"Bad ","1994","Urban Area","West Germany","282","0.0482688563454009","0.043331784434882","0.0532059282559197"
"Bad ","1994","Urban Area","East Germany","38","0.035969878016508","0.0260984810190108","0.0458412750140051"
"Bad ","1994","Rural Area","West Germany","76","0.0498662762375949","0.0400556176515981","0.0596769348235917"
"Bad ","1994","Rural Area","East Germany","82","0.0442158973035985","0.0360254139717791","0.0524063806354178"
"Very good","1995","Urban Area","West Germany","799","0.082154497611403","0.0759788192943067","0.0883301759284992"
"Very good","1995","Urban Area","East Germany","100","0.0691561403608366","0.0551855880363819","0.0831266926852913"
"Very good","1995","Rural Area","West Germany","227","0.0938054511806804","0.0811534924008537","0.106457409960507"
"Very good","1995","Rural Area","East Germany","186","0.0641960507384071","0.0544448118618577","0.0739472896149566"
"Good","1995","Urban Area","West Germany","3146","0.385504955592063","0.374558881664488","0.396451029519638"
"Good","1995","Urban Area","East Germany","486","0.356760681240047","0.330383124402895","0.383138238077199"
"Good","1995","Rural Area","West Germany","834","0.372677211808309","0.351695304787982","0.393659118828636"
"Good","1995","Rural Area","East Germany","1017","0.399038324110928","0.379555859525957","0.418520788695898"
"Satisfactory","1995","Urban Area","West Germany","2287","0.330122622103041","0.31954666937992","0.340698574826161"
"Satisfactory","1995","Urban Area","East Germany","465","0.37939846183459","0.352679843866371","0.406117079802808"
"Satisfactory","1995","Rural Area","West Germany","643","0.335069428679243","0.314586664718654","0.355552192639832"
