"m11126","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Part Time","direct migration background","13","","","","5"
"Bad ","1992","Full Time","no migration background","51","0.0123703915692015","0.00933206749927807","0.015408715639125","5"
"Bad ","1992","Part Time","no migration background","45","0.0267352623516687","0.0196745483257161","0.0337959763776213","5"
"Bad ","1992","Full Time","direct migration background","42","0.026139337415829","0.0176094331711254","0.0346692416605326","5"
"Bad ","1992","Full Time","indirect migration background","","","","","5"
"Bad ","1992","Part Time","indirect migration background","2","","","","5"
"Bad ","1992","Not Working","no migration background","283","0.100127583693484","0.0898893062477181","0.110365861139251","5"
"Bad ","1992","Not Working","direct migration background","62","0.0848234256108995","0.0655765383634776","0.104070312858321","5"
"Bad ","1992","Not Working","indirect migration background","3","","","","5"
"Good","1992","Full Time","direct migration background","576","0.436952063376815","0.410434229869654","0.463469896883976","2"
"Good","1992","Full Time","indirect migration background","82","0.457968505472257","0.382176375144009","0.533760635800504","2"
"Good","1992","Not Working","no migration background","937","0.260556872415834","0.245585444924389","0.275528299907279","2"
"Good","1992","Part Time","indirect migration background","30","0.396529819039748","0.293143112927213","0.499916525152282","2"
"Good","1992","Full Time","no migration background","2510","0.473870161550268","0.460144873491022","0.487595449609513","2"
"Good","1992","Part Time","direct migration background","169","0.403249317277221","0.356109845863557","0.450388788690885","2"
"Good","1992","Not Working","indirect migration background","55","0.365130009126833","0.289576967056551","0.440683051197115","2"
"Good","1992","Part Time","no migration background","922","0.44944967302103","0.427676087604908","0.471223258437151","2"
"Good","1992","Not Working","direct migration background","263","0.300196613156968","0.268534414828931","0.331858811485004","2"
"Poor","1992","Full Time","indirect migration background","8","","","","4"
"Poor","1992","Full Time","direct migration background","158","0.101611692034166","0.0854587236182153","0.117764660450117","4"
"Poor","1992","Part Time","indirect migration background","8","","","","4"
"Poor","1992","Not Working","direct migration background","155","0.213041526568155","0.184756395761561","0.241326657374749","4"
"Poor","1992","Not Working","indirect migration background","7","","","","4"
"Poor","1992","Full Time","no migration background","311","0.0716343259136299","0.0645456446937164","0.0787230071335433","4"
"Poor","1992","Part Time","no migration background","162","0.0785985180059171","0.0668191352336084","0.0903779007782258","4"
"Poor","1992","Part Time","direct migration background","45","0.112437645803788","0.0820807937303573","0.142794497877219","4"
"Poor","1992","Not Working","no migration background","587","0.199008479730823","0.185390605879305","0.21262635358234","4"
"Satisfactory","1992","Full Time","direct migration background","350","0.26862498426063","0.244928074298479","0.292321894222781","3"
"Satisfactory","1992","Not Working","no migration background","1162","0.366117240939826","0.349685858014848","0.382548623864804","3"
"Satisfactory","1992","Part Time","indirect migration background","13","","","","3"
"Satisfactory","1992","Not Working","indirect migration background","11","","","","3"
"Satisfactory","1992","Full Time","no migration background","1321","0.27184329152968","0.259613556220248","0.284073026839112","3"
"Satisfactory","1992","Full Time","indirect migration background","19","","","","3"
"Satisfactory","1992","Part Time","no migration background","526","0.276332693233354","0.256758831604189","0.295906554862518","3"
"Satisfactory","1992","Part Time","direct migration background","120","0.275588692226549","0.232652380723812","0.318525003729286","3"
"Satisfactory","1992","Not Working","direct migration background","223","0.293498230922859","0.262041794496413","0.324954667349306","3"
"Very good","1992","Full Time","no migration background","891","0.170281829437221","0.159949582566144","0.180614076308298","1"
"Very good","1992","Full Time","direct migration background","218","0.16667192291256","0.1467474112021","0.18659643462302","1"
"Very good","1992","Full Time","indirect migration background","57","0.340246910073187","0.268172373540112","0.412321446606263","1"
"Very good","1992","Part Time","no migration background","350","0.168883853388031","0.152484911488107","0.185282795287955","1"
"Very good","1992","Part Time","direct migration background","69","0.175308846392322","0.138770489824898","0.211847202959747","1"
"Very good","1992","Part Time","indirect migration background","33","0.33028876759614","0.230888040963942","0.429689494228338","1"
"Very good","1992","Not Working","no migration background","333","0.0741898232200332","0.065250745775158","0.0831289006649085","1"
"Very good","1992","Not Working","direct migration background","102","0.108440203741118","0.0869608825922593","0.129919524889977","1"
"Very good","1992","Not Working","indirect migration background","80","0.395414999310306","0.318689266378073","0.472140732242539","1"
"Bad ","1993","Full Time","no migration background","","","","","5"
"Bad ","1993","Full Time","direct migration background","","","","","5"
"Bad ","1993","Full Time","indirect migration background","","","","","5"
"Bad ","1993","Part Time","no migration background","","","","","5"
"Bad ","1993","Part Time","direct migration background","","","","","5"
"Bad ","1993","Part Time","indirect migration background","","","","","5"
"Bad ","1993","Not Working","no migration background","","","","","5"
"Bad ","1993","Not Working","direct migration background","","","","","5"
"Bad ","1993","Not Working","indirect migration background","","","","","5"
"Good","1993","Full Time","direct migration background","","","","","2"
"Good","1993","Full Time","no migration background","","","","","2"
"Good","1993","Full Time","indirect migration background","","","","","2"
"Good","1993","Part Time","direct migration background","","","","","2"
"Good","1993","Part Time","indirect migration background","","","","","2"
"Good","1993","Not Working","no migration background","","","","","2"
"Good","1993","Not Working","indirect migration background","","","","","2"
"Good","1993","Part Time","no migration background","","","","","2"
"Good","1993","Not Working","direct migration background","","","","","2"
"Poor","1993","Full Time","indirect migration background","","","","","4"
