"m11126","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Very good","1992","in school","Male","48","0.514229966963773","0.412651730753998","0.615808203173549"
"Very good","1992","in school","Female","37","0.359961251788337","0.262929209010201","0.456993294566473"
"Very good","1992","inadequately","Male","39","0.18944466296102","0.141063050001167","0.237826275920874"
"Very good","1992","inadequately","Female","34","0.121637053642178","0.0887292849960119","0.154544822288344"
"Very good","1992","general elemantary","Male","231","0.189066322591421","0.164500973560824","0.213631671622018"
"Very good","1992","general elemantary","Female","198","0.0766803808534969","0.0644793372314146","0.0888814244755792"
"Very good","1992","middle vocational","Male","571","0.140846083881873","0.129228270535318","0.152463897228428"
"Very good","1992","middle vocational","Female","453","0.12352455205022","0.112289711764132","0.134759392336308"
"Very good","1992","vocational + Abi","Male","41","0.170484596483056","0.120564588663095","0.220404604303017"
"Very good","1992","vocational + Abi","Female","34","0.161373948919354","0.105745834655785","0.217002063182924"
"Very good","1992","higher vocational","Male","66","0.129101482802404","0.0995326618630649","0.158670303741743"
"Very good","1992","higher vocational","Female","37","0.107813846457946","0.0712241708076492","0.144403522108244"
"Very good","1992","higher education","Male","143","0.149406790338402","0.126257641553644","0.17255593912316"
"Very good","1992","higher education","Female","146","0.199588671963102","0.170868556556738","0.228308787369466"
"Good","1992","in school","Male","40","0.437930512732298","0.337097156154081","0.538763869310514"
"Good","1992","in school","Female","37","0.414955538569066","0.315350941448398","0.514560135689733"
"Good","1992","inadequately","Male","81","0.295629000323619","0.239288321994389","0.35196967865285"
"Good","1992","inadequately","Female","125","0.332859460420732","0.285416956256263","0.380301964585201"
"Good","1992","general elemantary","Male","408","0.384533377179805","0.354012820112623","0.415053934246987"
"Good","1992","general elemantary","Female","558","0.256404698499909","0.236382575481272","0.276426821518545"
"Good","1992","middle vocational","Male","1486","0.414953472317284","0.398497959382616","0.431408985251953"
"Good","1992","middle vocational","Female","1408","0.393136393673804","0.376458640078592","0.409814147269015"
"Good","1992","vocational + Abi","Male","105","0.497397808117152","0.431025951409005","0.563769664825298"
"Good","1992","vocational + Abi","Female","76","0.485192061787663","0.409617974472174","0.560766149103153"
"Good","1992","higher vocational","Male","203","0.381652452928651","0.338813882775271","0.424491023082031"
"Good","1992","higher vocational","Female","120","0.386970982098671","0.329509970685798","0.444431993511544"
"Good","1992","higher education","Male","447","0.480747998389856","0.448303823443141","0.51319217333657"
"Good","1992","higher education","Female","379","0.45064202669617","0.414889627976158","0.486394425416181"
"Satisfactory","1992","in school","Male","4","","",""
"Satisfactory","1992","in school","Female","16","","",""
"Satisfactory","1992","inadequately","Male","76","0.32545487659546","0.267605495662114","0.383304257528805"
"Satisfactory","1992","inadequately","Female","108","0.248497738344824","0.204991167665542","0.292004309024106"
"Satisfactory","1992","general elemantary","Male","202","0.258906202331622","0.231425299360582","0.286387105302661"
"Satisfactory","1992","general elemantary","Female","659","0.399893597877","0.377430731534663","0.422356464219336"
"Satisfactory","1992","middle vocational","Male","955","0.297987665938083","0.282712426195424","0.313262905680742"
"Satisfactory","1992","middle vocational","Female","953","0.299578842355413","0.283938164222255","0.31521952048857"
"Satisfactory","1992","vocational + Abi","Male","47","0.214896624749105","0.160371324767489","0.269421924730721"
"Satisfactory","1992","vocational + Abi","Female","42","0.240151422634031","0.175556324946804","0.304746520321257"
