"m11126","year","e11103","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Full Time","1166","0.171659864349552","0.162558377320169","0.180761351378934"
"Very good","1992","Part Time","452","0.172280981516499","0.15749905429316","0.187062908739838"
"Very good","1992","Not Working","515","0.0822101802951441","0.0739645313098073","0.0904558292804808"
"Good","1992","Full Time","3168","0.469338895907441","0.45729337678439","0.481384415030492"
"Good","1992","Part Time","1121","0.443970739227562","0.424521755121552","0.463419723333573"
"Good","1992","Not Working","1255","0.26612705749619","0.252860892983642","0.279393222008739"
"Satisfactory","1992","Full Time","1690","0.269867724606072","0.259153768404205","0.280581680807938"
"Satisfactory","1992","Part Time","659","0.274423805867165","0.256956604449423","0.291891007284907"
"Satisfactory","1992","Not Working","1396","0.354855336968495","0.340492353856803","0.369218320080187"
"Poor","1992","Full Time","477","0.0752674572170345","0.0688997173634783","0.0816351970705907"
"Poor","1992","Part Time","215","0.0818082635001935","0.0710798327786904","0.0925366942216966"
"Poor","1992","Not Working","749","0.19921350792656","0.187223811543207","0.211203204309914"
"Bad ","1992","Full Time","93","0.0138660579199013","0.0110436610735291","0.0166884547662735"
"Bad ","1992","Part Time","60","0.0275162098885801","0.0211128720412432","0.033919547735917"
"Bad ","1992","Not Working","348","0.0975939173136103","0.0886854537725251","0.106502380854695"
"Very good","1993","Full Time","","","",""
"Very good","1993","Part Time","","","",""
"Very good","1993","Not Working","","","",""
"Good","1993","Full Time","","","",""
"Good","1993","Part Time","","","",""
"Good","1993","Not Working","","","",""
"Satisfactory","1993","Full Time","","","",""
"Satisfactory","1993","Part Time","","","",""
"Satisfactory","1993","Not Working","","","",""
"Poor","1993","Full Time","","","",""
"Poor","1993","Part Time","","","",""
"Poor","1993","Not Working","","","",""
"Bad ","1993","Full Time","","","",""
"Bad ","1993","Part Time","","","",""
"Bad ","1993","Not Working","","","",""
"Very good","1994","Full Time","724","0.107035595746778","0.0991972577719711","0.114873933721585"
"Very good","1994","Part Time","268","0.112559202523701","0.0998268351539762","0.125291569893426"
"Very good","1994","Not Working","352","0.0564588751980206","0.0497708319991503","0.0631469183968908"
"Good","1994","Full Time","2789","0.461693318926868","0.449053685562682","0.474332952291055"
"Good","1994","Part Time","1024","0.412921220169314","0.393086286406471","0.432756153932157"
"Good","1994","Not Working","1422","0.271423205941442","0.258537337385193","0.28430907449769"
"Satisfactory","1994","Full Time","1798","0.312087869832851","0.300340308398495","0.323835431267207"
"Satisfactory","1994","Part Time","714","0.317233954479104","0.298485099402225","0.335982809555983"
"Satisfactory","1994","Not Working","1581","0.367467103758168","0.353496880923635","0.3814373265927"
"Poor","1994","Full Time","575","0.10465589678064","0.0968948618664549","0.112416931694826"
"Poor","1994","Part Time","312","0.132391603816803","0.118738196177483","0.146045011456123"
"Poor","1994","Not Working","881","0.214823930216188","0.202923096196413","0.226724764235963"
"Bad ","1994","Full Time","90","0.0145273187128629","0.0114937221495519","0.0175609152761739"
"Bad ","1994","Part Time","49","0.0248940190110784","0.0186174489542396","0.0311705890679172"
"Bad ","1994","Not Working","339","0.0898268848861821","0.0815414041318795","0.0981123656404847"
"Very good","1995","Full Time","648","0.0962201784864425","0.0886980747911683","0.103742282181717"
"Very good","1995","Part Time","279","0.0956055401503795","0.0843158671829452","0.106895213117814"
"Very good","1995","Not Working","385","0.0606790485772494","0.0539384880342781","0.0674196091202208"
"Good","1995","Full Time","2785","0.469697196955736","0.456966685203009","0.482427708708463"
"Good","1995","Part Time","1219","0.457133252050237","0.438007042384097","0.476259461716378"
"Good","1995","Not Working","1479","0.268592205414712","0.256078206221973","0.281106204607451"
"Satisfactory","1995","Full Time","1823","0.324366852745592","0.312425634818653","0.336308070672532"
"Satisfactory","1995","Part Time","744","0.298377643216469","0.280810718726003","0.315944567706935"
"Satisfactory","1995","Not Working","1679","0.368421313729274","0.35480198401183","0.382040643446717"
"Poor","1995","Full Time","564","0.0959013009033921","0.0883903471490639","0.10341225465772"
"Poor","1995","Part Time","306","0.127743902169658","0.114927887920044","0.140559916419273"
"Poor","1995","Not Working","933","0.217037466173645","0.205398685786352","0.228676246560938"
"Bad ","1995","Full Time","84","0.0138144709088372","0.0108371794091403","0.016791762408534"
"Bad ","1995","Part Time","58","0.0211396624132564","0.0156167230513526","0.0266626017751601"
"Bad ","1995","Not Working","343","0.0852699661051201","0.0773847401561104","0.0931551920541297"
"Very good","1996","Full Time","621","0.096728119605916","0.0890820202793018","0.10437421893253"
"Very good","1996","Part Time","309","0.108585324473574","0.0968435678492666","0.120327081097881"
"Very good","1996","Not Working","362","0.0594617633092877","0.0526711522603665","0.0662523743582089"
"Good","1996","Full Time","2754","0.480504230145819","0.467580319906749","0.493428140384889"
"Good","1996","Part Time","1157","0.416221199346799","0.39761773287368","0.434824665819917"
"Good","1996","Not Working","1349","0.253300730931337","0.240812732934211","0.265788728928464"
"Satisfactory","1996","Full Time","1796","0.317818126443916","0.305773488859378","0.329862764028453"
"Satisfactory","1996","Part Time","862","0.344100876105131","0.326171340855911","0.362030411354352"
"Satisfactory","1996","Not Working","1713","0.384936091783614","0.370964169095225","0.398908014472004"
"Poor","1996","Full Time","496","0.0902972034535789","0.0828833971957162","0.0977110097114416"
"Poor","1996","Part Time","299","0.106777870162631","0.0951224487104089","0.118433291614854"
"Poor","1996","Not Working","914","0.220181364758155","0.208282957767887","0.232079771748423"
"Bad ","1996","Full Time","74","0.0146523203507701","0.0115441682068824","0.0177604724946578"
"Bad ","1996","Part Time","70","0.0243147299118645","0.0185017714855677","0.0301276883381612"
"Bad ","1996","Not Working","321","0.0821200492176055","0.0742365454750735","0.0900035529601374"
"Very good","1997","Full Time","583","0.100071417923846","0.0922122900688655","0.107930545778826"
"Very good","1997","Part Time","255","0.105375111518994","0.0934627663847503","0.117287456653238"
"Very good","1997","Not Working","341","0.0598381606279774","0.05308803343975","0.0665882878162047"
"Good","1997","Full Time","2834","0.487215366157045","0.474125256205776","0.500305476108314"
"Good","1997","Part Time","1176","0.441312314263382","0.422047477718893","0.46057715080787"
"Good","1997","Not Working","1446","0.253984641576995","0.241596700220244","0.266372582933746"
"Satisfactory","1997","Full Time","1672","0.314347722284516","0.302189434323474","0.326506010245558"
"Satisfactory","1997","Part Time","776","0.314111956644833","0.296103495377611","0.332120417912055"
"Satisfactory","1997","Not Working","1740","0.39642594189782","0.38250502487797","0.41034685891767"
"Poor","1997","Full Time","451","0.0865993361602555","0.0792338189676677","0.0939648533528433"
"Poor","1997","Part Time","273","0.114747112042173","0.102381594038003","0.127112630046343"
"Poor","1997","Not Working","889","0.208358199407982","0.196799973316023","0.219916425499942"
"Bad ","1997","Full Time","61","0.0117661574743378","0.00894217176816623","0.0145901431805094"
"Bad ","1997","Part Time","72","0.0244535055306182","0.0184610846945863","0.0304459263666502"
"Bad ","1997","Not Working","327","0.0813930564892253","0.0736112564078307","0.08917485657062"
"Very good","1998","Full Time","705","0.12000171717675","0.111778470792793","0.128224963560706"
"Very good","1998","Part Time","327","0.115657749106694","0.103969452995993","0.127346045217395"
"Very good","1998","Not Working","448","0.0724176625507475","0.0655176968104341","0.079317628291061"
"Good","1998","Full Time","3106","0.499484509469904","0.48683194865087","0.512137070288937"
"Good","1998","Part Time","1358","0.462538601256548","0.444316381470285","0.480760821042812"
"Good","1998","Not Working","1654","0.273361215112745","0.261495984506372","0.285226445719117"
"Satisfactory","1998","Full Time","1669","0.284291897376103","0.272877345451776","0.295706449300431"
"Satisfactory","1998","Part Time","848","0.299043614497208","0.282310899457727","0.315776329536689"
"Satisfactory","1998","Not Working","1904","0.368794793997219","0.35595003013157","0.381639557862868"
"Poor","1998","Full Time","452","0.0837523740270706","0.0767424444596948","0.0907623035944464"
"Poor","1998","Part Time","286","0.0977026247507684","0.0868513286896661","0.108553920811871"
"Poor","1998","Not Working","1013","0.203322098806695","0.192607346766767","0.214036850846623"
"Bad ","1998","Full Time","67","0.0124695019501729","0.00966142844258067","0.0152775754577651"
"Bad ","1998","Part Time","57","0.0250574103887819","0.0193451070127968","0.0307697137647669"
"Bad ","1998","Not Working","401","0.0821042295325936","0.0747957354930381","0.089412723572149"
"Very good","1999","Full Time","617","0.101252674123179","0.0935178186292083","0.108987529617151"
"Very good","1999","Part Time","314","0.11552416403254","0.103973521055803","0.127074807009277"
"Very good","1999","Not Working","376","0.0668823482943949","0.0599250938626655","0.0738396027261244"
