"m11126","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Not Employed","Urban Area","358","0.0831242282453352","0.0730695570333865","0.093178899457284"
"Very good","1992","Not Employed","Rural Area","153","0.0796741171412767","0.0651755481395127","0.0941726861430407"
"Very good","1992","Employed","Urban Area","1059","0.17276537496295","0.163135293891981","0.182395456033919"
"Very good","1992","Employed","Rural Area","529","0.166030912336267","0.152908653782113","0.179153170890421"
"Good","1992","Not Employed","Urban Area","917","0.286046024645951","0.269587084019792","0.302504965272109"
"Good","1992","Not Employed","Rural Area","329","0.21805213328879","0.195943354142387","0.240160912435193"
"Good","1992","Employed","Urban Area","2716","0.45132891941587","0.438652696908832","0.464005141922907"
"Good","1992","Employed","Rural Area","1532","0.487212828556378","0.469586288582184","0.504839368530572"
"Satisfactory","1992","Not Employed","Urban Area","904","0.342278201907199","0.324997572727959","0.359558831086439"
"Satisfactory","1992","Not Employed","Rural Area","486","0.38646285187687","0.360391112825446","0.412534590928294"
"Satisfactory","1992","Employed","Urban Area","1535","0.275046067585959","0.263671231091337","0.286420904080581"
"Satisfactory","1992","Employed","Rural Area","796","0.263874869414452","0.248332616395334","0.27941712243357"
"Poor","1992","Not Employed","Urban Area","501","0.194437954710252","0.180023811512807","0.208852097907698"
"Poor","1992","Not Employed","Rural Area","243","0.209869525021816","0.188066347643331","0.2316727024003"
"Poor","1992","Employed","Urban Area","503","0.0833936054475603","0.0763508103330523","0.0904364005620684"
"Poor","1992","Employed","Rural Area","187","0.0643124151657015","0.0556617006494564","0.0729631296819466"
"Bad ","1992","Not Employed","Urban Area","216","0.0941135904912623","0.0834792183129071","0.104747962669618"
"Bad ","1992","Not Employed","Rural Area","129","0.105941372671247","0.08946310744143","0.122419637901064"
"Bad ","1992","Employed","Urban Area","107","0.0174660325876607","0.0141290175984841","0.0208030475768372"
"Bad ","1992","Employed","Rural Area","45","0.0185689745272013","0.0138083603173002","0.0233295887371023"
"Very good","1993","Not Employed","Urban Area","","","",""
"Very good","1993","Not Employed","Rural Area","","","",""
"Very good","1993","Employed","Urban Area","","","",""
"Very good","1993","Employed","Rural Area","","","",""
"Good","1993","Not Employed","Urban Area","","","",""
"Good","1993","Not Employed","Rural Area","","","",""
"Good","1993","Employed","Urban Area","","","",""
"Good","1993","Employed","Rural Area","","","",""
"Satisfactory","1993","Not Employed","Urban Area","","","",""
"Satisfactory","1993","Not Employed","Rural Area","","","",""
"Satisfactory","1993","Employed","Urban Area","","","",""
"Satisfactory","1993","Employed","Rural Area","","","",""
"Poor","1993","Not Employed","Urban Area","","","",""
"Poor","1993","Not Employed","Rural Area","","","",""
"Poor","1993","Employed","Urban Area","","","",""
"Poor","1993","Employed","Rural Area","","","",""
"Bad ","1993","Not Employed","Urban Area","","","",""
"Bad ","1993","Not Employed","Rural Area","","","",""
"Bad ","1993","Employed","Urban Area","","","",""
"Bad ","1993","Employed","Rural Area","","","",""
"Very good","1994","Not Employed","Urban Area","251","0.0608101715005832","0.0523523988404762","0.0692679441606902"
"Very good","1994","Not Employed","Rural Area","101","0.0464915258446267","0.0358648704150768","0.0571181812741767"
"Very good","1994","Employed","Urban Area","662","0.10355933347872","0.0955361152158315","0.111582551741609"
"Very good","1994","Employed","Rural Area","330","0.12067010623186","0.108611078093677","0.132729134370043"
"Good","1994","Not Employed","Urban Area","980","0.274661274720322","0.258864793662241","0.290457755778403"
"Good","1994","Not Employed","Rural Area","442","0.264005884641026","0.241757863174897","0.286253906107154"
"Good","1994","Employed","Urban Area","2489","0.447482701474178","0.434389246046283","0.460576156902073"
"Good","1994","Employed","Rural Area","1324","0.446912963913267","0.42850758519902","0.465318342627515"
"Satisfactory","1994","Not Employed","Urban Area","993","0.3558622137844","0.338917995825403","0.372806431743398"
"Satisfactory","1994","Not Employed","Rural Area","588","0.394049984935006","0.369387236209267","0.418712733660745"
"Satisfactory","1994","Employed","Urban Area","1654","0.309561914764513","0.297388025682069","0.321735803846958"
"Satisfactory","1994","Employed","Rural Area","858","0.323114321778316","0.305801322582402","0.34042732097423"
"Poor","1994","Not Employed","Urban Area","622","0.219487414594987","0.204839156966501","0.234135672223473"
"Poor","1994","Not Employed","Rural Area","259","0.204141463480883","0.183797715287837","0.224485211673929"
"Poor","1994","Employed","Urban Area","636","0.121450303681305","0.112848774289597","0.130051833073013"
"Poor","1994","Employed","Rural Area","251","0.0925694710069927","0.0818400292587753","0.10329891275521"
"Bad ","1994","Not Employed","Urban Area","221","0.0891789253997079","0.0790924634197029","0.0992653873797128"
"Bad ","1994","Not Employed","Rural Area","118","0.0913111410984586","0.0767727312762575","0.10584955092066"
"Bad ","1994","Employed","Urban Area","99","0.0179457466012834","0.014449985747912","0.0214415074546548"
"Bad ","1994","Employed","Rural Area","40","0.0167331370695637","0.0119845880231872","0.0214816861159402"
"Very good","1995","Not Employed","Urban Area","271","0.064063082123708","0.0556368218059811","0.0724893424414349"
"Very good","1995","Not Employed","Rural Area","114","0.0529719700286982","0.0419105141606641","0.0640334258967324"
"Very good","1995","Employed","Urban Area","628","0.0929842853883471","0.0853903061015668","0.100578264675127"
"Very good","1995","Employed","Rural Area","299","0.1030151158006","0.0919363345724563","0.114093897028744"
"Good","1995","Not Employed","Urban Area","1011","0.27134243859093","0.25604114077391","0.286643736407951"
"Good","1995","Not Employed","Rural Area","468","0.262328596373919","0.240603480388353","0.284053712359484"
"Good","1995","Employed","Urban Area","2621","0.46311206482234","0.450073130626788","0.476150999017893"
"Good","1995","Employed","Rural Area","1383","0.47164710846916","0.453453469219542","0.489840747718778"
"Satisfactory","1995","Not Employed","Urban Area","1086","0.356570008981542","0.340087219029664","0.373052798933419"
"Satisfactory","1995","Not Employed","Rural Area","593","0.39541245768208","0.371265490993698","0.419559424370462"
"Satisfactory","1995","Employed","Urban Area","1666","0.31955684416518","0.307363377075794","0.331750311254565"
"Satisfactory","1995","Employed","Rural Area","901","0.308139684069606","0.29131170459585","0.324967663543362"
"Poor","1995","Not Employed","Urban Area","638","0.217895221026906","0.203689476810224","0.232100965243589"
"Poor","1995","Not Employed","Rural Area","295","0.215083944159536","0.194792011409989","0.235375876909084"
"Poor","1995","Employed","Urban Area","597","0.106563804760912","0.098495285239793","0.114632324282031"
"Poor","1995","Employed","Rural Area","273","0.104817510584696","0.0936534635786256","0.115981557590766"
"Bad ","1995","Not Employed","Urban Area","238","0.0901292492769136","0.0802748445025074","0.0999836540513197"
"Bad ","1995","Not Employed","Rural Area","105","0.0742030317557669","0.0612587930259701","0.0871472704855637"
"Bad ","1995","Employed","Urban Area","106","0.0177830008632208","0.0143270825273737","0.0212389191990679"
"Bad ","1995","Employed","Rural Area","36","0.0123805810759376","0.00835049547113098","0.0164106666807442"
"Very good","1996","Not Employed","Urban Area","261","0.0630089395608873","0.0544871479897163","0.0715307311320584"
"Very good","1996","Not Employed","Rural Area","101","0.0513242663847291","0.0402856619140286","0.0623628708554297"
"Very good","1996","Employed","Urban Area","644","0.101826090476753","0.093867635556097","0.109784545397408"
"Very good","1996","Employed","Rural Area","286","0.0975559803911749","0.0867401185846709","0.108371842197679"
"Good","1996","Not Employed","Urban Area","915","0.249970477995887","0.23478439957432","0.265156556417455"
