"m11126","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","16-34 y.","Urban Area","28","","","","5"
"Bad ","1992","16-34 y.","Rural Area","17","","","","5"
"Bad ","1992","35-65 y.","Urban Area","177","0.0403645685095836","0.0346484019844643","0.0460807350347028","5"
"Bad ","1992","35-65 y.","Rural Area","92","0.0457096063730557","0.0371573726109751","0.0542618401351363","5"
"Bad ","1992","66 and older","Urban Area","118","0.132574487258258","0.111167495203541","0.153981479312975","5"
"Bad ","1992","66 and older","Rural Area","65","0.131440286078569","0.1019712119867","0.160909360170439","5"
"Good","1992","16-34 y.","Rural Area","813","0.503677098572906","0.479427013951091","0.52792718319472","2"
"Good","1992","16-34 y.","Urban Area","1644","0.502127945235227","0.485063631132755","0.519192259337698","2"
"Good","1992","35-65 y.","Urban Area","1797","0.38555909916059","0.371422754835365","0.399695443485815","2"
"Good","1992","35-65 y.","Rural Area","968","0.399769694470727","0.379711148870887","0.419828240070568","2"
"Good","1992","66 and older","Urban Area","192","0.196936073372966","0.171831822268414","0.222040324477518","2"
"Good","1992","66 and older","Rural Area","80","0.149967749270643","0.118827718278435","0.181107780262852","2"
"Poor","1992","16-34 y.","Rural Area","59","0.0383937297322582","0.0290744189777559","0.0477130404867606","4"
"Poor","1992","16-34 y.","Urban Area","128","0.0374482292428086","0.0309685955146047","0.0439278629710124","4"
"Poor","1992","35-65 y.","Urban Area","662","0.139855604927677","0.129782178989336","0.149929030866019","4"
"Poor","1992","35-65 y.","Rural Area","236","0.106344780389603","0.0937213138287874","0.11896824695042","4"
"Poor","1992","66 and older","Urban Area","214","0.240356095230932","0.213382292763095","0.267329897698769","4"
"Poor","1992","66 and older","Rural Area","135","0.290429682940973","0.25083648125784","0.330022884624105","4"
"Satisfactory","1992","16-34 y.","Rural Area","270","0.167118254124976","0.149023252954323","0.185213255295628","3"
"Satisfactory","1992","16-34 y.","Urban Area","523","0.175648120375376","0.162661359768221","0.188634880982531","3"
"Satisfactory","1992","35-65 y.","Urban Area","1497","0.337975054477126","0.324236815130274","0.351713293823979","3"
"Satisfactory","1992","35-65 y.","Rural Area","798","0.366257656976693","0.346529556760842","0.385985757192545","3"
"Satisfactory","1992","66 and older","Rural Area","214","0.401106991095249","0.358359843621154","0.443854138569345","3"
"Satisfactory","1992","66 and older","Urban Area","419","0.412522530497686","0.381446251028996","0.443598809966375","3"
"Very good","1992","16-34 y.","Urban Area","975","0.276825986477362","0.261555685418558","0.292096287536165","1"
"Very good","1992","16-34 y.","Rural Area","474","0.277588732262884","0.255869314892141","0.299308149633627","1"
"Very good","1992","35-65 y.","Urban Area","421","0.0962456729250229","0.0876798837849041","0.104811462065142","1"
"Very good","1992","35-65 y.","Rural Area","197","0.0819182617899207","0.0706886023653537","0.0931479212144877","1"
"Very good","1992","66 and older","Urban Area","21","","","","1"
"Very good","1992","66 and older","Rural Area","11","","","","1"
"Bad ","1993","16-34 y.","Urban Area","","","","","5"
"Bad ","1993","16-34 y.","Rural Area","","","","","5"
"Bad ","1993","35-65 y.","Urban Area","","","","","5"
"Bad ","1993","35-65 y.","Rural Area","","","","","5"
"Bad ","1993","66 and older","Urban Area","","","","","5"
"Bad ","1993","66 and older","Rural Area","","","","","5"
"Good","1993","35-65 y.","Urban Area","","","","","2"
"Good","1993","16-34 y.","Urban Area","","","","","2"
"Good","1993","16-34 y.","Rural Area","","","","","2"
"Good","1993","35-65 y.","Rural Area","","","","","2"
"Good","1993","66 and older","Urban Area","","","","","2"
"Good","1993","66 and older","Rural Area","","","","","2"
"Poor","1993","16-34 y.","Rural Area","","","","","4"
"Poor","1993","16-34 y.","Urban Area","","","","","4"
"Poor","1993","35-65 y.","Urban Area","","","","","4"
"Poor","1993","35-65 y.","Rural Area","","","","","4"
"Poor","1993","66 and older","Rural Area","","","","","4"
"Poor","1993","66 and older","Urban Area","","","","","4"
"Satisfactory","1993","16-34 y.","Rural Area","","","","","3"
"Satisfactory","1993","16-34 y.","Urban Area","","","","","3"
"Satisfactory","1993","35-65 y.","Urban Area","","","","","3"
"Satisfactory","1993","35-65 y.","Rural Area","","","","","3"
"Satisfactory","1993","66 and older","Rural Area","","","","","3"
"Satisfactory","1993","66 and older","Urban Area","","","","","3"
"Very good","1993","16-34 y.","Urban Area","","","","","1"
"Very good","1993","16-34 y.","Rural Area","","","","","1"
"Very good","1993","35-65 y.","Urban Area","","","","","1"
"Very good","1993","35-65 y.","Rural Area","","","","","1"
"Very good","1993","66 and older","Urban Area","","","","","1"
"Very good","1993","66 and older","Rural Area","","","","","1"
"Bad ","1994","16-34 y.","Urban Area","35","0.00985276614472895","0.00645806302660058","0.0132474692628573","5"
"Bad ","1994","16-34 y.","Rural Area","11","","","","5"
