"m11126","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","16-34 y.","West Germany","1052","0.271830052242082","0.257284702625506","0.286375401858659"
"Very good","1992","16-34 y.","East Germany","423","0.30478332535875","0.280636442600182","0.328930208117317"
"Very good","1992","35-65 y.","West Germany","434","0.0945019323304745","0.0861477923911227","0.102856072269826"
"Very good","1992","35-65 y.","East Germany","192","0.083638362773535","0.0720382918809394","0.0952384336661306"
"Very good","1992","66 and older","West Germany","22","","",""
"Very good","1992","66 and older","East Germany","10","","",""
"Good","1992","16-34 y.","West Germany","1739","0.495284701184074","0.478938767002221","0.511630635365927"
"Good","1992","16-34 y.","East Germany","741","0.52725561849254","0.501065999637995","0.553445237347085"
"Good","1992","35-65 y.","West Germany","1785","0.377233299043649","0.363391092034354","0.391075506052943"
"Good","1992","35-65 y.","East Germany","1004","0.43812161940906","0.417332172499429","0.45891106631869"
"Good","1992","66 and older","West Germany","213","0.191263981380073","0.167786111065023","0.214741851695124"
"Good","1992","66 and older","East Germany","62","0.14588381929256","0.111204657485169","0.180562981099952"
"Satisfactory","1992","16-34 y.","West Germany","611","0.181096410132913","0.168506275832271","0.193686544433555"
"Satisfactory","1992","16-34 y.","East Germany","191","0.139647415799671","0.12146464487383","0.157830186725511"
"Satisfactory","1992","35-65 y.","West Germany","1574","0.345452052680857","0.331871974853822","0.359032130507893"
"Satisfactory","1992","35-65 y.","East Germany","733","0.348410211534404","0.328445777428491","0.368374645640316"
"Satisfactory","1992","66 and older","West Germany","457","0.404454805130329","0.375157270737126","0.433752339523532"
"Satisfactory","1992","66 and older","East Germany","179","0.429788642049836","0.381153302308848","0.478423981790824"
"Poor","1992","16-34 y.","West Germany","152","0.0413084889510948","0.0348024276640143","0.0478145502381753"
"Poor","1992","16-34 y.","East Germany","36","0.0227117808474738","0.0148965410509716","0.0305270206439761"
"Poor","1992","35-65 y.","West Germany","699","0.13691459181025","0.127097352164397","0.146731831456102"
"Poor","1992","35-65 y.","East Germany","204","0.102069565703865","0.0893844652288815","0.114754666178849"
"Poor","1992","66 and older","West Germany","253","0.253318204891378","0.227356112390628","0.279280297392128"
"Poor","1992","66 and older","East Germany","97","0.266339810169016","0.222911585607195","0.309768034730837"
"Bad ","1992","16-34 y.","West Germany","40","0.0104803474898366","0.00715100013581466","0.0138096948438586"
"Bad ","1992","16-34 y.","East Germany","5","","",""
"Bad ","1992","35-65 y.","West Germany","218","0.0458981241347699","0.0399218228932133","0.0518744253763264"
"Bad ","1992","35-65 y.","East Germany","55","0.0277602405791366","0.0208765279197391","0.0346439532385341"
"Bad ","1992","66 and older","West Germany","133","0.131210101084635","0.111055243809496","0.151364958359774"
"Bad ","1992","66 and older","East Germany","50","0.134444592638714","0.100930639218493","0.167958546058935"
"Very good","1993","16-34 y.","West Germany","","","",""
"Very good","1993","16-34 y.","East Germany","","","",""
"Very good","1993","35-65 y.","West Germany","","","",""
"Very good","1993","35-65 y.","East Germany","","","",""
"Very good","1993","66 and older","West Germany","","","",""
"Very good","1993","66 and older","East Germany","","","",""
"Good","1993","16-34 y.","West Germany","","","",""
"Good","1993","16-34 y.","East Germany","","","",""
"Good","1993","35-65 y.","West Germany","","","",""
"Good","1993","35-65 y.","East Germany","","","",""
"Good","1993","66 and older","West Germany","","","",""
"Good","1993","66 and older","East Germany","","","",""
"Satisfactory","1993","16-34 y.","West Germany","","","",""
"Satisfactory","1993","16-34 y.","East Germany","","","",""
"Satisfactory","1993","35-65 y.","West Germany","","","",""
"Satisfactory","1993","35-65 y.","East Germany","","","",""
"Satisfactory","1993","66 and older","West Germany","","","",""
"Satisfactory","1993","66 and older","East Germany","","","",""
"Poor","1993","16-34 y.","West Germany","","","",""
"Poor","1993","16-34 y.","East Germany","","","",""
"Poor","1993","35-65 y.","West Germany","","","",""
"Poor","1993","35-65 y.","East Germany","","","",""
"Poor","1993","66 and older","West Germany","","","",""
"Poor","1993","66 and older","East Germany","","","",""
"Bad ","1993","16-34 y.","West Germany","","","",""
"Bad ","1993","16-34 y.","East Germany","","","",""
"Bad ","1993","35-65 y.","West Germany","","","",""
"Bad ","1993","35-65 y.","East Germany","","","",""
"Bad ","1993","66 and older","West Germany","","","",""
"Bad ","1993","66 and older","East Germany","","","",""
"Very good","1994","16-34 y.","West Germany","739","0.192612151285353","0.179617874233352","0.205606428337354"
"Very good","1994","16-34 y.","East Germany","223","0.174929451166411","0.154068198347415","0.195790703985406"
"Very good","1994","35-65 y.","West Germany","258","0.0533983119704362","0.0468177544366979","0.0599788695041746"
"Very good","1994","35-65 y.","East Germany","101","0.0470968120654529","0.0380533872302421","0.0561402369006637"
"Very good","1994","66 and older","West Germany","18","","",""
"Very good","1994","66 and older","East Germany","5","","",""
"Good","1994","16-34 y.","West Germany","1792","0.508293401916843","0.491820146550761","0.524766657282926"
"Good","1994","16-34 y.","East Germany","694","0.536777268008024","0.509395885852803","0.564158650163246"
"Good","1994","35-65 y.","West Germany","1673","0.369968187363218","0.355836997890062","0.384099376836373"
"Good","1994","35-65 y.","East Germany","792","0.353589861942135","0.33318109484536","0.373998629038909"
"Good","1994","66 and older","West Germany","213","0.173784900298959","0.151483357848503","0.196086442749415"
"Good","1994","66 and older","East Germany","71","0.17406039786058","0.137133339699488","0.210987456021673"
"Satisfactory","1994","16-34 y.","West Germany","722","0.214261299345099","0.200741192738627","0.227781405951571"
"Satisfactory","1994","16-34 y.","East Germany","284","0.233661844847177","0.210425516634988","0.256898173059366"
"Satisfactory","1994","35-65 y.","West Germany","1593","0.368582933543953","0.35446272671214","0.382703140375766"
"Satisfactory","1994","35-65 y.","East Germany","856","0.418887089152673","0.397825480570275","0.439948697735071"
