"m11126","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Schleswig-Holstein","West Germany","47","0.157983412226036","0.114639340387778","0.201327484064294"
"Very good","1992","Schleswig-Holstein","East Germany","","","",""
"Very good","1992","Hamburg","West Germany","21","","",""
"Very good","1992","Hamburg","East Germany","","","",""
"Very good","1992","Lower Saxony","West Germany","157","0.13954072045395","0.117768269914878","0.161313170993022"
"Very good","1992","Lower Saxony","East Germany","","","",""
"Very good","1992","Bremen","West Germany","12","","",""
"Very good","1992","Bremen","East Germany","","","",""
"Very good","1992","North Rhine-Westphalia","West Germany","439","0.143156944873402","0.129520485058202","0.156793404688601"
"Very good","1992","North Rhine-Westphalia","East Germany","","","",""
"Very good","1992","Hesse","West Germany","156","0.133844953459469","0.112272927080259","0.15541697983868"
"Very good","1992","Hesse","East Germany","","","",""
"Very good","1992","Rhineland-Palatinate,Saarland","West Germany","92","0.117081554885336","0.0925525088189922","0.141610600951681"
"Very good","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very good","1992","Baden-Württemberg","West Germany","271","0.125853851490508","0.110410501574319","0.141297201406697"
"Very good","1992","Baden-Württemberg","East Germany","","","",""
"Very good","1992","Bavaria","West Germany","273","0.143359473520939","0.126424768088728","0.160294178953149"
"Very good","1992","Bavaria","East Germany","","","",""
"Very good","1992","Berlin","West Germany","40","0.0885625277223426","0.0575786855611815","0.119546369883504"
"Very good","1992","Berlin","East Germany","54","0.181109853867835","0.136001919691076","0.226217788044594"
"Very good","1992","Brandenburg","West Germany","","","",""
"Very good","1992","Brandenburg","East Germany","114","0.144239624861022","0.117556950557192","0.170922299164852"
"Very good","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very good","1992","Mecklenburg-Western Pomerania","East Germany","63","0.131576629916238","0.099132570062502","0.164020689769974"
"Very good","1992","Saxony","West Germany","","","",""
"Very good","1992","Saxony","East Germany","163","0.126963946223341","0.107813086420972","0.146114806025711"
"Very good","1992","Saxony-Anhalt","West Germany","","","",""
"Very good","1992","Saxony-Anhalt","East Germany","128","0.171842751484801","0.145317494861857","0.198368008107745"
"Very good","1992","Thuringia","West Germany","","","",""
"Very good","1992","Thuringia","East Germany","103","0.134368810109032","0.108754054367528","0.159983565850536"
"Good","1992","Schleswig-Holstein","West Germany","104","0.371446585545467","0.314023976753843","0.428869194337091"
"Good","1992","Schleswig-Holstein","East Germany","","","",""
"Good","1992","Hamburg","West Germany","58","0.311911071083671","0.238503634979704","0.385318507187638"
"Good","1992","Hamburg","East Germany","","","",""
"Good","1992","Lower Saxony","West Germany","363","0.351865912127764","0.32185959462649","0.381872229629038"
"Good","1992","Lower Saxony","East Germany","","","",""
"Good","1992","Bremen","West Germany","36","0.374669923927199","0.276294709636763","0.473045138217634"
"Good","1992","Bremen","East Germany","","","",""
"Good","1992","North Rhine-Westphalia","West Germany","1023","0.39305288621421","0.374035724224346","0.412070048204074"
"Good","1992","North Rhine-Westphalia","East Germany","","","",""
"Good","1992","Hesse","West Germany","400","0.394716373880718","0.363748302723418","0.425684445038017"
"Good","1992","Hesse","East Germany","","","",""
"Good","1992","Rhineland-Palatinate,Saarland","West Germany","251","0.360639541325315","0.32400542828703","0.3972736543636"
"Good","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Good","1992","Baden-Württemberg","West Germany","722","0.39265717607301","0.369919820476418","0.415394531669602"
"Good","1992","Baden-Württemberg","East Germany","","","",""
"Good","1992","Bavaria","West Germany","668","0.387195362604588","0.363656187745403","0.410734537463774"
"Good","1992","Bavaria","East Germany","","","",""
"Good","1992","Berlin","West Germany","112","0.313449343971236","0.262859096283327","0.364039591659145"
"Good","1992","Berlin","East Germany","132","0.470038537501046","0.411578652935914","0.528498422066178"
"Good","1992","Brandenburg","West Germany","","","",""
"Good","1992","Brandenburg","East Germany","284","0.41264081503435","0.375251375943979","0.450030254124722"
"Good","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Good","1992","Mecklenburg-Western Pomerania","East Germany","207","0.483827911249718","0.435863095416427","0.531792727083009"
"Good","1992","Saxony","West Germany","","","",""
"Good","1992","Saxony","East Germany","526","0.406764082340474","0.378507671358674","0.435020493322274"
"Good","1992","Saxony-Anhalt","West Germany","","","",""
"Good","1992","Saxony-Anhalt","East Germany","333","0.376284538364938","0.34222105765676","0.410348019073117"
"Good","1992","Thuringia","West Germany","","","",""
"Good","1992","Thuringia","East Germany","325","0.425316107566936","0.388184396475859","0.462447818658014"
"Satisfactory","1992","Schleswig-Holstein","West Germany","71","0.269102484889309","0.216397616191903","0.321807353586715"
"Satisfactory","1992","Schleswig-Holstein","East Germany","","","",""
"Satisfactory","1992","Hamburg","West Germany","44","0.279627545130946","0.208510959154889","0.350744131107004"
"Satisfactory","1992","Hamburg","East Germany","","","",""
"Satisfactory","1992","Lower Saxony","West Germany","293","0.324008940904334","0.294602623262801","0.353415258545867"
"Satisfactory","1992","Lower Saxony","East Germany","","","",""
"Satisfactory","1992","Bremen","West Germany","28","","",""
"Satisfactory","1992","Bremen","East Germany","","","",""
"Satisfactory","1992","North Rhine-Westphalia","West Germany","696","0.301686493665099","0.283815531289786","0.319557456040411"
"Satisfactory","1992","North Rhine-Westphalia","East Germany","","","",""
"Satisfactory","1992","Hesse","West Germany","245","0.278472601930486","0.250073162222816","0.306872041638157"
"Satisfactory","1992","Hesse","East Germany","","","",""
"Satisfactory","1992","Rhineland-Palatinate,Saarland","West Germany","208","0.333840613995335","0.297862799006649","0.36981842898402"
"Satisfactory","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Satisfactory","1992","Baden-Württemberg","West Germany","491","0.301586690419965","0.280217967317396","0.322955413522534"
"Satisfactory","1992","Baden-Württemberg","East Germany","","","",""
"Satisfactory","1992","Bavaria","West Germany","479","0.311344677620377","0.288968452792166","0.333720902448588"
"Satisfactory","1992","Bavaria","East Germany","","","",""
"Satisfactory","1992","Berlin","West Germany","87","0.319628068229891","0.268772035342618","0.370484101117165"
"Satisfactory","1992","Berlin","East Germany","69","0.227081188570779","0.178009998183832","0.276152378957726"
"Satisfactory","1992","Brandenburg","West Germany","","","",""
"Satisfactory","1992","Brandenburg","East Germany","198","0.323145235112609","0.287626491117222","0.358663979107996"
"Satisfactory","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Satisfactory","1992","Mecklenburg-Western Pomerania","East Germany","107","0.273563970177582","0.230777328446019","0.316350611909144"
"Satisfactory","1992","Saxony","West Germany","","","",""
"Satisfactory","1992","Saxony","East Germany","350","0.330178930955331","0.303127760455993","0.357230101454668"
"Satisfactory","1992","Saxony-Anhalt","West Germany","","","",""
"Satisfactory","1992","Saxony-Anhalt","East Germany","209","0.28036033453044","0.248777332162168","0.311943336898712"
"Satisfactory","1992","Thuringia","West Germany","","","",""
"Satisfactory","1992","Thuringia","East Germany","170","0.266963367245159","0.233738503382672","0.300188231107647"
"Poor","1992","Schleswig-Holstein","West Germany","42","0.164183978447494","0.120160498198906","0.208207458696082"
"Poor","1992","Schleswig-Holstein","East Germany","","","",""
"Poor","1992","Hamburg","West Germany","20","","",""
"Poor","1992","Hamburg","East Germany","","","",""
"Poor","1992","Lower Saxony","West Germany","115","0.129744922271377","0.10863142682244","0.150858417720313"
"Poor","1992","Lower Saxony","East Germany","","","",""
"Poor","1992","Bremen","West Germany","10","","",""
"Poor","1992","Bremen","East Germany","","","",""
"Poor","1992","North Rhine-Westphalia","West Germany","293","0.125221371710779","0.112334927547605","0.138107815873953"
"Poor","1992","North Rhine-Westphalia","East Germany","","","",""
"Poor","1992","Hesse","West Germany","108","0.136491255194321","0.114740321425932","0.15824218896271"
"Poor","1992","Hesse","East Germany","","","",""
"Poor","1992","Rhineland-Palatinate,Saarland","West Germany","80","0.133907865068631","0.107926544967909","0.159889185169353"
"Poor","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
