"m11126","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","16-34 y.","Male","16","","","","5"
"Bad ","1992","16-34 y.","Female","29","","","","5"
"Bad ","1992","35-65 y.","Male","114","0.0352007498433854","0.0290352415324987","0.0413662581542721","5"
"Bad ","1992","35-65 y.","Female","159","0.0491598227574001","0.0419621395480841","0.0563575059667161","5"
"Bad ","1992","66 and older","Male","81","0.138877051642075","0.110158117422385","0.167595985861765","5"
"Bad ","1992","66 and older","Female","102","0.127933913766791","0.106338681615045","0.149529145918537","5"
"Good","1992","16-34 y.","Female","1267","0.505182547123099","0.485583960151383","0.524781134094815","2"
"Good","1992","16-34 y.","Male","1213","0.498538126314545","0.47889925313826","0.51817699949083","2"
"Good","1992","35-65 y.","Male","1460","0.410865805652401","0.394405739888539","0.427325871416262","2"
"Good","1992","35-65 y.","Female","1329","0.368584001364967","0.352523472476141","0.384644530253793","2"
"Good","1992","66 and older","Male","129","0.247545539493614","0.211703876124798","0.283387202862429","2"
"Good","1992","66 and older","Female","146","0.148170556496155","0.125201264167549","0.17113984882476","2"
"Poor","1992","16-34 y.","Female","114","0.0482614570170457","0.0398603381415012","0.0566625758925901","4"
"Poor","1992","16-34 y.","Male","74","0.0273348772270798","0.0209303267475933","0.0337394277065663","4"
"Poor","1992","35-65 y.","Male","404","0.120849097128457","0.109944041892055","0.131754152364858","4"
"Poor","1992","35-65 y.","Female","499","0.138652207511041","0.127147211337224","0.150157203684859","4"
"Poor","1992","66 and older","Male","110","0.203804984112558","0.170351787650713","0.237258180574402","4"
"Poor","1992","66 and older","Female","240","0.28381801702066","0.254669127669893","0.312966906371426","4"
"Satisfactory","1992","16-34 y.","Female","443","0.186503784263713","0.17123516803701","0.201772400490415","3"
"Satisfactory","1992","16-34 y.","Male","359","0.159541764333905","0.145158956388643","0.173924572279168","3"
"Satisfactory","1992","35-65 y.","Male","1120","0.336868464952871","0.321055821779621","0.352681108126121","3"
"Satisfactory","1992","35-65 y.","Female","1187","0.355347505707745","0.339413561902498","0.371281449512992","3"
"Satisfactory","1992","66 and older","Female","409","0.416822147178991","0.384945969434646","0.448698324923337","3"
"Satisfactory","1992","66 and older","Male","227","0.394542196877184","0.353953121044079","0.435131272710288","3"
"Very good","1992","16-34 y.","Male","828","0.307170571182533","0.289050855309393","0.325290287055674","1"
"Very good","1992","16-34 y.","Female","647","0.248379154479522","0.231442209877045","0.265316099081999","1"
"Very good","1992","35-65 y.","Male","334","0.0962158824228865","0.086350130572725","0.106081634273048","1"
"Very good","1992","35-65 y.","Female","292","0.0882564626588466","0.0788127358092731","0.0977001895084201","1"
"Very good","1992","66 and older","Male","10","","","","1"
"Very good","1992","66 and older","Female","22","","","","1"
"Bad ","1993","16-34 y.","Male","","","","","5"
"Bad ","1993","16-34 y.","Female","","","","","5"
"Bad ","1993","35-65 y.","Male","","","","","5"
"Bad ","1993","35-65 y.","Female","","","","","5"
"Bad ","1993","66 and older","Male","","","","","5"
