"m11126","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","no migration background","379","0.0485661777047333","0.0444330799812917","0.052699275428175","5"
"Bad ","1992","direct migration background","117","0.0485649271306661","0.0402462291811053","0.0568836250802269","5"
"Bad ","1992","indirect migration background","5","","","","5"
"Good","1992","no migration background","4369","0.387757173934992","0.378388865258999","0.397125482610985","2"
"Good","1992","indirect migration background","167","0.405897304188902","0.358247968036419","0.453546640341384","2"
"Good","1992","direct migration background","1008","0.382011255956999","0.363208012524979","0.400814499389019","2"
"Poor","1992","no migration background","1060","0.121697982293323","0.115411856786457","0.127984107800189","4"
"Poor","1992","direct migration background","358","0.143714907735786","0.130139136595429","0.157290678876144","4"
"Poor","1992","indirect migration background","23","","","","4"
"Satisfactory","1992","no migration background","3009","0.308778700516501","0.299895864551794","0.317661536481209","3"
"Satisfactory","1992","direct migration background","693","0.278751169234179","0.261398938407226","0.296103400061133","3"
"Satisfactory","1992","indirect migration background","43","0.123191345048903","0.0913009042647237","0.155081785833082","3"
"Very good","1992","no migration background","1574","0.133199965550451","0.126666690613194","0.139733240487707","1"
"Very good","1992","direct migration background","389","0.146957739942369","0.1332556784607","0.160659801424039","1"
"Very good","1992","indirect migration background","170","0.360390882664663","0.313804152403575","0.406977612925751","1"
"Bad ","1993","no migration background","","","","","5"
"Bad ","1993","direct migration background","","","","","5"
"Bad ","1993","indirect migration background","","","","","5"
"Good","1993","direct migration background","","","","","2"
"Good","1993","no migration background","","","","","2"
"Good","1993","indirect migration background","","","","","2"
"Poor","1993","indirect migration background","","","","","4"
"Poor","1993","no migration background","","","","","4"
"Poor","1993","direct migration background","","","","","4"
"Satisfactory","1993","no migration background","","","","","3"
"Satisfactory","1993","direct migration background","","","","","3"
"Satisfactory","1993","indirect migration background","","","","","3"
"Very good","1993","no migration background","","","","","1"
"Very good","1993","direct migration background","","","","","1"
"Very good","1993","indirect migration background","","","","","1"
"Bad ","1994","no migration background","364","0.047688207582351","0.04352367976172","0.0518527354029821","5"
"Bad ","1994","direct migration background","107","0.048444660198387","0.0397915446940098","0.0570977757027642","5"
"Bad ","1994","indirect migration background","7","","","","5"
"Good","1994","direct migration background","942","0.370182420778964","0.35072219820227","0.389642643355657","2"
"Good","1994","no migration background","4084","0.37583166042216","0.366366712339123","0.385296608505197","2"
"Good","1994","indirect migration background","209","0.386946248763561","0.343996639809468","0.429895857717655","2"
"Poor","1994","no migration background","1334","0.152661782711444","0.145633256818744","0.159690308604143","4"
"Poor","1994","indirect migration background","31","0.102385278120068","0.0756522375684965","0.129118318671639","4"
