"ple0044_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","Rural Area","269","0.289826963551034","0.26046298445728","0.319190942644788","2"
"No","1985","Employed","Rural Area","606","0.442230537572494","0.415902677278586","0.468558397866402","2"
"No","1985","Not Employed","Urban Area","1019","0.32301916861515","0.307102830239228","0.338935506991072","2"
"No","1985","Employed","Urban Area","2551","0.459673432369354","0.446486812898887","0.472860051839821","2"
"Yes","1985","Not Employed","Urban Area","2297","0.67698083138485","0.661064493008928","0.692897169760772","1"
"Yes","1985","Not Employed","Rural Area","648","0.710173036448966","0.680809057355212","0.73953701554272","1"
"Yes","1985","Employed","Urban Area","2936","0.540326567630646","0.527139948160179","0.553513187101113","1"
"Yes","1985","Employed","Rural Area","761","0.557769462427506","0.531441602133598","0.584097322721414","1"
"No","1986","Not Employed","Rural Area","762","0.951501018584593","0.936689030698787","0.9663130064704","2"
"No","1986","Employed","Rural Area","632","0.446314699879509","0.419757783056426","0.472871616702593","2"
"No","1986","Not Employed","Urban Area","2885","0.936510639536242","0.927922792063965","0.945098487008519","2"
"No","1986","Employed","Urban Area","2632","0.499016451325597","0.485482415359958","0.512550487291236","2"
"Yes","1986","Not Employed","Urban Area","212","0.0634893604637579","0.0549015129914812","0.0720772079360347","1"
"Yes","1986","Not Employed","Rural Area","46","0.0484989814154067","0.0336869935296002","0.0633109693012131","1"
"Yes","1986","Employed","Urban Area","2611","0.500983548674403","0.487449512708764","0.514517584640042","1"
"Yes","1986","Employed","Rural Area","714","0.553685300120491","0.527128383297407","0.580242216943574","1"
"No","1987","Not Employed","Rural Area","758","0.988255198737931","0.980640682605963","0.995869714869899","2"
"No","1987","Employed","Rural Area","665","0.478890184088851","0.452222473119223","0.505557895058479","2"
"No","1987","Not Employed","Urban Area","2990","0.99131972530958","0.988014059013245","0.994625391605914","2"
"No","1987","Employed","Urban Area","2783","0.530546594213247","0.516937509964183","0.54415567846231","2"
"Yes","1987","Not Employed","Rural Area","11","","","","1"
"Yes","1987","Employed","Urban Area","2383","0.469453405786753","0.45584432153769","0.483062490035817","1"
"Yes","1987","Employed","Rural Area","683","0.521109815911149","0.494442104941521","0.547777526880777","1"
"Yes","1987","Not Employed","Urban Area","35","0.00868027469042042","0.00537460839408549","0.0119859409867553","1"
"No","1988","Not Employed","Rural Area","693","0.991947086293941","0.985326143329681","0.998568029258201","2"
"No","1988","Employed","Rural Area","620","0.460976836094768","0.433701002722146","0.488252669467389","2"
"No","1988","Not Employed","Urban Area","2829","0.990757925228683","0.98724848778163","0.994267362675737","2"
"No","1988","Employed","Urban Area","2664","0.518314196566968","0.504454753350024","0.532173639783913","2"
"Yes","1988","Not Employed","Rural Area","7","","","","1"
"Yes","1988","Employed","Urban Area","2329","0.481685803433032","0.467826360216087","0.495545246649976","1"
"Yes","1988","Employed","Rural Area","663","0.539023163905233","0.511747330532611","0.566298997277854","1"
"Yes","1988","Not Employed","Urban Area","27","","","","1"
"No","1989","Not Employed","Urban Area","2729","0.99039860166896","0.98676189304083","0.994035310297091","2"
"No","1989","Not Employed","Rural Area","664","0.993228724720211","0.987019025564486","0.999438423875935","2"
"No","1989","Employed","Rural Area","659","0.515420165594825","0.487536242078115","0.543304089111535","2"
"No","1989","Employed","Urban Area","2733","0.538621020773434","0.52474638509765","0.552495656449217","2"
"Yes","1989","Not Employed","Rural Area","6","","","","1"
"Yes","1989","Not Employed","Urban Area","33","0.00960139833103958","0.00596468970290916","0.01323810695917","1"
"Yes","1989","Employed","Urban Area","2226","0.461378979226567","0.447504343550784","0.47525361490235","1"
"Yes","1989","Employed","Rural Area","575","0.484579834405175","0.456695910888465","0.512463757921885","1"
"No","1990","Employed","Rural Area","","","","","2"
"No","1990","Not Employed","Urban Area","","","","","2"
"No","1990","Not Employed","Rural Area","","","","","2"
"No","1990","Employed","Urban Area","","","","","2"
"Yes","1990","Not Employed","Rural Area","","","","","1"
"Yes","1990","Employed","Rural Area","","","","","1"
"Yes","1990","Not Employed","Urban Area","","","","","1"
"Yes","1990","Employed","Urban Area","","","","","1"
"No","1991","Employed","Rural Area","700","0.54023260681661","0.51272517606718","0.56774003756604","2"
"No","1991","Not Employed","Urban Area","2558","0.989596150195563","0.985691436995216","0.993500863395911","2"
"No","1991","Not Employed","Rural Area","665","0.99213117258593","0.985445788108827","0.998816557063032","2"
"No","1991","Employed","Urban Area","2784","0.564037337028738","0.550130164626332","0.577944509431144","2"
"Yes","1991","Not Employed","Rural Area","6","","","","1"
"Yes","1991","Employed","Rural Area","561","0.45976739318339","0.43225996243396","0.48727482393282","1"
"Yes","1991","Not Employed","Urban Area","36","0.0104038498044366","0.0064991366040892","0.014308563004784","1"
"Yes","1991","Employed","Urban Area","2100","0.435962662971262","0.422055490568856","0.449869835373667","1"
"No","1992","Not Employed","Urban Area","2859","0.99111525356517","0.987695194978841","0.994535312151499","2"
"No","1992","Not Employed","Rural Area","1320","0.984274934090574","0.977623689686655","0.990926178494493","2"
"No","1992","Employed","Urban Area","3231","0.54882515195692","0.536051847697604","0.561598456216236","2"
"No","1992","Employed","Rural Area","1412","0.472408617656272","0.454719949682148","0.490097285630396","2"
"Yes","1992","Not Employed","Rural Area","24","","","","1"
"Yes","1992","Employed","Rural Area","1648","0.527591382343728","0.509902714369604","0.545280050317852","1"
"Yes","1992","Not Employed","Urban Area","33","0.00888474643482983","0.00546468784850109","0.0123048050211586","1"
"Yes","1992","Employed","Urban Area","2599","0.45117484804308","0.438401543783764","0.463948152302396","1"
"No","1993","Not Employed","Urban Area","","","","","2"
"No","1993","Not Employed","Rural Area","","","","","2"
"No","1993","Employed","Urban Area","","","","","2"
"No","1993","Employed","Rural Area","","","","","2"
"Yes","1993","Not Employed","Rural Area","","","","","1"
"Yes","1993","Employed","Rural Area","","","","","1"
"Yes","1993","Not Employed","Urban Area","","","","","1"
"Yes","1993","Employed","Urban Area","","","","","1"
"No","1994","Not Employed","Urban Area","3016","0.982903986390487","0.978322266793976","0.987485705986998","2"
"No","1994","Not Employed","Rural Area","1489","0.988082729260682","0.98261129839658","0.993554160124784","2"
"No","1994","Employed","Urban Area","3041","0.566787166836265","0.55365684429445","0.57991748937808","2"
"No","1994","Employed","Rural Area","1434","0.512675576707445","0.494078400741998","0.531272752672892","2"
"Yes","1994","Not Employed","Urban Area","59","0.0170960136095131","0.0125142940130019","0.0216777332060243","1"
"Yes","1994","Not Employed","Rural Area","22","","","","1"
"Yes","1994","Employed","Rural Area","1341","0.487324423292555","0.468727247327108","0.505921599258002","1"
"Yes","1994","Employed","Urban Area","2430","0.433212833163735","0.42008251062192","0.44634315570555","1"
"No","1995","Not Employed","Rural Area","1556","0.987233502088209","0.981694386559378","0.992772617617041","2"
"No","1995","Employed","Urban Area","2895","0.546850136187447","0.533507302026594","0.560192970348299","2"
"No","1995","Employed","Rural Area","1383","0.49051494629551","0.471948561896766","0.509081330694255","2"
"No","1995","Not Employed","Urban Area","3224","0.994048357673745","0.99140354204085","0.996693173306641","2"
"Yes","1995","Employed","Rural Area","1402","0.50948505370449","0.490918669305745","0.528051438103234","1"
"Yes","1995","Not Employed","Urban Area","25","","","","1"
"Yes","1995","Not Employed","Rural Area","22","","","","1"
"Yes","1995","Employed","Urban Area","2452","0.453149863812553","0.439807029651701","0.466492697973406","1"
"No","1996","Not Employed","Rural Area","1474","0.994939816510353","0.991330986692439","0.998548646328267","2"
"No","1996","Employed","Urban Area","2917","0.540047817915763","0.526628711996694","0.553466923834831","2"
"No","1996","Employed","Rural Area","1495","0.531842528630612","0.513220007712825","0.550465049548399","2"
"No","1996","Not Employed","Urban Area","3075","0.998149225317806","0.996631803633986","0.999666647001627","2"
"Yes","1996","Employed","Rural Area","1263","0.468157471369388","0.449534950451601","0.486779992287175","1"
"Yes","1996","Not Employed","Urban Area","7","","","","1"
"Yes","1996","Not Employed","Rural Area","11","","","","1"
"Yes","1996","Employed","Urban Area","2382","0.459952182084237","0.446533076165169","0.473371288003306","1"
"No","1997","Not Employed","Rural Area","1526","0.993088340387082","0.988955871853146","0.997220808921019","2"
"No","1997","Not Employed","Urban Area","3136","0.998902115012734","0.997744362345784","1.00005986767968","2"
"No","1997","Employed","Urban Area","2758","0.549749903125763","0.536055169175293","0.563444637076232","2"
"No","1997","Employed","Rural Area","1346","0.491141111834616","0.472089265074271","0.510192958594962","2"
"Yes","1997","Not Employed","Urban Area","7","","","","1"
"Yes","1997","Not Employed","Rural Area","18","","","","1"
"Yes","1997","Employed","Urban Area","2312","0.450250096874237","0.436555362923768","0.463944830824707","1"
"Yes","1997","Employed","Rural Area","1299","0.508858888165383","0.489807041405038","0.527910734925729","1"
"No","1998","Not Employed","Rural Area","1779","0.998757315765674","0.997122070876483","1.00039256065487","2"
"No","1998","Employed","Rural Area","1471","0.495481321891327","0.477328021855995","0.51363462192666","2"
"No","1998","Not Employed","Urban Area","3558","0.998961266073875","0.997904000954811","1.00001853119294","2"
"No","1998","Employed","Urban Area","2831","0.522091820229298","0.508819269176619","0.535364371281976","2"
"Yes","1998","Not Employed","Urban Area","8","","","","1"
"Yes","1998","Not Employed","Rural Area","4","","","","1"
"Yes","1998","Employed","Urban Area","2610","0.477908179770702","0.464635628718024","0.491180730823381","1"
"Yes","1998","Employed","Rural Area","1443","0.504518678108673","0.48636537807334","0.522671978144005","1"
"No","1999","Not Employed","Rural Area","1576","0.96961846842538","0.961299020958657","0.977937915892104","2"
"No","1999","Employed","Rural Area","1501","0.522138827701068","0.503860911416344","0.540416743985792","2"
"No","1999","Not Employed","Urban Area","3132","0.975022055089111","0.969634353791428","0.980409756386794","2"
"No","1999","Employed","Urban Area","2902","0.533372661535397","0.520141058338283","0.54660426473251","2"
"Yes","1999","Not Employed","Urban Area","91","0.0249779449108887","0.0195902436132058","0.0303656462085716","1"
"Yes","1999","Not Employed","Rural Area","59","0.0303815315746197","0.0220620841078961","0.0387009790413433","1"
"Yes","1999","Employed","Urban Area","2559","0.466627338464603","0.45339573526749","0.479858941661717","1"
"Yes","1999","Employed","Rural Area","1368","0.477861172298932","0.459583256014209","0.496139088583656","1"
"No","2000","Not Employed","Rural Area","3048","0.995566759253492","0.993214805903052","0.997918712603933","2"
"No","2000","Employed","Rural Area","2505","0.504620851967619","0.490650189607961","0.518591514327277","2"
"No","2000","Not Employed","Urban Area","5946","0.9924115422895","0.990214448408136","0.994608636170864","2"
"No","2000","Employed","Urban Area","4963","0.527647789265299","0.517576915982692","0.537718662547907","2"
"Yes","2000","Not Employed","Rural Area","17","","","","1"
"Yes","2000","Employed","Urban Area","4477","0.472352210734701","0.462281337452093","0.482423084017308","1"
"Yes","2000","Employed","Rural Area","2415","0.495379148032381","0.481408485672723","0.509349810392039","1"
"Yes","2000","Not Employed","Urban Area","47","0.00758845771050019","0.00539136382913616","0.00978555159186422","1"
"No","2001","Not Employed","Rural Area","2790","0.997862738149603","0.996152197713612","0.999573278585595","2"
"No","2001","Employed","Rural Area","2316","0.512025974607078","0.497411745681473","0.526640203532683","2"
"No","2001","Not Employed","Urban Area","5302","0.996935895855232","0.995450860342118","0.998420931368347","2"
"No","2001","Employed","Urban Area","4593","0.51903996997783","0.508589616102823","0.529490323852838","2"
"Yes","2001","Not Employed","Rural Area","10","","","","1"
"Yes","2001","Employed","Urban Area","4188","0.48096003002217","0.470509676147162","0.491410383897177","1"
"Yes","2001","Employed","Rural Area","2178","0.487974025392922","0.473359796467317","0.502588254318527","1"
"Yes","2001","Not Employed","Urban Area","19","","","","1"
"No","2002","Not Employed","Urban Area","5454","0.996288158752793","0.994677646988347","0.997898670517239","2"
"No","2002","Not Employed","Rural Area","2800","0.99302532977916","0.98995317879821","0.996097480760109","2"
"No","2002","Employed","Rural Area","2332","0.512008178543888","0.497531795270801","0.526484561816975","2"
"No","2002","Employed","Urban Area","4863","0.520477145072764","0.510439099057061","0.530515191088467","2"
"Yes","2002","Not Employed","Rural Area","19","","","","1"
"Yes","2002","Not Employed","Urban Area","23","","","","1"
"Yes","2002","Employed","Urban Area","4652","0.479522854927236","0.469484808911533","0.489560900942939","1"
"Yes","2002","Employed","Rural Area","2248","0.487991821456112","0.473515438183025","0.502468204729199","1"
"No","2003","Employed","Rural Area","2227","0.493667592294297","0.478861303791427","0.508473880797166","2"
"No","2003","Not Employed","Urban Area","5421","0.994646453881285","0.992708406386084","0.996584501376486","2"
"No","2003","Not Employed","Rural Area","2734","0.993284846206563","0.99023684000166","0.996332852411465","2"
"No","2003","Employed","Urban Area","4690","0.529938130683229","0.519645599716852","0.540230661649607","2"
"Yes","2003","Not Employed","Rural Area","24","","","","1"
"Yes","2003","Employed","Rural Area","2153","0.506332407705704","0.491526119202834","0.521138696208573","1"
"Yes","2003","Not Employed","Urban Area","25","","","","1"
"Yes","2003","Employed","Urban Area","4343","0.470061869316771","0.459769338350393","0.480354400283148","1"
"No","2004","Employed","Rural Area","2060","0.479045173171413","0.463979990442481","0.494110355900346","2"
"No","2004","Not Employed","Urban Area","5422","0.994475524343511","0.992508394143934","0.996442654543087","2"
"No","2004","Not Employed","Rural Area","2738","0.994020625990118","0.991142861391509","0.996898390588727","2"
"No","2004","Employed","Urban Area","4460","0.527154370902963","0.516656124054898","0.537652617751028","2"
"Yes","2004","Not Employed","Rural Area","19","","","","1"
"Yes","2004","Employed","Rural Area","2164","0.520954826828587","0.505889644099654","0.53602000955752","1"
"Yes","2004","Not Employed","Urban Area","32","0.00552447565648913","0.00355734545691262","0.00749160585606565","1"
"Yes","2004","Employed","Urban Area","4228","0.472845629097037","0.462347382248972","0.483343875945102","1"
"No","2005","Not Employed","Urban Area","5238","0.997049398385849","0.995582362600853","0.998516434170846","2"
"No","2005","Not Employed","Rural Area","2661","0.99717617924708","0.995164902187593","0.999187456306566","2"
"No","2005","Employed","Urban Area","4333","0.529837135511305","0.519133083588823","0.540541187433788","2"
"No","2005","Employed","Rural Area","1941","0.481502721772661","0.466049328658363","0.496956114886959","2"
