"ple0044_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","1986","Rhineland-Palatinate,Saarland","Female","103","0.24338844429518","0.200689347302976","0.286087541287384","1"
"Yes","1986","Baden-Württemberg","Male","400","0.400749705764417","0.370467337632329","0.431032073896505","1"
"Yes","1986","Baden-Württemberg","Female","289","0.294019379197623","0.26555282436196","0.322485934033286","1"
"Yes","1986","Bavaria","Male","380","0.436666631302251","0.402985758922897","0.470347503681604","1"
"Yes","1986","Bavaria","Female","255","0.250079967888971","0.221958639471652","0.278201296306291","1"
"Yes","1986","Berlin","Male","79","0.403586462192952","0.331308899477589","0.475864024908315","1"
"Yes","1986","Schleswig-Holstein","Male","78","0.46215057758933","0.383151052779186","0.541150102399474","1"
"Yes","1986","Schleswig-Holstein","Female","44","0.22949134010233","0.164936887634002","0.294045792570658","1"
"Yes","1986","Hamburg","Male","42","0.362817212095644","0.276429779096847","0.449204645094441","1"
"Yes","1986","Hamburg","Female","21","","","","1"
"Yes","1986","Lower Saxony","Male","231","0.414732317475171","0.373062446155555","0.456402188794787","1"
"Yes","1986","Lower Saxony","Female","149","0.224459454369895","0.189964852354054","0.258954056385737","1"
"Yes","1986","Bremen","Male","20","","","","1"
"Yes","1986","Bremen","Female","18","","","","1"
"Yes","1986","North Rhine-Westphalia","Male","592","0.400276069695481","0.374747565204811","0.425804574186151","1"
"Yes","1986","North Rhine-Westphalia","Female","338","0.212776121773392","0.19150409521226","0.234048148334525","1"
"Yes","1986","Berlin","Female","56","0.261265668867955","0.196544437424465","0.325986900311446","1"
"Yes","1986","Brandenburg","Male","","","","","1"
"Yes","1986","Brandenburg","Female","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1986","Saxony","Male","","","","","1"
"Yes","1986","Saxony","Female","","","","","1"
"Yes","1986","Saxony-Anhalt","Male","","","","","1"
"Yes","1986","Saxony-Anhalt","Female","","","","","1"
"Yes","1986","Thuringia","Male","","","","","1"
"Yes","1986","Thuringia","Female","","","","","1"
"No","1987","Schleswig-Holstein","Male","86","0.594988849560242","0.515633295708308","0.674344403412175","2"
"No","1987","Schleswig-Holstein","Female","134","0.816834373940097","0.757992968546221","0.875675779333974","2"
"No","1987","Hamburg","Male","66","0.603423411434805","0.511163968616132","0.695682854253478","2"
"No","1987","Lower Saxony","Male","311","0.599808577008415","0.558018674898031","0.6415984791188","2"
"No","1987","Hamburg","Female","91","0.837439686411516","0.768800735828844","0.906078636994187","2"
"No","1987","Lower Saxony","Female","437","0.806772656954148","0.774100595532736","0.839444718375559","2"
"No","1987","Bremen","Male","28","","","","2"
"No","1987","North Rhine-Westphalia","Female","1120","0.822313510487161","0.802261805870685","0.842365215103637","2"
"No","1987","Bremen","Female","42","0.83060101489752","0.729614871520943","0.931587158274097","2"
"No","1987","North Rhine-Westphalia","Male","880","0.627440571622401","0.602050927654083","0.65283021559072","2"
"No","1987","Baden-Württemberg","Male","591","0.614001976312413","0.583396976328105","0.644606976296721","2"
"No","1987","Baden-Württemberg","Female","738","0.767947927317348","0.741395936555755","0.794499918078942","2"
"No","1987","Bavaria","Female","660","0.777961167935025","0.750578870560962","0.805343465309087","2"
"No","1987","Bavaria","Male","491","0.622882572708817","0.589422878976391","0.656342266441242","2"
"No","1987","Hesse","Male","327","0.66747174649295","0.62721061851306","0.707732874472839","2"
"No","1987","Hesse","Female","400","0.81185954103453","0.778364632544421","0.845354449524639","2"
"No","1987","Rhineland-Palatinate,Saarland","Male","231","0.632052225520881","0.583177777838879","0.680926673202883","2"
"No","1987","Rhineland-Palatinate,Saarland","Female","301","0.808561509637177","0.769159364512795","0.847963654761559","2"
"No","1987","Berlin","Male","118","0.670193896764213","0.60170212797037","0.738685665558057","2"
"No","1987","Berlin","Female","144","0.842226904510366","0.788524653972764","0.895929155047968","2"
"No","1987","Brandenburg","Male","","","","","2"
"No","1987","Brandenburg","Female","","","","","2"
"No","1987","Saxony","Male","","","","","2"
"No","1987","Saxony","Female","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1987","Saxony-Anhalt","Male","","","","","2"
"No","1987","Saxony-Anhalt","Female","","","","","2"
"No","1987","Thuringia","Male","","","","","2"
"No","1987","Thuringia","Female","","","","","2"
"Yes","1987","Hesse","Male","199","0.33252825350705","0.292267125527161","0.37278938148694","1"
"Yes","1987","Hesse","Female","123","0.18814045896547","0.154645550475361","0.221635367455579","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Male","143","0.367947774479119","0.319073326797117","0.416822222161121","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Female","82","0.191438490362823","0.152036345238441","0.230840635487205","1"
"Yes","1987","Baden-Württemberg","Male","381","0.385998023687587","0.355393023703279","0.416603023671895","1"
"Yes","1987","Baden-Württemberg","Female","233","0.232052072682652","0.205500081921058","0.258604063444245","1"
"Yes","1987","Bavaria","Male","315","0.377117427291183","0.343657733558758","0.410577121023609","1"
"Yes","1987","Bavaria","Female","225","0.222038832064975","0.194656534690913","0.249421129439038","1"
"Yes","1987","Berlin","Male","63","0.329806103235787","0.261314334441943","0.39829787202963","1"
"Yes","1987","Schleswig-Holstein","Male","61","0.405011150439758","0.325655596587825","0.484366704291692","1"
"Yes","1987","Schleswig-Holstein","Female","32","0.183165626059903","0.124324220666026","0.242007031453779","1"
"Yes","1987","Hamburg","Male","42","0.396576588565195","0.304317145746522","0.488836031383868","1"
"Yes","1987","Hamburg","Female","20","","","","1"
"Yes","1987","Lower Saxony","Male","217","0.400191422991585","0.3584015208812","0.441981325101969","1"
"Yes","1987","Lower Saxony","Female","124","0.193227343045852","0.160555281624441","0.225899404467264","1"
"Yes","1987","Bremen","Male","19","","","","1"
"Yes","1987","Bremen","Female","11","","","","1"
"Yes","1987","North Rhine-Westphalia","Male","513","0.372559428377599","0.34716978440928","0.397949072345917","1"
"Yes","1987","North Rhine-Westphalia","Female","276","0.177686489512839","0.157634784896363","0.197738194129316","1"
"Yes","1987","Berlin","Female","33","0.157773095489634","0.104070844952032","0.211475346027236","1"
"Yes","1987","Brandenburg","Male","","","","","1"
"Yes","1987","Brandenburg","Female","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1987","Saxony","Male","","","","","1"
"Yes","1987","Saxony","Female","","","","","1"
"Yes","1987","Saxony-Anhalt","Male","","","","","1"
"Yes","1987","Saxony-Anhalt","Female","","","","","1"
"Yes","1987","Thuringia","Male","","","","","1"
"Yes","1987","Thuringia","Female","","","","","1"
"No","1988","Schleswig-Holstein","Female","126","0.829035462220581","0.770332621250926","0.887738303190236","2"
"No","1988","Schleswig-Holstein","Male","87","0.588126209754324","0.50988354333865","0.666368876169998","2"
