"ple0044_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Full Time","1-pers.-HH","236","1","1","1"
"Not a day","1985","Full Time","(Married) couple without C. ","509","1","1","1"
"Not a day","1985","Full Time","Single parent ","119","1","1","1"
"Not a day","1985","Full Time","Couple + C. LE 16 ","699","1","1","1"
"Not a day","1985","Full Time","Couple + C. GT 16 ","512","1","1","1"
"Not a day","1985","Full Time","Couple + C. LE and GT 16","352","1","1","1"
"Not a day","1985","Part Time","1-pers.-HH","88","1","1","1"
"Not a day","1985","Part Time","(Married) couple without C. ","185","1","1","1"
"Not a day","1985","Part Time","Single parent ","52","1","1","1"
"Not a day","1985","Part Time","Couple + C. LE 16 ","317","1","1","1"
"Not a day","1985","Part Time","Couple + C. GT 16 ","235","1","1","1"
"Not a day","1985","Part Time","Couple + C. LE and GT 16","175","1","1","1"
"Not a day","1985","Not Working","1-pers.-HH","369","1","1","1"
"Not a day","1985","Not Working","(Married) couple without C. ","746","1","1","1"
"Not a day","1985","Not Working","Single parent ","153","1","1","1"
"Not a day","1985","Not Working","Couple + C. LE 16 ","572","1","1","1"
"Not a day","1985","Not Working","Couple + C. GT 16 ","487","1","1","1"
"Not a day","1985","Not Working","Couple + C. LE and GT 16","374","1","1","1"
"Not a day","1986","Full Time","1-pers.-HH","204","1","1","1"
"Not a day","1986","Full Time","(Married) couple without C. ","481","1","1","1"
"Not a day","1986","Full Time","Single parent ","99","1","1","1"
"Not a day","1986","Full Time","Couple + C. LE 16 ","615","1","1","1"
"Not a day","1986","Full Time","Couple + C. GT 16 ","483","1","1","1"
"Not a day","1986","Full Time","Couple + C. LE and GT 16","315","1","1","1"
"Not a day","1986","Part Time","1-pers.-HH","70","1","1","1"
"Not a day","1986","Part Time","(Married) couple without C. ","182","1","1","1"
"Not a day","1986","Part Time","Single parent ","58","1","1","1"
"Not a day","1986","Part Time","Couple + C. LE 16 ","261","1","1","1"
"Not a day","1986","Part Time","Couple + C. GT 16 ","227","1","1","1"
"Not a day","1986","Part Time","Couple + C. LE and GT 16","148","1","1","1"
"Not a day","1986","Not Working","1-pers.-HH","26","","",""
"Not a day","1986","Not Working","(Married) couple without C. ","53","1","1","1"
"Not a day","1986","Not Working","Single parent ","16","","",""
"Not a day","1986","Not Working","Couple + C. LE 16 ","37","1","1","1"
"Not a day","1986","Not Working","Couple + C. GT 16 ","59","1","1","1"
"Not a day","1986","Not Working","Couple + C. LE and GT 16","42","1","1","1"
"Not a day","1987","Full Time","1-pers.-HH","205","1","1","1"
"Not a day","1987","Full Time","(Married) couple without C. ","451","1","1","1"
"Not a day","1987","Full Time","Single parent ","98","1","1","1"
"Not a day","1987","Full Time","Couple + C. LE 16 ","561","1","1","1"
"Not a day","1987","Full Time","Couple + C. GT 16 ","464","1","1","1"
"Not a day","1987","Full Time","Couple + C. LE and GT 16","238","1","1","1"
"Not a day","1987","Part Time","1-pers.-HH","59","1","1","1"
"Not a day","1987","Part Time","(Married) couple without C. ","155","1","1","1"
"Not a day","1987","Part Time","Single parent ","71","1","1","1"
"Not a day","1987","Part Time","Couple + C. LE 16 ","225","1","1","1"
"Not a day","1987","Part Time","Couple + C. GT 16 ","213","1","1","1"
"Not a day","1987","Part Time","Couple + C. LE and GT 16","135","1","1","1"
"Not a day","1987","Not Working","1-pers.-HH","","","",""
"Not a day","1987","Not Working","(Married) couple without C. ","8","","",""
"Not a day","1987","Not Working","Single parent ","5","","",""
"Not a day","1987","Not Working","Couple + C. LE 16 ","8","","",""
"Not a day","1987","Not Working","Couple + C. GT 16 ","11","","",""
"Not a day","1987","Not Working","Couple + C. LE and GT 16","9","","",""
"Not a day","1988","Full Time","1-pers.-HH","174","1","1","1"
"Not a day","1988","Full Time","(Married) couple without C. ","443","1","1","1"
"Not a day","1988","Full Time","Single parent ","103","1","1","1"
"Not a day","1988","Full Time","Couple + C. LE 16 ","521","1","1","1"
"Not a day","1988","Full Time","Couple + C. GT 16 ","484","1","1","1"
