"ple0044_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Not Employed","Full Time","","","",""
"Not a day","1985","Not Employed","Part Time","","","",""
"Not a day","1985","Not Employed","Not Working","2945","1","1","1"
"Not a day","1985","Employed","Full Time","2565","1","1","1"
"Not a day","1985","Employed","Part Time","1132","1","1","1"
"Not a day","1985","Employed","Not Working","","","",""
"Not a day","1986","Not Employed","Full Time","","","",""
"Not a day","1986","Not Employed","Part Time","","","",""
"Not a day","1986","Not Employed","Not Working","258","1","1","1"
"Not a day","1986","Employed","Full Time","2333","1","1","1"
"Not a day","1986","Employed","Part Time","992","1","1","1"
"Not a day","1986","Employed","Not Working","","","",""
"Not a day","1987","Not Employed","Full Time","","","",""
"Not a day","1987","Not Employed","Part Time","","","",""
"Not a day","1987","Not Employed","Not Working","46","1","1","1"
"Not a day","1987","Employed","Full Time","2154","1","1","1"
"Not a day","1987","Employed","Part Time","912","1","1","1"
"Not a day","1987","Employed","Not Working","","","",""
"Not a day","1988","Not Employed","Full Time","","","",""
"Not a day","1988","Not Employed","Part Time","","","",""
"Not a day","1988","Not Employed","Not Working","34","1","1","1"
"Not a day","1988","Employed","Full Time","2061","1","1","1"
"Not a day","1988","Employed","Part Time","931","1","1","1"
"Not a day","1988","Employed","Not Working","","","",""
"Not a day","1989","Not Employed","Full Time","","","",""
"Not a day","1989","Not Employed","Part Time","","","",""
"Not a day","1989","Not Employed","Not Working","39","1","1","1"
"Not a day","1989","Employed","Full Time","1976","1","1","1"
"Not a day","1989","Employed","Part Time","825","1","1","1"
"Not a day","1989","Employed","Not Working","","","",""
"Not a day","1990","Not Employed","Full Time","","","",""
"Not a day","1990","Not Employed","Part Time","","","",""
"Not a day","1990","Not Employed","Not Working","","","",""
"Not a day","1990","Employed","Full Time","","","",""
"Not a day","1990","Employed","Part Time","","","",""
"Not a day","1990","Employed","Not Working","","","",""
"Not a day","1991","Not Employed","Full Time","","","",""
"Not a day","1991","Not Employed","Part Time","","","",""
"Not a day","1991","Not Employed","Not Working","42","1","1","1"
"Not a day","1991","Employed","Full Time","1786","1","1","1"
"Not a day","1991","Employed","Part Time","875","1","1","1"
"Not a day","1991","Employed","Not Working","","","",""
"Not a day","1992","Not Employed","Full Time","","","",""
"Not a day","1992","Not Employed","Part Time","","","",""
"Not a day","1992","Not Employed","Not Working","57","1","1","1"
"Not a day","1992","Employed","Full Time","3068","1","1","1"
"Not a day","1992","Employed","Part Time","1234","1","1","1"
"Not a day","1992","Employed","Not Working","","","",""
"Not a day","1993","Not Employed","Full Time","","","",""
"Not a day","1993","Not Employed","Part Time","","","",""
"Not a day","1993","Not Employed","Not Working","","","",""
"Not a day","1993","Employed","Full Time","","","",""
"Not a day","1993","Employed","Part Time","","","",""
"Not a day","1993","Employed","Not Working","","","",""
"Not a day","1994","Not Employed","Full Time","","","",""
"Not a day","1994","Not Employed","Part Time","","","",""
"Not a day","1994","Not Employed","Not Working","81","1","1","1"
"Not a day","1994","Employed","Full Time","2645","1","1","1"
"Not a day","1994","Employed","Part Time","1126","1","1","1"
"Not a day","1994","Employed","Not Working","","","",""
"Not a day","1995","Not Employed","Full Time","","","",""
"Not a day","1995","Not Employed","Part Time","","","",""
"Not a day","1995","Not Employed","Not Working","47","1","1","1"
"Not a day","1995","Employed","Full Time","2580","1","1","1"
"Not a day","1995","Employed","Part Time","1274","1","1","1"
"Not a day","1995","Employed","Not Working","","","",""
"Not a day","1996","Not Employed","Full Time","","","",""
"Not a day","1996","Not Employed","Part Time","","","",""
"Not a day","1996","Not Employed","Not Working","18","","",""
"Not a day","1996","Employed","Full Time","2397","1","1","1"
"Not a day","1996","Employed","Part Time","1248","1","1","1"
"Not a day","1996","Employed","Not Working","","","",""
"Not a day","1997","Not Employed","Full Time","","","",""
"Not a day","1997","Not Employed","Part Time","","","",""
"Not a day","1997","Not Employed","Not Working","25","","",""
"Not a day","1997","Employed","Full Time","2425","1","1","1"
"Not a day","1997","Employed","Part Time","1186","1","1","1"
"Not a day","1997","Employed","Not Working","","","",""
"Not a day","1998","Not Employed","Full Time","","","",""
"Not a day","1998","Not Employed","Part Time","","","",""
"Not a day","1998","Not Employed","Not Working","12","","",""
"Not a day","1998","Employed","Full Time","2697","1","1","1"
"Not a day","1998","Employed","Part Time","1356","1","1","1"
"Not a day","1998","Employed","Not Working","","","",""
"Not a day","1999","Not Employed","Full Time","","","",""
"Not a day","1999","Not Employed","Part Time","","","",""
"Not a day","1999","Not Employed","Not Working","150","1","1","1"
"Not a day","1999","Employed","Full Time","2516","1","1","1"
"Not a day","1999","Employed","Part Time","1411","1","1","1"
"Not a day","1999","Employed","Not Working","","","",""
"Not a day","2000","Not Employed","Full Time","","","",""
"Not a day","2000","Not Employed","Part Time","","","",""
"Not a day","2000","Not Employed","Not Working","64","1","1","1"
"Not a day","2000","Employed","Full Time","4403","1","1","1"
"Not a day","2000","Employed","Part Time","2489","1","1","1"
"Not a day","2000","Employed","Not Working","","","",""
"Not a day","2001","Not Employed","Full Time","","","",""
"Not a day","2001","Not Employed","Part Time","","","",""
"Not a day","2001","Not Employed","Not Working","29","","",""
"Not a day","2001","Employed","Full Time","3933","1","1","1"
"Not a day","2001","Employed","Part Time","2433","1","1","1"
"Not a day","2001","Employed","Not Working","","","",""
"Not a day","2002","Not Employed","Full Time","","","",""
"Not a day","2002","Not Employed","Part Time","","","",""
"Not a day","2002","Not Employed","Not Working","42","1","1","1"
"Not a day","2002","Employed","Full Time","4355","1","1","1"
"Not a day","2002","Employed","Part Time","2545","1","1","1"
"Not a day","2002","Employed","Not Working","","","",""
"Not a day","2003","Not Employed","Full Time","","","",""
"Not a day","2003","Not Employed","Part Time","","","",""
"Not a day","2003","Not Employed","Not Working","49","1","1","1"
"Not a day","2003","Employed","Full Time","3969","1","1","1"
"Not a day","2003","Employed","Part Time","2527","1","1","1"
"Not a day","2003","Employed","Not Working","","","",""
"Not a day","2004","Not Employed","Full Time","","","",""
"Not a day","2004","Not Employed","Part Time","","","",""
"Not a day","2004","Not Employed","Not Working","51","1","1","1"
"Not a day","2004","Employed","Full Time","3833","1","1","1"
"Not a day","2004","Employed","Part Time","2559","1","1","1"
"Not a day","2004","Employed","Not Working","","","",""
"Not a day","2005","Not Employed","Full Time","","","",""
"Not a day","2005","Not Employed","Part Time","","","",""
"Not a day","2005","Not Employed","Not Working","26","","",""
"Not a day","2005","Employed","Full Time","3617","1","1","1"
"Not a day","2005","Employed","Part Time","2477","1","1","1"
"Not a day","2005","Employed","Not Working","","","",""
"Not a day","2006","Not Employed","Full Time","","","",""
"Not a day","2006","Not Employed","Part Time","","","",""
"Not a day","2006","Not Employed","Not Working","22","","",""
"Not a day","2006","Employed","Full Time","3826","1","1","1"
"Not a day","2006","Employed","Part Time","2671","1","1","1"
"Not a day","2006","Employed","Not Working","","","",""
"Not a day","2007","Not Employed","Full Time","","","",""
"Not a day","2007","Not Employed","Part Time","","","",""
"Not a day","2007","Not Employed","Not Working","31","1","1","1"
"Not a day","2007","Employed","Full Time","3510","1","1","1"
"Not a day","2007","Employed","Part Time","2450","1","1","1"
"Not a day","2007","Employed","Not Working","","","",""
"Not a day","2008","Not Employed","Full Time","","","",""
"Not a day","2008","Not Employed","Part Time","","","",""
"Not a day","2008","Not Employed","Not Working","43","1","1","1"
"Not a day","2008","Employed","Full Time","3217","1","1","1"
"Not a day","2008","Employed","Part Time","2216","1","1","1"
"Not a day","2008","Employed","Not Working","","","",""
"Not a day","2009","Not Employed","Full Time","","","",""
"Not a day","2009","Not Employed","Part Time","","","",""
"Not a day","2009","Not Employed","Not Working","35","1","1","1"
"Not a day","2009","Employed","Full Time","2898","1","1","1"
"Not a day","2009","Employed","Part Time","2002","1","1","1"
"Not a day","2009","Employed","Not Working","","","",""
"Not a day","2010","Not Employed","Full Time","","","",""
"Not a day","2010","Not Employed","Part Time","","","",""
