"ple0044_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Urban Area","Female","1740","0.390447682327462","0.376147793070707","0.404747571584217","2"
"No","1985","Rural Area","Female","420","0.355261976746007","0.327732498098138","0.382791455393876","2"
"No","1985","Urban Area","Male","1830","0.411958001263329","0.397301358225016","0.426614644301641","2"
"No","1985","Rural Area","Male","455","0.390936752523013","0.362397495659985","0.419476009386041","2"
"Yes","1985","Urban Area","Male","2502","0.588041998736671","0.573385355698359","0.602698641774984","1"
"Yes","1985","Urban Area","Female","2731","0.609552317672538","0.595252428415783","0.623852206929293","1"
"Yes","1985","Rural Area","Male","668","0.609063247476987","0.58052399061396","0.637602504340015","1"
"Yes","1985","Rural Area","Female","741","0.644738023253993","0.617208544606124","0.672267501901862","1"
"No","1986","Urban Area","Female","3088","0.762966159235882","0.750117197373661","0.775815121098103","2"
"No","1986","Rural Area","Female","794","0.741954963895178","0.71612083508207","0.767789092708286","2"
"No","1986","Urban Area","Male","2429","0.604380383907864","0.589470920162695","0.619289847653033","2"
"No","1986","Rural Area","Male","600","0.578884723194962","0.549048986639655","0.608720459750268","2"
"Yes","1986","Urban Area","Male","1703","0.395619616092136","0.380710152346967","0.410529079837305","1"
"Yes","1986","Urban Area","Female","1120","0.237033840764118","0.224184878901897","0.249882802626339","1"
"Yes","1986","Rural Area","Male","452","0.421115276805038","0.391279540249731","0.450951013360345","1"
"Yes","1986","Rural Area","Female","308","0.258045036104822","0.232210907291714","0.28387916491793","1"
"No","1987","Urban Area","Female","3245","0.811689225081197","0.799765676077856","0.823612774084538","2"
"No","1987","Rural Area","Female","822","0.771941443135969","0.747101066376661","0.796781819895277","2"
"No","1987","Urban Area","Male","2528","0.630940114522188","0.616098741261357","0.645781487783018","2"
"No","1987","Rural Area","Male","601","0.605684263929157","0.575707798740432","0.635660729117882","2"
"Yes","1987","Urban Area","Female","885","0.188310774918803","0.176387225915462","0.200234323922144","1"
"Yes","1987","Rural Area","Male","420","0.394315736070843","0.364339270882119","0.424292201259568","1"
"Yes","1987","Rural Area","Female","274","0.228058556864031","0.203218180104723","0.252898933623339","1"
"Yes","1987","Urban Area","Male","1533","0.369059885477812","0.354218512216982","0.383901258738643","1"
"No","1988","Urban Area","Female","3059","0.794079649273716","0.781491469521779","0.806667829025654","2"
"No","1988","Rural Area","Female","759","0.764274045844436","0.738136089680824","0.790412002008048","2"
"No","1988","Urban Area","Male","2434","0.632358216872925","0.617196562420737","0.647519871325114","2"
"No","1988","Rural Area","Male","554","0.588687425992179","0.557721034728031","0.619653817256327","2"
"Yes","1988","Urban Area","Female","905","0.205920350726284","0.193332170974346","0.218508530478221","1"
"Yes","1988","Rural Area","Male","416","0.411312574007821","0.380346182743673","0.442278965271969","1"
"Yes","1988","Rural Area","Female","254","0.235725954155564","0.209587997991952","0.261863910319176","1"
