"ple0044_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1985","16-34 y.","Single parent ","121","0.461241633134375","0.402852726914681","0.519630539354068","2"
"No","1985","16-34 y.","Couple + C. GT 16 ","317","0.388203701456519","0.355188145064958","0.42121925784808","2"
"No","1985","35-65 y.","1-pers.-HH","193","0.410205384246593","0.364759672012581","0.455651096480605","2"
"No","1985","16-34 y.","(Married) couple without C. ","299","0.516161080778478","0.475905113642416","0.55641704791454","2"
"No","1985","16-34 y.","Couple + C. LE and GT 16","229","0.379503233324211","0.341520009543202","0.417486457105221","2"
"No","1985","16-34 y.","1-pers.-HH","154","0.469736833834516","0.41564306346422","0.523830604204813","2"
"No","1985","16-34 y.","Couple + C. LE 16 ","498","0.409084826979435","0.381817904182494","0.436351749776376","2"
"No","1985","35-65 y.","(Married) couple without C. ","541","0.389667076006131","0.363604508072339","0.415729643939922","2"
"No","1985","35-65 y.","Single parent ","95","0.391152227023564","0.329152914049458","0.453151539997669","2"
"No","1985","35-65 y.","Couple + C. LE 16 ","595","0.408959024950885","0.383486208419407","0.434431841482363","2"
"No","1985","66 and older","1-pers.-HH","141","0.350003798086436","0.303493492119219","0.396514104053652","2"
"No","1985","66 and older","(Married) couple without C. ","155","0.309693416633718","0.269084592532014","0.350302240735422","2"
"No","1985","35-65 y.","Couple + C. GT 16 ","461","0.398717869843564","0.370344750976819","0.427090988710309","2"
"No","1985","35-65 y.","Couple + C. LE and GT 16","363","0.385059463602199","0.352650166884558","0.417468760319839","2"
"No","1985","66 and older","Single parent ","6","","","","2"
"No","1985","66 and older","Couple + C. LE 16 ","1","","","","2"
"No","1985","66 and older","Couple + C. GT 16 ","17","","","","2"
"No","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1985","16-34 y.","1-pers.-HH","173","0.530263166165484","0.476169395795187","0.58435693653578","1"
"Yes","1985","16-34 y.","(Married) couple without C. ","293","0.483838919221522","0.44358295208546","0.524094886357584","1"
"Yes","1985","16-34 y.","Single parent ","159","0.538758366865625","0.480369460645932","0.597147273085319","1"
"Yes","1985","16-34 y.","Couple + C. LE 16 ","751","0.590915173020565","0.563648250223624","0.618182095817506","1"
"Yes","1985","16-34 y.","Couple + C. GT 16 ","520","0.611796298543481","0.57878074215192","0.644811854935042","1"
"Yes","1985","16-34 y.","Couple + C. LE and GT 16","398","0.620496766675789","0.582513542894779","0.658479990456798","1"
