"ple0044_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Full Time","Urban Area","2039","1","1","1"
"Not a day","1985","Full Time","Rural Area","526","1","1","1"
"Not a day","1985","Part Time","Urban Area","897","1","1","1"
"Not a day","1985","Part Time","Rural Area","235","1","1","1"
"Not a day","1985","Not Working","Urban Area","2297","1","1","1"
"Not a day","1985","Not Working","Rural Area","648","1","1","1"
"Not a day","1986","Full Time","Urban Area","1840","1","1","1"
"Not a day","1986","Full Time","Rural Area","493","1","1","1"
"Not a day","1986","Part Time","Urban Area","771","1","1","1"
"Not a day","1986","Part Time","Rural Area","221","1","1","1"
"Not a day","1986","Not Working","Urban Area","212","1","1","1"
"Not a day","1986","Not Working","Rural Area","46","1","1","1"
"Not a day","1987","Full Time","Urban Area","1688","1","1","1"
"Not a day","1987","Full Time","Rural Area","466","1","1","1"
"Not a day","1987","Part Time","Urban Area","695","1","1","1"
"Not a day","1987","Part Time","Rural Area","217","1","1","1"
"Not a day","1987","Not Working","Urban Area","35","1","1","1"
"Not a day","1987","Not Working","Rural Area","11","","",""
"Not a day","1988","Full Time","Urban Area","1624","1","1","1"
"Not a day","1988","Full Time","Rural Area","437","1","1","1"
"Not a day","1988","Part Time","Urban Area","705","1","1","1"
"Not a day","1988","Part Time","Rural Area","226","1","1","1"
"Not a day","1988","Not Working","Urban Area","27","","",""
"Not a day","1988","Not Working","Rural Area","7","","",""
"Not a day","1989","Full Time","Urban Area","1591","1","1","1"
"Not a day","1989","Full Time","Rural Area","385","1","1","1"
"Not a day","1989","Part Time","Urban Area","635","1","1","1"
"Not a day","1989","Part Time","Rural Area","190","1","1","1"
"Not a day","1989","Not Working","Urban Area","33","1","1","1"
"Not a day","1989","Not Working","Rural Area","6","","",""
"Not a day","1990","Full Time","Urban Area","","","",""
"Not a day","1990","Full Time","Rural Area","","","",""
"Not a day","1990","Part Time","Urban Area","","","",""
"Not a day","1990","Part Time","Rural Area","","","",""
"Not a day","1990","Not Working","Urban Area","","","",""
"Not a day","1990","Not Working","Rural Area","","","",""
"Not a day","1991","Full Time","Urban Area","1419","1","1","1"
"Not a day","1991","Full Time","Rural Area","367","1","1","1"
"Not a day","1991","Part Time","Urban Area","681","1","1","1"
"Not a day","1991","Part Time","Rural Area","194","1","1","1"
"Not a day","1991","Not Working","Urban Area","36","1","1","1"
"Not a day","1991","Not Working","Rural Area","6","","",""
"Not a day","1992","Full Time","Urban Area","1853","1","1","1"
"Not a day","1992","Full Time","Rural Area","1173","1","1","1"
"Not a day","1992","Part Time","Urban Area","746","1","1","1"
"Not a day","1992","Part Time","Rural Area","475","1","1","1"
"Not a day","1992","Not Working","Urban Area","33","1","1","1"
"Not a day","1992","Not Working","Rural Area","24","","",""
"Not a day","1993","Full Time","Urban Area","","","",""
"Not a day","1993","Full Time","Rural Area","","","",""
"Not a day","1993","Part Time","Urban Area","","","",""
"Not a day","1993","Part Time","Rural Area","","","",""
"Not a day","1993","Not Working","Urban Area","","","",""
"Not a day","1993","Not Working","Rural Area","","","",""
"Not a day","1994","Full Time","Urban Area","1683","1","1","1"
"Not a day","1994","Full Time","Rural Area","962","1","1","1"
"Not a day","1994","Part Time","Urban Area","747","1","1","1"
"Not a day","1994","Part Time","Rural Area","379","1","1","1"
"Not a day","1994","Not Working","Urban Area","59","1","1","1"
"Not a day","1994","Not Working","Rural Area","22","","",""
"Not a day","1995","Full Time","Urban Area","1583","1","1","1"
"Not a day","1995","Full Time","Rural Area","997","1","1","1"
"Not a day","1995","Part Time","Urban Area","869","1","1","1"
"Not a day","1995","Part Time","Rural Area","405","1","1","1"
"Not a day","1995","Not Working","Urban Area","25","","",""
"Not a day","1995","Not Working","Rural Area","22","","",""
"Not a day","1996","Full Time","Urban Area","1531","1","1","1"
"Not a day","1996","Full Time","Rural Area","866","1","1","1"
"Not a day","1996","Part Time","Urban Area","851","1","1","1"
"Not a day","1996","Part Time","Rural Area","397","1","1","1"
"Not a day","1996","Not Working","Urban Area","7","","",""
"Not a day","1996","Not Working","Rural Area","11","","",""
"Not a day","1997","Full Time","Urban Area","1531","1","1","1"
"Not a day","1997","Full Time","Rural Area","894","1","1","1"
"Not a day","1997","Part Time","Urban Area","781","1","1","1"
"Not a day","1997","Part Time","Rural Area","405","1","1","1"
"Not a day","1997","Not Working","Urban Area","7","","",""
"Not a day","1997","Not Working","Rural Area","18","","",""
"Not a day","1998","Full Time","Urban Area","1724","1","1","1"
"Not a day","1998","Full Time","Rural Area","973","1","1","1"
"Not a day","1998","Part Time","Urban Area","886","1","1","1"
"Not a day","1998","Part Time","Rural Area","470","1","1","1"
"Not a day","1998","Not Working","Urban Area","8","","",""
"Not a day","1998","Not Working","Rural Area","4","","",""
"Not a day","1999","Full Time","Urban Area","1611","1","1","1"
"Not a day","1999","Full Time","Rural Area","905","1","1","1"
"Not a day","1999","Part Time","Urban Area","948","1","1","1"
"Not a day","1999","Part Time","Rural Area","463","1","1","1"
"Not a day","1999","Not Working","Urban Area","91","1","1","1"
"Not a day","1999","Not Working","Rural Area","59","1","1","1"
"Not a day","2000","Full Time","Urban Area","2802","1","1","1"
"Not a day","2000","Full Time","Rural Area","1601","1","1","1"
"Not a day","2000","Part Time","Urban Area","1675","1","1","1"
"Not a day","2000","Part Time","Rural Area","814","1","1","1"
"Not a day","2000","Not Working","Urban Area","47","1","1","1"
"Not a day","2000","Not Working","Rural Area","17","","",""
"Not a day","2001","Full Time","Urban Area","2541","1","1","1"
"Not a day","2001","Full Time","Rural Area","1392","1","1","1"
"Not a day","2001","Part Time","Urban Area","1647","1","1","1"
"Not a day","2001","Part Time","Rural Area","786","1","1","1"
"Not a day","2001","Not Working","Urban Area","19","","",""
"Not a day","2001","Not Working","Rural Area","10","","",""
"Not a day","2002","Full Time","Urban Area","2884","1","1","1"
"Not a day","2002","Full Time","Rural Area","1471","1","1","1"
"Not a day","2002","Part Time","Urban Area","1768","1","1","1"
