"ple0044_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Urban Area","3570","0.400540564383681","0.390304432021924","0.410776696745438","2"
"No","1985","Rural Area","875","0.372207875413544","0.352383443463008","0.39203230736408","2"
"Yes","1985","Urban Area","5233","0.599459435616319","0.589223303254561","0.609695567978076","1"
"Yes","1985","Rural Area","1409","0.627792124586456","0.60796769263592","0.647616556536993","1"
"No","1986","Urban Area","5517","0.688154236179735","0.67821214174454","0.698096330614929","2"
"No","1986","Rural Area","1394","0.66523661132011","0.645307758924149","0.685165463716071","2"
"Yes","1986","Urban Area","2823","0.311845763820265","0.301903669385071","0.32178785825546","1"
"Yes","1986","Rural Area","760","0.33476338867989","0.314834536283929","0.354692241075851","1"
"No","1987","Urban Area","5773","0.726604950164084","0.716952798716435","0.736257101611733","2"
"No","1987","Rural Area","1423","0.694094873712167","0.674466222503642","0.713723524920692","2"
"Yes","1987","Urban Area","2418","0.273395049835916","0.263742898388267","0.283047201283565","1"
"Yes","1987","Rural Area","694","0.305905126287833","0.286276475079308","0.325533777496358","1"
"No","1988","Urban Area","5493","0.717538449262529","0.707578819717252","0.727498078807805","2"
"No","1988","Rural Area","1313","0.680327345486948","0.659801623540074","0.700853067433822","2"
"Yes","1988","Urban Area","2356","0.282461550737472","0.272501921192196","0.292421180282748","1"
"Yes","1988","Rural Area","670","0.319672654513052","0.299146932566178","0.340198376459926","1"
"No","1989","Urban Area","5462","0.725509821627754","0.715555850709765","0.735463792545743","2"
"No","1989","Rural Area","1323","0.716214129785196","0.69596383053783","0.736464429032563","2"
"Yes","1989","Urban Area","2259","0.274490178372246","0.264536207454257","0.284444149290235","1"
"Yes","1989","Rural Area","581","0.283785870214804","0.263535570967437","0.30403616946217","1"
"No","1990","Urban Area","","","","","2"
"No","1990","Rural Area","","","","","2"
"Yes","1990","Urban Area","","","","","1"
"Yes","1990","Rural Area","","","","","1"
"No","1991","Urban Area","6755","0.761295439838093","0.752434500610737","0.770156379065449","2"
"No","1991","Rural Area","4064","0.838688311808058","0.828094703430744","0.849281920185373","2"
"Yes","1991","Urban Area","2136","0.238704560161907","0.229843620934551","0.247565499389263","1"
"Yes","1991","Rural Area","567","0.161311688191942","0.150718079814627","0.171905296569256","1"
"No","1992","Urban Area","6090","0.721026815144454","0.711614488545621","0.730439141743287","2"
"No","1992","Rural Area","2732","0.664727997743114","0.65078535608859","0.678670639397637","2"
"Yes","1992","Urban Area","2632","0.278973184855546","0.269560858256713","0.288385511454379","1"
"Yes","1992","Rural Area","1672","0.335272002256887","0.321329360602363","0.349214643911411","1"
"No","1993","Urban Area","","","","","2"
"No","1993","Rural Area","","","","","2"
"Yes","1993","Urban Area","","","","","1"
"Yes","1993","Rural Area","","","","","1"
"No","1994","Urban Area","6057","0.737982012866012","0.728659025662167","0.747305000069857","2"
"No","1994","Rural Area","2923","0.711230776460161","0.697663185845006","0.724798367075317","2"
"Yes","1994","Urban Area","2489","0.262017987133988","0.252694999930143","0.271340974337833","1"
"Yes","1994","Rural Area","1363","0.288769223539839","0.275201632924683","0.302336814154994","1"
"No","1995","Urban Area","6119","0.740199714042077","0.730929406192745","0.749470021891408","2"
"No","1995","Rural Area","2939","0.705978101090871","0.692459214074311","0.719496988107431","2"
"Yes","1995","Urban Area","2477","0.259800285957923","0.250529978108592","0.269070593807255","1"
"Yes","1995","Rural Area","1424","0.294021898909129","0.280503011892569","0.307540785925689","1"
"No","1996","Urban Area","5992","0.734647934695966","0.725195339978517","0.744100529413415","2"
"No","1996","Rural Area","2969","0.730893650932367","0.717549202064593","0.744238099800142","2"
"Yes","1996","Urban Area","2389","0.265352065304034","0.255899470586585","0.274804660021483","1"
"Yes","1996","Rural Area","1274","0.269106349067633","0.255761900199858","0.282450797935407","1"
"No","1997","Urban Area","5894","0.745494603390909","0.736074234070007","0.754914972711812","2"
"No","1997","Rural Area","2872","0.713137870717454","0.699441160429401","0.726834581005506","2"
