"ple0044_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","West Germany","Female","2160","0.382238415252359","0.369547457947165","0.394929372557553","2"
"No","1985","East Germany","Female","","","","","2"
"No","1985","West Germany","Male","2285","0.406965434590681","0.393928680329665","0.420002188851696","2"
"No","1985","East Germany","Male","","","","","2"
"Yes","1985","West Germany","Male","3170","0.593034565409319","0.579997811148304","0.606071319670335","1"
"Yes","1985","West Germany","Female","3472","0.617761584747641","0.605070627442447","0.630452542052835","1"
"Yes","1985","East Germany","Male","","","","","1"
"Yes","1985","East Germany","Female","","","","","1"
"No","1986","West Germany","Female","3882","0.758055986360202","0.746537141958396","0.769574830762008","2"
"No","1986","East Germany","Female","","","","","2"
"No","1986","West Germany","Male","3029","0.598445685628162","0.585101253013107","0.611790118243218","2"
"No","1986","East Germany","Male","","","","","2"
"Yes","1986","West Germany","Male","2155","0.401554314371838","0.388209881756782","0.414898746986893","1"
"Yes","1986","West Germany","Female","1428","0.241944013639798","0.230425169237992","0.253462858041604","1"
"Yes","1986","East Germany","Male","","","","","1"
"Yes","1986","East Germany","Female","","","","","1"
"No","1987","West Germany","Female","4067","0.802521607716381","0.791728374853529","0.813314840579232","2"
"No","1987","East Germany","Female","","","","","2"
"No","1987","West Germany","Male","3129","0.625159874607428","0.611850754461454","0.638468994753401","2"
"No","1987","East Germany","Male","","","","","2"
"Yes","1987","West Germany","Female","1159","0.197478392283619","0.186685159420768","0.208271625146471","1"
"Yes","1987","East Germany","Male","","","","","1"
"Yes","1987","East Germany","Female","","","","","1"
"Yes","1987","West Germany","Male","1953","0.374840125392572","0.361531005246599","0.388149245538546","1"
"No","1988","West Germany","Female","3818","0.787378079000513","0.776010710229032","0.798745447771995","2"
"No","1988","East Germany","Female","","","","","2"
"No","1988","West Germany","Male","2988","0.622391826947382","0.608755226769895","0.63602842712487","2"
"No","1988","East Germany","Male","","","","","2"
"Yes","1988","West Germany","Female","1159","0.212621920999487","0.201254552228005","0.223989289770968","1"
"Yes","1988","East Germany","Male","","","","","1"
"Yes","1988","East Germany","Female","","","","","1"
"Yes","1988","West Germany","Male","1867","0.377608173052618","0.36397157287513","0.391244773230105","1"
"No","1989","West Germany","Male","3012","0.650053662151961","0.636474278205669","0.663633046098252","2"
"No","1989","West Germany","Female","3773","0.789945459627762","0.77852362284091","0.801367296414614","2"
"No","1989","East Germany","Female","","","","","2"
"No","1989","East Germany","Male","","","","","2"
"Yes","1989","West Germany","Female","1113","0.210054540372238","0.198632703585386","0.22147637715909","1"
"Yes","1989","West Germany","Male","1727","0.349946337848039","0.336366953901748","0.363525721794331","1"
"Yes","1989","East Germany","Male","","","","","1"
"Yes","1989","East Germany","Female","","","","","1"
"No","1990","East Germany","Female","","","","","2"
"No","1990","West Germany","Male","","","","","2"
"No","1990","West Germany","Female","","","","","2"
"No","1990","East Germany","Male","","","","","2"
"Yes","1990","West Germany","Female","","","","","1"
"Yes","1990","East Germany","Female","","","","","1"
"Yes","1990","West Germany","Male","","","","","1"
"Yes","1990","East Germany","Male","","","","","1"
"No","1991","East Germany","Female","2181","1","1","1","2"
"No","1991","West Germany","Male","3041","0.660421942959061","0.646798838717115","0.674045047201007","2"
"No","1991","West Germany","Female","3705","0.795317563622055","0.783911872517876","0.806723254726234","2"
"No","1991","East Germany","Male","1982","1","1","1","2"
"Yes","1991","West Germany","Female","1102","0.204682436377945","0.193276745273766","0.216088127482124","1"
"Yes","1991","East Germany","Female","","","","","1"
"Yes","1991","West Germany","Male","1601","0.339578057040939","0.325954952798993","0.353201161282885","1"
"Yes","1991","East Germany","Male","","","","","1"
"No","1992","West Germany","Male","3007","0.658371859986694","0.644593195613549","0.67215052435984","2"
"No","1992","West Germany","Female","3682","0.797365128169166","0.785908702380408","0.808821553957924","2"
"No","1992","East Germany","Male","892","0.507302519002544","0.484703330392914","0.529901707612174","2"
"No","1992","East Germany","Female","1303","0.669277400429262","0.649073348656434","0.68948145220209","2"
"Yes","1992","West Germany","Female","1047","0.202634871830834","0.191178446042076","0.214091297619592","1"
"Yes","1992","East Germany","Female","780","0.330722599570738","0.31051854779791","0.350926651343566","1"
"Yes","1992","West Germany","Male","1544","0.341628140013306","0.32784947564016","0.355406804386452","1"
"Yes","1992","East Germany","Male","988","0.492697480997456","0.470098292387826","0.515296669607086","1"
"No","1993","West Germany","Male","","","","","2"
"No","1993","West Germany","Female","","","","","2"
"No","1993","East Germany","Male","","","","","2"
"No","1993","East Germany","Female","","","","","2"
"Yes","1993","West Germany","Female","","","","","1"
"Yes","1993","East Germany","Female","","","","","1"
"Yes","1993","West Germany","Male","","","","","1"
"Yes","1993","East Germany","Male","","","","","1"
"No","1994","West Germany","Male","2818","0.649849835319102","0.635756750010542","0.663942920627661","2"
"No","1994","West Germany","Female","3663","0.811868912864615","0.800652808058014","0.823085017671217","2"
"No","1994","East Germany","Male","1051","0.638961405280245","0.616711113839504","0.661211696720986","2"
