"ple0044_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1985","16-34 y.","Not Employed","366","0.279027197706229","0.255154529837146","0.302899865575311","2"
"No","1985","16-34 y.","Employed","1358","0.491688954764151","0.473260234135896","0.510117675392405","2"
"No","1985","35-65 y.","Not Employed","569","0.31717596104516","0.295700902438847","0.338651019651473","2"
"No","1985","35-65 y.","Employed","1788","0.433605745645503","0.418213414541151","0.448998076749855","2"
"No","1985","66 and older","Not Employed","353","0.333717579923201","0.305503431280792","0.36193172856561","2"
"No","1985","66 and older","Employed","11","","","","2"
"Yes","1985","16-34 y.","Not Employed","990","0.720972802293771","0.697100134424689","0.744845470162854","1"
"Yes","1985","16-34 y.","Employed","1469","0.508311045235849","0.489882324607595","0.526739765864104","1"
"Yes","1985","35-65 y.","Not Employed","1235","0.68282403895484","0.661348980348527","0.704299097561153","1"
"Yes","1985","35-65 y.","Employed","2194","0.566394254354497","0.551001923250145","0.581786585458849","1"
"Yes","1985","66 and older","Not Employed","720","0.666282420076799","0.63806827143439","0.694496568719208","1"
"Yes","1985","66 and older","Employed","34","0.756785931588346","0.631436402876429","0.882135460300262","1"
"No","1986","16-34 y.","Employed","1467","0.533085199663861","0.514638780888601","0.551531618439121","2"
"No","1986","16-34 y.","Not Employed","1119","0.921984331436216","0.906947193774007","0.937021469098426","2"
"No","1986","35-65 y.","Employed","1779","0.45379839691352","0.43783613230082","0.46976066152622","2"
"No","1986","35-65 y.","Not Employed","1578","0.938297443084686","0.926798526001393","0.949796360167978","2"
"No","1986","66 and older","Not Employed","950","0.951320521573598","0.937989376851825","0.96465166629537","2"
"No","1986","66 and older","Employed","18","","","","2"
"Yes","1986","16-34 y.","Not Employed","103","0.0780156685637835","0.0629785309015744","0.0930528062259925","1"
"Yes","1986","16-34 y.","Employed","1343","0.466914800336139","0.448468381560878","0.485361219111399","1"
"Yes","1986","35-65 y.","Not Employed","104","0.0617025569153144","0.0502036398320223","0.0732014739986065","1"
"Yes","1986","35-65 y.","Employed","1958","0.54620160308648","0.53023933847378","0.56216386769918","1"
"Yes","1986","66 and older","Not Employed","51","0.0486794784264023","0.03534833370463","0.0620106231481747","1"
"Yes","1986","66 and older","Employed","24","","","","1"
"No","1987","16-34 y.","Not Employed","1114","0.977716773852451","0.969137245265588","0.986296302439314","2"
"No","1987","16-34 y.","Employed","1594","0.572117493450092","0.553888623250653","0.590346363649531","2"
"No","1987","35-65 y.","Employed","1837","0.479709347122943","0.463481913034179","0.495936781211707","2"
"No","1987","35-65 y.","Not Employed","1596","0.98756679910421","0.982167547718626","0.992966050489794","2"
"No","1987","66 and older","Not Employed","1038","0.999170749420691","0.997420487416865","1.00092101142452","2"
"No","1987","66 and older","Employed","17","","","","2"
"Yes","1987","16-34 y.","Not Employed","23","","","","1"
