"ple0044_h","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Working","1288","0.31484587396099","0.300854283051242","0.328837464870737","2"
"No","1985","Full Time","2421","0.478743576972285","0.464877642488251","0.492609511456319","2"
"No","1985","Part Time","736","0.398948276855565","0.376742095866963","0.421154457844167","2"
"Yes","1985","Full Time","2565","0.521256423027715","0.507390488543682","0.535122357511749","1"
"Yes","1985","Part Time","1132","0.601051723144435","0.578845542155833","0.623257904133037","1"
"Yes","1985","Not Working","2945","0.68515412603901","0.671162535129263","0.699145716948758","1"
"No","1986","Not Working","3647","0.940013657540318","0.932565808850298","0.947461506230338","2"
"No","1986","Full Time","2454","0.499681569612682","0.485517557367625","0.51384558185774","2"
"No","1986","Part Time","810","0.454339197955105","0.431350086821964","0.477328309088245","2"
"Yes","1986","Full Time","2333","0.500318430387318","0.48615441814226","0.514482442632375","1"
"Yes","1986","Part Time","992","0.545660802044895","0.522671690911755","0.568649913178036","1"
"Yes","1986","Not Working","258","0.059986342459682","0.052538493769662","0.0674341911497019","1"
"No","1987","Not Working","3748","0.990619303116452","0.987551903405025","0.99368670282788","2"
"No","1987","Full Time","2590","0.535399339788989","0.521206981129908","0.549591698448071","2"
"No","1987","Part Time","858","0.476681274099295","0.45341329627269","0.499949251925901","2"
"Yes","1987","Full Time","2154","0.464600660211011","0.450408301551929","0.478793018870092","1"
"Yes","1987","Part Time","912","0.523318725900705","0.500050748074099","0.54658670372731","1"
"Yes","1987","Not Working","46","0.00938069688354764","0.00631329717212039","0.0124480965949749","1"
"No","1988","Not Working","3522","0.991022946508021","0.98792284455577","0.994123048460271","2"
"No","1988","Full Time","2440","0.516878059863941","0.502279298355063","0.531476821372819","2"
"No","1988","Part Time","844","0.476709084202497","0.453473840919951","0.499944327485044","2"
"Yes","1988","Full Time","2061","0.483121940136059","0.468523178627181","0.497720701644937","1"
"Yes","1988","Part Time","931","0.523290915797503","0.500055672514957","0.546526159080049","1"
"Yes","1988","Not Working","34","0.00897705349197928","0.00587695153972866","0.0120771554442299","1"
"No","1989","Not Working","3393","0.991035123674594","0.987881636085359","0.994188611263829","2"
"No","1989","Full Time","2534","0.541618584942656","0.527076720239839","0.556160449645474","2"
"No","1989","Part Time","858","0.512481032414651","0.488600682302728","0.536361382526575","2"
"Yes","1989","Full Time","1976","0.458381415057344","0.443839550354526","0.472923279760161","1"
"Yes","1989","Part Time","825","0.487518967585349","0.463638617473425","0.511399317697272","1"
"Yes","1989","Not Working","39","0.00896487632540561","0.00581138873617063","0.0121183639146406","1"
"No","1990","Not Working","","","","","2"
"No","1990","Full Time","","","","","2"
"No","1990","Part Time","","","","","2"
"Yes","1990","Full Time","","","","","1"
"Yes","1990","Part Time","","","","","1"
"Yes","1990","Not Working","","","","","1"
"No","1991","Not Working","3223","0.99018840314182","0.986807480267155","0.993569326016484","2"
"No","1991","Full Time","2610","0.579480062232686","0.564887491942283","0.594072632523089","2"
"No","1991","Part Time","874","0.509007517194294","0.485578573648796","0.532436460739793","2"
"Yes","1991","Full Time","1786","0.420519937767314","0.405927367476911","0.435112508057717","1"
"Yes","1991","Part Time","875","0.490992482805706","0.467563539260207","0.514421426351204","1"
"Yes","1991","Not Working","42","0.00981159685818016","0.00643067398351565","0.0131925197328447","1"
"No","1992","Full Time","3476","0.53573854717773","0.523655284782283","0.547821809573177","2"
"No","1992","Not Working","4206","0.989122210013041","0.986008445702861","0.992235974323222","2"
"No","1992","Part Time","1202","0.494052292584093","0.474198260257276","0.51390632491091","2"
"Yes","1992","Part Time","1234","0.505947707415907","0.48609367508909","0.525801739742724","1"
"Yes","1992","Not Working","57","0.0108777899869589","0.00776402567677846","0.0139915542971393","1"
"Yes","1992","Full Time","3068","0.46426145282227","0.452178190426823","0.476344715217717","1"
"No","1993","Full Time","","","","","2"
"No","1993","Not Working","","","","","2"
"No","1993","Part Time","","","","","2"
"Yes","1993","Part Time","","","","","1"
"Yes","1993","Not Working","","","","","1"
