"ple0044_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Full Time","West Germany","2565","1","1","1"
"Not a day","1985","Full Time","East Germany","","","",""
"Not a day","1985","Part Time","West Germany","1132","1","1","1"
"Not a day","1985","Part Time","East Germany","","","",""
"Not a day","1985","Not Working","West Germany","2945","1","1","1"
"Not a day","1985","Not Working","East Germany","","","",""
"Not a day","1986","Full Time","West Germany","2333","1","1","1"
"Not a day","1986","Full Time","East Germany","","","",""
"Not a day","1986","Part Time","West Germany","992","1","1","1"
"Not a day","1986","Part Time","East Germany","","","",""
"Not a day","1986","Not Working","West Germany","258","1","1","1"
"Not a day","1986","Not Working","East Germany","","","",""
"Not a day","1987","Full Time","West Germany","2154","1","1","1"
"Not a day","1987","Full Time","East Germany","","","",""
"Not a day","1987","Part Time","West Germany","912","1","1","1"
"Not a day","1987","Part Time","East Germany","","","",""
"Not a day","1987","Not Working","West Germany","46","1","1","1"
"Not a day","1987","Not Working","East Germany","","","",""
"Not a day","1988","Full Time","West Germany","2061","1","1","1"
"Not a day","1988","Full Time","East Germany","","","",""
"Not a day","1988","Part Time","West Germany","931","1","1","1"
"Not a day","1988","Part Time","East Germany","","","",""
"Not a day","1988","Not Working","West Germany","34","1","1","1"
"Not a day","1988","Not Working","East Germany","","","",""
"Not a day","1989","Full Time","West Germany","1976","1","1","1"
"Not a day","1989","Full Time","East Germany","","","",""
"Not a day","1989","Part Time","West Germany","825","1","1","1"
"Not a day","1989","Part Time","East Germany","","","",""
"Not a day","1989","Not Working","West Germany","39","1","1","1"
"Not a day","1989","Not Working","East Germany","","","",""
"Not a day","1990","Full Time","West Germany","","","",""
"Not a day","1990","Full Time","East Germany","","","",""
"Not a day","1990","Part Time","West Germany","","","",""
"Not a day","1990","Part Time","East Germany","","","",""
"Not a day","1990","Not Working","West Germany","","","",""
"Not a day","1990","Not Working","East Germany","","","",""
"Not a day","1991","Full Time","West Germany","1786","1","1","1"
"Not a day","1991","Full Time","East Germany","","","",""
"Not a day","1991","Part Time","West Germany","875","1","1","1"
"Not a day","1991","Part Time","East Germany","","","",""
"Not a day","1991","Not Working","West Germany","42","1","1","1"
"Not a day","1991","Not Working","East Germany","","","",""
"Not a day","1992","Full Time","West Germany","1747","1","1","1"
"Not a day","1992","Full Time","East Germany","1321","1","1","1"
"Not a day","1992","Part Time","West Germany","808","1","1","1"
"Not a day","1992","Part Time","East Germany","426","1","1","1"
"Not a day","1992","Not Working","West Germany","36","1","1","1"
"Not a day","1992","Not Working","East Germany","21","","",""
"Not a day","1993","Full Time","West Germany","","","",""
"Not a day","1993","Full Time","East Germany","","","",""
"Not a day","1993","Part Time","West Germany","","","",""
"Not a day","1993","Part Time","East Germany","","","",""
"Not a day","1993","Not Working","West Germany","","","",""
"Not a day","1993","Not Working","East Germany","","","",""
"Not a day","1994","Full Time","West Germany","1686","1","1","1"
"Not a day","1994","Full Time","East Germany","959","1","1","1"
"Not a day","1994","Part Time","West Germany","840","1","1","1"
"Not a day","1994","Part Time","East Germany","286","1","1","1"
"Not a day","1994","Not Working","West Germany","58","1","1","1"
"Not a day","1994","Not Working","East Germany","23","","",""
"Not a day","1995","Full Time","West Germany","1648","1","1","1"
"Not a day","1995","Full Time","East Germany","932","1","1","1"
"Not a day","1995","Part Time","West Germany","986","1","1","1"
"Not a day","1995","Part Time","East Germany","288","1","1","1"
"Not a day","1995","Not Working","West Germany","32","1","1","1"
"Not a day","1995","Not Working","East Germany","15","","",""
"Not a day","1996","Full Time","West Germany","1593","1","1","1"
"Not a day","1996","Full Time","East Germany","804","1","1","1"
"Not a day","1996","Part Time","West Germany","976","1","1","1"
"Not a day","1996","Part Time","East Germany","272","1","1","1"
"Not a day","1996","Not Working","West Germany","10","","",""
"Not a day","1996","Not Working","East Germany","8","","",""
"Not a day","1997","Full Time","West Germany","1602","1","1","1"
"Not a day","1997","Full Time","East Germany","823","1","1","1"
"Not a day","1997","Part Time","West Germany","908","1","1","1"
"Not a day","1997","Part Time","East Germany","278","1","1","1"
"Not a day","1997","Not Working","West Germany","9","","",""
"Not a day","1997","Not Working","East Germany","16","","",""
"Not a day","1998","Full Time","West Germany","1829","1","1","1"
"Not a day","1998","Full Time","East Germany","868","1","1","1"
"Not a day","1998","Part Time","West Germany","1026","1","1","1"
"Not a day","1998","Part Time","East Germany","330","1","1","1"
"Not a day","1998","Not Working","West Germany","10","","",""
"Not a day","1998","Not Working","East Germany","2","","",""
"Not a day","1999","Full Time","West Germany","1724","1","1","1"
"Not a day","1999","Full Time","East Germany","792","1","1","1"
"Not a day","1999","Part Time","West Germany","1067","1","1","1"
"Not a day","1999","Part Time","East Germany","344","1","1","1"
"Not a day","1999","Not Working","West Germany","100","1","1","1"
"Not a day","1999","Not Working","East Germany","50","1","1","1"
"Not a day","2000","Full Time","West Germany","3162","1","1","1"
"Not a day","2000","Full Time","East Germany","1241","1","1","1"
"Not a day","2000","Part Time","West Germany","1967","1","1","1"
"Not a day","2000","Part Time","East Germany","522","1","1","1"
"Not a day","2000","Not Working","West Germany","51","1","1","1"
"Not a day","2000","Not Working","East Germany","13","","",""
"Not a day","2001","Full Time","West Germany","2835","1","1","1"
"Not a day","2001","Full Time","East Germany","1098","1","1","1"
"Not a day","2001","Part Time","West Germany","1956","1","1","1"
"Not a day","2001","Part Time","East Germany","477","1","1","1"
"Not a day","2001","Not Working","West Germany","14","","",""
"Not a day","2001","Not Working","East Germany","15","","",""
"Not a day","2002","Full Time","West Germany","3193","1","1","1"
"Not a day","2002","Full Time","East Germany","1162","1","1","1"
"Not a day","2002","Part Time","West Germany","2085","1","1","1"
"Not a day","2002","Part Time","East Germany","460","1","1","1"
"Not a day","2002","Not Working","West Germany","30","1","1","1"
"Not a day","2002","Not Working","East Germany","12","","",""
"Not a day","2003","Full Time","West Germany","2902","1","1","1"
"Not a day","2003","Full Time","East Germany","1067","1","1","1"
"Not a day","2003","Part Time","West Germany","2032","1","1","1"
"Not a day","2003","Part Time","East Germany","495","1","1","1"
"Not a day","2003","Not Working","West Germany","32","1","1","1"
"Not a day","2003","Not Working","East Germany","17","","",""
"Not a day","2004","Full Time","West Germany","2810","1","1","1"
"Not a day","2004","Full Time","East Germany","1023","1","1","1"
"Not a day","2004","Part Time","West Germany","2063","1","1","1"
"Not a day","2004","Part Time","East Germany","496","1","1","1"
"Not a day","2004","Not Working","West Germany","33","1","1","1"
"Not a day","2004","Not Working","East Germany","18","","",""
"Not a day","2005","Full Time","West Germany","2650","1","1","1"
"Not a day","2005","Full Time","East Germany","967","1","1","1"
"Not a day","2005","Part Time","West Germany","1972","1","1","1"
"Not a day","2005","Part Time","East Germany","505","1","1","1"
"Not a day","2005","Not Working","West Germany","18","","",""
"Not a day","2005","Not Working","East Germany","8","","",""
"Not a day","2006","Full Time","West Germany","2811","1","1","1"
"Not a day","2006","Full Time","East Germany","1015","1","1","1"
"Not a day","2006","Part Time","West Germany","2115","1","1","1"
"Not a day","2006","Part Time","East Germany","556","1","1","1"
"Not a day","2006","Not Working","West Germany","16","","",""
"Not a day","2006","Not Working","East Germany","6","","",""
"Not a day","2007","Full Time","West Germany","2544","1","1","1"
"Not a day","2007","Full Time","East Germany","966","1","1","1"
"Not a day","2007","Part Time","West Germany","1958","1","1","1"
"Not a day","2007","Part Time","East Germany","492","1","1","1"
"Not a day","2007","Not Working","West Germany","21","","",""
"Not a day","2007","Not Working","East Germany","10","","",""
"Not a day","2008","Full Time","West Germany","2311","1","1","1"
"Not a day","2008","Full Time","East Germany","906","1","1","1"
"Not a day","2008","Part Time","West Germany","1771","1","1","1"
"Not a day","2008","Part Time","East Germany","445","1","1","1"
"Not a day","2008","Not Working","West Germany","29","","",""
"Not a day","2008","Not Working","East Germany","14","","",""
"Not a day","2009","Full Time","West Germany","2100","1","1","1"
"Not a day","2009","Full Time","East Germany","798","1","1","1"
"Not a day","2009","Part Time","West Germany","1595","1","1","1"
"Not a day","2009","Part Time","East Germany","407","1","1","1"
"Not a day","2009","Not Working","West Germany","25","","",""
"Not a day","2009","Not Working","East Germany","10","","",""
"Not a day","2010","Full Time","West Germany","2761","1","1","1"
"Not a day","2010","Full Time","East Germany","992","1","1","1"
"Not a day","2010","Part Time","West Germany","2537","1","1","1"
"Not a day","2010","Part Time","East Germany","601","1","1","1"
"Not a day","2010","Not Working","West Germany","32","1","1","1"
"Not a day","2010","Not Working","East Germany","18","","",""
"Not a day","2011","Full Time","West Germany","1877","1","1","1"
"Not a day","2011","Full Time","East Germany","519","1","1","1"
"Not a day","2011","Part Time","West Germany","2013","1","1","1"
"Not a day","2011","Part Time","East Germany","392","1","1","1"
"Not a day","2011","Not Working","West Germany","66","1","1","1"
"Not a day","2011","Not Working","East Germany","35","1","1","1"
"Not a day","2012","Full Time","West Germany","2934","1","1","1"
"Not a day","2012","Full Time","East Germany","1030","1","1","1"
"Not a day","2012","Part Time","West Germany","2764","1","1","1"
"Not a day","2012","Part Time","East Germany","674","1","1","1"
"Not a day","2012","Not Working","West Germany","89","1","1","1"
"Not a day","2012","Not Working","East Germany","41","1","1","1"
"Not a day","2013","Full Time","West Germany","2588","1","1","1"
"Not a day","2013","Full Time","East Germany","940","1","1","1"
"Not a day","2013","Part Time","West Germany","2501","1","1","1"
"Not a day","2013","Part Time","East Germany","609","1","1","1"
"Not a day","2013","Not Working","West Germany","1495","1","1","1"
"Not a day","2013","Not Working","East Germany","137","1","1","1"
"Not a day","2014","Full Time","West Germany","2969","1","1","1"
"Not a day","2014","Full Time","East Germany","893","1","1","1"
"Not a day","2014","Part Time","West Germany","2841","1","1","1"
"Not a day","2014","Part Time","East Germany","541","1","1","1"
"Not a day","2014","Not Working","West Germany","809","1","1","1"
"Not a day","2014","Not Working","East Germany","104","1","1","1"
"Not a day","2015","Full Time","West Germany","2601","1","1","1"
"Not a day","2015","Full Time","East Germany","824","1","1","1"
"Not a day","2015","Part Time","West Germany","2454","1","1","1"
"Not a day","2015","Part Time","East Germany","522","1","1","1"
"Not a day","2015","Not Working","West Germany","684","1","1","1"
"Not a day","2015","Not Working","East Germany","102","1","1","1"
"Not a day","2016","Full Time","West Germany","2539","1","1","1"
"Not a day","2016","Full Time","East Germany","767","1","1","1"
"Not a day","2016","Part Time","West Germany","2484","1","1","1"
"Not a day","2016","Part Time","East Germany","485","1","1","1"
"Not a day","2016","Not Working","West Germany","96","1","1","1"
"Not a day","2016","Not Working","East Germany","14","","",""
"Not a day","2017","Full Time","West Germany","2639","1","1","1"
"Not a day","2017","Full Time","East Germany","832","1","1","1"
"Not a day","2017","Part Time","West Germany","2538","1","1","1"
"Not a day","2017","Part Time","East Germany","511","1","1","1"
"Not a day","2017","Not Working","West Germany","110","1","1","1"
"Not a day","2017","Not Working","East Germany","9","","",""
"Not a day","2018","Full Time","West Germany","2401","1","1","1"
"Not a day","2018","Full Time","East Germany","779","1","1","1"
"Not a day","2018","Part Time","West Germany","2521","1","1","1"
"Not a day","2018","Part Time","East Germany","496","1","1","1"
"Not a day","2018","Not Working","West Germany","73","1","1","1"
"Not a day","2018","Not Working","East Germany","10","","",""
"Not a day","2019","Full Time","West Germany","2714","1","1","1"
"Not a day","2019","Full Time","East Germany","908","1","1","1"
"Not a day","2019","Part Time","West Germany","2278","1","1","1"
"Not a day","2019","Part Time","East Germany","486","1","1","1"
"Not a day","2019","Not Working","West Germany","226","1","1","1"
"Not a day","2019","Not Working","East Germany","57","1","1","1"
