"ple0044_h","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Male","2285","0.406965434590681","0.393928680329665","0.420002188851696","2"
"No","1985","Female","2160","0.382238415252359","0.369547457947165","0.394929372557553","2"
"Yes","1985","Male","3170","0.593034565409319","0.579997811148304","0.606071319670335","1"
"Yes","1985","Female","3472","0.617761584747641","0.605070627442447","0.630452542052835","1"
"No","1986","Male","3029","0.598445685628162","0.585101253013107","0.611790118243218","2"
"No","1986","Female","3882","0.758055986360202","0.746537141958396","0.769574830762008","2"
"Yes","1986","Male","2155","0.401554314371838","0.388209881756782","0.414898746986893","1"
"Yes","1986","Female","1428","0.241944013639798","0.230425169237992","0.253462858041604","1"
"No","1987","Male","3129","0.625159874607428","0.611850754461454","0.638468994753401","2"
"No","1987","Female","4067","0.802521607716381","0.791728374853529","0.813314840579232","2"
"Yes","1987","Male","1953","0.374840125392572","0.361531005246599","0.388149245538546","1"
"Yes","1987","Female","1159","0.197478392283619","0.186685159420768","0.208271625146471","1"
"No","1988","Male","2988","0.622391826947382","0.608755226769895","0.63602842712487","2"
"No","1988","Female","3818","0.787378079000513","0.776010710229032","0.798745447771995","2"
"Yes","1988","Male","1867","0.377608173052618","0.36397157287513","0.391244773230105","1"
"Yes","1988","Female","1159","0.212621920999487","0.201254552228005","0.223989289770968","1"
"No","1989","Male","3012","0.650053662151961","0.636474278205669","0.663633046098252","2"
"No","1989","Female","3773","0.789945459627762","0.77852362284091","0.801367296414614","2"
"Yes","1989","Male","1727","0.349946337848039","0.336366953901748","0.363525721794331","1"
"Yes","1989","Female","1113","0.210054540372238","0.198632703585386","0.22147637715909","1"
"No","1990","Male","","","","","2"
"No","1990","Female","","","","","2"
"Yes","1990","Male","","","","","1"
"Yes","1990","Female","","","","","1"
"No","1991","Male","5023","0.730083699420455","0.719393426036594","0.740773972804316","2"
"No","1991","Female","5886","0.837002444986898","0.828342292259236","0.845662597714561","2"
"Yes","1991","Male","1601","0.269916300579545","0.259226027195684","0.280606573963406","1"
"Yes","1991","Female","1102","0.162997555013102","0.154337402285439","0.171657707740764","1"
"No","1992","Male","3899","0.628019071246872","0.616206196759265","0.63983194573448","2"
"No","1992","Female","4985","0.771549405283587","0.761579551517835","0.781519259049338","2"
"Yes","1992","Male","2532","0.371980928753128","0.36016805426552","0.383793803240735","1"
