"ple0044_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","higher vocational","46","0.276216992927035","0.20880547188495","0.343628513969119","2"
"No","1985","Not Employed","inadequately","101","0.269049999615556","0.222050268732432","0.31604973049868","2"
"No","1985","Not Employed","vocational + Abi","20","","","","2"
"No","1985","Not Employed","middle vocational","520","0.309354394907967","0.287541700614845","0.331167089201089","2"
"No","1985","Not Employed","general elemantary","472","0.324836846161294","0.301431938474731","0.348241753847857","2"
"No","1985","Not Employed","in school","68","0.369708549145177","0.299188550810677","0.440228547479677","2"
"No","1985","Employed","vocational + Abi","90","0.435938444988574","0.367385534520032","0.504491355457115","2"
"No","1985","Employed","higher vocational","211","0.461232592563049","0.415276877753862","0.507188307372236","2"
"No","1985","Employed","middle vocational","1618","0.461929826944648","0.44534911549668","0.478510538392617","2"
"No","1985","Employed","higher education","252","0.423579272888141","0.384302712654329","0.462855833121953","2"
"No","1985","Not Employed","higher education","44","0.315185910864299","0.240837412257291","0.389534409471307","2"
"No","1985","Employed","in school","3","","","","2"
"No","1985","Employed","inadequately","243","0.503657764701924","0.460136401080735","0.547179128323112","2"
"No","1985","Employed","general elemantary","718","0.454194385816901","0.429335214243124","0.479053557390677","2"
"Yes","1985","Not Employed","in school","112","0.630291450854823","0.559771452520323","0.700811449189323","1"
"Yes","1985","Not Employed","inadequately","241","0.730950000384444","0.68395026950132","0.777949731267568","1"
"Yes","1985","Not Employed","general elemantary","1066","0.675163153838706","0.651758246152143","0.698568061525269","1"
"Yes","1985","Not Employed","middle vocational","1205","0.690645605092033","0.668832910798911","0.712458299385155","1"
"Yes","1985","Not Employed","vocational + Abi","59","0.700716827164647","0.599734129459294","0.801699524869999","1"
"Yes","1985","Not Employed","higher vocational","123","0.723783007072965","0.656371486030881","0.79119452811505","1"
"Yes","1985","Not Employed","higher education","106","0.684814089135701","0.610465590528693","0.759162587742708","1"
"Yes","1985","Employed","in school","4","","","","1"
"Yes","1985","Employed","inadequately","264","0.496342235298076","0.452820871676888","0.539863598919264","1"
"Yes","1985","Employed","general elemantary","823","0.545805614183099","0.520946442609323","0.570664785756876","1"
"Yes","1985","Employed","middle vocational","1855","0.538070173055352","0.521489461607383","0.55465088450332","1"
"Yes","1985","Employed","vocational + Abi","111","0.564061555011427","0.495508644542885","0.632614465479968","1"
"Yes","1985","Employed","higher vocational","241","0.538767407436951","0.492811692627764","0.584723122246138","1"
"Yes","1985","Employed","higher education","356","0.576420727111859","0.537144166878047","0.615697287345671","1"
"No","1986","Not Employed","general elemantary","1267","0.934442863300272","0.921351068590297","0.947534658010248","2"
"No","1986","Not Employed","inadequately","303","0.964531764050515","0.944329584956386","0.984733943144644","2"
"No","1986","Not Employed","middle vocational","1523","0.943712202663216","0.932482047810325","0.954942357516108","2"
"No","1986","Employed","higher education","265","0.454558358111487","0.41461635005825","0.494500366164724","2"
"No","1986","Not Employed","higher vocational","152","0.934444798838639","0.896565095444677","0.9723245022326","2"
"No","1986","Not Employed","vocational + Abi","68","0.944501840786744","0.891618055121643","0.997385626451845","2"
"No","1986","Employed","vocational + Abi","97","0.497733447753797","0.42826507996212","0.567201815545475","2"
"No","1986","Employed","higher vocational","189","0.454371045383356","0.406408530275908","0.502333560490805","2"
"No","1986","Not Employed","in school","168","0.931941216949026","0.89525143311098","0.968631000787073","2"
"No","1986","Employed","middle vocational","1629","0.485779657008592","0.468781261026565","0.502778052990619","2"
"No","1986","Not Employed","higher education","130","0.943245930682528","0.904643067187896","0.981848794177159","2"
"No","1986","Employed","in school","3","","","","2"
"No","1986","Employed","inadequately","263","0.562444539264932","0.516811796699258","0.608077281830605","2"
"No","1986","Employed","general elemantary","784","0.509406590356627","0.484316264381397","0.534496916331856","2"
"Yes","1986","Not Employed","in school","13","","","","1"
"Yes","1986","Not Employed","inadequately","19","","","","1"
"Yes","1986","Not Employed","general elemantary","106","0.0655571366997276","0.0524653419897523","0.0786489314097028","1"
"Yes","1986","Not Employed","middle vocational","95","0.0562877973367837","0.0450576424838922","0.0675179521896752","1"
"Yes","1986","Not Employed","vocational + Abi","4","","","","1"
"Yes","1986","Not Employed","higher vocational","12","","","","1"
"Yes","1986","Not Employed","higher education","8","","","","1"
"Yes","1986","Employed","in school","1","","","","1"
"Yes","1986","Employed","inadequately","191","0.437555460735068","0.391922718169395","0.483188203300741","1"
"Yes","1986","Employed","general elemantary","741","0.490593409643373","0.465503083668144","0.515683735618603","1"
"Yes","1986","Employed","middle vocational","1692","0.514220342991408","0.497221947009381","0.531218738973435","1"
"Yes","1986","Employed","vocational + Abi","102","0.502266552246202","0.432798184454525","0.57173492003788","1"
"Yes","1986","Employed","higher vocational","225","0.545628954616644","0.497666439509195","0.593591469724092","1"
"Yes","1986","Employed","higher education","332","0.545441641888513","0.505499633835276","0.58538364994175","1"
"No","1987","Not Employed","general elemantary","1297","0.992253079374654","0.987508945298761","0.996997213450546","2"
"No","1987","Not Employed","inadequately","290","0.994369088685334","0.985771735904032","1.00296644146664","2"
"No","1987","Employed","higher education","254","0.444769557857759","0.404292124060461","0.485246991655058","2"
"No","1987","Employed","vocational + Abi","111","0.554874134354576","0.486169075149672","0.623579193559481","2"
"No","1987","Not Employed","middle vocational","1580","0.992102488351384","0.987761195931092","0.996443780771675","2"
"No","1987","Not Employed","vocational + Abi","69","0.958528456254232","0.91247529479497","1.00458161771349","2"
"No","1987","Not Employed","higher vocational","159","0.989672634727518","0.97410469528145","1.00524057417359","2"
"No","1987","Employed","higher vocational","193","0.482643003766155","0.433176270797831","0.53210973673448","2"
"No","1987","Not Employed","in school","177","0.987500990678497","0.97122572294824","1.00377625840875","2"
"No","1987","Employed","middle vocational","1765","0.530909940040722","0.513841844695367","0.547978035386077","2"
"No","1987","Not Employed","higher education","139","0.98019834984539","0.957364047483942","1.00303265220684","2"
"No","1987","Employed","in school","3","","","","2"
"No","1987","Employed","inadequately","273","0.598429786316703","0.553680617276856","0.64317895535655","2"
"No","1987","Employed","general elemantary","808","0.526071778898627","0.500811593573356","0.551331964223898","2"
"Yes","1987","Not Employed","in school","2","","","","1"
"Yes","1987","Not Employed","inadequately","1","","","","1"
"Yes","1987","Not Employed","general elemantary","15","","","","1"
"Yes","1987","Not Employed","middle vocational","17","","","","1"
"Yes","1987","Not Employed","vocational + Abi","3","","","","1"
"Yes","1987","Not Employed","higher vocational","3","","","","1"
"Yes","1987","Not Employed","higher education","4","","","","1"
"Yes","1987","Employed","in school","9","","","","1"
"Yes","1987","Employed","inadequately","188","0.401570213683297","0.356821044643449","0.446319382723144","1"
"Yes","1987","Employed","general elemantary","693","0.473928221101373","0.448668035776102","0.499188406426644","1"
"Yes","1987","Employed","middle vocational","1519","0.469090059959278","0.452021964613923","0.486158155304633","1"
"Yes","1987","Employed","vocational + Abi","90","0.445125865645424","0.376420806440519","0.513830924850329","1"
"Yes","1987","Employed","higher vocational","199","0.517356996233844","0.46789026326552","0.566823729202169","1"
"Yes","1987","Employed","higher education","325","0.555230442142241","0.514753008344942","0.59570787593954","1"
"No","1988","Not Employed","general elemantary","1198","0.992627449887263","0.987799347802572","0.997455551971955","2"
"No","1988","Not Employed","inadequately","292","0.952633369036704","0.928515490595175","0.976751247478234","2"
"No","1988","Employed","higher education","227","0.407979729693381","0.367018488618947","0.448940970767815","2"
"No","1988","Not Employed","middle vocational","1491","0.992853187727836","0.988593165852821","0.997113209602851","2"
"No","1988","Not Employed","vocational + Abi","71","1","1","1","2"
"No","1988","Employed","vocational + Abi","108","0.565675725917573","0.496459837029205","0.634891614805942","2"
"No","1988","Not Employed","higher vocational","148","0.989732553296608","0.973600389700887","1.00586471689233","2"
"No","1988","Employed","higher vocational","173","0.478568783546872","0.428009238862397","0.529128328231347","2"
"No","1988","Not Employed","in school","154","0.992158912430585","0.978273428731181","1.00604439612999","2"
"No","1988","Employed","middle vocational","1642","0.510951146606169","0.493527744092538","0.528374549119799","2"
"No","1988","Not Employed","higher education","126","0.980737055724847","0.957109758675463","1.00436435277423","2"
"No","1988","Employed","in school","2","","","","2"
"No","1988","Employed","inadequately","251","0.641259968051521","0.594198157749051","0.68832177835399","2"
"No","1988","Employed","general elemantary","827","0.527714707491009","0.502340387256325","0.553089027725693","2"
"Yes","1988","Not Employed","in school","1","","","","1"
"Yes","1988","Not Employed","inadequately","6","","","","1"
"Yes","1988","Not Employed","general elemantary","8","","","","1"
"Yes","1988","Not Employed","middle vocational","11","","","","1"
"Yes","1988","Not Employed","vocational + Abi","","","","","1"
"Yes","1988","Not Employed","higher vocational","2","","","","1"
"Yes","1988","Not Employed","higher education","4","","","","1"
"Yes","1988","Employed","in school","6","","","","1"
"Yes","1988","Employed","inadequately","148","0.35874003194848","0.311678221646011","0.405801842250949","1"
"Yes","1988","Employed","general elemantary","660","0.472285292508991","0.446910972274307","0.497659612743675","1"
"Yes","1988","Employed","middle vocational","1520","0.489048853393831","0.471625450880201","0.506472255907462","1"
