"ple0044_h","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","1288","0.31484587396099","0.300854283051242","0.328837464870737","2"
"No","1985","Employed","3157","0.45571898314077","0.443928375307961","0.467509590973579","2"
"Yes","1985","Not Employed","2945","0.68515412603901","0.671162535129263","0.699145716948758","1"
"Yes","1985","Employed","3697","0.54428101685923","0.532490409026421","0.55607162469204","1"
"No","1986","Not Employed","3647","0.940013657540318","0.932565808850298","0.947461506230338","2"
"No","1986","Employed","3264","0.486740356389391","0.474671793047989","0.498808919730793","2"
"Yes","1986","Not Employed","258","0.059986342459682","0.052538493769662","0.0674341911497019","1"
"Yes","1986","Employed","3325","0.513259643610609","0.501191080269207","0.525328206952011","1"
"No","1987","Not Employed","3748","0.990619303116452","0.987551903405025","0.99368670282788","2"
"No","1987","Employed","3448","0.518627751921077","0.506494069761261","0.530761434080892","2"
"Yes","1987","Not Employed","46","0.00938069688354764","0.00631329717212039","0.0124480965949749","1"
"Yes","1987","Employed","3066","0.481372248078923","0.469238565919108","0.493505930238739","1"
"No","1988","Not Employed","3522","0.991022946508021","0.98792284455577","0.994123048460271","2"
"No","1988","Employed","3284","0.50518210313779","0.492812570199643","0.517551636075937","2"
"Yes","1988","Not Employed","34","0.00897705349197928","0.00587695153972866","0.0120771554442299","1"
"Yes","1988","Employed","2992","0.49481789686221","0.482448363924063","0.507187429800357","1"
"No","1989","Not Employed","3393","0.991035123674594","0.987881636085359","0.994188611263829","2"
"No","1989","Employed","3392","0.533511335582666","0.521086520778099","0.545936150387232","2"
"Yes","1989","Not Employed","39","0.00896487632540561","0.00581138873617063","0.0121183639146406","1"
"Yes","1989","Employed","2801","0.466488664417334","0.454063849612768","0.478913479221901","1"
"No","1990","Not Employed","","","","","2"
"No","1990","Employed","","","","","2"
"Yes","1990","Not Employed","","","","","1"
"Yes","1990","Employed","","","","","1"
"No","1991","Not Employed","3223","0.99018840314182","0.986807480267155","0.993569326016484","2"
"No","1991","Employed","3484","0.558663885360797","0.546248872328086","0.571078898393509","2"
"Yes","1991","Not Employed","42","0.00981159685818016","0.00643067398351565","0.0131925197328447","1"
"Yes","1991","Employed","2661","0.441336114639203","0.428921101606491","0.453751127671914","1"
"No","1992","Not Employed","4206","0.989122210013041","0.986008445702861","0.992235974323222","2"
"No","1992","Employed","4678","0.523973692803558","0.51364417279378","0.534303212813335","2"
"Yes","1992","Not Employed","57","0.0108777899869589","0.00776402567677846","0.0139915542971393","1"
"Yes","1992","Employed","4302","0.476026307196442","0.465696787186665","0.48635582720622","1"
"No","1993","Not Employed","","","","","2"
"No","1993","Employed","","","","","2"
"Yes","1993","Not Employed","","","","","1"
"Yes","1993","Employed","","","","","1"
"No","1994","Not Employed","4505","0.984475811140024","0.980897829979426","0.988053792300623","2"
"No","1994","Employed","4475","0.550656231539247","0.539919896230973","0.561392566847522","2"
"Yes","1994","Not Employed","81","0.0155241888599755","0.0119462076993766","0.0191021700205745","1"
"Yes","1994","Employed","3771","0.449343768460753","0.438607433152478","0.460080103769027","1"
"No","1995","Not Employed","4780","0.991964354133871","0.989445703852417","0.994483004415326","2"
"No","1995","Employed","4278","0.529691533326769","0.518843467291809","0.540539599361728","2"
"Yes","1995","Not Employed","47","0.00803564586612859","0.00551699558467375","0.0105542961475834","1"
"Yes","1995","Employed","3854","0.470308466673231","0.459460400638272","0.481156532708191","1"
"No","1996","Not Employed","4550","0.997188617955581","0.995653175187731","0.998724060723431","2"
"No","1996","Employed","4412","0.53762510500225","0.526738353693473","0.548511856311027","2"
"Yes","1996","Not Employed","18","","","","1"
"Yes","1996","Employed","3645","0.46237489499775","0.451488143688973","0.473261646306527","1"
"No","1997","Not Employed","4663","0.997162352094165","0.995639644618553","0.998685059569777","2"
"No","1997","Employed","4104","0.532520999952263","0.521387555454138","0.543654444450389","2"
"Yes","1997","Not Employed","25","","","","1"
"Yes","1997","Employed","3611","0.467479000047737","0.456345555549611","0.478612444545862","1"
