"ple0044_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Employed","East Germany","","","","","2"
"No","1985","Employed","East Germany","","","","","2"
"No","1985","Not Employed","West Germany","1288","0.31484587396099","0.300854283051242","0.328837464870737","2"
"No","1985","Employed","West Germany","3157","0.45571898314077","0.443928375307961","0.467509590973579","2"
"Yes","1985","Not Employed","West Germany","2945","0.68515412603901","0.671162535129263","0.699145716948758","1"
"Yes","1985","Not Employed","East Germany","","","","","1"
"Yes","1985","Employed","West Germany","3697","0.54428101685923","0.532490409026421","0.55607162469204","1"
"Yes","1985","Employed","East Germany","","","","","1"
"No","1986","Not Employed","East Germany","","","","","2"
"No","1986","Employed","East Germany","","","","","2"
"No","1986","Not Employed","West Germany","3647","0.940013657540318","0.932565808850298","0.947461506230338","2"
"No","1986","Employed","West Germany","3264","0.486740356389391","0.474671793047989","0.498808919730793","2"
"Yes","1986","Not Employed","West Germany","258","0.059986342459682","0.052538493769662","0.0674341911497019","1"
"Yes","1986","Not Employed","East Germany","","","","","1"
"Yes","1986","Employed","West Germany","3325","0.513259643610609","0.501191080269207","0.525328206952011","1"
"Yes","1986","Employed","East Germany","","","","","1"
"No","1987","Not Employed","East Germany","","","","","2"
"No","1987","Employed","East Germany","","","","","2"
"No","1987","Not Employed","West Germany","3748","0.990619303116452","0.987551903405025","0.99368670282788","2"
"No","1987","Employed","West Germany","3448","0.518627751921077","0.506494069761261","0.530761434080892","2"
"Yes","1987","Not Employed","East Germany","","","","","1"
"Yes","1987","Employed","West Germany","3066","0.481372248078923","0.469238565919108","0.493505930238739","1"
"Yes","1987","Employed","East Germany","","","","","1"
"Yes","1987","Not Employed","West Germany","46","0.00938069688354764","0.00631329717212039","0.0124480965949749","1"
"No","1988","Not Employed","East Germany","","","","","2"
"No","1988","Employed","East Germany","","","","","2"
"No","1988","Not Employed","West Germany","3522","0.991022946508021","0.98792284455577","0.994123048460271","2"
"No","1988","Employed","West Germany","3284","0.50518210313779","0.492812570199643","0.517551636075937","2"
"Yes","1988","Not Employed","East Germany","","","","","1"
"Yes","1988","Employed","West Germany","2992","0.49481789686221","0.482448363924063","0.507187429800357","1"
"Yes","1988","Employed","East Germany","","","","","1"
