"ple0044_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1985","1-pers.-HH","488","0.396053058956162","0.368159802415193","0.423946315497131","2"
"No","1985","(Married) couple without C. ","995","0.393931442658544","0.374523933120574","0.413338952196514","2"
"No","1985","Single parent ","222","0.411054552068803","0.369784118124118","0.452324986013489","2"
"No","1985","Couple + C. LE 16 ","1094","0.409122923947599","0.390515160255142","0.427730687640056","2"
"No","1985","Couple + C. GT 16 ","795","0.393695084189539","0.372436584639303","0.414953583739775","2"
"No","1985","Couple + C. LE and GT 16","592","0.382630740960494","0.357977125547445","0.407284356373543","2"
"Yes","1985","1-pers.-HH","693","0.603946941043838","0.576053684502869","0.631840197584807","1"
"Yes","1985","(Married) couple without C. ","1440","0.606068557341456","0.586661047803486","0.625476066879426","1"
"Yes","1985","Single parent ","324","0.588945447931197","0.547675013986511","0.630215881875882","1"
"Yes","1985","Couple + C. LE 16 ","1588","0.590877076052401","0.572269312359944","0.609484839744858","1"
"Yes","1985","Couple + C. GT 16 ","1234","0.606304915810461","0.585046416260225","0.627563415360697","1"
"Yes","1985","Couple + C. LE and GT 16","901","0.617369259039506","0.592715643626457","0.642022874452555","1"
"No","1986","(Married) couple without C. ","1646","0.725684317368057","0.707691161930601","0.743677472805512","2"
"No","1986","1-pers.-HH","800","0.767862622874649","0.74291288145038","0.792812364298917","2"
"No","1986","Couple + C. LE 16 ","1465","0.613749975607562","0.594180816254664","0.63331913496046","2"
"No","1986","Single parent ","326","0.675790837073602","0.634721602372364","0.716860071774841","2"
"No","1986","Couple + C. GT 16 ","1312","0.631515889718269","0.610789981308288","0.65224179812825","2"
"No","1986","Couple + C. LE and GT 16","878","0.62412749223912","0.598600835502022","0.649654148976218","2"
"Yes","1986","1-pers.-HH","300","0.232137377125351","0.207187635701083","0.25708711854962","1"
"Yes","1986","(Married) couple without C. ","716","0.274315682631943","0.256322527194488","0.292308838069399","1"
"Yes","1986","Single parent ","173","0.324209162926398","0.283139928225159","0.365278397627636","1"
"Yes","1986","Couple + C. LE 16 ","913","0.386250024392438","0.36668086503954","0.405819183745336","1"
"Yes","1986","Couple + C. GT 16 ","769","0.368484110281731","0.34775820187175","0.389210018691712","1"
"Yes","1986","Couple + C. LE and GT 16","505","0.37587250776088","0.350345851023782","0.401399164497979","1"
"No","1987","1-pers.-HH","834","0.808570227589312","0.785299469283699","0.831840985894925","2"
"No","1987","(Married) couple without C. ","1697","0.763056894579358","0.745720905820149","0.780392883338567","2"
"No","1987","Couple + C. LE 16 ","1524","0.648596379979125","0.629161505012306","0.668031254945944","2"
"No","1987","Single parent ","343","0.653166069635424","0.612138535429084","0.694193603841763","2"
"No","1987","Couple + C. GT 16 ","1423","0.672752333668018","0.652736676214434","0.692767991121601","2"
"No","1987","Couple + C. LE and GT 16","858","0.660255293577276","0.633893828466234","0.686616758688318","2"
"Yes","1987","1-pers.-HH","264","0.191429772410688","0.168159014105075","0.214700530716301","1"
"Yes","1987","(Married) couple without C. ","614","0.236943105420642","0.219607116661433","0.254279094179851","1"
