"ple0044_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","1-pers.-HH","West Germany","693","1","1","1"
"Not a day","1985","1-pers.-HH","East Germany","","","",""
"Not a day","1985","(Married) couple without C. ","West Germany","1440","1","1","1"
"Not a day","1985","(Married) couple without C. ","East Germany","","","",""
"Not a day","1985","Single parent ","West Germany","324","1","1","1"
"Not a day","1985","Single parent ","East Germany","","","",""
"Not a day","1985","Couple + C. LE 16 ","West Germany","1588","1","1","1"
"Not a day","1985","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1985","Couple + C. GT 16 ","West Germany","1234","1","1","1"
"Not a day","1985","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1985","Couple + C. LE and GT 16","West Germany","901","1","1","1"
"Not a day","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1986","1-pers.-HH","West Germany","300","1","1","1"
"Not a day","1986","1-pers.-HH","East Germany","","","",""
"Not a day","1986","(Married) couple without C. ","West Germany","716","1","1","1"
"Not a day","1986","(Married) couple without C. ","East Germany","","","",""
"Not a day","1986","Single parent ","West Germany","173","1","1","1"
"Not a day","1986","Single parent ","East Germany","","","",""
"Not a day","1986","Couple + C. LE 16 ","West Germany","913","1","1","1"
"Not a day","1986","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1986","Couple + C. GT 16 ","West Germany","769","1","1","1"
"Not a day","1986","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1986","Couple + C. LE and GT 16","West Germany","505","1","1","1"
"Not a day","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1987","1-pers.-HH","West Germany","264","1","1","1"
"Not a day","1987","1-pers.-HH","East Germany","","","",""
"Not a day","1987","(Married) couple without C. ","West Germany","614","1","1","1"
"Not a day","1987","(Married) couple without C. ","East Germany","","","",""
"Not a day","1987","Single parent ","West Germany","174","1","1","1"
"Not a day","1987","Single parent ","East Germany","","","",""
"Not a day","1987","Couple + C. LE 16 ","West Germany","794","1","1","1"
"Not a day","1987","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1987","Couple + C. GT 16 ","West Germany","688","1","1","1"
"Not a day","1987","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1987","Couple + C. LE and GT 16","West Germany","382","1","1","1"
"Not a day","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1988","1-pers.-HH","West Germany","241","1","1","1"
"Not a day","1988","1-pers.-HH","East Germany","","","",""
"Not a day","1988","(Married) couple without C. ","West Germany","597","1","1","1"
"Not a day","1988","(Married) couple without C. ","East Germany","","","",""
"Not a day","1988","Single parent ","West Germany","184","1","1","1"
"Not a day","1988","Single parent ","East Germany","","","",""
